GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",13263417000,13488357000,13865519000,14399696000,14901269000,15315943000,15623871000,15642962000,15236262000,15648991000,15891534000,16253970000,16553348000,16932051000,17390295000,17680274000,18076651000,18609078000,19036052000,18509143000,19609812000
 "00000","United States", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.601,82.985,85.305,88.592,91.678,94.229,96.123,96.241,93.739,96.278,97.770,100.000,101.842,104.172,106.991,108.775,111.214,114.489,117.116,113.875,120.646
 "00000","United States", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10581929000,10929108000,11456450000,12217196000,13039197000,13815583000,14474228000,14769862000,14478067000,15048970000,15599731000,16253970000,16843196000,17550687000,18206023000,18695106000,19477337000,20533058000,21380976000,21060474000,23315081000
 "01000","Alabama",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",156853184,160422382,165134740,176624994,184369466,187270767,189002509,186946680,180707162,184702392,187605835,189245509,191369800,189886333,191335242,194283784,196974912,200372623,203432712,199880770,209979322
 "01000","Alabama",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.883,84.769,87.260,93.331,97.423,98.957,99.872,98.785,95.488,97.599,99.134,100.000,101.123,100.339,101.104,102.662,104.084,105.880,107.497,105.620,110.956
 "01000","Alabama",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",122915468,127504955,134152582,147715210,158846829,166469026,172975203,174526304,170930898,177249159,183916641,189245509,194786921,197406850,202372397,207368358,214606320,223859308,231561934,230892059,254109734
 "02000","Alaska",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",40958700,42979048,42355306,44055010,45657067,49190165,51720973,51252097,56215136,54601512,55280318,58283630,55354302,54188237,54740850,54246627,54278667,53326985,53433791,50705178,50869390
 "02000","Alaska",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.275,73.741,72.671,75.587,78.336,84.398,88.740,87.936,96.451,93.682,94.847,100.000,94.974,92.973,93.921,93.074,93.128,91.496,91.679,86.997,87.279
 "02000","Alaska",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",28494061,29756850,32037922,35302447,40356604,45094111,49583742,55122478,49957770,53331622,56896350,58283630,57247714,56484937,51490883,50727653,53301510,54899608,54728232,50475190,57349378
 "04000","Arizona",6,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",213166188,220696674,234065873,244317323,262325950,274179439,283250740,280810073,257498454,260307115,266101521,271440034,273481866,276948931,282576987,291275204,303606061,314827462,325395289,327178028,347656001
 "04000","Arizona",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.532,81.306,86.231,90.008,96.642,101.009,104.351,103.452,94.864,95.899,98.033,100.000,100.752,102.030,104.103,107.307,111.850,115.984,119.877,120.534,128.078
 "04000","Arizona",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171909621,180522314,193634894,206541070,227915919,245956952,261391980,262926047,246424330,251153035,260915729,271440034,278591604,287666630,299393263,313081381,332001755,351879482,372393504,382072265,420026672
 "05000","Arkansas",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",89789042,92950465,96944478,101733599,105979954,108460550,107606076,106536501,102996613,105662030,107932548,108492083,110752406,111734533,112350970,112798120,113850246,115885234,117126184,117268163,123347316
 "05000","Arkansas",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.761,85.675,89.356,93.771,97.685,99.971,99.183,98.197,94.935,97.391,99.484,100.000,102.083,102.989,103.557,103.969,104.939,106.814,107.958,108.089,113.692
 "05000","Arkansas",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",70616704,74113917,78695083,85199618,90887740,95875115,98381637,99706792,97508148,101486535,105768088,108492083,113227341,116139444,117786782,119152389,122466721,127535660,131578279,133969089,148676113
 "06000","California",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1692324096,1722522394,1789998529,1850904494,1926842091,2002437419,2041192189,2061638773,1995439659,2036015045,2063827510,2113096440,2179228960,2256054739,2357452911,2427894598,2538204041,2644061178,2729225812,2667220931,2874730813
 "06000","California",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.087,81.517,84.710,87.592,91.186,94.763,96.597,97.565,94.432,96.352,97.668,100.000,103.130,106.765,111.564,114.897,120.118,125.127,129.158,126.223,136.044
 "06000","California",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1375761291,1418429562,1497918657,1588177383,1698560406,1812209985,1898902003,1944695344,1890165874,1954092678,2023500032,2113096440,2220389868,2335286492,2473555865,2569634021,2728743053,2897200661,3042694071,3020173358,3373240664
 "08000","Colorado",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",234979399,235417320,237782339,240747623,251558436,257430160,266887455,270981399,264966258,267858879,271700641,276823143,286259075,298655252,312409667,318953352,329913262,342733182,358438482,353345183,373763332
 "08000","Colorado",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.884,85.042,85.897,86.968,90.873,92.994,96.411,97.890,95.717,96.762,98.150,100.000,103.409,107.887,112.855,115.219,119.178,123.809,129.483,127.643,135.019
 "08000","Colorado",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",186695847,190019026,196126466,204167170,220783734,232646742,248446527,258871699,251227663,258300244,267516056,276823143,292140470,309542568,320721054,329911743,349156537,372212054,394534731,391263272,436359473
 "09000","Connecticut",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",218135261,216677688,219185995,233426494,238549538,248233846,257953029,257755981,244894746,244354749,238542385,240911922,236050641,235780926,242706532,243286679,247035886,249074784,251568222,235234916,246555860
 "09000","Connecticut",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.546,89.941,90.982,96.893,99.019,103.039,107.074,106.992,101.653,101.429,99.016,100.000,97.982,97.870,100.745,100.986,102.542,103.388,104.423,97.644,102.343
 "09000","Connecticut",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171216593,173248290,178702182,195354861,205214649,219768422,234540681,238936806,233290700,234699997,233158748,240911922,241517441,246596970,259487788,263670293,271443219,279922965,288536341,276223270,298395175
