GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",93556691,95383097,97017282,102846657,110046435,118482337,123835340,124225520,121431395,123902221,127992498,129512516,133112913,136993686,141720522,147962300,154758268,164622078,172038389,174954694,186910017
 "49000","Utah",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.238,73.648,74.910,79.411,84.970,91.483,95.617,95.918,93.760,95.668,98.826,100.000,102.780,105.776,109.426,114.246,119.493,127.109,132.835,135.087,144.318
 "49000","Utah",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",73057645,75796863,78945439,86081937,95355121,106537267,114813430,117178894,113985424,118669787,125564962,129512516,135450385,142150117,149153403,157827318,168649910,184457474,196538857,202133408,225340301
 "49001","Beaver, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",271226,234520,230513,307854,343743,232207,254113,253515,306035,337283,285928,294477,381040,408835,325809,301337,377181,336955,380327,366997,405309
 "49001","Beaver, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.104,79.640,78.279,104.543,116.730,78.854,86.293,86.090,103.925,114.537,97.097,100.000,129.396,138.834,110.640,102.330,128.085,114.425,129.154,124.627,137.637
 "49001","Beaver, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",191997,163172,168209,242371,259145,179917,210854,218005,262750,303867,281137,294477,385001,410528,322110,296919,384785,350978,404325,395011,489057
 "49003","Box Elder, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1667342,1736812,1703993,1720583,1820211,2093640,2177468,2298289,2291570,2205527,1983675,1798877,1930265,1914381,2074875,2092540,2135792,2157337,2274751,2398104,2469337
 "49003","Box Elder, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.688,96.550,94.725,95.648,101.186,116.386,121.046,127.762,127.389,122.606,110.273,100.000,107.304,106.421,115.343,116.325,118.729,119.927,126.454,133.311,137.271
 "49003","Box Elder, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1394211,1462261,1462595,1524491,1633771,1937602,2083837,2224793,2120292,2122845,1967987,1798877,1937028,1957979,2138892,2151596,2251685,2321680,2468850,2574007,2852645
 "49005","Cache, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2717002,2731318,2897849,3030316,3063357,3173335,3370030,3567730,3675095,3985371,4133671,3989160,4048820,4169631,4318248,4472305,4731518,5042621,5285659,5319836,5775817
 "49005","Cache, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.110,68.468,72.643,75.964,76.792,79.549,84.480,89.436,92.127,99.905,103.623,100.000,101.496,104.524,108.250,112.111,118.609,126.408,132.501,133.357,144.788
 "49005","Cache, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2159656,2214922,2388567,2549834,2635622,2800590,3049650,3281596,3505100,3809762,4017268,3989160,4135259,4334900,4603044,4840353,5182082,5607011,6018033,6223256,6971622
 "49007","Carbon, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1128272,1114773,1110908,1093864,1150797,1229723,1260779,1323346,1264370,1210457,1231828,1084326,1085197,1143689,1095775,1053831,1013020,1036702,1123455,1078258,1088977
 "49007","Carbon, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.053,102.808,102.451,100.880,106.130,113.409,116.273,122.043,116.604,111.632,113.603,100.000,100.080,105.475,101.056,97.188,93.424,95.608,103.609,99.440,100.429
