GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",360601122,364932406,377723849,392941341,412084631,419870647,424939540,431216687,427648916,441242354,444287999,445973636,449063757,447678128,455162357,459965832,467361996,477915167,489199063,478909346,505350968
 "51000","Virginia",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.857,81.828,84.696,88.109,92.401,94.147,95.284,96.691,95.891,98.939,99.622,100.000,100.693,100.382,102.060,103.137,104.796,107.162,109.692,107.385,113.314
 "51000","Virginia",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",285635881,295355652,311665670,332115065,358069732,376235748,391699844,404634889,410967439,426992401,435180301,445973636,457640460,465181791,483786461,496021107,511114944,532906518,557764369,556992615,604957550
 "51001","Accomack, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2099713,1908973,1842822,1844649,1908861,1973783,1899938,2022625,2584614,2680675,2507486,2497438,2109402,1789718,1617197,1541774,1551078,1607748,1656186,1609642,1712085
 "51001","Accomack, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.075,76.437,73.789,73.862,76.433,79.032,76.075,80.988,103.491,107.337,100.402,100.000,84.463,71.662,64.754,61.734,62.107,64.376,66.315,64.452,68.554
 "51001","Accomack, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1579232,1498448,1459823,1473752,1537589,1593007,1586100,1767097,2438995,2542235,2373020,2497438,2150503,1869607,1729295,1672183,1699059,1781786,1876748,1876127,2073005
 "51007","Amelia, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",234853,209463,227522,220364,232237,252332,249252,246072,242240,279615,265180,279512,285340,292792,322648,300839,304150,260675,269148,251339,287277
 "51007","Amelia, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.023,74.939,81.400,78.839,83.087,90.276,89.174,88.036,86.665,100.037,94.873,100.000,102.085,104.751,115.433,107.630,108.815,93.261,96.292,89.921,102.778
 "51007","Amelia, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",165789,150145,167612,169832,186269,210414,215043,215610,212235,252703,258141,279512,293792,301295,324710,298155,310295,271119,285736,275124,341292
 "51009","Amherst, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",744189,760641,775924,773538,779627,809738,811405,819187,811507,820791,797551,788077,821011,780728,789955,754436,745616,759170,737136,721792,726354
 "51009","Amherst, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.431,96.519,98.458,98.155,98.928,102.749,102.960,103.947,102.973,104.151,101.202,100.000,104.179,99.067,100.238,95.731,94.612,96.332,93.536,91.589,92.168
 "51009","Amherst, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",580851,605601,626077,638774,664358,717736,739833,762416,776337,791367,779370,788077,843941,819128,852037,825671,829329,863006,859045,859084,897148
 "51011","Appomattox, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",291071,284089,291298,285323,288082,292691,281545,297735,283979,281259,253640,258430,273093,264005,267124,260420,265679,268744,264080,267075,269747
 "51011","Appomattox, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",112.630,109.929,112.718,110.406,111.474,113.257,108.944,115.209,109.886,108.834,98.146,100.000,105.674,102.157,103.364,100.770,102.805,103.991,102.186,103.345,104.379
 "51011","Appomattox, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",219315,219579,229944,230907,242223,255231,255100,275026,270001,270370,247939,258430,279735,276856,287031,284981,297192,308159,311557,325683,344323
 "51013","Arlington, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",22868634,23008921,23484276,25599155,26178424,25896556,26285505,26592840,27626372,29694250,30317671,29077761,28194502,28216779,29234912,29938035,31059088,32290955,33248949,33076605,35040277
 "51013","Arlington, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.646,79.129,80.764,88.037,90.029,89.060,90.397,91.454,95.009,102.120,104.264,100.000,96.962,97.039,100.540,102.959,106.814,111.050,114.345,113.752,120.505
 "51013","Arlington, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18115113,18755024,19640987,21917667,23004620,23488399,24545082,25201841,26490825,28798927,29781572,29077761,28661578,29241221,31006547,32180821,33799756,35807101,37609899,37759002,40537293
 "51017","Bath, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",187780,197622,204383,206208,208745,197284,210975,217439,209899,224041,223867,200255,201289,197740,196487,198638,197827,183345,217370,202190,221402
 "51017","Bath, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.771,98.685,102.062,102.973,104.240,98.516,105.353,108.581,104.816,111.878,111.791,100.000,100.517,98.744,98.118,99.193,98.788,91.556,108.547,100.967,110.560
 "51017","Bath, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",146946,156354,165126,170823,180656,177317,197122,207493,202554,215696,218483,200255,206498,208836,213072,219890,223488,213066,258626,239477,273036
 "51019","Bedford, VA*",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1495927,1516387,1612081,1623905,1666187,1748566,1752081,1802226,1708524,1810650,1804947,1806040,1851283,1824508,1860250,1814739,1821210,1849183,1825129,1775752,1811429
 "51019","Bedford, VA*",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.829,83.962,89.261,89.915,92.256,96.818,97.012,99.789,94.601,100.255,99.939,100.000,102.505,101.023,103.002,100.482,100.840,102.389,101.057,98.323,100.298
 "51019","Bedford, VA*",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1178968,1221114,1315905,1355010,1434344,1556761,1605776,1679499,1642153,1747638,1763451,1806040,1895570,1906898,1996628,1982982,2026983,2103733,2134051,2125941,2240173
 "51021","Bland, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",152095,159244,160631,148468,155721,180239,202823,238167,225182,218466,213484,212263,183494,191637,196410,189966,194892,209313,201421,189165,190943
 "51021","Bland, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.654,75.022,75.675,69.945,73.362,84.913,95.552,112.204,106.086,102.922,100.575,100.000,86.446,90.283,92.532,89.495,91.816,98.610,94.892,89.118,89.956
 "51021","Bland, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",119229,126123,128001,121073,130563,155738,181146,217835,216434,210382,207473,212263,187138,198431,207608,202420,209937,231334,230103,220027,228192
 "51023","Botetourt, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",812445,827587,890169,900764,972043,1011352,1077033,1057911,965443,1050344,1110104,1094165,1261409,1302843,1265602,1210063,1098736,1137442,1163104,1132616,1194173
