GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",23752352,24570126,25464919,26855180,26995578,27128801,26886654,27758374,27221980,28403745,29013495,29241252,28681494,28912211,29119048,29408147,29490649,29602223,29940658,29064643,30546783
 "50000","Vermont",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.229,84.026,87.086,91.840,92.320,92.776,91.948,94.929,93.094,97.136,99.221,100.000,98.086,98.875,99.582,100.571,100.853,101.234,102.392,99.396,104.465
 "50000","Vermont",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",19323214,20273046,21293219,22938216,23608610,24331545,24797698,25999259,26099174,27406590,28418672,29241252,29289553,30099387,30933288,31661191,32266135,33066833,34230814,34018597,37103805
 "50001","Addison, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1145450,1183894,1249175,1320820,1335768,1345808,1316784,1372369,1327083,1430440,1486341,1548252,1403576,1415741,1456866,1543097,1540553,1561420,1583523,1530991,1577229
 "50001","Addison, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.983,76.466,80.683,85.310,86.276,86.924,85.050,88.640,85.715,92.391,96.001,100.000,90.655,91.441,94.097,99.667,99.503,100.850,102.278,98.885,101.872
 "50001","Addison, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",928470,969759,1040701,1131497,1157855,1187571,1206587,1275252,1246581,1358671,1451982,1548252,1433040,1461108,1511253,1609627,1638950,1687540,1746916,1731699,1873294
 "50003","Bennington, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1447464,1470782,1456957,1511220,1519673,1552862,1582594,1593617,1478680,1553930,1566990,1546513,1515569,1471988,1472704,1517451,1502442,1527784,1543366,1465893,1557956
 "50003","Bennington, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.595,95.103,94.209,97.718,98.264,100.410,102.333,103.046,95.614,100.480,101.324,100.000,97.999,95.181,95.227,98.121,97.150,98.789,99.796,94.787,100.740
 "50003","Bennington, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1166156,1207846,1214969,1285123,1325524,1391354,1458020,1489716,1421836,1498688,1529196,1546513,1548197,1531706,1574805,1650950,1657303,1716792,1777409,1731771,1900730
 "50005","Caledonia, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",911524,906854,922716,965832,959185,977087,1026090,1034323,1010172,1053042,1061149,1071718,1035075,1018905,997982,999838,1002470,1002387,1009063,1010069,1035021
 "50005","Caledonia, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.053,84.617,86.097,90.120,89.500,91.170,95.743,96.511,94.257,98.257,99.014,100.000,96.581,95.072,93.120,93.293,93.539,93.531,94.154,94.248,96.576
 "50005","Caledonia, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",707966,715672,744579,801005,820690,863773,935484,959270,967392,1014442,1039485,1071718,1061015,1068415,1067838,1081247,1105180,1129028,1164234,1193951,1277348
 "50007","Chittenden, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",7374595,7594861,8150353,8728132,8754343,8884135,8614190,9276881,9252943,9705478,9976848,10166902,9917153,9975500,10049574,10317792,10361691,10484874,10645487,10346293,11029063
 "50007","Chittenden, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.535,74.702,80.166,85.848,86.106,87.383,84.728,91.246,91.010,95.462,98.131,100.000,97.544,98.117,98.846,101.484,101.916,103.128,104.707,101.764,108.480
 "50007","Chittenden, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6577277,6806305,7296136,7877138,8015405,8246618,8145794,8845490,8977458,9445089,9804103,10166902,10094632,10332952,10621184,11040175,11236252,11584697,12021267,11944703,13147935
 "50009","Essex, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",149134,167020,148421,152200,153942,144734,140176,139395,140714,148789,139278,139774,145558,143352,142993,136234,140866,139145,137513,132373,137101
 "50009","Essex, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",106.696,119.493,106.186,108.890,110.136,103.548,100.287,99.729,100.672,106.450,99.645,100.000,104.138,102.560,102.303,97.468,100.781,99.550,98.382,94.705,98.088
 "50009","Essex, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",118183,135044,121968,126999,131859,128014,128444,129937,134351,142859,136715,139774,150010,151460,152876,146989,155905,157818,159742,157996,172419
 "50011","Franklin, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1343589,1406435,1468955,1578783,1595045,1661569,1704693,1711122,1611591,1674763,1703893,1628546,1705815,1799722,1841024,1891885,1907099,1915806,1970147,1935763,1902426
 "50011","Franklin, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.502,86.361,90.200,96.944,97.943,102.028,104.676,105.071,98.959,102.838,104.627,100.000,104.745,110.511,113.047,116.170,117.104,117.639,120.976,118.864,116.817
 "50011","Franklin, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1032306,1096394,1170896,1294739,1327860,1417880,1516313,1561483,1517459,1596411,1663262,1628546,1742500,1864107,1934568,2004793,2058128,2100811,2212327,2227228,2308008
 "50013","Grand Isle, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",129694,130435,138790,154334,152007,148975,154142,158426,168687,180804,183152,185114,186261,188388,177157,183377,184255,173917,179679,167408,172915
 "50013","Grand Isle, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.061,70.462,74.975,83.372,82.115,80.477,83.268,85.583,91.126,97.672,98.940,100.000,100.619,101.769,95.701,99.061,99.536,93.951,97.064,90.435,93.410
 "50013","Grand Isle, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",101516,105241,114761,131434,132403,133795,143200,149759,160544,173491,179532,185114,190428,195952,188282,197431,203445,196529,208842,197641,213832
 "50015","Lamoille, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",799553,851125,851988,885793,902444,879358,896677,941698,945929,953899,974133,970651,1005107,1029812,1058747,1051520,1033686,1041476,1018373,963831,1064580
 "50015","Lamoille, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.373,87.686,87.775,91.258,92.973,90.595,92.379,97.017,97.453,98.274,100.359,100.000,103.550,106.095,109.076,108.331,106.494,107.297,104.917,99.297,109.677
 "50015","Lamoille, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",619560,673948,688648,736452,776645,782199,829133,888184,903393,915600,950299,970651,1029063,1077913,1136217,1150366,1152817,1189236,1193520,1151362,1317241
 "50017","Orange, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",669505,715782,712134,729502,732793,755104,755696,737287,729213,758779,761480,785772,761799,751574,757973,726755,744982,753609,746323,724220,757604
 "50017","Orange, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.203,91.093,90.629,92.839,93.258,96.097,96.172,93.830,92.802,96.565,96.909,100.000,96.949,95.648,96.462,92.489,94.809,95.907,94.980,92.167,96.415
 "50017","Orange, VT",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",506651,554902,563587,597474,619004,661814,687129,684027,685578,721463,743303,785772,781431,784704,806792,784992,822152,849576,864369,861808,938555
 "50019","Orleans, VT",1,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",706527,728345,770315,807794,835328,830375,848073,824490,793101,810475,863870,877553,917306,948151,957240,913137,953044,953565,981257,964174,1014308
 "50019","Orleans, VT",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.511,82.997,87.780,92.051,95.188,94.624,96.641,93.953,90.376,92.356,98.441,100.000,104.530,108.045,109.081,104.055,108.603,108.662,111.817,109.871,115.584
