GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",303673768,307583157,312556361,319848895,340427957,353263484,373180589,381289932,370136625,380989464,387745206,400530582,410873880,424467606,441952096,458263781,482007038,515029051,533150415,538856056,575128993
 "53000","Washington",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.818,76.794,78.036,79.856,84.994,88.199,93.172,95.196,92.412,95.121,96.808,100.000,102.582,105.976,110.342,114.414,120.342,128.587,133.111,134.536,143.592
 "53000","Washington",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",238418591,245978544,255370157,268378346,293675976,314265242,342024216,354794080,351245043,365497753,379574857,400530582,419092381,440647989,466689704,487275114,519409583,564313916,595231822,612969130,677489451
 "53001","Adams, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",479870,605272,597760,581497,664552,703825,850911,850245,819289,825275,800279,813458,845135,812003,920872,825331,760451,879185,931943,948088,895106
 "53001","Adams, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.991,74.407,73.484,71.485,81.695,86.523,104.604,104.522,100.717,101.453,98.380,100.000,103.894,99.821,113.205,101.460,93.484,108.080,114.566,116.550,110.037
 "53001","Adams, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",337359,426072,440244,457579,504914,534893,730870,746862,667544,712746,774330,813458,868480,823316,897741,776595,736539,856198,916461,949981,1024886
 "53003","Asotin, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",465584,483401,490080,493096,522287,545348,536699,538541,534245,579463,576341,559942,575890,553112,569381,568364,589647,603442,609263,608870,635697
 "53003","Asotin, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.149,86.331,87.523,88.062,93.275,97.394,95.849,96.178,95.411,103.486,102.929,100.000,102.848,98.780,101.686,101.504,105.305,107.769,108.808,108.738,113.529
 "53003","Asotin, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",352099,373350,389384,408929,443604,477772,488842,498626,507887,555798,563107,559942,589930,578525,609141,616997,651770,681545,705494,726866,798248
 "53005","Benton, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",7078559,7662182,7635157,7869139,8129601,8275503,8375372,8701726,9112102,10257010,9972397,9388410,9207964,9305419,9777098,10231164,10373466,10577904,10967373,10611095,10947357
 "53005","Benton, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.397,81.613,81.325,83.818,86.592,88.146,89.210,92.686,97.057,109.252,106.220,100.000,98.078,99.116,104.140,108.977,110.492,112.670,116.818,113.023,116.605
 "53005","Benton, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5372921,5922078,6075977,6480578,6787579,7085259,7562908,8032113,8560804,9787306,9762601,9388410,9421935,9691420,10313048,10869341,11272214,11732835,12427121,12327979,13335494
 "53007","Chelan, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2862082,3049334,3046969,3065908,2935913,3194609,3219115,3250717,3269580,3310978,3554597,3649266,3582819,3655441,3797785,3881688,4041566,4138555,4160985,4058918,4289526
 "53007","Chelan, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.429,83.560,83.495,84.014,80.452,87.541,88.213,89.079,89.596,90.730,97.406,100.000,98.179,100.169,104.070,106.369,110.750,113.408,114.023,111.226,117.545
 "53007","Chelan, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2189013,2365077,2428027,2541869,2506842,2841206,2958058,3036176,3107130,3198336,3504745,3649266,3660855,3834938,4042613,4157676,4423725,4639686,4783786,4751206,5279018
 "53009","Clallam, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1843517,1876618,1930135,1984004,2082727,2122681,2137815,2215155,2155787,2223760,2324380,2314503,2243621,2164180,2111557,2122382,2174312,2261630,2272786,2251827,2348495
 "53009","Clallam, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.651,81.081,83.393,85.721,89.986,91.712,92.366,95.708,93.143,96.079,100.427,100.000,96.938,93.505,91.232,91.699,93.943,97.716,98.198,97.292,101.469
 "53009","Clallam, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1406646,1469494,1547457,1646669,1785115,1882429,1959375,2068598,2056314,2148580,2270558,2314503,2310212,2288328,2293023,2348487,2452599,2618878,2699622,2758670,2996092
 "53011","Clark, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",11122099,11130601,11679555,12396795,13451660,13930136,14461525,14994946,14007884,14314199,14380079,14735507,15013998,15548946,16469214,17119355,18088919,19230585,19827175,19757745,21447374
 "53011","Clark, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.478,75.536,79.261,84.129,91.287,94.534,98.141,101.761,95.062,97.141,97.588,100.000,101.890,105.520,111.766,116.178,122.757,130.505,134.554,134.083,145.549
 "53011","Clark, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",8893367,9078923,9674249,10519854,11764623,12562817,13381556,14054638,13415489,13793212,14063213,14735507,15345613,16215045,17592511,18575952,19965660,21698391,22959450,23405854,26301405
 "53013","Columbia, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",225285,205697,211190,203746,151620,228930,219836,265796,301196,294836,346073,305419,267613,279577,342898,338738,357663,344182,366195,351915,372009
 "53013","Columbia, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.763,67.349,69.148,66.710,49.643,74.956,71.979,87.027,98.617,96.535,113.311,100.000,87.622,91.539,112.271,110.909,117.106,112.692,119.899,115.224,121.803
 "53013","Columbia, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",172323,154945,167308,169687,129044,203849,206235,251967,278017,279640,345732,305419,274990,296468,363831,352716,380728,372860,403282,387708,468575
 "53015","Cowlitz, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3309959,3213134,3333816,3401300,3562845,3680022,3901563,3807045,3733246,4031578,3934844,4025771,4077757,4064329,4140878,4196289,4169600,4369510,4643140,4679423,4822730
 "53015","Cowlitz, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.219,79.814,82.812,84.488,88.501,91.412,96.915,94.567,92.734,100.144,97.741,100.000,101.291,100.958,102.859,104.236,103.573,108.538,115.335,116.237,119.796
 "53015","Cowlitz, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2547859,2513267,2643509,2770997,2997127,3218585,3514544,3511875,3546375,3890871,3852198,4025771,4200069,4295307,4476505,4598806,4667168,5007295,5445892,5582702,6047768
 "53017","Douglas, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1056928,1282279,1261731,1265411,1128243,1302752,1269770,1209969,1254314,1416394,1680132,1681160,1591346,1540994,1673547,1718365,1741447,1746147,1675869,1668605,1680339
 "53017","Douglas, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.869,76.273,75.051,75.270,67.111,77.491,75.529,71.972,74.610,84.251,99.939,100.000,94.658,91.663,99.547,102.213,103.586,103.866,99.685,99.253,99.951
 "53017","Douglas, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",813381,983120,1008492,1050924,964828,1169928,1167962,1121604,1224375,1380401,1676640,1681160,1632503,1639566,1800483,1826666,1891388,1935262,1903931,1923195,2124578
 "53019","Ferry, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",143703,145874,141855,149323,165259,157238,161327,163862,169561,170212,167068,171135,170604,171272,193373,190330,190644,180761,179053,196296,189950
 "53019","Ferry, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.970,85.239,82.891,87.254,96.566,91.880,94.269,95.750,99.080,99.461,97.623,100.000,99.690,100.080,112.994,111.216,111.400,105.625,104.627,114.702,110.994
 "53019","Ferry, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",99028,103610,103803,114666,134370,134725,144432,151341,159710,163447,163903,171135,174985,179846,205486,204195,208946,202945,204007,230240,239371
 "53021","Franklin, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1937239,2003126,2095044,2072243,2366359,2565338,2539414,2499889,2588224,2644153,2734453,2800538,2965458,3126720,3252504,3353872,3357497,3537283,3707123,3696248,3776640
 "53021","Franklin, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.174,71.526,74.809,73.994,84.497,91.602,90.676,89.265,92.419,94.416,97.640,100.000,105.889,111.647,116.139,119.758,119.888,126.307,132.372,131.984,134.854
 "53021","Franklin, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1409558,1467970,1591975,1662500,1887806,2080511,2237283,2255111,2327205,2445277,2655828,2800538,3041835,3227650,3343252,3420159,3499213,3736821,4001576,4084382,4501356
 "53023","Garfield, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",79000,81687,75748,78294,95621,98427,77523,97206,103546,104081,107067,128181,126293,114580,127903,123091,124345,140370,147328,157151,148828
 "53023","Garfield, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.632,63.728,59.095,61.081,74.598,76.788,60.479,75.835,80.781,81.199,83.528,100.000,98.527,89.389,99.784,96.029,97.007,109.510,114.938,122.601,116.108
 "53023","Garfield, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",57360,60148,57481,61594,76253,80133,67206,86148,88699,93411,105178,128181,129694,120667,134670,127353,132138,151586,161294,173494,193683
 "53025","Grant, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3323685,3855482,3864096,3674680,3537094,3969786,4261901,3766481,4274267,4529200,5052189,5246446,5057774,4905963,5423190,5616241,5567964,5543956,5465952,5530238,5342288
 "53025","Grant, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.351,73.488,73.652,70.041,67.419,75.666,81.234,71.791,81.470,86.329,96.297,100.000,96.404,93.510,103.369,107.048,106.128,105.671,104.184,105.409,101.827
 "53025","Grant, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2456548,2827240,2967685,2975596,2864117,3315096,3803448,3409970,3941919,4260570,4991861,5246446,5192221,5117246,5608097,5661649,5772418,5821361,5837312,5987284,6303546
 "53027","Grays Harbor, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2003135,2050115,2182029,2299299,2407426,2452344,2521390,2473581,2409969,2414867,2281555,2187564,2146929,2175266,2223157,2173025,2156400,2211005,2275379,2146628,2284427
 "53027","Grays Harbor, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.569,93.717,99.747,105.108,110.051,112.104,115.260,113.075,110.167,110.391,104.297,100.000,98.142,99.438,101.627,99.335,98.575,101.072,104.014,98.129,104.428
 "53027","Grays Harbor, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1525738,1592023,1731075,1888655,2036955,2138108,2258407,2251980,2242986,2292818,2218276,2187564,2220004,2316817,2414702,2394143,2425637,2554899,2690080,2619405,2987855
 "53029","Island, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2355877,2447771,2514942,2615617,2760201,2689631,2749605,3025300,2831949,2852173,2691751,2645049,2584973,2507846,2543491,2781325,2995914,2906065,2957620,2955893,3165730
 "53029","Island, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.067,92.542,95.081,98.887,104.353,101.685,103.953,114.376,107.066,107.831,101.766,100.000,97.729,94.813,96.160,105.152,113.265,109.868,111.817,111.752,119.685
 "53029","Island, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1754093,1890760,2011163,2161208,2361349,2385434,2523557,2831055,2714725,2764876,2646409,2645049,2635095,2615212,2720242,3024659,3318433,3299687,3444386,3531124,3897482
 "53031","Jefferson, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",751423,754030,774992,811584,835623,849865,839475,868638,826043,853553,858418,890964,853692,834620,844147,854321,892845,947521,986130,970156,995998
 "53031","Jefferson, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.338,84.631,86.984,91.090,93.789,95.387,94.221,97.494,92.713,95.801,96.347,100.000,95.817,93.676,94.745,95.887,100.211,106.348,110.681,108.888,111.789
 "53031","Jefferson, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",577360,593407,621205,667899,710529,750443,766854,810479,791645,826105,840889,890964,877118,878524,913844,942684,1005831,1093617,1167669,1178794,1250588
 "53033","King, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",147825720,147400486,148975664,151723032,160848944,167723090,178386609,183171226,175654560,180973289,188569516,200247795,208283702,217717560,225803068,237017724,254212529,277606590,291221132,301998838,328802895
 "53033","King, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.821,73.609,74.396,75.768,80.325,83.758,89.083,91.472,87.719,90.375,94.168,100.000,104.013,108.724,112.762,118.362,126.949,138.632,145.430,150.813,164.198
 "53033","King, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",120495913,122422832,125741256,130620059,141834399,152032173,165607355,172524174,169152024,175150041,184759037,200247795,212309893,225538006,237928314,251793483,271870071,299837924,320351813,338313100,377060810
 "53035","Kitsap, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",8477974,8932595,9100587,9530615,9896991,9873555,9931417,10469263,10201518,10210960,10161258,10030122,9931268,9954160,10247095,10715635,10771412,11015278,11142456,11408216,11741512
 "53035","Kitsap, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.525,89.058,90.733,95.020,98.673,98.439,99.016,104.378,101.709,101.803,101.307,100.000,99.014,99.243,102.163,106.835,107.391,109.822,111.090,113.740,117.063
 "53035","Kitsap, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6406652,6979840,7339621,7914989,8484359,8757448,9103391,9786202,9751950,9888136,9986554,10030122,10116397,10364261,10931293,11610867,11877332,12441388,12894381,13545938,14373182
 "53037","Kittitas, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1043151,1094844,1077792,1096227,1183509,1269640,1312901,1266831,1230567,1332373,1366269,1318005,1350277,1333479,1377891,1443279,1506823,1575741,1599559,1611209,1695162
 "53037","Kittitas, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.146,83.068,81.774,83.173,89.795,96.330,99.613,96.117,93.366,101.090,103.662,100.000,102.449,101.174,104.544,109.505,114.326,119.555,121.362,122.246,128.616
 "53037","Kittitas, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",780064,835702,843145,891073,991716,1102137,1190127,1173857,1172657,1281050,1333853,1318005,1388056,1404080,1485705,1575559,1677588,1797965,1874926,1940103,2137584
 "53039","Klickitat, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",496712,492289,493738,479715,509913,539262,559346,651108,707653,840888,869311,919338,878933,865039,948141,991974,1154925,1320898,1478617,1560852,1516441
 "53039","Klickitat, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",54.029,53.548,53.706,52.180,55.465,58.658,60.842,70.824,76.974,91.467,94.558,100.000,95.605,94.094,103.133,107.901,125.626,143.679,160.835,169.780,164.949
 "53039","Klickitat, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",377748,381535,393903,401770,439129,484226,517321,612440,679192,815608,858329,919338,903606,916575,1016613,1061694,1260383,1463378,1670597,1792860,1809037
 "53041","Lewis, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2606080,2588268,2779128,2764196,2745948,2828399,2942351,2705757,2641337,2805629,2559477,2580317,2682784,2806804,2772074,2680890,2815755,2969941,3169854,3015881,3037819
 "53041","Lewis, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.998,100.308,107.705,107.126,106.419,109.614,114.031,104.861,102.365,108.732,99.192,100.000,103.971,108.777,107.432,103.898,109.124,115.100,122.847,116.880,117.730
 "53041","Lewis, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1966712,1971169,2184852,2274573,2335917,2501230,2684158,2513352,2521127,2708864,2509958,2580317,2766195,2982951,2965708,2881560,3089623,3342855,3639606,3558627,3930937
 "53043","Lincoln, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",308670,323982,364751,345229,285688,332456,384924,463146,609826,523707,489231,439535,416294,378027,445650,424688,389293,423260,438079,478371,474027
 "53043","Lincoln, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.226,73.710,82.986,78.544,64.998,75.638,87.575,105.372,138.743,119.150,111.306,100.000,94.712,86.006,101.391,96.622,88.569,96.297,99.669,108.836,107.847
 "53043","Lincoln, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",207780,219493,257643,258889,219922,266164,334803,408424,483915,448638,477360,439535,428665,389848,447086,409367,389767,429791,451243,500160,581863
 "53045","Mason, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1142907,1194127,1198807,1246306,1290445,1315012,1346895,1397908,1330133,1382776,1422754,1395182,1400302,1408280,1402451,1398267,1362199,1497232,1481859,1432558,1463740
 "53045","Mason, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.918,85.589,85.925,89.329,92.493,94.254,96.539,100.195,95.338,99.111,101.976,100.000,100.367,100.939,100.521,100.221,97.636,107.314,106.213,102.679,104.914
 "53045","Mason, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",878198,940776,968566,1048447,1117576,1172165,1232439,1302627,1269216,1334082,1385611,1395182,1448277,1496733,1521304,1540765,1530802,1724799,1749482,1746088,1866421
 "53047","Okanogan, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",970651,1059921,1087867,1195622,1206737,1307926,1251304,1205038,1194588,1261652,1265791,1191486,1178124,1178214,1307098,1391977,1411206,1343826,1296085,1358851,1293086
 "53047","Okanogan, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.466,88.958,91.303,100.347,101.280,109.773,105.020,101.137,100.260,105.889,106.236,100.000,98.879,98.886,109.703,116.827,118.441,112.786,108.779,114.047,108.527
 "53047","Okanogan, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",700369,780536,827578,957845,973349,1081044,1111247,1093067,1106421,1191720,1238602,1191486,1205463,1228665,1373483,1456507,1517230,1473252,1450924,1561577,1589916
 "53049","Pacific, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",493641,490154,497679,506264,528390,553732,615906,604914,591522,587185,579259,624006,627291,646663,625494,648389,632352,647548,664908,640422,675626
 "53049","Pacific, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.108,78.550,79.755,81.131,84.677,88.738,98.702,96.940,94.794,94.099,92.829,100.000,100.526,103.631,100.238,103.907,101.337,103.773,106.555,102.631,108.272
 "53049","Pacific, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",373565,380473,396029,418061,447646,482304,555384,556765,557559,562625,564471,624006,646961,681590,668513,702962,701186,735004,771779,766321,851851
 "53051","Pend Oreille, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",385406,449103,461884,444139,419474,534949,482148,462755,466148,486825,541094,502890,475011,521084,517121,537142,532037,548258,537344,457234,458046
 "53051","Pend Oreille, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.638,89.305,91.846,88.317,83.413,106.375,95.876,92.019,92.694,96.806,107.597,100.000,94.456,103.618,102.830,106.811,105.796,109.022,106.851,90.921,91.083
 "53051","Pend Oreille, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",281394,329928,350615,348186,344815,467032,434272,429444,457326,481194,540416,502890,487375,553563,555300,574562,587481,623733,623797,538925,579290
 "53053","Pierce, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",25588212,26485789,27671140,29408970,31523768,32369449,34224124,35031763,34179923,34759177,34220162,34048920,34664858,34525489,35485556,35881818,36989504,38832958,39884548,39425185,41534870
 "53053","Pierce, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.151,77.787,81.269,86.373,92.584,95.067,100.515,102.887,100.385,102.086,100.503,100.000,101.809,101.400,104.219,105.383,108.636,114.050,117.139,115.790,121.986
 "53053","Pierce, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",19199825,20363243,21816369,23919500,26602667,28323999,30898336,32174927,32034595,33118840,33458632,34048920,35276387,35857880,37672129,38512245,40477003,43623772,45862108,46445258,50955340
 "53055","San Juan, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",546169,547548,571579,581468,583859,569835,581709,617506,604201,605776,623029,667200,668311,645909,662316,680180,695919,726980,714295,686592,754369
 "53055","San Juan, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.860,82.067,85.668,87.151,87.509,85.407,87.187,92.552,90.558,90.794,93.380,100.000,100.167,96.809,99.268,101.946,104.304,108.960,107.059,102.906,113.065
 "53055","San Juan, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",417645,429846,458526,483074,503572,510198,540015,583745,581334,584640,608671,667200,684704,678400,715590,751351,784101,839044,847909,832158,941546
 "53057","Skagit, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5279728,6280624,5998818,5642468,6829827,6332627,6481409,6718768,6908752,7032636,5807580,5682746,5989204,6109760,7146792,7058874,6941886,7075383,7036152,6513603,6766106
 "53057","Skagit, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.908,110.521,105.562,99.291,120.185,111.436,114.054,118.231,121.574,123.754,102.197,100.000,105.393,107.514,125.763,124.216,122.157,124.506,123.816,114.621,119.064
 "53057","Skagit, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3310579,3891557,3948528,3900577,5120013,5011025,5386027,5590921,5547539,6051645,5588622,5682746,5950007,6106657,7073794,6447380,6742065,7297574,7166253,6567074,7659302
 "53059","Skamania, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",182467,189941,199916,202304,207927,221646,230075,236064,233649,244161,254149,255727,247721,250684,268514,264542,270605,269497,241825,252544,254399
 "53059","Skamania, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.352,74.275,78.176,79.109,81.308,86.673,89.969,92.311,91.366,95.477,99.383,100.000,96.869,98.028,105.000,103.447,105.818,105.384,94.564,98.755,99.480
