GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "55000","Wisconsin",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",236088654,240543335,247766080,256167442,263698604,268246403,269933625,266626925,258761211,266830815,272813213,277107120,278014977,283981126,289076998,291920259,291922691,299062615,303669022,293104851,306467421
 "55000","Wisconsin",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.198,86.805,89.412,92.443,95.161,96.802,97.411,96.218,93.379,96.292,98.450,100.000,100.328,102.481,104.320,105.346,105.347,107.923,109.585,105.773,110.595
 "55000","Wisconsin",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",188163105,194658763,203339170,215537083,227296956,237569327,245839456,246814519,247209962,256432868,266364353,277107120,284270853,295695990,307507921,314073263,318310377,332498599,345236434,340591065,368611259
 "55001","Adams, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",453937,525445,517069,488466,537023,566152,509682,501537,577016,557717,496408,528816,526168,496716,495896,517532,505863,514481,536208,537699,528843
 "55001","Adams, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.840,99.362,97.779,92.370,101.552,107.060,96.382,94.842,109.115,105.465,93.872,100.000,99.499,93.930,93.775,97.866,95.660,97.289,101.398,101.680,100.005
 "55001","Adams, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",345331,403346,411521,406717,451149,487937,466968,469048,543482,534177,486324,528816,539881,519370,532058,562691,562818,585056,624183,633030,650172
 "55003","Ashland, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",597052,591082,612910,639379,658265,666812,673178,684861,669383,657100,671936,680949,670125,658023,642161,650506,663458,658404,672653,642626,644987
 "55003","Ashland, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.679,86.803,90.008,93.895,96.669,97.924,98.859,100.575,98.302,96.498,98.676,100.000,98.411,96.633,94.304,95.529,97.431,96.689,98.782,94.372,94.719
 "55003","Ashland, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",465590,471449,501400,540710,571857,595443,618047,637376,641491,634529,655859,680949,691952,698694,697870,717907,745613,757055,792865,778647,824706
 "55005","Barron, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1642196,1623650,1682954,1729048,1741765,1760610,1780164,1687199,1771573,1777697,1835110,1823573,1871529,1961892,2042460,1911792,1944804,2078962,1985260,1924512,2030539
 "55005","Barron, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.054,89.037,92.289,94.817,95.514,96.547,97.620,92.522,97.148,97.484,100.633,100.000,102.630,107.585,112.003,104.838,106.648,114.005,108.867,105.535,111.349
 "55005","Barron, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1284799,1296625,1365436,1437667,1479266,1529806,1599638,1546679,1678650,1699236,1778556,1823573,1918086,2041204,2151250,2029937,2093375,2278052,2224632,2220897,2449166
 "55007","Bayfield, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",332008,348585,350751,353842,357145,353795,343177,353927,357452,373599,379379,393399,387523,396068,381154,378896,398955,417501,419743,379256,403195
 "55007","Bayfield, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.395,88.608,89.159,89.945,90.784,89.933,87.234,89.966,90.862,94.967,96.436,100.000,98.506,100.678,96.887,96.313,101.412,106.127,106.696,96.405,102.490
 "55007","Bayfield, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",256739,276132,284406,296018,308619,316657,317349,333606,342417,360230,371184,393399,397007,414877,409602,414679,444805,476728,492039,455843,500893
 "55009","Brown, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",12465589,12773772,13181366,13591455,13925371,14230804,14306490,14199882,13832027,14370965,14688034,15156727,15049573,15984098,16446800,16504523,16323838,16902904,16963612,16275071,16798874
 "55009","Brown, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.245,84.278,86.967,89.673,91.876,93.891,94.390,93.687,91.260,94.816,96.908,100.000,99.293,105.459,108.512,108.892,107.700,111.521,111.921,107.379,110.834
 "55009","Brown, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",9785715,10185252,10666927,11262167,11857791,12504215,12931052,13083688,13230582,13853471,14355250,15156727,15381200,16612959,17466786,17751037,17753512,18752597,19200000,18829486,19997017
 "55011","Buffalo, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",609455,610548,631140,666209,645998,678391,716119,629110,696958,564299,545027,517313,540726,466075,500533,469482,442988,504411,447989,460612,472566
 "55011","Buffalo, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",117.812,118.023,122.004,128.783,124.876,131.138,138.431,121.611,134.727,109.083,105.357,100.000,104.526,90.095,96.756,90.754,85.633,97.506,86.599,89.039,91.350
 "55011","Buffalo, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",477292,476819,512118,560483,558339,608779,662282,594255,678245,550179,539361,517313,556642,495017,531433,493179,474438,554415,506252,529126,602445
 "55013","Burnett, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",375709,397196,404085,411093,411224,405846,411301,420087,417415,444894,460619,471010,475306,506953,483187,482600,483505,476295,485239,471896,511143
 "55013","Burnett, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.767,84.329,85.791,87.279,87.307,86.165,87.323,89.188,88.621,94.455,97.794,100.000,100.912,107.631,102.585,102.461,102.653,101.122,103.021,100.188,108.521
 "55013","Burnett, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",289209,313752,324797,339144,350130,356537,371154,387413,399186,426319,448107,471010,488870,531396,520069,527549,536327,538837,565448,566581,637786
