GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "54000","West Virginia",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",61818559,62834071,63145533,64159775,65678406,66861446,67119070,68483894,68191795,69153495,70361292,70322211,70550123,70532452,70663036,70011365,71425614,73170430,72633397,70444226,71343226
 "54000","West Virginia",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.908,89.352,89.795,91.237,93.396,95.079,95.445,97.386,96.970,98.338,100.056,100.000,100.324,100.299,100.485,99.558,101.569,104.050,103.287,100.174,101.452
 "54000","West Virginia",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",43973275,45580777,47039902,49741406,53492474,57009999,59273456,62694791,63600725,65998659,69234086,70322211,71481491,72648202,71318535,70924419,74820121,79192890,79325606,76547916,85434221
 "54001","Barbour, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",256311,265269,281704,272012,272224,294437,314623,337437,344905,353543,339307,353483,351837,382193,392440,379029,408324,394352,409224,409374,404451
 "54001","Barbour, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.510,75.044,79.694,76.952,77.012,83.296,89.007,95.460,97.573,100.017,95.990,100.000,99.534,108.122,111.021,107.227,115.514,111.562,115.769,115.811,114.419
 "54001","Barbour, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",170250,180458,199243,201452,214061,242968,271494,312840,312534,336280,336509,353483,354940,389301,358306,343748,392931,394864,410883,406893,443661
 "54003","Berkeley, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2231482,2318720,2452841,2588822,2697868,2769128,2893932,2929209,2895922,2828122,2853909,3022878,3005024,2960527,3051602,3218215,3369828,3568044,3579776,3528720,3679915
 "54003","Berkeley, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.820,76.706,81.143,85.641,89.248,91.606,95.734,96.901,95.800,93.557,94.410,100.000,99.409,97.937,100.950,106.462,111.477,118.035,118.423,116.734,121.735
 "54003","Berkeley, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1721205,1830156,1978062,2142672,2309048,2459035,2647041,2730590,2771335,2728126,2796755,3022878,3063959,3078194,3247026,3475323,3697627,4005426,4123774,4151082,4513174
 "54005","Boone, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1923145,1857288,1872399,1812203,1848290,1826942,1981631,1870344,1788161,1681288,1718417,1342668,1190514,1064935,862373,723653,709815,708217,662356,624746,627913
 "54005","Boone, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",143.233,138.328,139.454,134.970,137.658,136.068,147.589,139.301,133.180,125.220,127.985,100.000,88.668,79.315,64.228,53.897,52.866,52.747,49.331,46.530,46.766
 "54005","Boone, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",801633,809345,850710,930614,1123815,1257281,1466561,1550785,1544359,1567486,1724300,1342668,1141349,1010295,785090,657442,680079,702039,664273,634479,675946
 "54007","Braxton, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",271615,281898,283143,289919,298958,302622,297802,297507,288551,313874,300188,300742,294204,286412,309457,289044,291499,281870,287339,280471,277895
 "54007","Braxton, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.315,93.734,94.148,96.401,99.407,100.625,99.022,98.924,95.946,104.366,99.816,100.000,97.826,95.235,102.898,96.110,96.926,93.725,95.543,93.260,92.403
 "54007","Braxton, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",208062,219408,227931,245686,263568,274280,275973,283365,273809,303259,293362,300742,304092,303722,328949,310688,320385,318343,330346,333311,361044
 "54009","Brooke, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1096786,1152379,1152132,1128346,1078282,953984,941790,1225046,1159687,1067203,941145,862781,929487,1051690,915442,869524,934640,981373,1029283,1043110,1137528
 "54009","Brooke, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",127.122,133.566,133.537,130.780,124.977,110.571,109.158,141.988,134.413,123.693,109.083,100.000,107.732,121.895,106.104,100.782,108.329,113.745,119.298,120.901,131.844
 "54009","Brooke, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",622914,651212,683540,713488,757296,714825,736004,958780,849232,860938,894493,862781,910395,1023792,859391,787499,891084,1003803,1008901,926869,1363927
 "54011","Cabell, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3791956,3850582,3861235,3983947,4107844,4228076,4228194,4251655,4196381,4141675,4265651,4462950,4458914,4402301,4429698,4396775,4379743,4474811,4526294,4343452,4452842
 "54011","Cabell, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.965,86.279,86.518,89.267,92.043,94.737,94.740,95.266,94.027,92.801,95.579,100.000,99.910,98.641,99.255,98.517,98.136,100.266,101.419,97.322,99.774
 "54011","Cabell, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2903866,3009803,3077016,3282242,3503423,3758383,3880745,3979688,3984307,3991405,4187231,4462950,4519690,4555860,4640614,4653935,4738695,4964271,5119434,4987690,5375074
 "54013","Calhoun, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",121984,124812,132213,130618,117863,125640,129259,134452,139423,141782,144405,151601,137760,134916,125011,108011,113795,109178,109031,100188,105045
 "54013","Calhoun, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.464,82.329,87.211,86.159,77.746,82.875,85.263,88.688,91.967,93.523,95.253,100.000,90.870,88.994,82.461,71.247,75.062,72.017,71.920,66.086,69.290
 "54013","Calhoun, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",87884,90793,101243,104434,101105,112429,120662,133566,127747,136049,143408,151601,142641,142999,125955,109669,120423,119137,120679,110945,125392
 "54015","Clay, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",328734,332437,318366,312380,311750,313700,337576,311075,299720,258768,279184,204009,156169,138563,135541,129518,122460,115680,118548,114824,119183
 "54015","Clay, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",161.137,162.952,156.055,153.121,152.812,153.768,165.471,152.481,146.915,126.842,136.849,100.000,76.550,67.920,66.439,63.486,60.027,56.703,58.109,56.284,58.420
 "54015","Clay, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",172103,180060,179268,191829,215403,236838,270675,271767,266642,244048,278310,204009,157957,142770,137827,133246,129332,126244,131805,130391,143459
 "54017","Doddridge, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",99922,100821,100903,102409,109060,119702,124619,121257,129831,139026,164529,219671,337084,770605,1253232,1228736,1301561,1138565,1214127,1456779,968864
 "54017","Doddridge, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",45.487,45.897,45.933,46.619,49.647,54.491,56.730,55.200,59.103,63.288,74.898,100.000,153.449,350.799,570.504,559.353,592.505,518.304,552.703,663.164,441.052
 "54017","Doddridge, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",73723,74444,80516,86955,101312,114484,124005,135247,117123,139208,176095,219671,356061,796182,654220,557194,750413,788227,676542,542749,758122
 "54019","Fayette, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1059221,1109328,1059069,1090711,1127297,1144786,1208280,1243625,1206944,1237929,1257738,1220562,1141449,1064326,1023531,983237,1024508,1024868,1023115,936771,959756
 "54019","Fayette, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.781,90.887,86.769,89.361,92.359,93.792,98.994,101.890,98.884,101.423,103.046,100.000,93.518,87.200,83.857,80.556,83.937,83.967,83.823,76.749,78.632
 "54019","Fayette, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",705836,757886,743439,805161,879302,942393,1035528,1117239,1110573,1179288,1243709,1220562,1141755,1079547,1040671,1007419,1086258,1122626,1139894,1057252,1152776
 "54021","Gilmer, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",152778,141275,154546,160137,166916,170616,173951,178799,196309,198299,199232,207494,205911,208545,219538,185171,183516,178591,180604,179665,176978
 "54021","Gilmer, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.630,68.086,74.482,77.177,80.444,82.227,83.834,86.170,94.609,95.568,96.018,100.000,99.237,100.507,105.805,89.242,88.444,86.070,87.041,86.588,85.293
 "54021","Gilmer, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",109743,101835,119906,130720,146434,154972,163732,180705,179738,191787,199466,207494,212911,217593,205782,172196,177563,178983,181359,178247,197288
 "54023","Grant, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",550702,507719,483696,500096,470803,439881,455424,482945,501771,501523,507133,502513,498183,490702,487670,498571,451755,415754,393409,414340,400347
 "54023","Grant, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",109.590,101.036,96.255,99.519,93.690,87.536,90.629,96.106,99.852,99.803,100.919,100.000,99.138,97.650,97.046,99.215,89.899,82.735,78.288,82.454,79.669
 "54023","Grant, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",427062,393472,389944,422973,412813,405507,427711,458122,506141,499929,508069,502513,515018,533719,536082,540615,501521,475171,460670,491489,523658
 "54025","Greenbrier, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",942424,976478,997159,1031686,1019281,1045899,1041438,1057046,996316,1024590,1101406,1085199,1075246,1078509,1046907,995705,1053616,1099643,1070721,1009770,1048034
 "54025","Greenbrier, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.843,89.982,91.887,95.069,93.926,96.379,95.967,97.406,91.809,94.415,101.493,100.000,99.083,99.384,96.471,91.753,97.090,101.331,98.666,93.049,96.575
 "54025","Greenbrier, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",721353,759847,790847,845659,867740,921104,949431,984235,942075,981522,1076325,1085199,1095771,1118071,1100633,1061715,1147247,1229139,1222560,1175475,1282487
 "54027","Hampshire, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",316578,339182,356072,366039,381771,373431,376664,366981,366605,378105,372242,401618,396827,375937,392688,404907,377413,380095,383365,373519,379296
 "54027","Hampshire, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.825,84.454,88.659,91.141,95.058,92.981,93.787,91.375,91.282,94.145,92.685,100.000,98.807,93.606,97.776,100.819,93.973,94.641,95.455,93.003,94.442
 "54027","Hampshire, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",245446,269627,290520,309025,331870,335452,348563,345711,349690,364777,363733,401618,408622,397837,424729,446374,425836,440445,456448,457354,484630
 "54029","Hancock, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1208013,1356369,1198198,1159818,1222775,956616,922492,942427,944228,902250,1001930,1155375,1143780,1186787,1159822,1108979,1108314,1092515,1073347,1051403,1100385
 "54029","Hancock, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.556,117.396,103.706,100.385,105.834,82.797,79.843,81.569,81.725,78.091,86.719,100.000,98.996,102.719,100.385,95.984,95.927,94.559,92.900,91.001,95.241
 "54029","Hancock, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",864641,973580,876945,917651,1044252,893541,893151,919907,856786,852121,994465,1155375,1115307,1172237,1122232,1005899,1083168,1153538,1098805,1010213,1263933
 "54031","Hardy, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",407534,394966,428800,425182,452253,439078,429079,406146,382154,390594,386172,388908,397076,383662,394127,419307,442601,476994,520540,526618,534905
 "54031","Hardy, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",104.789,101.558,110.257,109.327,116.288,112.900,110.329,104.432,98.263,100.433,99.296,100.000,102.100,98.651,101.342,107.817,113.806,122.650,133.847,135.410,137.540
 "54031","Hardy, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",327882,326851,358562,358567,386190,379528,379813,370058,364452,374440,371298,388908,406078,403222,426094,461603,489007,530346,591674,624127,695596
 "54033","Harrison, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",2904870,2911639,2957215,3106965,3078242,3179438,3254951,3389075,3239644,3449760,3587128,3732501,3882259,4091285,3997271,4028121,4098174,4350611,4318521,4093703,4128974
