GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",29130455,29777067,30673162,31695675,33483999,37813438,40632249,42868194,41546415,40056635,39767916,38855405,38849583,39559433,40418154,38188706,37521631,38080127,38446640,36268589,36400023
 "56000","Wyoming",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.971,76.636,78.942,81.573,86.176,97.318,104.573,110.327,106.926,103.092,102.348,100.000,99.985,101.812,104.022,98.284,96.567,98.005,98.948,93.342,93.681
 "56000","Wyoming",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18708262,19165585,21193570,23429384,27576303,32740309,36950798,42819303,36251965,37680713,39751379,38855405,39289779,40310605,38426890,35878962,36980650,39171653,39428044,36330380,41510213
 "56001","Albany, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1095012,1148660,1189663,1200756,1187941,1180276,1259332,1313637,1298411,1310280,1377541,1339735,1374776,1414117,1440375,1383901,1382067,1360266,1336607,1346223,1378870
 "56001","Albany, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.734,85.738,88.798,89.626,88.670,88.098,93.999,98.052,96.916,97.801,102.822,100.000,102.616,105.552,107.512,103.297,103.160,101.532,99.767,100.484,102.921
 "56001","Albany, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",823161,885125,939943,982853,1004193,1035214,1145339,1220603,1232472,1260134,1346113,1339735,1414198,1486846,1549814,1510740,1534907,1549484,1560774,1623618,1718189
 "56003","Big Horn, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",531240,510662,520619,510843,502192,589462,521178,535197,524094,529205,549529,533065,553854,537976,526628,504712,498023,490456,498520,495438,468693
 "56003","Big Horn, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.658,95.797,97.665,95.831,94.208,110.580,97.770,100.400,98.317,99.276,103.089,100.000,103.900,100.921,98.792,94.681,93.426,92.007,93.520,92.941,87.924
 "56003","Big Horn, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",322864,314086,336758,354000,386326,481905,450765,507582,464506,500517,551400,533065,555660,539838,504143,482456,497938,507548,521686,523671,535350
 "56005","Campbell, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",5954636,5975789,6314708,6114125,6410010,7482544,8018448,7932759,7709160,7666447,7794328,7095164,7129018,6963040,6805514,6142947,5749437,5602706,5422689,4934943,4898245
 "56005","Campbell, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.925,84.223,89.000,86.173,90.343,105.460,113.013,111.805,108.654,108.052,109.854,100.000,100.477,98.138,95.918,86.579,81.033,78.965,76.428,69.554,69.036
 "56005","Campbell, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2822212,2870809,3279907,3536231,4366913,5600555,6385616,7089818,6656728,7146570,7822766,7095164,6982065,6787191,6104722,5422762,5421649,5496806,5356482,4801362,5290570
 "56007","Carbon, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",893670,940835,1004453,1088792,1101251,1345896,1866513,2460244,1550603,1420526,1311379,1384107,1240158,1233082,1554254,1293944,1419437,1517272,1659800,1398546,1413906
 "56007","Carbon, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.567,67.974,72.570,78.664,79.564,97.239,134.853,177.750,112.029,102.631,94.746,100.000,89.600,89.089,112.293,93.486,102.553,109.621,119.919,101.043,102.153
 "56007","Carbon, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",495830,504135,607802,718612,855417,1105165,1629925,2232818,1087742,1156127,1273081,1384107,1194348,1176167,1332641,969832,1190233,1452486,1416952,1002490,1470964
 "56009","Converse, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",786668,794704,821798,805350,820782,869203,944283,986934,1035655,1068910,1158325,1187433,1246187,1322239,1402964,1308339,1221949,1347556,1760210,1577995,1387613
 "56009","Converse, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.249,66.926,69.208,67.823,69.122,73.200,79.523,83.115,87.218,90.019,97.549,100.000,104.948,111.353,118.151,110.182,102.907,113.485,148.237,132.891,116.858
 "56009","Converse, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",445987,452532,498391,530303,601438,688475,790459,901232,925726,1016773,1171227,1187433,1239527,1315735,1185678,1072873,1087529,1285603,1585933,1266075,1537644
 "56011","Crook, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",196857,250278,228163,219060,261624,247396,262780,263990,284491,272950,272713,291615,290684,304173,298195,290504,295688,291504,286708,290431,287427
 "56011","Crook, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.506,85.825,78.241,75.120,89.716,84.836,90.112,90.527,97.557,93.599,93.518,100.000,99.681,104.306,102.256,99.619,101.397,99.962,98.317,99.594,98.564
 "56011","Crook, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",137960,174876,171144,177253,222120,218354,242094,262973,253838,260360,273673,291615,298337,315750,295544,286327,303231,308184,305968,311791,344187
 "56013","Fremont, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1317687,1406288,1375157,1507596,1676278,1837594,1841192,1808053,1913955,1831158,1836609,1760373,1821389,1791232,1806504,1726780,1710497,1690812,1614410,1596832,1498816
 "56013","Fremont, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.853,79.886,78.117,85.641,95.223,104.387,104.591,102.709,108.724,104.021,104.331,100.000,103.466,101.753,102.621,98.092,97.167,96.048,91.708,90.710,85.142
 "56013","Fremont, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",880770,935773,1003240,1177196,1478972,1669032,1747137,1916917,1702975,1762675,1857680,1760373,1882404,1867011,1707061,1613040,1676633,1725397,1640949,1603049,1739407
 "56015","Goshen, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",447336,435967,395004,396210,393363,400697,368851,461098,397926,462282,491648,500422,538759,527237,573751,559857,497101,513690,491397,449581,451540
 "56015","Goshen, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.392,87.120,78.934,79.175,78.606,80.072,73.708,92.142,79.518,92.378,98.247,100.000,107.661,105.359,114.654,111.877,99.337,102.651,98.197,89.840,90.232
 "56015","Goshen, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",330004,320369,302281,321048,314927,327384,318674,407179,351621,418980,478498,500422,553879,538451,570592,542197,497445,521497,508589,476382,519546
 "56017","Hot Springs, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",170204,169008,163882,168851,183335,208551,213081,229705,247868,249047,272172,235845,277090,291124,340142,285303,261522,265146,286738,308966,304552
 "56017","Hot Springs, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.168,71.661,69.487,71.594,77.735,88.427,90.348,97.397,105.098,105.598,115.403,100.000,117.488,123.438,144.223,120.970,110.887,112.424,121.579,131.004,129.132
 "56017","Hot Springs, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",115959,112697,122127,135071,162135,189908,203791,251962,208881,235054,279659,235845,283558,296692,305201,242845,236059,249851,270421,286290,322224
 "56019","Johnson, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",221939,252728,254464,268022,352425,568447,719120,971565,1158200,874953,696334,548645,542583,598252,535246,473621,454601,445625,446348,453762,457228
 "56019","Johnson, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",40.452,46.064,46.380,48.852,64.236,103.609,131.072,177.084,211.102,159.475,126.919,100.000,98.895,109.042,97.558,86.326,82.859,81.223,81.355,82.706,83.338
 "56019","Johnson, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",166308,191094,205345,229807,340912,565414,759893,1298409,899511,854014,756380,548645,567169,620961,430245,369428,383480,398387,390308,379584,456852
 "56021","Laramie, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3621285,3770708,3965717,4167953,4249448,4473388,4971985,5459019,4688102,4748091,4918436,5048331,4954538,5002895,5197364,5031289,5034781,5310610,5516987,5261259,5507761
 "56021","Laramie, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.732,74.692,78.555,82.561,84.175,88.611,98.488,108.135,92.864,94.053,97.427,100.000,98.142,99.100,102.952,99.662,99.732,105.195,109.283,104.218,109.101
 "56021","Laramie, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2607047,2769739,3008251,3277758,3525349,3879438,4501770,4974990,4201226,4381580,4780416,5048331,5008138,5140287,5372572,5178542,5319566,5828977,6040454,5709277,6608922
 "56023","Lincoln, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",679998,729983,766353,751145,762685,846336,984680,920735,908536,809891,799652,749416,737083,736712,811465,847948,839693,835665,853539,924137,904198
 "56023","Lincoln, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.737,97.407,102.260,100.231,101.771,112.933,131.393,122.860,121.233,108.070,106.703,100.000,98.354,98.305,108.280,113.148,112.046,111.509,113.894,123.314,120.654
 "56023","Lincoln, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",446196,469716,550009,584852,673078,778330,947834,992566,814527,787103,815688,749416,755298,767931,769153,793185,826263,858331,875171,921588,1039883
 "56025","Natrona, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",3142042,3225619,3322133,3558330,3847810,4392785,4474911,4609951,4262386,4490080,4755230,5348606,5485786,5865579,5784123,5253429,5171409,5648043,5517511,4899458,4818428
 "56025","Natrona, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.745,60.308,62.112,66.528,71.940,82.130,83.665,86.190,79.692,83.949,88.906,100.000,102.565,109.666,108.143,98.221,96.687,105.598,103.158,91.603,90.088
 "56025","Natrona, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2271010,2348831,2514531,2801353,3238590,3865957,4089735,4398557,3930612,4259756,4657203,5348606,5610169,6098718,5937790,5443473,5511698,6202107,6198431,5494298,5887565
 "56027","Niobrara, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",82571,83747,85256,99921,119785,116318,92765,91919,102917,102564,123650,102123,127492,151570,150007,151823,138480,139931,127559,139411,117284
 "56027","Niobrara, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.854,82.006,83.484,97.844,117.295,113.900,90.837,90.008,100.778,100.432,121.080,100.000,124.841,148.419,146.888,148.666,135.601,137.022,124.907,136.513,114.846
 "56027","Niobrara, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",61536,62583,67362,84838,101211,99794,85660,92873,90831,96811,124914,102123,132660,156112,137054,132674,128062,133474,120796,130036,132277
 "56029","Park, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",1038947,1092540,1104724,1144379,1143667,1253073,1331705,1360014,1456888,1402408,1453323,1462540,1447973,1440210,1520479,1456476,1435304,1406571,1412648,1344513,1377120
 "56029","Park, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.037,74.702,75.535,78.246,78.197,85.678,91.054,92.990,99.614,95.889,99.370,100.000,99.004,98.473,103.962,99.585,98.138,96.173,96.589,91.930,94.159
 "56029","Park, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",763456,805740,865851,940826,1010258,1146445,1271780,1412483,1326164,1353504,1460553,1462540,1492968,1506175,1520612,1460554,1489291,1512373,1529803,1448787,1620713
 "56031","Platte, WY",7,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars) ","Thousands of chained 2012 dollars",425254,404324,436125,474698,456636,464307,440781,504185,493937,573722,594039,546024,562764,548209,580518,586727,575948,592626,560130,507406,492366
 "56031","Platte, WY",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.882,74.049,79.873,86.937,83.629,85.034,80.726,92.337,90.461,105.073,108.794,100.000,103.066,100.400,106.317,107.454,105.480,108.535,102.584,92.928,90.173
 "56031","Platte, WY",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",323194,303973,340470,386944,378446,403278,396319,460946,468218,546659,593472,546024,578447,578857,606409,596591,603909,633208,611868,559027,613161
