Fips_Txt,True_Fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
01001,1001,949800,984039,1008032,1170278,1195319,1277094,1298942,1172510,1209088,1286603,1375813,1587254,1477094,1478607,1586164,1652177,1584054,1600812,1543336,1525591,1502153
01003,1003,4007706,4193288,4426472,4912303,5502688,5673657,5852051,5569570,5328816,5381575,5372338,5426597,5678991,5775601,5992794,6266434,6430406,6786933,7132205,7142139,7830237
01005,1005,812751,798398,818206,888479,892271,875189,845113,790132,774354,784043,741762,713793,808975,762048,740218,727850,717423,726669,728447,699829,709459
01007,1007,292495,296437,309513,324760,322815,325779,346544,344498,337952,364023,372908,363604,361921,356088,343948,348377,352253,352652,380403,398101,392249
01009,1009,810054,814356,839651,863041,887578,856880,850648,853788,843906,839899,808595,879500,873500,893431,936725,865373,917590,963577,937239,883216,997835
01011,1011,234911,242874,239075,236364,234789,244146,229268,225788,254445,238863,230337,245887,225539,209790,204365,222938,224377,235720,250367,251580,236820
01013,1013,435433,450276,468458,492437,487731,485727,515248,499219,468208,541838,568182,553941,563728,560184,578140,567733,583033,607338,616902,595024,652486
01015,1015,3487094,3585435,3716295,4032708,4275113,4285067,4400426,4438806,4197841,4366524,4160592,4155626,4026676,3863268,3805848,3845108,3894794,3949243,4139002,4026694,4245199
01017,1017,841042,865276,791878,864369,825600,781516,776993,673860,639027,688104,758736,739793,768603,753719,769394,782283,784214,807671,829391,811937,844188
01019,1019,384513,382810,402567,439789,432971,451873,471507,488087,447124,473975,477731,491707,525840,513412,519042,510173,506991,538707,524953,476187,533432
01021,1021,638533,661191,687967,735488,757322,772025,779808,736165,723669,741080,807066,833949,873107,813025,833899,858556,878209,916955,978878,967885,1001475
01023,1023,640561,563145,528070,611959,682296,727825,612476,588259,393688,413492,456158,552141,552533,541724,509136,498608,505087,547191,500986,499772,501532
01025,1025,672545,675639,677700,741440,779657,823559,813220,778451,762901,726678,742128,775244,803056,764622,748919,745289,724891,749753,737104,752027,761922
01027,1027,317661,320561,299284,333898,373011,409845,339655,312828,290050,294680,273570,280607,301458,309768,323820,344213,367307,443907,405188,400458,434129
01029,1029,329499,270009,264939,278398,294254,275258,253377,266944,255151,263741,244873,270115,284898,299402,314242,302950,296993,300078,276070,260699,298888
01031,1031,1007082,1015813,1016275,1099644,1145119,1126087,1165082,1187262,1212410,1233677,1167718,1194263,1201238,1239318,1300567,1299125,1297442,1322035,1320034,1262831,1403123
01033,1033,1920841,1948067,2112315,2241309,2311806,2327415,2304721,2319433,2062081,2284030,2398743,2387061,2643717,2551770,2473891,2365945,2263714,2355465,2348225,2340695,2444622
01035,1035,299986,297052,299870,328075,383717,441942,458270,465687,459159,401995,448031,500247,535588,488957,526627,563738,535163,489553,470223,453603,457634
01037,1037,162956,162097,157498,166457,180892,192957,183518,166682,169437,167884,175712,164344,177802,163725,169464,177742,170246,178434,174970,172501,175564
01039,1039,988519,1046748,994662,1088752,1079717,1079205,1063114,1045703,1038753,1100486,1048214,1104844,1146609,1137016,1129562,1126837,1161153,1164040,1100695,1091293,1151784
01041,1041,266412,256119,275591,306679,367877,381232,336776,337009,326911,377849,370809,413931,442476,411822,423489,390742,418609,446440,437554,369821,441247
01043,1043,2024681,2000973,2090695,2287461,2412173,2377411,2255071,2207657,2187006,2243668,2270412,2314988,2485582,2466060,2602055,2552660,2589832,2592454,2656667,2610437,2912833
01045,1045,1974020,2032274,2094964,2247078,2497578,2600978,2621689,2727801,2785015,2913740,2811640,2767060,2793261,2627856,2668813,2603565,2597209,2537891,2561466,2464664,2632339
01047,1047,1263245,1220822,1207732,1290680,1355134,1381787,1313038,1243242,1201003,1187738,1193441,1213060,1216109,1197863,1083265,1108266,1118297,1122851,1112919,1098502,1061713
01049,1049,1665761,1670217,1701610,1851815,1825508,1881909,1832587,1778914,1676105,1714656,1569220,1591167,1788775,1770694,1824325,1750675,1841784,1912735,1864771,1783136,1973395
01051,1051,1100289,1179265,1271018,1414722,1493377,1501676,1568769,1582791,1628357,1691771,1648571,1713508,1718968,1690970,1695263,1742986,1773294,1788247,1812579,1740649,1787108
01053,1053,1160030,1159683,1137053,1228510,1318124,1333634,1372246,1275326,1238349,1188177,1171842,1205440,1231335,1195066,1219146,1239022,1235020,1213865,1210415,1176516,1176856
01055,1055,2638640,2676509,2718854,2883531,2925703,2836172,2818873,2782811,2758102,2771244,2802342,2718162,2761488,2740766,2808719,2805072,2803969,2833867,2766052,2558388,2596715
01057,1057,385868,365258,372575,394819,407434,401841,384601,469992,454493,505864,461991,456089,396408,335071,340211,336911,318927,316011,320650,310902,324913
01059,1059,773864,753252,779206,856246,888789,838949,851980,822223,790745,818965,878491,881771,917362,846784,846293,847580,903973,959027,930523,878485,955433
01061,1061,477911,480296,483294,487461,519897,514198,516773,518598,504095,510554,465456,475968,501851,501199,524453,535355,501629,500911,527824,510787,530408
01063,1063,298662,333712,344038,375138,390369,383167,371189,321131,305229,299825,331808,280957,286633,273268,244475,234956,209487,209421,217745,197909,176400
01065,1065,265843,280792,314907,330305,347372,368430,319693,308725,300834,309458,298943,294981,291376,278687,282297,292543,269827,245774,242546,248887,221635
01067,1067,329531,354849,337475,344899,374767,372654,350085,348129,329744,319584,334712,328162,352849,344072,366314,378552,389862,394475,407312,402101,415374
01069,1069,3787789,3974861,4050574,4217739,4283885,4394184,4410108,4234994,4113444,4099204,4142515,4213275,4371341,4441293,4487579,4710544,4851279,4866067,4939434,4905327,5108440
01071,1071,1534751,1580559,1580518,1755015,1826404,1810909,1786404,1695953,1502826,1548503,1509215,1533684,1562686,1536059,1424146,1382694,1375060,1435528,1381528,1319922,1394081
01073,1073,37681822,38747493,39024301,40928433,41697036,41121019,40981513,40929200,38983354,39024448,39954163,40592532,39863125,39452496,39416299,39851104,40168804,40883442,41169111,40222939,42384437
01075,1075,363789,342400,320993,343352,360305,350977,340172,309853,286451,287810,305015,321445,312541,309333,303713,300536,307510,304310,300735,290232,296383
01077,1077,2243515,2203752,2233297,2362525,2440837,2462690,2463328,2421625,2414880,2430322,2454107,2513592,2523452,2416447,2374393,2335953,2365138,2363762,2358530,2343835,2441824
