,State_Code,County_Code,County_name,Year,Labor_Force,Employed,Unemployed,Unemployment_Rate,BEA_FIPS,True_Fips,BEA_State,BEA_County,True_State,True_County
2876,51,121,"Montgomery County, VA",2000,40828,39802,1026,2.5,51933,51121,51,933,51,121
2885,51,143,"Pittsylvania County, VA",2000,31960,30908,1052,3.3,51939,51143,51,939,51,143
2888,51,149,"Prince George County, VA",2000,13225,12889,336,2.5,51941,51149,51,941,51,149
2889,51,153,"Prince William County, VA",2000,153649,150951,2698,1.8,51942,51153,51,942,51,153
2893,51,161,"Roanoke County, VA",2000,46019,45225,794,1.7,51944,51161,51,944,51,161
2894,51,163,"Rockbridge County, VA",2000,10676,10447,229,2.1,51945,51163,51,945,51,163
2895,51,165,"Rockingham County, VA",2000,36131,35524,607,1.7,51947,51165,51,947,51,165
2900,51,175,"Southampton County, VA",2000,7489,7284,205,2.7,51949,51175,51,949,51,175
2901,51,177,"Spotsylvania County, VA",2000,48534,47711,823,1.7,51951,51177,51,951,51,177
2907,51,191,"Washington County, VA",2000,25139,24251,888,3.5,51953,51191,51,953,51,191
2909,51,195,"Wise County, VA",2000,16152,15474,678,4.2,51955,51195,51,955,51,195
2911,51,199,"York County, VA",2000,26865,26344,521,1.9,51958,51199,51,958,51,199
2913,51,520,"Bristol city, VA",2000,7513,7277,236,3.1,51953,51520,51,953,51,520
2914,51,530,"Buena Vista city, VA",2000,3227,3154,73,2.3,51945,51530,51,945,51,530
2915,51,540,"Charlottesville city, VA",2000,19379,18811,568,2.9,51901,51540,51,901,51,540
2917,51,570,"Colonial Heights city, VA",2000,8619,8426,193,2.2,51918,51570,51,918,51,570
2918,51,580,"Covington city, VA",2000,2901,2787,114,3.9,51903,51580,51,903,51,580
2919,51,590,"Danville city, VA",2000,21387,20457,930,4.3,51939,51590,51,939,51,590
2921,51,600,"Fairfax city, VA",2000,12510,12342,168,1.3,51919,51600,51,919,51,600
2922,51,610,"Falls Church city, VA",2000,6158,6059,99,1.6,51919,51610,51,919,51,610
2924,51,630,"Fredericksburg city, VA",2000,10326,10090,236,2.3,51951,51630,51,951,51,630
2925,51,640,"Galax city, VA",2000,3305,3191,114,3.4,51913,51640,51,913,51,640
2927,51,660,"Harrisonburg city, VA",2000,19661,19215,446,2.3,51947,51660,51,947,51,660
2928,51,670,"Hopewell city, VA",2000,9873,9594,279,2.8,51941,51670,51,941,51,670
2930,51,680,"Lynchburg city, VA",2000,30789,30048,741,2.4,51911,51680,51,911,51,680
2931,51,683,"Manassas city, VA",2000,19279,18958,321,1.7,51942,51683,51,942,51,683
2932,51,685,"Manassas Park city, VA",2000,5791,5711,80,1.4,51942,51685,51,942,51,685
2933,51,690,"Martinsville city, VA",2000,6743,6213,530,7.9,51929,51690,51,929,51,690
2936,51,720,"Norton city, VA",2000,1488,1427,61,4.1,51955,51720,51,955,51,720
2937,51,730,"Petersburg city, VA",2000,13918,13446,472,3.4,51918,51730,51,918,51,730
2938,51,735,"Poquoson city, VA",2000,5834,5727,107,1.8,51958,51735,51,958,51,735
2940,51,750,"Radford city, VA",2000,7470,7230,240,3.2,51933,51750,51,933,51,750
2943,51,775,"Salem city, VA",2000,12978,12730,248,1.9,51944,51775,51,944,51,775
2944,51,790,"Staunton city, VA",2000,11647,11398,249,2.1,51907,51790,51,907,51,790
2947,51,820,"Waynesboro city, VA",2000,9151,8916,235,2.6,51907,51820,51,907,51,820
2948,51,830,"Williamsburg city, VA",2000,4607,4406,201,4.4,51931,51830,51,931,51,830
2949,51,840,"Winchester city, VA",2000,12915,12630,285,2.2,51921,51840,51,921,51,840
6093,51,121,"Montgomery County, VA",2001,41075,39685,1390,3.4,51933,51121,51,933,51,121
