state_and_county_fips_code,total_emissions,YEAR
9001,3544299.4476345703,2014
9003,3683673.5016582618,2014
9005,693220.52404484,2014
9007,799040.729820385,2014
9009,3394558.2938494864,2014
9011,1335049.690180867,2014
9013,731559.8020046109,2014
9015,492380.667432735,2014
10001,954069.63123741,2014
10003,2724933.2824195903,2014
10005,1268517.43365977,2014
11001,2602991.96647137,2014
23001,496592.487027082,2014
23003,404190.1312907,2014
23005,1795429.64517944,2014
23007,186248.3869022917,2014
23009,376265.2318230474,2014
23011,817549.52662964,2014
23013,196401.064118581,2014
23015,204549.10013114728,2014
23017,304329.39275543,2014
23019,943948.12323282,2014
23021,91516.25591534958,2014
23023,265939.23951121,2014
23025,366520.88737327995,2014
23027,216136.352400013,2014
23029,200866.322922579,2014
23031,1355429.0772377609,2014
24001,445588.80363566,2014
24003,3002509.19281053,2014
24005,4710281.3723001145,2014
24009,377477.08531742,2014
24011,204216.725440904,2014
24013,706427.60991515,2014
24015,795672.563760211,2014
24017,677384.4608009619,2014
24019,190994.2933667346,2014
24021,1566859.41617939,2014
24023,280008.98602171,2014
24025,1341361.4918041101,2014
24027,2077737.237780257,2014
24029,118670.613087967,2014
24031,4314807.796117552,2014
24033,4697853.66882011,2014
24035,506874.623248504,2014
24037,486932.12907261,2014
24039,141801.688573956,2014
24041,325630.839916902,2014
24043,1307003.49931796,2014
24045,500617.934763043,2014
24047,415640.355036916,2014
24510,2317346.25032372,2014
25001,883690.3606731463,2014
25003,444798.2187506493,2014
25005,2314082.81517413,2014
25007,38146.8235519982,2014
25009,3276041.30168636,2014
25011,301026.824993374,2014
25013,1532958.01625465,2014
25015,549235.4977753783,2014
25017,7486315.808667661,2014
25019,20198.4080591576,2014
25021,3456524.344651,2014
25023,1974235.535643614,2014
25025,2502273.6671668845,2014
25027,3518758.575352004,2014
33001,365760.63617822,2014
33003,282512.28574963,2014
33005,358445.04513868096,2014
33007,189573.676397539,2014
33009,524836.865485824,2014
33011,1627426.68203341,2014
33013,1080567.960121653,2014
33015,1851911.5010497896,2014
33017,523387.574795548,2014
33019,205560.539376432,2014
34001,1282156.584909102,2014
34003,3641552.2614144753,2014
34005,2587137.59535278,2014
34007,2142626.66144879,2014
34009,493953.3800798704,2014
34011,568288.03858944,2014
34013,2525683.51112572,2014
34015,1417440.302641164,2014
34017,1466749.946715846,2014
34019,916468.87066139,2014
34021,1829568.94043683,2014
34023,4362889.66235515,2014
34025,3385884.95286538,2014
34027,2809438.94818088,2014
34029,2440812.371977889,2014
34031,1551012.88030475,2014
34033,398165.0366220604,2014
34035,1767010.737119234,2014
34037,685969.11788961,2014
34039,2384951.760525914,2014
34041,711994.1332006999,2014
36001,1791021.287030977,2014
36003,303834.934751785,2014
36005,2063329.3919505158,2014
36007,1081097.693323973,2014
36009,507593.714657675,2014
36011,469095.549565159,2014
36013,804871.573584764,2014
36015,504912.982686724,2014
36017,295305.096503427,2014
36019,509672.086953006,2014
36021,519557.73027050606,2014
36023,426632.560211603,2014
36025,450160.685585525,2014
36027,1224962.128877413,2014
36029,3691183.95991216,2014
36031,364348.077765912,2014
36033,322176.890071123,2014
36035,232620.47596950398,2014
36037,645281.91917002,2014
36039,469925.791366221,2014
36041,53170.8559551222,2014
36043,457663.34809697,2014
36045,654184.115190528,2014
36047,3198302.941368037,2014
36049,238053.01084239891,2014
36051,402008.473665312,2014
36053,397753.28111765,2014
36055,3193898.80748425,2014
36057,417943.6311701193,2014
36059,7259680.660821424,2014
36061,3048037.9893162097,2014
36063,761316.4999097938,2014
36065,1177785.183448291,2014
36067,2450241.277334896,2014
36069,842540.876099248,2014
36071,1983337.33195258,2014
36073,271096.605190991,2014
36075,711282.126309833,2014
36077,509599.692464592,2014
36079,735396.214242051,2014
36081,5004120.392807918,2014
36083,734101.940841498,2014
36085,1445190.720185381,2014
36087,1612142.708461043,2014
36089,679150.421523366,2014
36091,1237620.213539691,2014
36093,648214.58873738,2014
36095,244999.92558570098,2014
36097,120470.6868956822,2014
36099,298436.988121663,2014
36101,785934.495162191,2014
36103,8987712.235219682,2014
36105,503715.680247383,2014
36107,392196.000976132,2014
36109,392448.5024195,2014
36111,1003933.741560053,2014
36113,509225.795273745,2014
36115,340248.000381837,2014
36117,486109.930607191,2014
36119,4930647.676829406,2014
36121,302008.914326025,2014
36123,146595.002305944,2014
42001,495498.38362253,2014
42003,4927621.12203248,2014
42005,328075.79439571995,2014
42007,749852.0607536124,2014
42009,646281.30869898,2014
42011,2034426.147855357,2014
42013,588910.74876738,2014
42015,388006.74809828,2014
42017,2624038.6137689883,2014
42019,1040283.34471288,2014
42021,540089.2860127,2014
42023,26072.7936758202,2014
42025,445216.80030154,2014
42027,900582.276887743,2014
42029,2280727.2829363276,2014
42031,382585.28152919,2014
42033,703800.5673454279,2014
42035,356269.49051664,2014
42037,432369.027076778,2014
42039,511351.444559482,2014
42041,1761585.5049918501,2014
42043,1675365.90297564,2014
42045,1950352.7010680551,2014
42047,212768.30287696503,2014
42049,1247990.91763911,2014
42051,548787.6620257,2014
42053,99880.7457962579,2014
42055,947546.093456587,2014
42057,269320.086170051,2014
42059,362566.23966551,2014
42061,235254.20016324898,2014
42063,438383.56050447,2014
42065,374854.04829521,2014
42067,158532.803271273,2014
42069,1108411.6731533,2014
42071,2459124.25354351,2014
42073,406072.6332462638,2014
42075,759601.227331436,2014
42077,1694454.96561802,2014
42079,1676192.9366263999,2014
42081,631615.695744776,2014
42083,258939.394669018,2014
42085,881621.0146493501,2014
42087,217173.507499479,2014
42089,980485.069770644,2014
42091,3669322.9408119,2014
42093,219624.018567933,2014
42095,1210075.095535394,2014
42097,467861.579058,2014
42099,291160.25328609,2014
42101,3686549.152342,2014
42103,378358.89319936,2014
42105,95114.138492777,2014
42107,849420.34836577,2014
42109,247080.22463582052,2014
42111,629233.0629218,2014
42113,56574.904450551,2014
42115,363312.22990857903,2014
42117,339787.40051261,2014
42119,307972.439809345,2014
42121,408120.16823937,2014
42123,274421.17218556,2014
42125,1204220.40692045,2014
42127,262387.58959298,2014
42129,1825067.5317237999,2014
42131,174427.498290888,2014
42133,1959238.857902449,2014
44001,146217.805760804,2014
44003,899424.35065357,2014
44005,316118.30078245,2014
44007,2647870.19303962,2014
44009,605773.88723365,2014
50001,215248.867795712,2014
50003,206318.18405710498,2014
50005,217010.53326557,2014
50007,795541.072154933,2014
50009,38190.170549954906,2014
50011,266888.87051051797,2014
50013,49605.4634186998,2014
50015,142960.04370677154,2014
50017,234810.1939833628,2014
50019,161334.75036459,2014
50021,346970.6289699455,2014
50023,362262.76795840997,2014
50025,337786.054364602,2014
50027,526137.86993779,2014
51001,215817.72422652,2014
51003,735649.04700627,2014
51005,156329.9856808704,2014
