fips code,total emissions,YEAR
9001,3581312.137488309,2017
9003,3699414.4342211783,2017
9005,605331.3957548051,2017
9007,796207.4217289649,2017
9009,3351824.0615101885,2017
9011,1250120.8889898597,2017
9013,651497.4159522855,2017
9015,552605.7338237208,2017
10001,943100.6947584329,2017
10003,3238859.4115653466,2017
10005,1413251.994687991,2017
11001,2380628.8293427653,2017
23001,521564.4890853713,2017
23003,422452.3707724075,2017
23005,1755015.4146515268,2017
23007,189486.2537117181,2017
23009,378585.7968058738,2017
23011,816302.269608336,2017
23013,188668.93541994767,2017
23015,204410.34445531596,2017
23017,308689.3775173187,2017
23019,959355.9036398714,2017
23021,99809.76874707776,2017
23023,267137.0361400021,2017
23025,395960.8213142919,2017
23027,217929.320861685,2017
23029,223656.15938068772,2017
23031,1295424.2604411354,2017
24001,474065.8788914231,2017
24003,3096960.418437494,2017
24005,4628761.831695253,2017
24009,366856.63130360807,2017
24011,214358.88956782443,2017
24013,693669.8649986018,2017
24015,786052.0930915847,2017
24017,669375.5399288746,2017
24019,198294.00256317345,2017
24021,1642040.1753829948,2017
24023,287995.42328628193,2017
24025,1358591.1362918331,2017
24027,2142048.8748205616,2017
24029,114253.07348320543,2017
24031,4282734.313377259,2017
24033,4757051.901918076,2017
24035,515106.8365605053,2017
24037,504037.5539639432,2017
24039,148560.90029886528,2017
24041,342486.41516300285,2017
24043,1254521.4072054082,2017
24045,525321.0876674934,2017
24047,464119.20680858433,2017
24510,2233804.200038038,2017
25001,1561952.598157906,2017
25003,759005.3007287557,2017
25005,2815822.388260538,2017
25007,72835.85802801755,2017
25009,3616076.7151871338,2017
25011,494058.727719201,2017
25013,2327686.877116211,2017
25015,715797.681022507,2017
25017,7640207.968944779,2017
25019,45735.9832837127,2017
25021,3744015.18191185,2017
25023,2571972.649830309,2017
25025,2394950.0313353655,2017
25027,4523767.471201323,2017
33001,368535.29915840697,2017
33003,274566.5822045874,2017
33005,363697.1908304762,2017
33007,191910.872521007,2017
33009,527037.7447670965,2017
33011,1682260.2075750425,2017
33013,1077903.7600550172,2017
33015,1855545.8881632634,2017
33017,556393.5656260712,2017
33019,195402.27933822916,2017
34001,1294423.1459516261,2017
34003,4051887.923534189,2017
34005,2534815.480183315,2017
34007,2167514.457060102,2017
34009,539153.8364976944,2017
34011,585314.2615420688,2017
34013,2671426.882949672,2017
34015,1549234.3074765932,2017
34017,1521619.493129291,2017
34019,1133344.211445726,2017
34021,1875930.408818596,2017
34023,4439358.786990951,2017
34025,2979409.6030498,2017
34027,2761484.8798875418,2017
34029,2237484.720605556,2017
34031,1451351.784136718,2017
34033,412113.66245264,2017
34035,1944823.575444304,2017
34037,571095.008846136,2017
34039,2273936.894689754,2017
34041,844391.3994302733,2017
36001,1721057.9433058181,2017
36003,247853.8335953116,2017
36005,2187199.7278828933,2017
36007,1065773.9181127828,2017
36009,476844.96211429517,2017
36011,387441.7958828815,2017
36013,779797.054414445,2017
36015,476161.7116411808,2017
36017,268922.00367335026,2017
36019,431014.1410396976,2017
36021,366172.82219000836,2017
36023,298343.20612230385,2017
36025,312270.33912631334,2017
36027,1362645.9881260009,2017
36029,4131241.6517562494,2017
36031,361741.2942875451,2017
36033,230607.26650298334,2017
36035,232918.4573428459,2017
36037,585952.9090984601,2017
36039,471349.02251319314,2017
36041,54567.45767240802,2017
36043,358041.2927551571,2017
36045,660976.488973806,2017
36047,3639323.689427174,2017
36049,155265.77058493515,2017
36051,396876.2415628683,2017
36053,419663.89026285254,2017
36055,3039588.1571513866,2017
36057,372125.1411755855,2017
36059,4870700.3428625865,2017
36061,2503553.4007470533,2017
36063,783079.9103159142,2017
36065,1075104.4239132162,2017
36067,2266155.0566426665,2017
36069,753810.4547594105,2017
36071,2194471.5347076356,2017
36073,152736.8452585348,2017
36075,597292.9332714734,2017
36077,337305.21519847284,2017
36079,605344.582792823,2017
36081,4657862.091541208,2017
36083,719113.2131787398,2017
36085,1237875.1135206593,2017
36087,1349049.5883412927,2017
36089,510674.24863034196,2017
36091,1403035.6948698345,2017
36093,656502.7880000452,2017
36095,187220.91226345408,2017
36097,96742.5921078335,2017
36099,255055.01359341692,2017
36101,745546.1046397341,2017
36103,6539280.33071116,2017
36105,518711.83604896604,2017
36107,332674.4377504157,2017
36109,376410.9390372353,2017
36111,1059202.5192621227,2017
36113,497587.6075860588,2017
36115,281079.4438021301,2017
36117,423750.9728757088,2017
36119,4007369.99658895,2017
36121,177969.16811001775,2017
36123,112846.75497624643,2017
42001,514229.120011323,2017
42003,4685597.5491897585,2017
42005,307304.5727240937,2017
42007,667785.7784194992,2017
42009,659892.702106048,2017
42011,2065695.3009279252,2017
42013,616498.9730977375,2017
42015,338267.62619878404,2017
42017,2581773.105097251,2017
42019,1092970.99402092,2017
42021,545825.3135840725,2017
42023,43236.50417641031,2017
42025,498087.6301169518,2017
42027,868690.2157592439,2017
42029,2374530.123938401,2017
42031,414228.8063162451,2017
42033,630618.930742912,2017
42035,394349.0138940792,2017
42037,438572.91231532657,2017
42039,467867.0358891238,2017
42041,1784063.7570179729,2017
42043,1616579.067177833,2017
42045,1929173.6990486581,2017
42047,161546.92559643576,2017
42049,1258199.494758764,2017
42051,588802.0046750985,2017
42053,36797.30375135582,2017
42055,961582.273624036,2017
42057,287090.0971536728,2017
42059,322342.10350759025,2017
42061,232092.7912788166,2017
42063,428218.6124169124,2017
42065,380615.8034508267,2017
42067,158242.2206778809,2017
42069,1109409.84029639,2017
42071,2561522.841708148,2017
42073,406217.0974509394,2017
42075,796156.2682584246,2017
42077,1728472.842789897,2017
42079,1695462.225965184,2017
42081,614225.9226420228,2017
42083,176697.9105378992,2017
42085,797047.0841163052,2017
42087,215238.30681958693,2017
42089,964200.5767721279,2017
42091,3705119.66661803,2017
42093,212897.98559036566,2017
42095,1268070.768378286,2017
42097,452757.26075376116,2017
42099,292436.1187263024,2017
42101,3576325.997248396,2017
42103,371094.99001906696,2017
42105,101717.1292407977,2017
42107,826217.7439579779,2017
42109,236902.4362524194,2017
42111,634034.574005434,2017
42113,45336.66868544453,2017
42115,366015.701835963,2017
42117,316713.8511447998,2017
42119,317274.6035353247,2017
42121,352698.4296567661,2017
42123,182820.39530164452,2017
42125,1356980.783300585,2017
42127,243879.26246260243,2017
42129,1860557.31931241,2017
42131,164610.52822762332,2017
42133,1961256.5662726196,2017
44001,130844.25882934108,2017
44003,774955.6659050134,2017
44005,286372.03396730113,2017
44007,2371170.593865436,2017
44009,532687.1907309841,2017
50001,195684.1114659559,2017
50003,189233.9783187629,2017
50005,200878.10048563452,2017
50007,778653.6433630472,2017
50009,31686.01041996481,2017
50011,245853.33334999814,2017
