FIPS_CODE,TOTAL_EMISSIONS,YEAR
9001,4132523.769992529,2008
9003,4219697.313731112,2008
9005,674911.0458313826,2008
9007,917993.0469080408,2008
9009,3858754.569269316,2008
9011,1561635.452754965,2008
9013,793040.9938698052,2008
9015,555293.6728134896,2008
10001,896005.7538893603,2008
10003,2700673.615548679,2008
10005,1055700.270972956,2008
11001,2651646.037964339,2008
23001,620997.0752744748,2008
23003,462969.1865169766,2008
23005,1951234.673011346,2008
23007,193538.9889542619,2008
23009,405138.6703735265,2008
23011,870490.8242289873,2008
23013,204535.49467049493,2008
23015,216605.528693146,2008
23017,326089.2326659632,2008
23019,1063699.6427423768,2008
23021,102013.1948754451,2008
23023,267001.3471177271,2008
23025,392917.0270115247,2008
23027,237017.476777067,2008
23029,233898.4531953964,2008
23031,1331842.3724656687,2008
24001,432887.6562842503,2008
24003,3273937.758400549,2008
24005,4513934.610087661,2008
24009,391710.0730870351,2008
24011,192831.2887440759,2008
24013,696890.1522448406,2008
24015,817571.8063801054,2008
24017,675278.745855208,2008
24019,205185.3546093223,2008
24021,1552567.746568709,2008
24023,285316.0087554602,2008
24025,1255423.063813195,2008
24027,2041642.4354559053,2008
24029,121216.99089466364,2008
24031,4162686.7456651833,2008
24033,4725563.639330304,2008
24035,515605.1653051548,2008
24037,428488.3413564933,2008
24039,148714.65573934073,2008
24041,316841.4890338595,2008
24043,1280943.2298643363,2008
24045,515088.1146257286,2008
24047,328040.0213627011,2008
24510,2055728.9537457228,2008
25001,1383921.2065671869,2008
25003,1160021.471157757,2008
25005,1693232.9507140894,2008
25007,42465.92060061776,2008
25009,2449150.319045862,2008
25011,798562.4486436102,2008
25013,2333103.105823997,2008
25015,967581.7241552836,2008
25017,7574142.250018629,2008
25019,20530.80608602006,2008
25021,5379091.906488907,2008
25023,1562163.1530290237,2008
25025,2283299.057568251,2008
25027,4759319.137872876,2008
33001,396711.8439658342,2008
33003,305374.0426099881,2008
33005,367496.4456956335,2008
33007,223786.2467127225,2008
33009,641122.2778785455,2008
33011,1794939.950200648,2008
33013,1208893.965197512,2008
33015,1914567.442707036,2008
33017,582145.4780622949,2008
33019,241969.80117728584,2008
34001,1358595.689538783,2008
34003,5430967.01601362,2008
34005,2441207.76280678,2008
34007,1997444.6296490969,2008
34009,490435.1685283162,2008
34011,583382.6982037977,2008
34013,2936698.996920152,2008
34015,1420110.1451420118,2008
34017,1512684.201991134,2008
34019,1031064.7052687982,2008
34021,1855425.769205253,2008
34023,4561908.658901988,2008
34025,3480268.7572664977,2008
34027,3171987.349896705,2008
34029,2269406.837446786,2008
34031,1636357.004214669,2008
34033,530574.9426521997,2008
34035,1792896.6042709176,2008
34037,751344.6090266806,2008
34039,2670857.592948763,2008
34041,957390.5332545252,2008
36001,1918109.458749659,2008
36003,259678.3268576238,2008
36005,2346734.271717493,2008
36007,1323911.8387168287,2008
36009,455204.28262764384,2008
36011,407684.4731179959,2008
36013,858323.2072506626,2008
36015,521410.8485580803,2008
36017,240150.6423418593,2008
36019,427373.837674579,2008
36021,391329.7967268358,2008
36023,341601.0197603311,2008
36025,275414.1545329265,2008
36027,1532554.8651622704,2008
36029,4963510.260517332,2008
36031,296094.700992946,2008
36033,223086.50659282657,2008
36035,203478.8714059425,2008
36037,610850.5946765243,2008
36039,389918.2068554082,2008
36041,58832.76316150054,2008
36043,433078.2753304873,2008
36045,643545.7045054381,2008
36047,2494515.914068202,2008
36049,126524.84029651944,2008
36051,428000.4542926542,2008
36053,396483.900866027,2008
36055,3938427.593529822,2008
36057,441447.4450495349,2008
36059,6211851.61881647,2008
36061,2220141.469109903,2008
36063,907768.203562414,2008
36065,1274313.62721803,2008
36067,2595277.496677636,2008
36069,713210.2901901898,2008
36071,2275159.150923142,2008
36073,172518.24784991008,2008
36075,591836.6255253954,2008
36077,337192.73679596727,2008
36079,1549874.1821621782,2008
36081,3838179.417568617,2008
36083,787382.0521609773,2008
36085,993420.2352189828,2008
36087,1401200.128649877,2008
36089,454299.0220688466,2008
36091,1172076.2717474266,2008
36093,798588.0504641586,2008
36095,273659.76250284666,2008
36097,94954.6072138258,2008
36099,251920.7386547246,2008
36101,770274.6260861113,2008
36103,10152911.65450374,2008
36105,377729.3529125196,2008
36107,375203.8501365939,2008
36109,378186.6303097321,2008
36111,1043589.2117261636,2008
36113,487505.4722247051,2008
36115,282630.6755922204,2008
36117,349768.4766157606,2008
36119,4656896.911104436,2008
36121,139893.20091960934,2008
36123,100797.63671221671,2008
42001,481382.86332197447,2008
42003,4251123.616804605,2008
42005,321055.2975375058,2008
42007,690993.552830706,2008
42009,676576.7474959315,2008
42011,1746918.7915158002,2008
42013,572972.3653625608,2008
42015,255599.14712923,2008
42017,2384724.0323521625,2008
42019,890550.3718832223,2008
42021,555012.042294629,2008
42023,38142.85466311154,2008
42025,402751.9724043286,2008
42027,857348.7425268579,2008
42029,2117414.8036135007,2008
42031,407739.6031144466,2008
42033,709763.1419293634,2008
42035,412232.4750175625,2008
42037,392620.03800911066,2008
42039,456817.2106060689,2008
42041,1564670.0391116336,2008
42043,1581293.9887726577,2008
42045,1731072.705794672,2008
42047,194403.0275401155,2008
42049,1199782.921779966,2008
42051,533838.8152362518,2008
42053,64810.24376159624,2008
42055,872695.9585612488,2008
42057,310904.1519430927,2008
42059,220643.1276899989,2008
42061,273440.91950901685,2008
42063,440679.9319930707,2008
42065,393424.8250123148,2008
42067,171048.3888310188,2008
42069,1030511.7744877804,2008
42071,2185994.540513312,2008
42073,406188.918685772,2008
42075,676586.5097120157,2008
42077,1418593.30785131,2008
42079,1552579.2790099438,2008
42081,605780.1161103979,2008
42083,213065.78461666463,2008
42085,741458.0319016972,2008
