YEAR,STATE,COUNTY,LNMILES
2000,1,1,"1,980"
2000,1,3,"4,906"
2000,1,5,"2,479"
2000,1,7,"1,805"
2000,1,9,"2,764"
2000,1,11,"1,307"
2000,1,13,"2,376"
2000,1,15,"4,011"
2000,1,17,"2,079"
2000,1,19,"2,040"
2000,1,21,"3,107"
2000,1,23,"1,706"
2000,1,25,"2,378"
2000,1,27,"2,156"
2000,1,29,"1,904"
2000,1,31,"2,590"
2000,1,33,"2,475"
2000,1,35,"2,237"
2000,1,37,"1,762"
2000,1,39,"3,736"
2000,1,41,"1,920"
2000,1,43,"3,841"
2000,1,45,"2,317"
2000,1,47,"2,411"
2000,1,49,"4,154"
2000,1,51,"2,542"
2000,1,53,"2,878"
2000,1,55,"3,851"
2000,1,57,"2,316"
2000,1,59,"2,274"
2000,1,61,"2,437"
2000,1,63,"1,333"
2000,1,65,"1,623"
2000,1,67,"1,838"
2000,1,69,"3,671"
2000,1,71,"3,460"
2000,1,73,"14,247"
2000,1,75,"2,426"
2000,1,77,"4,097"
2000,1,79,"2,670"
2000,1,81,"3,308"
2000,1,83,"2,645"
2000,1,85,"1,317"
2000,1,87,"1,813"
2000,1,89,"5,096"
2000,1,91,"1,705"
2000,1,93,"3,090"
2000,1,95,"3,031"
2000,1,97,"7,602"
2000,1,99,"2,193"
2000,1,101,"4,049"
2000,1,103,"3,723"
2000,1,105,"1,667"
2000,1,107,"2,292"
2000,1,109,"2,079"
2000,1,111,"2,326"
2000,1,113,"2,418"
2000,1,115,"2,610"
2000,1,117,"3,220"
2000,1,119,"1,919"
2000,1,121,"3,340"
2000,1,123,"3,115"
2000,1,125,"5,345"
2000,1,127,"3,443"
2000,1,129,"1,848"
2000,1,131,"1,692"
2000,1,133,"2,305"
2000,2,1,"5,287"
2000,2,2,"6,424"
2000,2,3,"1,143"
2000,2,999,"13,138"
2000,4,1,"7,990"
2000,4,3,"5,127"
2000,4,5,"10,665"
2000,4,7,"3,633"
2000,4,9,"2,790"
2000,4,11,"1,259"
2000,4,12,"3,965"
2000,4,13,"31,186"
2000,4,15,"8,790"
2000,4,17,"7,614"
2000,4,19,"12,933"
2000,4,21,"7,965"
2000,4,23,"2,403"
2000,4,25,"6,323"
2000,4,27,"5,794"
2000,5,1,"3,390"
2000,5,3,"2,376"
2000,5,5,"3,331"
2000,5,7,"6,388"
2000,5,9,"2,859"
2000,5,11,"1,521"
2000,5,13,"2,380"
2000,5,15,"2,981"
2000,5,17,"2,395"
2000,5,19,"2,400"
2000,5,21,"2,397"
2000,5,23,"2,710"
2000,5,25,"1,472"
2000,5,27,"2,553"
2000,5,29,"2,208"
2000,5,31,"3,852"
2000,5,33,"2,545"
2000,5,35,"2,710"
2000,5,37,"2,321"
2000,5,39,"1,681"
2000,5,41,"2,380"
2000,5,43,"1,844"
2000,5,45,"3,630"
2000,5,47,"2,115"
2000,5,49,"2,302"
2000,5,51,"3,272"
2000,5,53,"1,749"
2000,5,55,"2,528"
2000,5,57,"2,665"
2000,5,59,"2,198"
2000,5,61,"1,876"
2000,5,63,"2,875"
2000,5,65,"2,269"
2000,5,67,"2,424"
2000,5,69,"3,721"
2000,5,71,"2,435"
2000,5,73,"1,569"
2000,5,75,"2,174"
2000,5,77,"2,148"
2000,5,79,"1,600"
2000,5,81,"1,502"
2000,5,83,"2,458"
2000,5,85,"3,206"
2000,5,87,"2,768"
2000,5,89,"2,533"
2000,5,91,"2,971"
2000,5,93,"3,518"
2000,5,95,"1,642"
2000,5,97,"2,020"
2000,5,99,"1,724"
2000,5,101,"2,088"
2000,5,103,"2,214"
2000,5,105,"2,121"
2000,5,107,"2,352"
2000,5,109,"1,344"
2000,5,111,"3,239"
2000,5,113,"2,693"
2000,5,115,"3,513"
2000,5,117,"2,056"
2000,5,119,"7,577"
2000,5,121,"2,439"
2000,5,123,"2,510"
2000,5,125,"3,113"
2000,5,127,"2,218"
2000,5,129,"2,073"
2000,5,131,"3,693"
2000,5,133,"1,918"
2000,5,135,"2,625"
2000,5,137,"1,889"
2000,5,139,"3,272"
2000,5,141,"2,600"
2000,5,143,"5,925"
2000,5,145,"3,905"
2000,5,147,"1,514"
2000,5,149,"2,683"
2000,6,1,"8,279"
2000,6,3,536
2000,6,5,"1,363"
2000,6,7,"4,710"
2000,6,9,"1,999"
2000,6,11,"1,930"
2000,6,13,"7,187"
2000,6,15,"1,557"
2000,6,17,"4,395"
2000,6,19,"14,971"
2000,6,21,"2,244"
2000,6,23,"5,159"
2000,6,25,"7,087"
2000,6,27,"4,477"
2000,6,29,"13,909"
2000,6,31,"3,010"
2000,6,33,"2,095"
2000,6,35,"3,276"
2000,6,37,"51,286"
2000,6,39,"4,204"
2000,6,41,"2,692"
2000,6,43,"1,905"
2000,6,45,"3,834"
2000,6,47,"5,128"
2000,6,49,"3,695"
2000,6,51,"3,060"
2000,6,53,"5,036"
2000,6,55,"1,781"
2000,6,57,"2,415"
2000,6,59,"17,573"
2000,6,61,"4,434"
2000,6,63,"3,837"
2000,6,65,"17,567"
2000,6,67,"10,811"
2000,6,69,"1,815"
2000,6,71,"22,371"
2000,6,73,"20,296"
2000,6,75,"2,293"
2000,6,77,"7,105"
2000,6,79,"4,725"
2000,6,81,"4,761"
2000,6,83,"4,384"
2000,6,85,"11,426"
2000,6,87,"2,371"
2000,6,89,"5,590"
2000,6,91,"1,577"
2000,6,93,"7,279"
2000,6,95,"4,156"
2000,6,97,"5,627"
2000,6,99,"5,831"
2000,6,101,"2,142"
2000,6,103,"3,516"
2000,6,105,"3,867"
2000,6,107,"9,780"
2000,6,109,"2,305"
2000,6,111,"6,267"
2000,6,113,"3,140"
2000,6,115,"1,620"
2000,8,1,"5,188"
2000,8,3,"1,652"
2000,8,5,"4,893"
2000,8,7,"1,723"
2000,8,9,"4,205"
2000,8,11,"1,784"
2000,8,13,"3,850"
2000,8,15,"1,423"
2000,8,17,"2,515"
2000,8,19,855
2000,8,21,"1,626"
2000,8,23,"3,248"
2000,8,25,"1,118"
2000,8,27,947
2000,8,29,"2,032"
2000,8,31,"4,104"
2000,8,33,"1,317"
2000,8,35,"3,379"
2000,8,37,"1,923"
2000,8,39,"2,871"
2000,8,41,"8,267"
2000,8,43,"1,973"
2000,8,45,"2,649"
2000,8,47,462
2000,8,49,"2,095"
2000,8,51,"2,505"
2000,8,53,587
2000,8,55,"1,863"
2000,8,57,"1,381"
2000,8,59,"6,111"
2000,8,61,"2,668"
2000,8,63,"4,948"
2000,8,65,541
2000,8,67,"2,399"
2000,8,69,"5,182"
2000,8,71,"3,999"
2000,8,73,"3,554"
2000,8,75,"4,500"
2000,8,77,"4,581"
2000,8,79,633
2000,8,81,"4,143"
2000,8,83,"2,725"
2000,8,85,"3,452"
2000,8,87,"2,842"
2000,8,89,"1,976"
2000,8,91,645
2000,8,93,"4,102"
2000,8,95,"2,285"
2000,8,97,839
2000,8,99,"3,025"
2000,8,101,"4,637"
2000,8,103,"2,736"
2000,8,105,"1,581"
2000,8,107,"2,197"
2000,8,109,"2,585"
2000,8,111,444
2000,8,113,"1,659"
2000,8,115,"1,552"
2000,8,117,977
2000,8,119,"1,417"
2000,8,121,"5,224"
2000,8,123,"9,239"
2000,8,125,"5,160"
2000,9,1,"9,061"
2000,9,3,"8,969"
2000,9,5,"5,073"
2000,9,7,"2,885"
2000,9,9,"8,236"
2000,9,11,"4,591"
2000,9,13,"2,767"
2000,9,15,"2,893"
2000,10,1,"2,872"
2000,10,3,"4,936"
2000,10,5,"4,750"
2000,11,1,"1,531"
2000,11,2,715
2000,11,3,571
2000,11,4,139
2000,11,5,817
2000,12,1,"3,815"
2000,12,3,"2,018"
2000,12,5,"3,196"
2000,12,7,"1,177"
2000,12,9,"7,984"
2000,12,11,"11,694"
2000,12,13,"1,271"
2000,12,15,"4,931"
2000,12,17,"4,969"
2000,12,19,"2,275"
2000,12,21,"3,817"
2000,12,23,"2,994"
2000,12,27,"1,046"
2000,12,29,"1,059"
2000,12,31,"9,039"
2000,12,33,"5,234"
2000,12,35,"1,906"
2000,12,37,957
2000,12,39,"2,071"
2000,12,41,"1,250"
2000,12,43,768
2000,12,45,751
2000,12,47,"1,425"
2000,12,49,"1,365"
2000,12,51,"1,089"
2000,12,53,"3,696"
2000,12,55,"3,353"
2000,12,57,"11,662"
2000,12,59,"1,757"
2000,12,61,"1,820"
2000,12,63,"3,509"
2000,12,65,"1,503"
2000,12,67,991
2000,12,69,"4,451"
2000,12,71,"9,509"
2000,12,73,"3,191"
2000,12,75,"2,776"
2000,12,77,"1,714"
2000,12,79,"1,822"
2000,12,81,"3,162"
2000,12,83,"7,850"
2000,12,85,"1,680"
2000,12,87,"1,292"
2000,12,89,"2,155"
2000,12,91,"3,227"
2000,12,93,"1,016"
2000,12,95,"8,917"
2000,12,97,"2,861"
2000,12,99,"9,309"
2000,12,101,"4,214"
2000,12,103,"9,022"
2000,12,105,"8,952"
2000,12,107,"4,037"
2000,12,109,"2,230"
2000,12,111,"3,682"
2000,12,113,"3,767"
2000,12,115,"4,944"
2000,12,117,"3,151"
2000,12,119,"1,583"
2000,12,121,"2,925"
2000,12,123,"1,930"
2000,12,125,595
2000,12,127,"7,560"
2000,12,129,"2,105"
2000,12,131,"2,947"
2000,12,133,"2,541"
2000,13,1,"2,238"
2000,13,3,"1,040"
2000,13,5,"1,239"
2000,13,7,714
2000,13,9,"1,202"
2000,13,11,923
2000,13,13,"1,126"
2000,13,15,"2,428"
2000,13,17,"1,031"
2000,13,19,"1,725"
2000,13,21,"2,465"
2000,13,23,871
2000,13,25,"1,302"
2000,13,27,"1,652"
2000,13,29,934
2000,13,31,"3,042"
2000,13,33,"2,135"
2000,13,35,846
2000,13,37,701
2000,13,39,"1,252"
2000,13,43,"1,047"
2000,13,45,"2,887"
2000,13,47,"1,125"
2000,13,49,894
2000,13,51,"2,811"
2000,13,53,244
2000,13,55,"1,117"
2000,13,57,"2,457"
2000,13,59,"1,307"
2000,13,61,540
2000,13,63,"2,215"
2000,13,65,"1,141"
2000,13,67,"6,086"
2000,13,69,"2,357"
2000,13,71,"2,355"
2000,13,73,"1,485"
2000,13,75,"1,177"
2000,13,77,"2,311"
2000,13,79,841
2000,13,81,"1,468"
2000,13,83,743
2000,13,85,727
2000,13,87,"2,139"
2000,13,89,"5,462"
2000,13,91,"1,874"
2000,13,93,"1,624"
2000,13,95,"1,741"
2000,13,97,"1,589"
2000,13,99,"1,464"
2000,13,101,543
2000,13,103,"1,436"
2000,13,105,"1,390"
2000,13,107,"2,517"
2000,13,109,749
2000,13,111,"1,212"
2000,13,113,"1,677"
2000,13,115,"2,316"
2000,13,117,"1,874"
2000,13,119,"1,373"
2000,13,121,"8,348"
2000,13,123,"1,144"
2000,13,125,456
2000,13,127,"1,484"
2000,13,129,"1,622"
2000,13,131,"1,678"
2000,13,133,"1,208"
2000,13,135,"5,994"
2000,13,137,"1,440"
2000,13,139,"2,819"
2000,13,141,"1,189"
2000,13,143,"1,358"
2000,13,145,"1,435"
2000,13,147,"1,402"
2000,13,149,884
2000,13,151,"2,367"
2000,13,153,"2,066"
2000,13,155,"1,214"
2000,13,157,"1,729"
2000,13,159,"1,204"
2000,13,161,"1,304"
2000,13,163,"1,680"
2000,13,165,"1,043"
2000,13,167,"1,076"
2000,13,169,"1,169"
2000,13,171,864
2000,13,173,660
2000,13,175,"3,335"
2000,13,177,"1,048"
2000,13,179,"1,062"
2000,13,181,723
2000,13,183,653
2000,13,185,"2,759"
2000,13,187,958
2000,13,189,"1,046"
2000,13,191,672
2000,13,193,"1,221"
2000,13,195,"1,385"
2000,13,197,900
2000,13,199,"1,687"
2000,13,201,993
2000,13,205,"1,888"
2000,13,207,"1,394"
2000,13,209,918
2000,13,211,"1,252"
2000,13,213,"1,199"
2000,13,215,"2,234"
2000,13,217,"1,740"
2000,13,219,915
