STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,1,1980.32,1983.54,1922.24,1922.24,1648.34,1648.58,1697.992,1696.118,1707.49,,1829.046,1826.253,1772.362,1772.204,2191.1,2175.819,2190.783,2190.748,2191.584,2201.279,2144.136
1,3,4905.66,4905.66,4851.42,4851.42,4925.15,4915.608,4928.932,5090.488,5095.558,,6842.603,6935.813,7200.508,7132.492,7483.533,7486.463,7451.331,7446.839,7565.938,7592.919,7472.681
1,5,2479.12,2479.12,2369.79,2369.79,2369.59,2366.156,2366.894,2366.87,2366.87,,2501.627,2501.142,1870.85,1849.26,2141.789,2173.01,2173.719,2174.045,2174.065,2174.407,2215.509
1,7,1804.75,1805.09,1859.55,1859.55,1753.85,1767.491,1756.661,1754.555,1754.421,,1822.002,1822.88,1565.789,1588.743,1905.769,1923.877,1923.845,1923.881,1926.145,1923.522,1992.693
1,9,2763.56,2764,2627.06,2627.06,2627.06,2629.284,2667.206,2667.122,2656.202,,2693.25,2696.333,2712.513,2718.109,3107.994,3107.993,3107.841,3107.2,3108.038,3107.288,3126.627
1,11,1307.4,1307.4,1294.76,1294.76,1400.46,1402.572,1402.572,1401.846,1401.646,,1526.826,1529.098,1140.278,1175.584,1213.848,1216.326,1225.697,1225.367,1225.375,1217.69,1253.886
1,13,2375.94,2375.53,2279.01,2279.01,2077.01,2080.88,2279.676,2275.158,2274.758,,2424.934,2434.69,1909.868,2647.426,2091.486,2090.79,2090.968,2090.726,2090.406,2090.422,2086.693
1,15,4011.41,4017.21,4526.01,4525.97,4525.934,4533.78,4678.918,4679.942,4681.586,,4896.656,4889.669,2651.589,2630.09,3608.257,3644.042,3652.373,3652.304,3655.998,3637.077,3871.55
1,17,2078.84,2076.06,2007.96,2007.96,2007.96,2006.86,2006.86,2009.214,2009.812,,2184.637,2187.744,1.97,1947.828,2268.059,2268.059,2268.742,2268.945,2268.913,2267.053,2269.004
1,19,2040.04,2040.04,2035.4,2035.4,2036.79,2039.784,2036.264,2036.26,2043.76,,2144.483,2144.953,1922.634,1923.689,2196.544,2200.409,2193.945,2193.945,2193.905,2169.543,2189.299
1,21,3107.18,3105.56,3010.98,3010.98,3010.98,3010.948,3013.176,3013.188,3007.694,,3161.992,3166.67,2642.245,2620.583,2881.94,2914.498,2881.732,2881.75,2881.896,2881.236,2879.702
1,23,1706.3,1706.04,1691.06,1691.06,1691.06,1691.002,1691.002,1691.052,1691.052,,1714.412,1759.442,1576.771,1576.997,1689.352,1689.352,1689.131,1689.111,1689.113,1689.119,1695.915
1,25,2377.64,2377.64,2362.12,2362.12,2362.98,2368.552,2373.138,2371.504,2371.504,,2438.662,2533.339,2182.395,2182.883,2416.381,2420.991,2421.164,2421.552,2420.974,2420.162,2420.576
1,27,2156.18,2156.18,2141.46,2141.46,2141.46,2141.656,2141.656,2141.99,2141.83,,2183.056,2186.666,1777.079,1776.735,1861.145,1861.143,1860.893,1860.893,1860.919,1859.79,1966.2
1,29,1904.18,1904.18,2037.3,2037.26,2037.26,2035.348,2036.776,2036.74,2036.89,,2193.874,2194.191,1683.746,1600.997,1809.557,1809.773,1805.47,1805.489,1824.841,1827.839,2039.079
1,31,2589.66,2579.4,2576,2576,2572,2569.038,2575.328,2574.13,2574.95,,2478.63,2582.474,2162.519,2170.261,2647.227,2679.306,2656.225,2659.895,2659.645,2660.395,2660.761
1,33,2474.91,2473.72,2498.46,2498.46,2504.35,2503.998,2503.296,2503.876,2503.876,,2715.08,2722.636,1874.722,1877.092,2563.167,2563.217,2565.177,2565.177,2565.167,2563.547,2631.696
1,35,2236.74,2238.3,2234.7,2234.7,1996.56,1995.94,1995.94,1994.752,1994.752,,2121.044,2179.896,2036.257,2037.836,2096.699,2098.497,2098.467,2098.587,2100.055,2100.097,2100.559
1,37,1761.91,1765.91,1747.33,1747.33,1747.33,1741.816,1743.064,1743.18,1742.96,,1910.744,1910.588,1545.171,1615.049,1663.622,1663.622,1663.474,1663.46,1663.458,1663.03,1670.584
1,39,3735.57,3735.57,3641.99,3641.99,3759.23,3800.81,3789.78,3789.448,3787.834,,4032.896,4121.874,3163.112,3184.986,3737.588,3755.584,3755.636,3755.092,3755.09,3769.097,3865.155
