b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"01","00",,223103,,8827169
"01","11",,4473,,222166
"01","113",,1858,,116335
"01","114",,1505,,65375
"01","1141",,1339,,61406
"01","11411",,1339,,61406
"01","1142",,166,,3969
"01","11421",,166,,3969
"01","115",,1110,,40456
"01","1151",,349,,12200
"01","11511",,349,,12200
"01","1152",,442,,13203
"01","11521",,442,,13203
"01","1153",,319,,15053
"01","11531",,319,,15053
"01","21",,495,,48449
"01","211",,374,,32719
"01","2111",,374,,32719
"01","21111",,374,,32719
"01","212",,68,,4251
"01","2121",,26,,954
"01","21211",,26,,954
"01","2122",,5,,1275
"01","2123",,37,,2022
"01","213",,53,,11479
"01","2131",,53,,11479
"01","21311",,53,,11479
"01","22",,177,,6589
"01","221",,177,,6589
"01","23",,38531,,1756185
"01","233",,8857,,690897
"01","2331",,921,,101607
"01","23311",,921,,101607
"01","2332",,6579,,521903
"01","2333",,1357,,67387
"01","234",,1150,,53912
"01","2341",,122,,7864
"01","2349",,1028,,46048
"01","235",,28524,,1011376
"01","2351",,2085,,102687
"01","23511",,2085,,102687
"01","2352",,4123,,104571
"01","23521",,4123,,104571
"01","2353",,1757,,55024
"01","23531",,1757,,55024
"01","2354",,3210,,125685
"01","2355",,6981,,222481
"01","2356",,1919,,86164
"01","23561",,1919,,86164
"01","2357",,856,,34388
"01","23571",,856,,34388
"01","2358",,60,,4827
"01","23581",,60,,4827
"01","2359",,7533,,275549
"01","31-33",,3892,,174070
"01","311",,237,,8825
"01","3111",,12,,254
"01","31111",,12,,254
"01","3112","D",0,"D",0
"01","3113","D",0,"D",0
"01","3114",,11,,124
"01","3115","D",0,"D",0
"01","3116",,56,,1484
"01","31161",,56,,1484
"01","3117",,46,,3677
"01","31171",,46,,3677
"01","3118",,44,,1033
"01","3119",,48,,2045
"01","312","D",0,"D",0
"01","313",,42,,1225
"01","314",,85,,4104
"01","315",,341,,8137
"01","316",,106,,4851
"01","3161",,18,,385
"01","31611",,18,,385
"01","3162",,17,,728
"01","31621",,17,,728
"01","3169",,71,,3738
"01","31699",,71,,3738
"01","321",,544,,27423
"01","322","D",0,"D",0
"01","323",,278,,14745
"01","3231",,278,,14745
"01","324","D",0,"D",0
"01","3241","D",0,"D",0
"01","325",,101,,4160
"01","3251",,7,,344
"01","3252",,4,,72
"01","3253",,15,,1052
"01","3254",,13,,584
"01","32541",,13,,584
"01","3255",,24,,1035
"01","3256",,18,,331
"01","3259",,20,,742
"01","326",,67,,5657
"01","327",,139,,5513
"01","3271","D",0,"D",0
"01","3272",,27,,673
"01","32721",,27,,673
"01","3273",,44,,2145
"01","3274","D",0,"D",0
"01","3279",,25,,1411
"01","331",,55,,3033
"01","332",,477,,27108
"01","333",,195,,11309
"01","334",,80,,2740
"01","335",,80,,3511
"01","336",,105,,5425
"01","337",,224,,9557
"01","339",,687,,24572
"01","3391",,48,,1931
"01","33911",,48,,1931
"01","3399",,639,,22641
"01","42",,5178,,376257
"01","421",,2988,,238535
"01","4211",,411,,60847
"01","4212",,265,,14548
"01","4213",,171,,21151
"01","4214",,162,,14195
"01","4215",,63,,6066
"01","4216",,122,,9785
"01","4217",,97,,6244
"01","4218",,335,,33247
"01","4219",,1362,,72452
"01","42191",,133,,7864
"01","42192",,122,,4756
"01","42193",,112,,9449
"01","42194",,160,,3905
"01","42199",,835,,46478
"01","422",,2190,,137722
"01","4221",,115,,7007
"01","4222",,58,,4218
"01","42221",,58,,4218
"01","4223",,269,,10832
"01","4224",,469,,47394
"01","4225",,75,,5271
