b'"ST","NAICS","ESTAB_F","ESTAB","RCPTOT_F","RCPTOT"
"01","00",,266585,,11281943
"01","11",,4661,,222628
"01","113",,1929,,128803
"01","114",,1416,,48854
"01","1141",,1225,,45415
"01","11411",,1225,,45415
"01","1142",,191,,3439
"01","11421",,191,,3439
"01","115",,1316,,44971
"01","1151",,434,,13875
"01","11511",,434,,13875
"01","1152",,491,,14762
"01","11521",,491,,14762
"01","1153",,391,,16334
"01","11531",,391,,16334
"01","21",,588,,50895
"01","211",,434,,34512
"01","2111",,434,,34512
"01","21111",,434,,34512
"01","212",,83,,8499
"01","2121","D",0,"D",0
"01","21211","D",0,"D",0
"01","2122","D",0,"D",0
"01","2123",,51,,6176
"01","213",,71,,7884
"01","2131",,71,,7884
"01","21311",,71,,7884
"01","22",,259,,7975
"01","221",,259,,7975
"01","23",,46234,,2411153
"01","236",,11046,,906377
"01","2361",,9128,,804522
"01","2362",,1918,,101855
"01","237",,1401,,138033
"01","2371",,160,,5903
"01","2372",,573,,87876
"01","23721",,573,,87876
"01","2373",,140,,6396
"01","23731",,140,,6396
"01","2379",,528,,37858
"01","23799",,528,,37858
"01","238",,33787,,1366743
"01","2381",,7271,,314831
"01","2382",,4805,,193094
"01","23821",,2109,,68383
"01","23822",,2384,,114891
"01","23829",,312,,9820
"01","2383",,12712,,473198
"01","2389",,8999,,385620
"01","31-33",,4019,,184918
"01","311",,302,,11221
"01","3111",,22,,1134
"01","31111",,22,,1134
"01","3112","D",0,"D",0
"01","3113","D",0,"D",0
"01","3114",,16,,93
"01","3115",,10,,53
"01","3116",,63,,1379
"01","31161",,63,,1379
"01","3117",,43,,3413
"01","31171",,43,,3413
"01","3118",,63,,1892
"01","3119",,71,,3204
"01","312","D",0,"D",0
"01","313",,31,,724
"01","314",,59,,1712
"01","315",,353,,8353
"01","316",,84,,3969
"01","3161","D",0,"D",0
"01","31611","D",0,"D",0
"01","3162","D",0,"D",0
"01","31621","D",0,"D",0
"01","3169",,62,,2985
"01","31699",,62,,2985
"01","321",,450,,20312
"01","322","D",0,"D",0
"01","323",,280,,13249
"01","3231",,280,,13249
"01","324","D",0,"D",0
"01","3241","D",0,"D",0
"01","325",,121,,5807
"01","3251",,9,,1844
"01","3252",,6,,147
"01","3253",,18,,1078
"01","3254",,12,,393
"01","32541",,12,,393
"01","3255",,31,,834
"01","3256",,23,,577
"01","3259",,22,,934
"01","326",,66,,5060
"01","327",,117,,6419
"01","3271",,20,,998
"01","3272",,32,,1920
"01","32721",,32,,1920
"01","3273",,49,,2378
"01","3279",,16,,1123
"01","331",,55,,2629
"01","332",,565,,32316
"01","333",,232,,11899
"01","334",,88,,3363
"01","335",,78,,4731
"01","336",,117,,8736
"01","337",,255,,10270
"01","339",,705,,31369
"01","3391",,53,,2041
"01","33911",,53,,2041
"01","3399",,652,,29328
"01","42",,4730,,371276
"01","423",,2565,,226808
"01","4231",,323,,54375
"01","4232",,228,,12890
"01","4233",,152,,13039
"01","4234",,118,,10562
"01","4235",,60,,6640
"01","4236",,95,,6517
"01","4237",,68,,6598
"01","4238",,280,,35917
"01","4239",,1241,,80270
"01","42391",,159,,8059
"01","42392",,88,,2948
"01","42393",,126,,15085
"01","42394",,164,,7467
"01","42399",,704,,46711
"01","424",,1854,,120706
"01","4241",,81,,8695
"01","4242",,72,,7417
"01","42421",,72,,7417
"01","4243",,228,,10501
"01","4244",,399,,34642
"01","4245",,55,,4516
"01","4246",,41,,3604
"01","4247",,38,,5063
"01","4248",,29,,2376
"01","4249",,911,,43892
"01","42491",,32,,1437
"01","42492",,173,,4898
"01","42493",,206,,8172
"01","42494",,6,,577
"01","42495",,16,,1281
"01","42499",,478,,27527
"01","425",,310,,22103
"01","4251",,310,,22103
"01","42511",,47,,5388
"01","42512",,263,,16715
