b'"ST","NAICS","ESTAB_F","ESTAB","RCPTOT_N_F","RCPTOT_F","RCPTOT"
"01","00",,313813,"G",,13546553
"01","11",,4633,"G",,270218
"01","113",,1782,"G",,148185
"01","114",,1315,"G",,57860
"01","1141",,1090,"G",,51205
"01","11411",,1090,"G",,51205
"01","1142",,225,"G",,6655
"01","11421",,225,"G",,6655
"01","115",,1536,"G",,64173
"01","1151",,604,"G",,20957
"01","11511",,604,"G",,20957
"01","1152",,563,"G",,19325
"01","11521",,563,"G",,19325
"01","1153",,369,"G",,23891
"01","11531",,369,"G",,23891
"01","21",,667,"G",,50792
"01","211",,492,"G",,31532
"01","2111",,492,"G",,31532
"01","21111",,492,"G",,31532
"01","212",,88,"G",,10692
"01","2121",,33,"G",,2755
"01","21211",,33,"G",,2755
"01","2122",,4,"H",,152
"01","2123",,51,"G",,7785
"01","213",,87,"H",,8568
"01","2131",,87,"H",,8568
"01","21311",,87,"H",,8568
"01","22",,294,"G",,12004
"01","221",,294,"G",,12004
"01","23",,53028,"G",,3138764
"01","236",,13323,"G",,1225328
"01","2361",,11358,"G",,1100362
"01","2362",,1965,"G",,124966
"01","237",,1347,"G",,133727
"01","2371",,209,"G",,13032
"01","2372",,518,"G",,74525
"01","23721",,518,"G",,74525
"01","2373",,145,"H",,8464
"01","23731",,145,"H",,8464
"01","2379",,475,"G",,37706
"01","23799",,475,"G",,37706
"01","238",,38358,"G",,1779709
"01","2381",,8108,"G",,394157
"01","2382",,5699,"G",,268705
"01","23821",,2440,"G",,96723
"01","23822",,2910,"G",,158133
"01","23829",,349,"G",,13849
"01","2383",,14226,"G",,602053
"01","2389",,10325,"G",,514794
"01","311",,419,"G",,9938
"01","3111",,27,"G",,512
"01","31111",,27,"G",,512
"01","3112","D",0,"D","D",0
"01","3113","D",0,"D","D",0
"01","3114",,26,"H",,357
"01","3115",,12,"G",,93
"01","3116",,81,"G",,1981
"01","31161",,81,"G",,1981
"01","3117",,47,"G",,1547
"01","31171",,47,"G",,1547
"01","3118",,123,"G",,2805
"01","3119",,89,"G",,2377
"01","312",,14,"G",,760
"01","313",,33,"H",,1054
"01","31-33",,4369,"G",,204330
"01","314",,59,"H",,1591
"01","315",,361,"G",,9664
"01","316",,78,"H",,3177
"01","3161","D",0,"D","D",0
"01","31611","D",0,"D","D",0
"01","3162",,9,"G",,471
"01","31621",,9,"G",,471
"01","3169",,56,"G",,2043
"01","31699",,56,"G",,2043
"01","321",,417,"G",,18768
"01","322","D",0,"D","D",0
"01","323",,382,"G",,17217
"01","3231",,382,"G",,17217
"01","324",,30,"H",,1444
"01","3241",,30,"H",,1444
"01","325",,149,"G",,4940
"01","3251",,11,"H",,179
"01","3252","D",0,"D","D",0
"01","3253",,17,"H",,850
"01","3254",,13,"H",,454
"01","32541",,13,"H",,454
"01","3255",,34,"H",,951
"01","3256",,35,"G",,366
"01","3259",,33,"H",,1474
"01","326",,54,"H",,4785
"01","327",,120,"G",,5433
"01","3271",,25,"G",,293
"01","3272",,24,"G",,836
"01","32721",,24,"G",,836
"01","3273",,46,"G",,2829
"01","3274","D",0,"D","D",0
"01","3279",,22,"H",,1459
"01","331",,53,"G",,4378
"01","332",,545,"G",,35097
"01","333",,232,"G",,13264
"01","334",,98,"H",,5187
"01","335",,86,"H",,4310
"01","336",,138,"G",,10633
"01","337",,301,"G",,13843
"01","339",,772,"G",,36896
"01","3391",,75,"G",,4049
"01","33911",,75,"G",,4049
"01","3399",,697,"G",,32847
"01","42",,5230,"G",,424015
"01","423",,2723,"G",,251942
"01","4231",,341,"G",,45007
"01","4232",,234,"G",,15933
"01","4233",,160,"G",,20522
"01","4234",,161,"G",,10945
"01","4235",,60,"G",,7414
"01","4236",,125,"G",,12388
"01","4237",,68,"G",,5968
"01","4238",,263,"G",,32926
"01","4239",,1311,"G",,100839
"01","42391",,142,"G",,7082
"01","42392",,78,"G",,1829
"01","42393",,275,"G",,23571
"01","42394",,184,"G",,11827
"01","42399",,632,"G",,56530
"01","424",,1968,"G",,141603
"01","4241",,90,"G",,6358
"01","4242",,54,"H",,5720
"01","42421",,54,"H",,5720
"01","4243",,268,"G",,11023
"01","4244",,466,"G",,51517
"01","4245",,77,"H",,5507
"01","4246",,36,"G",,3429
"01","4247",,33,"G",,3687
"01","4248",,25,"G",,2989
"01","4249",,919,"G",,51373
"01","42491",,39,"H",,2447
"01","42492",,192,"G",,4072
"01","42493",,172,"G",,8203
"01","42494",,11,"H",,2868
"01","42495",,39,"G",,2127
"01","42499",,466,"G",,31656
"01","425",,539,"G",,30470
"01","4251",,539,"G",,30470
"01","42511",,75,"H",,5876
"01","42512",,464,"G",,24594
"01","441",,3877,"G",,526609
"01","4411",,2432,"G",,399002
"01","44112",,2432,"G",,399002
"01","4412",,758,"G",,66413
"01","44121",,104,"G",,14224
"01","44122",,654,"G",,52189
"01","441221",,76,"G",,6019
"01","441222",,67,"G",,4123
"01","441229",,511,"G",,42047
"01","4413",,687,"G",,61194
"01","442",,852,"G",,49951
"01","4421",,352,"G",,20533
"01","44211",,352,"G",,20533
"01","4422",,500,"G",,29418
"01","443",,476,"G",,23366
"01","4431",,476,"G",,23366
"01","44311",,319,"G",,16927
"01","443111",,111,"G",,4848
"01","443112",,208,"G",,12079
"01","44312",,131,"G",,5796
"01","44313",,26,"G",,643
"01","444",,778,"G",,56291
"01","4441",,494,"G",,38909
"01","44411",,34,"G",,1192
"01","44412",,38,"G",,2282
"01","44413",,100,"G",,8219
"01","44419",,322,"G",,27216
"01","4442",,284,"G",,17382
"01","44-45",,29883,"G",,1538756
"01","445",,1649,"G",,154869
"01","4451",,807,"G",,96710
"01","4452",,701,"G",,40326
"01","44521",,42,"H",,4359
"01","44522",,61,"G",,4279
"01","44523",,162,"G",,11097
"01","44529",,436,"G",,20591
"01","4453",,141,"G",,17833
"01","44531",,141,"G",,17833
"01","446",,2392,"G",,49951
"01","4461",,2392,"G",,49951
"01","44611",,132,"G",,5220
"01","44612",,1602,"G",,24860
"01","44613",,38,"G",,2896
"01","44619",,620,"G",,16975
"01","447",,470,"G",,92247
"01","4471",,470,"G",,92247
"01","448",,2172,"G",,79152
"01","4481",,1552,"G",,55256
"01","44811",,55,"G",,3189
"01","44812",,296,"G",,13368
"01","44813",,184,"G",,7413
"01","44814",,312,"G",,9297
"01","44815",,328,"G",,8819
"01","44819",,377,"G",,13170
"01","4482",,80,"G",,3083
"01","44821",,80,"G",,3083
