"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","00","-",,313667,"G",,11731899
"01","00","C",,13372,"G",,1579206
"01","00","S",,279497,"G",,7632343
"01","00","P",,20798,"G",,2520350
"01","11","-",,4367,"G",,193652
"01","11","C",,235,"G",,38361
"01","11","S",,3956,"G",,137093
"01","11","P",,176,"G",,18198
"01","113","-",,1533,"G",,92520
"01","113","C",,75,"G",,12148
"01","113","S",,1386,"G",,72015
"01","113","P",,72,"G",,8357
"01","114","-",,1270,"G",,46459
"01","114","C",,102,"G",,17220
"01","114","S",,1116,"G",,25021
"01","114","P",,52,"G",,4218
"01","1141","-",,1047,"G",,41085
"01","1141","C",,69,"G",,16058
"01","1141","S",,956,"G",,22286
"01","1141","P",,22,"H",,2741
"01","11411","-",,1047,"G",,41085
"01","11411","C",,69,"G",,16058
"01","11411","S",,956,"G",,22286
"01","11411","P",,22,"H",,2741
"01","1142","-",,223,"G",,5374
"01","1142","C",,33,"G",,1162
"01","1142","S",,160,"G",,2735
"01","1142","P",,30,"G",,1477
"01","11421","-",,223,"G",,5374
"01","11421","C",,33,"G",,1162
"01","11421","S",,160,"G",,2735
"01","11421","P",,30,"G",,1477
"01","115","-",,1564,"G",,54673
"01","115","C",,58,"G",,8993
"01","115","S",,1454,"G",,40057
"01","115","P",,52,"G",,5623
"01","1151","-",,593,"G",,17169
"01","1151","C",,19,"G",,4173
"01","1151","S",,556,"G",,10861
"01","1151","P",,18,"G",,2135
"01","11511","-",,593,"G",,17169
"01","11511","C",,19,"G",,4173
"01","11511","S",,556,"G",,10861
"01","11511","P",,18,"G",,2135
"01","1152","-",,606,"G",,20477
"01","1152","C",,15,"H",,1896
"01","1152","S",,576,"G",,17427
"01","1152","P",,15,"H",,1154
"01","11521","-",,606,"G",,20477
"01","11521","C",,15,"H",,1896
"01","11521","S",,576,"G",,17427
"01","11521","P",,15,"H",,1154
"01","1153","-",,365,"G",,17027
"01","1153","C",,24,"H",,2924
"01","1153","S",,322,"G",,11769
"01","1153","P",,19,"H",,2334
"01","11531","-",,365,"G",,17027
"01","11531","C",,24,"H",,2924
"01","11531","S",,322,"G",,11769
"01","11531","P",,19,"H",,2334
"01","21","-",,658,"G",,40657
"01","21","C",,55,"G",,8013
"01","21","S",,542,"G",,22550
"01","21","P",,61,"G",,10094
"01","211","-",,466,"G",,19275
"01","211","C",,26,"G",,2966
"01","211","S",,409,"G",,12202
"01","211","P",,31,"H",,4107
"01","2111","-",,466,"G",,19275
"01","2111","C",,26,"G",,2966
"01","2111","S",,409,"G",,12202
"01","2111","P",,31,"H",,4107
"01","21111","-",,466,"G",,19275
"01","21111","C",,26,"G",,2966
"01","21111","S",,409,"G",,12202
"01","21111","P",,31,"H",,4107
"01","212","-",,94,"G",,7292
"01","212","C",,22,"H",,2857
"01","212","S",,60,"G",,3037
"01","212","P",,12,"G",,1398
"01","2121","-",,34,"G",,2432
"01","2121","C","D",0,"D","D",0
"01","2121","S",,27,"H",,986
"01","2121","P","D",0,"D","D",0
"01","21211","-",,34,"G",,2432
"01","21211","C","D",0,"D","D",0
"01","21211","S",,27,"H",,986
"01","21211","P","D",0,"D","D",0
"01","2122","-","D",0,"D","D",0
"01","2122","C","D",0,"D","D",0
"01","2122","S","D",0,"D","D",0
"01","2123","-",,53,"G",,4784
"01","2123","C",,16,"H",,2037
"01","2123","S",,27,"H",,2016
"01","2123","P",,10,"H",,731
"01","213","-",,98,"G",,14090
"01","213","C",,7,"H",,2190
"01","213","S",,73,"G",,7311
"01","213","P",,18,"G",,4589
"01","2131","-",,98,"G",,14090
"01","2131","C",,7,"H",,2190
"01","2131","S",,73,"G",,7311
"01","2131","P",,18,"G",,4589
"01","21311","-",,98,"G",,14090
"01","21311","C",,7,"H",,2190
"01","21311","S",,73,"G",,7311
"01","21311","P",,18,"G",,4589
"01","22","-",,263,"G",,8863
"01","22","C",,21,"G",,2065
"01","22","S",,223,"G",,4436
"01","22","P",,19,"G",,2362
"01","221","-",,263,"G",,8863
"01","221","C",,21,"G",,2065
"01","221","S",,223,"G",,4436
"01","221","P",,19,"G",,2362
"01","23","-",,46122,"G",,2159572
"01","23","C",,1922,"G",,316739
"01","23","S",,42981,"G",,1636659
