"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","00","-",,318136,"G",,13067040
"01","00","C",,2313,"G",,306983
"01","00","Z",,10367,"G",,1352867
"01","00","S",,283393,"G",,8642534
"01","00","P",,22063,"G",,2764656
"01","11","-",,4207,"G",,205776
"01","11","C",,38,"G",,5083
"01","11","Z",,148,"G",,27527
"01","11","S",,3837,"G",,149370
"01","11","P",,184,"G",,23796
"01","113","-",,1442,"G",,95480
"01","113","C",,15,"H",,2341
"01","113","Z",,48,"H",,5759
"01","113","S",,1300,"G",,74541
"01","113","P",,79,"G",,12839
"01","114","-",,1285,"G",,55036
"01","114","C","D",0,"D","D",0
"01","114","Z",,69,"G",,16113
"01","114","S",,1143,"G",,31693
"01","114","P",,62,"G",,5806
"01","1141","-",,1029,"G",,48393
"01","1141","C","D",0,"D","D",0
"01","1141","Z",,50,"G",,14595
"01","1141","S",,944,"G",,27882
"01","1141","P",,29,"G",,4920
"01","11411","-",,1029,"G",,48393
"01","11411","C","D",0,"D","D",0
"01","11411","Z",,50,"G",,14595
"01","11411","S",,944,"G",,27882
"01","11411","P",,29,"G",,4920
"01","1142","-",,256,"G",,6643
"01","1142","C","D",0,"D","D",0
"01","1142","Z",,19,"G",,1518
"01","1142","S",,199,"G",,3811
"01","1142","P",,33,"G",,886
"01","11421","-",,256,"G",,6643
"01","11421","C","D",0,"D","D",0
"01","11421","Z",,19,"G",,1518
"01","11421","S",,199,"G",,3811
"01","11421","P",,33,"G",,886
"01","115","-",,1480,"G",,55260
"01","115","C",,12,"H",,1318
"01","115","Z",,31,"H",,5655
"01","115","S",,1394,"G",,43136
"01","115","P",,43,"H",,5151
"01","1151","-",,610,"G",,16037
"01","1151","C",,5,"H",,154
"01","1151","Z",,10,"H",,2500
"01","1151","S",,582,"G",,11541
"01","1151","P",,13,"H",,1842
"01","11511","-",,610,"G",,16037
"01","11511","C",,5,"H",,154
"01","11511","Z",,10,"H",,2500
"01","11511","S",,582,"G",,11541
"01","11511","P",,13,"H",,1842
"01","1152","-",,497,"G",,18342
"01","1152","C","D",0,"D","D",0
"01","1152","Z",,6,"G",,442
"01","1152","S",,477,"G",,16845
"01","1152","P",,13,"G",,1053
"01","11521","-",,497,"G",,18342
"01","11521","C","D",0,"D","D",0
"01","11521","Z",,6,"G",,442
"01","11521","S",,477,"G",,16845
"01","11521","P",,13,"G",,1053
"01","1153","-",,373,"G",,20881
"01","1153","C",,6,"H",,1162
"01","1153","Z",,15,"H",,2713
"01","1153","S",,335,"G",,14750
"01","1153","P",,17,"H",,2256
"01","11531","-",,373,"G",,20881
"01","11531","C",,6,"H",,1162
"01","11531","Z",,15,"H",,2713
"01","11531","S",,335,"G",,14750
"01","11531","P",,17,"H",,2256
"01","21","-",,708,"G",,43602
"01","21","C",,6,"G",,1285
"01","21","Z",,43,"H",,6446
"01","21","S",,612,"G",,28149
"01","21","P",,47,"H",,7722
"01","211","-",,520,"G",,27006
"01","211","C","D",0,"D","D",0
