"ST","NAICS","LFO","ESTAB_F","ESTAB","RCPTOT_N_F","RCPTOT_F","RCPTOT"
"01","00","-",,350480,"G",,16016533
"01","00","C",,2055,"G",,291138
"01","00","Z",,10958,"G",,1542205
"01","00","S",,313241,"G",,10944576
"01","00","P",,24226,"G",,3238614
"01","11","-",,4473,"G",,221571
"01","11","C",,34,"G",,4748
"01","11","Z",,158,"G",,30820
"01","11","S",,4074,"G",,160723
"01","11","P",,207,"G",,25280
"01","113","-",,1335,"G",,91659
"01","113","C",,13,"H",,1980
"01","113","Z",,50,"G",,8958
"01","113","S",,1193,"G",,70969
"01","113","P",,79,"G",,9752
"01","114","-",,1257,"G",,62075
"01","114","C",,10,"H",,2265
"01","114","Z",,66,"G",,13868
"01","114","S",,1112,"G",,39405
"01","114","P",,69,"G",,6537
"01","1141","-",,994,"G",,50916
"01","1141","C",,4,"H",,1447
"01","1141","Z",,51,"G",,12859
"01","1141","S",,909,"G",,31464
"01","1141","P",,30,"G",,5146
"01","11411","-",,994,"G",,50916
"01","11411","C",,4,"H",,1447
"01","11411","Z",,51,"G",,12859
"01","11411","S",,909,"G",,31464
"01","11411","P",,30,"G",,5146
"01","1142","-",,263,"G",,11159
"01","1142","C",,6,"H",,818
"01","1142","Z",,15,"H",,1009
"01","1142","S",,203,"H",,7941
"01","1142","P",,39,"G",,1391
"01","11421","-",,263,"G",,11159
"01","11421","C",,6,"H",,818
"01","11421","Z",,15,"H",,1009
"01","11421","S",,203,"H",,7941
"01","11421","P",,39,"G",,1391
"01","115","-",,1881,"G",,67837
"01","115","C",,11,"G",,503
"01","115","Z",,42,"G",,7994
"01","115","S",,1769,"G",,50349
"01","115","P",,59,"G",,8991
"01","1151","-",,725,"G",,17735
"01","1151","C",,5,"J",,209
"01","1151","Z",,10,"H",,2480
"01","1151","S",,694,"G",,12641
"01","1151","P",,16,"H",,2405
"01","11511","-",,725,"G",,17735
"01","11511","C",,5,"J",,209
"01","11511","Z",,10,"H",,2480
"01","11511","S",,694,"G",,12641
"01","11511","P",,16,"H",,2405
"01","1152","-",,827,"G",,27709
"01","1152","Z",,8,"H",,891
"01","1152","S",,797,"G",,23963
"01","1152","P",,20,"G",,2799
"01","11521","-",,827,"G",,27709
"01","11521","Z",,8,"H",,891
"01","11521","S",,797,"G",,23963
"01","11521","P",,20,"G",,2799
"01","1153","-",,329,"G",,22393
"01","1153","C",,4,"J",,238
"01","1153","Z",,24,"G",,4623
"01","1153","S",,278,"G",,13745
"01","1153","P",,23,"G",,3787
"01","11531","-",,329,"G",,22393
"01","11531","C",,4,"J",,238
"01","11531","Z",,24,"G",,4623
"01","11531","S",,278,"G",,13745
"01","11531","P",,23,"G",,3787
"01","21","-",,263,"G",,15489
"01","21","C",,4,"J",,818
"01","21","Z",,30,"G",,3654
"01","21","S",,202,"H",,8647
"01","21","P",,27,"G",,2370
"01","211","-",,93,"G",,4389
"01","211","Z",,6,"J",,550
"01","211","S",,69,"H",,2372
"01","211","P",,18,"G",,1467
"01","2111","-",,93,"G",,4389
"01","2111","Z",,6,"J",,550
"01","2111","S",,69,"H",,2372
"01","2111","P",,18,"G",,1467
"01","21112","-",,68,"G",,3796
"01","21112","Z",,6,"J",,550
"01","21112","S",,49,"H",,1948
"01","21112","P",,13,"G",,1298
"01","21113","-",,25,"H",,593
"01","21113","S",,20,"H",,424
"01","21113","P",,5,"H",,169
"01","212","-",,82,"G",,5925
"01","212","C",,4,"J",,818
"01","212","Z",,15,"G",,2184
"01","212","S",,59,"H",,2572
"01","212","P",,4,"H",,351
"01","2121","-",,26,"G",,428
"01","2121","S",,24,"G",,359
"01","21211","-",,26,"G",,428
"01","21211","S",,24,"G",,359
"01","2122","-",,5,"J",,107
"01","2122","S",,4,"G",,29
"01","2123","-",,51,"G",,5390
"01","2123","C",,4,"J",,818
"01","2123","Z",,12,"G",,2037
"01","2123","S",,31,"J",,2184
"01","2123","P",,4,"H",,351
"01","213","-",,88,"G",,5175
"01","213","Z",,9,"G",,920
"01","213","S",,74,"G",,3703
"01","213","P",,5,"H",,552
"01","2131","-",,88,"G",,5175
"01","2131","Z",,9,"G",,920
"01","2131","S",,74,"G",,3703
"01","2131","P",,5,"H",,552
"01","21311","-",,88,"G",,5175
"01","21311","Z",,9,"G",,920
"01","21311","S",,74,"G",,3703
"01","21311","P",,5,"H",,552
"01","22","-",,169,"G",,8693
"01","22","C",,5,"H",,603
"01","22","Z",,11,"H",,1001
"01","22","S",,137,"G",,3693
"01","22","P",,16,"G",,3396
"01","221","-",,169,"G",,8693
"01","221","C",,5,"H",,603
"01","221","Z",,11,"H",,1001
"01","221","S",,137,"G",,3693
"01","221","P",,16,"G",,3396
"01","23","-",,45890,"G",,3159644
