,ST,CTY,FULL_FIPS,YEAR,ESTAB_F,ESTAB,RCPTOT_F,RCPTOT
537,01,003,01003,2000,D,0,D,0
1460,01,009,01009,2000,D,0,D,0
1730,01,011,01011,2000,D,0,D,0
1980,01,013,01013,2000,D,0,D,0
2318,01,015,01015,2000,D,0,D,0
2670,01,017,01017,2000,D,0,D,0
3276,01,021,01021,2000,D,0,D,0
4628,01,031,01031,2000,D,0,D,0
4961,01,033,01033,2000,D,0,D,0
5747,01,039,01039,2000,D,0,D,0
6337,01,043,01043,2000,D,0,D,0
6684,01,045,01045,2000,D,0,D,0
7010,01,047,01047,2000,D,0,D,0
7738,01,051,01051,2000,D,0,D,0
8066,01,053,01053,2000,D,0,D,0
8425,01,055,01055,2000,D,0,D,0
10379,01,069,01069,2000,D,0,D,0
10762,01,071,01071,2000,D,0,D,0
11169,01,073,01073,2000,D,0,D,0
11827,01,077,01077,2000,D,0,D,0
12512,01,081,01081,2000,D,0,D,0
12876,01,083,01083,2000,D,0,D,0
13693,01,089,01089,2000,D,0,D,0
14026,01,091,01091,2000,D,0,D,0
14328,01,093,01093,2000,D,0,D,0
14681,01,095,01095,2000,D,0,D,0
15108,01,097,01097,2000,D,0,D,0
15823,01,101,01101,2000,D,0,D,0
16232,01,103,01103,2000,D,0,D,0
17037,01,109,01109,2000,D,0,D,0
17612,01,113,01113,2000,D,0,D,0
17955,01,115,01115,2000,D,0,D,0
18349,01,117,01117,2000,D,0,D,0
18955,01,121,01121,2000,D,0,D,0
19657,01,125,01125,2000,D,0,D,0
20053,01,127,01127,2000,D,0,D,0
21013,02,013,02013,2000,D,0,D,0
21140,02,016,02016,2000,D,0,D,0
21453,02,020,02020,2000,,222,,7679000
21746,02,050,02050,2000,D,0,D,0
21944,02,060,02060,2000,D,0,D,0
22252,02,070,02070,2000,D,0,D,0
22548,02,090,02090,2000,,25,,939000
22834,02,100,02100,2000,D,0,D,0
23097,02,110,02110,2000,D,0,D,0
23476,02,122,02122,2000,,11,,245000
23786,02,130,02130,2000,D,0,D,0
24081,02,150,02150,2000,D,0,D,0
24546,02,170,02170,2000,D,0,D,0
24819,02,180,02180,2000,D,0,D,0
24994,02,185,02185,2000,D,0,D,0
25316,02,201,02201,2000,D,0,D,0
25525,02,220,02220,2000,D,0,D,0
25740,02,232,02232,2000,D,0,D,0
26224,02,261,02261,2000,D,0,D,0
26397,02,270,02270,2000,D,0,D,0
26588,02,280,02280,2000,D,0,D,0
26764,02,282,02282,2000,D,0,D,0
26899,02,290,02290,2000,D,0,D,0
27553,04,003,04003,2000,,18,,295000
27944,04,005,04005,2000,D,0,D,0
28650,04,009,04009,2000,D,0,D,0
29529,04,013,04013,2000,,682,,20585000
29952,04,015,04015,2000,D,0,D,0
30783,04,019,04019,2000,,131,,2700000
31199,04,021,04021,2000,,10,,141000
31575,04,023,04023,2000,,80,,1339000
31969,04,025,04025,2000,D,0,D,0
32376,04,027,04027,2000,,39,,648000
33325,05,005,05005,2000,D,0,D,0
33708,05,007,05007,2000,D,0,D,0
34827,05,015,05015,2000,D,0,D,0
35106,05,017,05017,2000,D,0,D,0
35364,05,019,05019,2000,D,0,D,0
35935,05,023,05023,2000,D,0,D,0
36756,05,029,05029,2000,D,0,D,0
37086,05,031,05031,2000,D,0,D,0
37458,05,033,05033,2000,D,0,D,0
37783,05,035,05035,2000,D,0,D,0
38299,05,039,05039,2000,D,0,D,0
40046,05,051,05051,2000,D,0,D,0
40644,05,055,05055,2000,D,0,D,0
40950,05,057,05057,2000,D,0,D,0
41245,05,059,05059,2000,D,0,D,0
41807,05,063,05063,2000,D,0,D,0
42665,05,069,05069,2000,D,0,D,0
43235,05,073,05073,2000,D,0,D,0
43720,05,077,05077,2000,D,0,D,0
44423,05,083,05083,2000,D,0,D,0
44724,05,085,05085,2000,D,0,D,0
45909,05,093,05093,2000,D,0,D,0
47131,05,103,05103,2000,D,0,D,0
47394,05,105,05105,2000,D,0,D,0
48224,05,111,05111,2000,D,0,D,0
48523,05,113,05113,2000,D,0,D,0
48844,05,115,05115,2000,D,0,D,0
49477,05,119,05119,2000,D,0,D,0
50116,05,123,05123,2000,D,0,D,0
50445,05,125,05125,2000,D,0,D,0
51345,05,131,05131,2000,D,0,D,0
51938,05,135,05135,2000,D,0,D,0
52531,05,139,05139,2000,D,0,D,0
53214,05,143,05143,2000,D,0,D,0
53599,05,145,05145,2000,D,0,D,0
54496,06,001,06001,2000,,776,,22742000
54995,06,005,06005,2000,D,0,D,0
55394,06,007,06007,2000,,24,,483000
56080,06,011,06011,2000,D,0,D,0
56452,06,013,06013,2000,,401,,11775000
56802,06,015,06015,2000,D,0,D,0
57165,06,017,06017,2000,,16,,472000
57599,06,019,06019,2000,D,0,D,0
57968,06,021,06021,2000,D,0,D,0
58326,06,023,06023,2000,D,0,D,0
58710,06,025,06025,2000,,30,,618000
59052,06,027,06027,2000,D,0,D,0
59454,06,029,06029,2000,,16,,447000
59848,06,031,06031,2000,D,0,D,0
60220,06,033,06033,2000,D,0,D,0
60542,06,035,06035,2000,D,0,D,0
60949,06,037,06037,2000,,3499,,100329000
61369,06,039,06039,2000,D,0,D,0
61778,06,041,06041,2000,,93,,2821000
62131,06,043,06043,2000,D,0,D,0
62495,06,045,06045,2000,D,0,D,0
62885,06,047,06047,2000,,11,,184000
63467,06,051,06051,2000,D,0,D,0
63848,06,053,06053,2000,D,0,D,0
64260,06,055,06055,2000,,24,,459000
64670,06,057,06057,2000,,10,,171000
65116,06,059,06059,2000,,405,,13011000
65563,06,061,06061,2000,,20,,1114000
66340,06,065,06065,2000,,161,,6458000
66800,06,067,06067,2000,,242,,6168000
67192,06,069,06069,2000,D,0,D,0
67631,06,071,06071,2000,,123,,4326000
68094,06,073,06073,2000,,965,,23310000
68547,06,075,06075,2000,,1291,,36071000
68999,06,077,06077,2000,,72,,1671000
69438,06,079,06079,2000,D,0,D,0
69884,06,081,06081,2000,,739,,27465000
70328,06,083,06083,2000,,71,,1680000
70781,06,085,06085,2000,,478,,17102000
71223,06,087,06087,2000,,30,,999000
71649,06,089,06089,2000,D,0,D,0
72211,06,093,06093,2000,D,0,D,0
72613,06,095,06095,2000,,77,,2696000
73061,06,097,06097,2000,,63,,2628000
73500,06,099,06099,2000,,22,,675000
73892,06,101,06101,2000,D,0,D,0
74262,06,103,06103,2000,D,0,D,0
74573,06,105,06105,2000,D,0,D,0
74946,06,107,06107,2000,D,0,D,0
75335,06,109,06109,2000,,11,,193000
75768,06,111,06111,2000,,72,,2806000
76194,06,113,06113,2000,,37,,1165000
76562,06,115,06115,2000,D,0,D,0
76962,08,001,08001,2000,,78,,1902000
77295,08,003,08003,2000,D,0,D,0
77684,08,005,08005,2000,,292,,8760000
78057,08,007,08007,2000,D,0,D,0
78846,08,013,08013,2000,,40,,980000
79931,08,021,08021,2000,D,0,D,0
81246,08,031,08031,2000,,348,,10211000
81822,08,035,08035,2000,,12,,438000
82195,08,037,08037,2000,,15,,281000
82536,08,039,08039,2000,D,0,D,0
82932,08,041,08041,2000,,75,,2141000
83329,08,043,08043,2000,D,0,D,0
83699,08,045,08045,2000,D,0,D,0
84552,08,051,08051,2000,D,0,D,0
84978,08,055,08055,2000,D,0,D,0
85536,08,059,08059,2000,,103,,2501000
86216,08,065,08065,2000,D,0,D,0
86963,08,069,08069,2000,D,0,D,0
87307,08,071,08071,2000,D,0,D,0
87832,08,075,08075,2000,D,0,D,0
88207,08,077,08077,2000,D,0,D,0
88687,08,081,08081,2000,D,0,D,0
89360,08,085,08085,2000,D,0,D,0
90013,08,089,08089,2000,D,0,D,0
90570,08,093,08093,2000,D,0,D,0
91070,08,097,08097,2000,D,0,D,0
92638,08,107,08107,2000,D,0,D,0
92941,08,109,08109,2000,D,0,D,0
93302,08,113,08113,2000,D,0,D,0
93792,08,117,08117,2000,D,0,D,0
