,STATE_CODE,YEAR,NAICS,ESTAB_F,ESTAB,RCPTOT_F,RCPTOT,RCPTOT_N_F,LFO
251,01,2000,4853,,202,,3861000,,
707,02,2000,4853,,463,,14150000,,
1171,04,2000,4853,,1002,,26613000,,
1636,05,2000,4853,,88,,1894000,,
2103,06,2000,4853,,10019,,296422000,,
2570,08,2000,4853,,1080,,30665000,,
3035,09,2000,4853,,860,,33602000,,
3483,10,2000,4853,,61,,1544000,,
3914,11,2000,4853,,1051,,18502000,,
4379,12,2000,4853,,6267,,158940000,,
4843,13,2000,4853,,2477,,57238000,,
5301,15,2000,4853,,1409,,33081000,,
5755,16,2000,4853,D,0,D,0,,
6222,17,2000,4853,,9895,,253197000,,
6689,18,2000,4853,,669,,15556000,,
7145,19,2000,4853,,186,,3987000,,
7607,20,2000,4853,,217,,3533000,,
8074,21,2000,4853,,531,,12636000,,
8539,22,2000,4853,,1507,,28774000,,
8998,23,2000,4853,,198,,4585000,,
9463,24,2000,4853,,4157,,92585000,,
9927,25,2000,4853,,4557,,122269000,,
10394,26,2000,4853,,1202,,28319000,,
10861,27,2000,4853,,1261,,32253000,,
11327,28,2000,4853,,169,,4724000,,
11794,29,2000,4853,,1013,,20804000,,
12257,30,2000,4853,,13,,218000,,
12721,31,2000,4853,,79,,1542000,,
13187,32,2000,4853,,242,,4407000,,
13641,33,2000,4853,,211,,5604000,,
14104,34,2000,4853,,6847,,241239000,,
14570,35,2000,4853,D,0,D,0,,
15037,36,2000,4853,,45186,,1383425000,,
15504,37,2000,4853,,1337,,26981000,,
15960,38,2000,4853,D,0,D,0,,
16425,39,2000,4853,,1884,,35868000,,
16892,40,2000,4853,,278,,6226000,,
17359,41,2000,4853,,591,,16110000,,
17826,42,2000,4853,,2573,,62934000,,
18277,44,2000,4853,,290,,6549000,,
18735,45,2000,4853,,429,,8939000,,
19191,46,2000,4853,D,0,D,0,,
19654,47,2000,4853,,578,,14634000,,
20121,48,2000,4853,,4344,,113774000,,
