,Full_FIPS_Code,YEAR,ESTAB_F_DRIVER,DRIVER_NONEMP_ESTAB,RCPTOT_F_DRIVER,DRIVER_NONEMP_RCPTOT,DRIVER_NONEMP_RCPTOT_REAL
0,01003,2000,D,0,D,0,0.0
1,01009,2000,D,0,D,0,0.0
2,01011,2000,D,0,D,0,0.0
3,01013,2000,D,0,D,0,0.0
4,01015,2000,D,0,D,0,0.0
5,01017,2000,D,0,D,0,0.0
6,01021,2000,D,0,D,0,0.0
7,01031,2000,D,0,D,0,0.0
8,01033,2000,D,0,D,0,0.0
9,01039,2000,D,0,D,0,0.0
10,01043,2000,D,0,D,0,0.0
11,01045,2000,D,0,D,0,0.0
12,01047,2000,D,0,D,0,0.0
13,01051,2000,D,0,D,0,0.0
14,01053,2000,D,0,D,0,0.0
15,01055,2000,D,0,D,0,0.0
16,01069,2000,D,0,D,0,0.0
17,01071,2000,D,0,D,0,0.0
18,01073,2000,D,0,D,0,0.0
19,01077,2000,D,0,D,0,0.0
20,01081,2000,D,0,D,0,0.0
21,01083,2000,D,0,D,0,0.0
22,01089,2000,D,0,D,0,0.0
23,01091,2000,D,0,D,0,0.0
24,01093,2000,D,0,D,0,0.0
25,01095,2000,D,0,D,0,0.0
26,01097,2000,D,0,D,0,0.0
27,01101,2000,D,0,D,0,0.0
28,01103,2000,D,0,D,0,0.0
29,01109,2000,D,0,D,0,0.0
30,01113,2000,D,0,D,0,0.0
31,01115,2000,D,0,D,0,0.0
32,01117,2000,D,0,D,0,0.0
33,01121,2000,D,0,D,0,0.0
34,01125,2000,D,0,D,0,0.0
35,01127,2000,D,0,D,0,0.0
36,02013,2000,D,0,D,0,0.0
37,02016,2000,D,0,D,0,0.0
38,02020,2000,,222,,7679000,4464534.88
39,02050,2000,D,0,D,0,0.0
40,02060,2000,D,0,D,0,0.0
41,02070,2000,D,0,D,0,0.0
42,02090,2000,,25,,939000,545930.23
43,02100,2000,D,0,D,0,0.0
44,02110,2000,D,0,D,0,0.0
45,02122,2000,,11,,245000,142441.86
46,02130,2000,D,0,D,0,0.0
47,02150,2000,D,0,D,0,0.0
48,02170,2000,D,0,D,0,0.0
49,02180,2000,D,0,D,0,0.0
50,02185,2000,D,0,D,0,0.0
51,02201,2000,D,0,D,0,0.0
52,02220,2000,D,0,D,0,0.0
53,02232,2000,D,0,D,0,0.0
54,02261,2000,D,0,D,0,0.0
55,02270,2000,D,0,D,0,0.0
56,02280,2000,D,0,D,0,0.0
57,02282,2000,D,0,D,0,0.0
58,02290,2000,D,0,D,0,0.0
59,04003,2000,,18,,295000,171511.63
60,04005,2000,D,0,D,0,0.0
61,04009,2000,D,0,D,0,0.0
62,04013,2000,,682,,20585000,11968023.26
63,04015,2000,D,0,D,0,0.0
64,04019,2000,,131,,2700000,1569767.44
65,04021,2000,,10,,141000,81976.74
66,04023,2000,,80,,1339000,778488.37
67,04025,2000,D,0,D,0,0.0
68,04027,2000,,39,,648000,376744.19
69,05005,2000,D,0,D,0,0.0
70,05007,2000,D,0,D,0,0.0
