USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01001	00161526	Autauga County	1539584445	25773562	     594.437	       9.951	 32.536382	 -86.644490                                                                                                   
AL	01003	00161527	Baldwin County	4117666504	1133047238	    1589.840	     437.472	 30.659218	 -87.746067                                                                                                 
AL	01005	00161528	Barbour County	2291818949	50864677	     884.876	      19.639	 31.870253	 -85.405104                                                                                                   
AL	01007	00161529	Bibb County	1612481789	9287962	     622.583	       3.586	 33.015893	 -87.127148                                                                                                       
AL	01009	00161530	Blount County	1670041831	15077459	     644.807	       5.821	 33.977448	 -86.567246                                                                                                    
AL	01011	00161531	Bullock County	1613058454	6055020	     622.805	       2.338	 32.101759	 -85.717261                                                                                                    
AL	01013	00161532	Butler County	2011976232	2727475	     776.828	       1.053	 31.751667	 -86.681969                                                                                                     
AL	01015	00161533	Calhoun County	1569185180	16629197	     605.866	       6.421	 33.771706	 -85.822513                                                                                                   
AL	01017	00161534	Chambers County	1545009302	17048126	     596.531	       6.582	 32.915504	 -85.394032                                                                                                  
AL	01019	00161535	Cherokee County	1434129448	119805389	     553.720	      46.257	 34.069515	 -85.654242                                                                                                 
AL	01021	00161536	Chilton County	1794483678	20586275	     692.854	       7.948	 32.854051	 -86.726607                                                                                                   
AL	01023	00161537	Choctaw County	2365954838	19059247	     913.500	       7.359	 31.990997	 -88.248908                                                                                                   
AL	01025	00161538	Clarke County	3207609375	36542657	    1238.465	      14.109	 31.685521	 -87.818624                                                                                                    
AL	01027	00161539	Clay County	1564252294	5284605	     603.961	       2.040	 33.267809	 -85.862051                                                                                                       
AL	01029	00161540	Cleburne County	1450663486	2354897	     560.104	       0.909	 33.671964	 -85.516126                                                                                                   
AL	01031	00161541	Coffee County	1758570095	3903455	     678.988	       1.507	 31.402258	 -85.989602                                                                                                     
AL	01033	00161542	Colbert County	1534878356	80029921	     592.620	      30.900	 34.703112	 -87.801457                                                                                                   
AL	01035	00161543	Conecuh County	2201896153	6643478	     850.157	       2.565	 31.428292	 -86.992029                                                                                                    
AL	01037	00161544	Coosa County	1685891158	39946547	     650.926	      15.423	 32.931445	 -86.243482                                                                                                     
AL	01039	00161545	Covington County	2668869757	34526028	    1030.456	      13.331	 31.243987	 -86.448721                                                                                                 
AL	01041	00161546	Crenshaw County	1576887982	5376388	     608.840	       2.076	 31.732826	 -86.319222                                                                                                   
AL	01043	00161547	Cullman County	1903376439	52118794	     734.898	      20.123	 34.131923	 -86.869267                                                                                                   
AL	01045	00161548	Dale County	1453371200	4016457	     561.150	       1.551	 31.430654	 -85.609476                                                                                                       
AL	01047	00161549	Dallas County	2534807359	39134782	     978.695	      15.110	 32.333540	 -87.114356                                                                                                    
AL	01049	00161550	DeKalb County	2012664442	4121502	     777.094	       1.591	 34.460929	 -85.803992                                                                                                     
AL	01051	00161551	Elmore County	1601871294	99858809	     618.486	      38.556	 32.597229	 -86.142738                                                                                                    
AL	01053	00161552	Escambia County	2447747086	20873009	     945.080	       8.059	 31.121747	 -87.168429                                                                                                  
AL	01055	00161553	Etowah County	1386505898	34436545	     535.333	      13.296	 34.047648	 -86.034522                                                                                                    
AL	01057	00161554	Fayette County	1625693532	4330882	     627.684	       1.672	 33.716157	 -87.764292                                                                                                    
AL	01059	00161555	Franklin County	1641580749	32904835	     633.818	      12.705	 34.441989	 -87.842814                                                                                                  
AL	01061	00161556	Geneva County	1487710591	11765117	     574.408	       4.543	 31.092392	 -85.821011                                                                                                    
AL	01063	00161557	Greene County	1676006866	33231189	     647.110	      12.831	 32.844497	 -87.964200                                                                                                    
AL	01065	00161558	Hale County	1667803981	32525876	     643.943	      12.558	 32.752796	 -87.623061                                                                                                      
AL	01067	00161559	Henry County	1454926276	16986823	     561.750	       6.559	 31.516978	 -85.239971                                                                                                     
AL	01069	00161560	Houston County	1501741657	4736012	     579.826	       1.829	 31.158193	 -85.296398                                                                                                    
