,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,FIPS_Txt,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,3,6,1,0,Alabama,Alabama,1000,4452173.00,4467634.00,4480089.00,4503491.00,4530729.00,4569805.00,4628981.00,4672840.00,4718206.00,4757938.00,,,,,,,,,,,,,
1,3,6,1,1,Alabama,Autauga County,1001,44021.00,44889.00,45909.00,46800.00,48366.00,49676.00,51328.00,52405.00,53277.00,54135.00,54773.00,55227.00,54954.00,54727.00,54893.00,54864.00,55243.00,55390.00,55533.00,55869.00,58902.00,59210.00,59759.00
2,3,6,1,3,Alabama,Baldwin County,1003,141342.00,144875.00,147957.00,151509.00,156266.00,162183.00,168121.00,172404.00,175827.00,179406.00,183112.00,186558.00,190145.00,194885.00,199183.00,202939.00,207601.00,212521.00,217855.00,223234.00,233219.00,239361.00,246435.00
3,3,6,1,5,Alabama,Barbour County,1005,29015.00,28863.00,28653.00,28594.00,28287.00,28027.00,27861.00,27757.00,27808.00,27657.00,27327.00,27341.00,27169.00,26937.00,26755.00,26283.00,25806.00,25157.00,24872.00,24686.00,24960.00,24539.00,24706.00
4,3,6,1,7,Alabama,Bibb County,1007,19913.00,21028.00,21199.00,21399.00,21721.00,22042.00,22099.00,22438.00,22705.00,22941.00,22870.00,22745.00,22667.00,22521.00,22553.00,22566.00,22586.00,22550.00,22367.00,22394.00,22183.00,22370.00,22005.00
5,3,6,1,9,Alabama,Blount County,1009,51107.00,51845.00,52551.00,53457.00,54124.00,54624.00,55485.00,56240.00,57055.00,57341.00,57376.00,57560.00,57580.00,57619.00,57526.00,57526.00,57494.00,57787.00,57771.00,57826.00,59102.00,59085.00,59512.00
6,3,6,1,11,Alabama,Bullock County,1011,11581.00,11358.00,11256.00,11316.00,11056.00,11011.00,10776.00,11011.00,10953.00,10987.00,10876.00,10675.00,10606.00,10549.00,10663.00,10400.00,10389.00,10176.00,10174.00,10101.00,10296.00,10280.00,10202.00
7,3,6,1,13,Alabama,Butler County,1013,21325.00,21139.00,20803.00,20833.00,20870.00,20830.00,20815.00,20894.00,20949.00,20867.00,20932.00,20866.00,20670.00,20356.00,20327.00,20162.00,20012.00,19888.00,19631.00,19448.00,19031.00,18855.00,18650.00
8,3,6,1,15,Alabama,Calhoun County,1015,111081.00,111266.00,111625.00,112705.00,113462.00,114477.00,115388.00,116211.00,117274.00,118363.00,118408.00,117744.00,117190.00,116471.00,115917.00,115469.00,114973.00,114710.00,114331.00,113605.00,116239.00,115677.00,115788.00
9,3,6,1,17,Alabama,Chambers County,1017,36571.00,36274.00,35965.00,35680.00,35463.00,35279.00,34945.00,34847.00,34563.00,34384.00,34122.00,34033.00,34104.00,34139.00,33977.00,33996.00,33745.00,33707.00,33600.00,33254.00,34645.00,34446.00,34088.00
10,3,6,1,19,Alabama,Cherokee County,1019,24006.00,24182.00,24403.00,24591.00,24887.00,25031.00,25466.00,25553.00,25636.00,25854.00,25963.00,25989.00,25958.00,26017.00,25895.00,25732.00,25768.00,25805.00,26014.00,26196.00,24972.00,25026.00,25302.00
11,3,6,1,21,Alabama,Chilton County,1021,39897.00,40197.00,40683.00,41079.00,41534.00,41946.00,42318.00,42881.00,43239.00,43484.00,43653.00,43689.00,43582.00,43628.00,43760.00,43700.00,43866.00,44120.00,44163.00,44428.00,45051.00,45259.00,45884.00
12,3,6,1,23,Alabama,Choctaw County,1023,15875.00,15677.00,15367.00,15199.00,14930.00,14545.00,14431.00,14216.00,14114.00,13976.00,13849.00,13609.00,13563.00,13397.00,13317.00,13231.00,13045.00,12925.00,12833.00,12589.00,12619.00,12549.00,12439.00
13,3,6,1,25,Alabama,Clarke County,1025,27819.00,27624.00,27267.00,27090.00,26958.00,26764.00,26755.00,26436.00,26283.00,26038.00,25766.00,25587.00,25155.00,25123.00,24864.00,24698.00,24340.00,24063.00,23918.00,23622.00,22981.00,22715.00,22515.00
14,3,6,1,27,Alabama,Clay County,1027,14263.00,14298.00,14257.00,14203.00,14121.00,14077.00,14053.00,14085.00,14161.00,14006.00,13898.00,13687.00,13434.00,13404.00,13441.00,13415.00,13393.00,13350.00,13294.00,13235.00,14211.00,14190.00,14198.00
15,3,6,1,29,Alabama,Cleburne County,1029,14172.00,14222.00,14416.00,14438.00,14339.00,14368.00,14538.00,14799.00,14874.00,14918.00,15004.00,14928.00,14889.00,14976.00,15026.00,14914.00,14848.00,14899.00,15010.00,14910.00,15063.00,15148.00,15346.00
16,3,6,1,31,Alabama,Coffee County,1031,43580.00,43716.00,43930.00,44315.00,45053.00,45604.00,46228.00,47458.00,48516.00,49440.00,50208.00,50444.00,51141.00,50681.00,50657.00,50963.00,51202.00,51853.00,51950.00,52342.00,53547.00,54171.00,54805.00
17,3,6,1,33,Alabama,Colbert County,1033,54997.00,54793.00,54536.00,54279.00,54380.00,54359.00,54413.00,54486.00,54473.00,54426.00,54524.00,54539.00,54570.00,54529.00,54462.00,54417.00,54497.00,54695.00,55004.00,55241.00,57299.00,57619.00,58033.00
18,3,6,1,35,Alabama,Conecuh County,1035,14035.00,13940.00,13793.00,13585.00,13430.00,13421.00,13603.00,13441.00,13388.00,13274.00,13236.00,13195.00,13046.00,12912.00,12677.00,12678.00,12500.00,12431.00,12292.00,12067.00,11553.00,11320.00,11206.00
19,3,6,1,37,Alabama,Coosa County,1037,11844.00,11848.00,11740.00,11732.00,11560.00,11467.00,11451.00,11439.00,11493.00,11410.00,11780.00,11486.00,11346.00,11254.00,11037.00,10934.00,10819.00,10724.00,10643.00,10663.00,10341.00,10366.00,10166.00
20,3,6,1,39,Alabama,Covington County,1039,37514.00,37069.00,36901.00,36860.00,36806.00,37204.00,37441.00,37631.00,37545.00,37648.00,37809.00,38020.00,37805.00,37814.00,37760.00,37556.00,37382.00,37062.00,36953.00,37049.00,37507.00,37542.00,37602.00
21,3,6,1,41,Alabama,Crenshaw County,1041,13692.00,13724.00,13635.00,13652.00,13727.00,13699.00,13880.00,13956.00,13922.00,14024.00,13869.00,13894.00,13915.00,13847.00,13851.00,13850.00,13916.00,13858.00,13825.00,13772.00,13165.00,13056.00,13025.00
22,3,6,1,43,Alabama,Cullman County,1043,77473.00,77415.00,77443.00,77657.00,78131.00,78692.00,79044.00,79576.00,80273.00,80351.00,80456.00,80410.00,80279.00,80690.00,81068.00,81761.00,82450.00,82867.00,83418.00,83768.00,88131.00,89618.00,90665.00
23,3,6,1,45,Alabama,Dale County,1045,49124.00,49254.00,49373.00,49215.00,49245.00,49050.00,49077.00,49488.00,49871.00,49854.00,50394.00,50122.00,50289.00,49771.00,49414.00,49365.00,49362.00,49342.00,49143.00,49172.00,49253.00,49412.00,49544.00
24,3,6,1,47,Alabama,Dallas County,1047,46198.00,46132.00,45377.00,45170.00,44795.00,44434.00,44323.00,44194.00,44265.00,43759.00,43854.00,43251.00,42789.00,41976.00,41554.00,40936.00,40080.00,39238.00,38294.00,37196.00,38174.00,37565.00,36767.00
25,3,6,1,49,Alabama,DeKalb County,1049,64650.00,65678.00,65861.00,66530.00,67260.00,67794.00,68495.00,69450.00,70228.00,70864.00,71163.00,71365.00,70944.00,70912.00,70993.00,71087.00,71104.00,71437.00,71407.00,71513.00,71648.00,71829.00,71998.00
26,3,6,1,51,Alabama,Elmore County,1051,66160.00,67459.00,68659.00,69935.00,71018.00,72978.00,75246.00,77124.00,77698.00,78632.00,79552.00,79993.00,80193.00,80536.00,80538.00,80872.00,81204.00,81422.00,81011.00,81209.00,87853.00,88737.00,89563.00
27,3,6,1,53,Alabama,Escambia County,1053,38325.00,38197.00,38035.00,37796.00,37713.00,37601.00,37673.00,37839.00,37929.00,38249.00,38345.00,38204.00,38023.00,37765.00,37735.00,37661.00,37475.00,36993.00,36524.00,36633.00,36680.00,36658.00,36666.00
28,3,6,1,55,Alabama,Etowah County,1055,103286.00,102976.00,102988.00,103025.00,103080.00,103174.00,103528.00,103893.00,104206.00,104239.00,104459.00,104369.00,104278.00,103884.00,103399.00,102998.00,102855.00,103007.00,102611.00,102268.00,103447.00,103139.00,103088.00
29,3,6,1,57,Alabama,Fayette County,1057,18512.00,18384.00,18278.00,18178.00,18022.00,18030.00,17767.00,17523.00,17541.00,17310.00,17229.00,17052.00,16945.00,16824.00,16772.00,16696.00,16563.00,16466.00,16445.00,16302.00,16330.00,16155.00,16118.00
30,3,6,1,59,Alabama,Franklin County,1059,31242.00,31190.00,30891.00,30874.00,30768.00,30968.00,31134.00,31004.00,31459.00,31589.00,31746.00,31776.00,31690.00,31553.00,31559.00,31515.00,31611.00,31542.00,31298.00,31362.00,32075.00,31996.00,31932.00
31,3,6,1,61,Alabama,Geneva County,1061,25740.00,25565.00,25580.00,25702.00,25772.00,25988.00,26271.00,26322.00,26646.00,26653.00,26777.00,26756.00,26924.00,26677.00,26593.00,26631.00,26494.00,26385.00,26306.00,26271.00,26696.00,26667.00,26783.00
32,3,6,1,63,Alabama,Greene County,1063,9902.00,9866.00,9893.00,9805.00,9686.00,9675.00,9361.00,9385.00,9359.00,9182.00,8991.00,8903.00,8848.00,8748.00,8584.00,8508.00,8482.00,8310.00,8209.00,8111.00,7702.00,7592.00,7422.00
33,3,6,1,65,Alabama,Hale County,1065,18194.00,17868.00,17376.00,17116.00,16765.00,16622.00,16427.00,16418.00,16260.00,16025.00,15745.00,15361.00,15364.00,15246.00,15046.00,15015.00,14828.00,14801.00,14749.00,14651.00,14768.00,14737.00,14595.00
34,3,6,1,67,Alabama,Henry County,1067,16341.00,16358.00,16447.00,16563.00,16692.00,16752.00,16953.00,17108.00,17129.00,17243.00,17296.00,17377.00,17153.00,17129.00,17079.00,17101.00,17072.00,17115.00,17173.00,17205.00,17175.00,17434.00,17655.00
35,3,6,1,69,Alabama,Houston County,1069,88943.00,89490.00,89940.00,91321.00,92593.00,93903.00,95846.00,97727.00,99183.00,100500.00,101798.00,102488.00,103371.00,103643.00,104158.00,104260.00,104218.00,104378.00,104770.00,105882.00,107286.00,107453.00,108079.00
36,3,6,1,71,Alabama,Jackson County,1071,53979.00,53997.00,53758.00,53711.00,53525.00,53332.00,53483.00,53333.00,53525.00,53461.00,53184.00,53214.00,53079.00,52957.00,52562.00,52195.00,51988.00,51828.00,51621.00,51626.00,52545.00,52694.00,52891.00
37,3,6,1,73,Alabama,Jefferson County,1073,662033.00,660197.00,657518.00,657513.00,656023.00,654919.00,655893.00,655163.00,656510.00,658441.00,658215.00,658109.00,658061.00,659265.00,659972.00,660455.00,660343.00,659599.00,659429.00,658573.00,674675.00,669997.00,665409.00
38,3,6,1,75,Alabama,Lamar County,1075,15923.00,15632.00,15446.00,15258.00,15075.00,15009.00,14816.00,14901.00,14799.00,14689.00,14496.00,14291.00,14248.00,14212.00,14067.00,13927.00,13928.00,13882.00,13882.00,13805.00,13956.00,13740.00,13705.00
