,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,County_name,State_name
0,3.0,6.0,1.0,0.0,Alabama,Alabama,4452173.0,4467634.0,4480089.0,4503491.0,4530729.0,4569805.0,4628981.0,4672840.0,4718206.0,4757938.0,,,,,,,,,,,,,,,,
68,4.0,9.0,2.0,0.0,Alaska,Alaska,627963.0,633714.0,642337.0,648414.0,659286.0,666946.0,675302.0,680300.0,687455.0,698895.0,,,,,,,,,,,,,,,,
88,4.0,9.0,2.0,195.0,Alaska,Petersburg Census Area,4249.0,4198.0,4112.0,4022.0,4059.0,3959.0,3886.0,3898.0,3817.0,3775.0,,,,,,,,,,,,,,,,
93,4.0,9.0,2.0,261.0,Alaska,Valdez-Cordova Census Area,10210.0,10114.0,10061.0,9996.0,9990.0,9914.0,9828.0,9572.0,9458.0,9492.0,"Valdez-Cordova Census Area, Alaska","9,657","9,740","9,734","9,781","9,478","9,319","9,314","9,220","9,161","9,202",,,,Valdez-Cordova Census Area,Alaska
94,4.0,9.0,2.0,270.0,Alaska,Wade Hampton Census Area,7033.0,7051.0,7103.0,7201.0,7330.0,7313.0,7292.0,7372.0,7392.0,7469.0,,,,,,,,,,,,,,,,
98,4.0,8.0,4.0,0.0,Arizona,Arizona,5160586.0,5273477.0,5396255.0,5510364.0,5652404.0,5839077.0,6029141.0,6167681.0,6280362.0,6343154.0,,,,,,,,,,,,,,,,
114,3.0,7.0,5.0,0.0,Arkansas,Arkansas,2678588.0,2691571.0,2705927.0,2724816.0,2749686.0,2781097.0,2821761.0,2848650.0,2874554.0,2896843.0,,,,,,,,,,,,,,,,
190,4.0,9.0,6.0,0.0,California,California,33987977.0,34479458.0,34871843.0,35253159.0,35574576.0,35827943.0,36021202.0,36250311.0,36604337.0,36961229.0,,,,,,,,,,,,,,,,
249,4.0,8.0,8.0,0.0,Colorado,Colorado,4326921.0,4425687.0,4490406.0,4528732.0,4575013.0,4631888.0,4720423.0,4803868.0,4889730.0,4972195.0,,,,,,,,,,,,,,,,
314,1.0,1.0,9.0,0.0,Connecticut,Connecticut,3411777.0,3432835.0,3458749.0,3484336.0,3496094.0,3506956.0,3517460.0,3527270.0,3545579.0,3561807.0,,,,,,,,,,,,,,,,
315,1.0,1.0,9.0,1.0,Connecticut,Fairfield County,884364.0,889063.0,892900.0,896342.0,897472.0,897653.0,896254.0,897498.0,903824.0,910421.0,"Fairfield County, Connecticut","919,355","928,000","935,099","939,924","944,196","944,943","944,347","943,038","943,971","943,332",,,,Fairfield County,Connecticut
316,1.0,1.0,9.0,3.0,Connecticut,Hartford County,858416.0,862573.0,867451.0,873335.0,874449.0,878081.0,881298.0,884548.0,887891.0,891667.0,"Hartford County, Connecticut","895,236","896,864","897,706","897,678","897,407","896,290","894,141","893,076","892,580","891,720",,,,Hartford County,Connecticut
317,1.0,1.0,9.0,5.0,Connecticut,Litchfield County,182597.0,184118.0,185974.0,187424.0,188601.0,188912.0,189682.0,189866.0,190175.0,190015.0,"Litchfield County, Connecticut","189,763","188,972","187,570","186,836","185,343","184,122","182,793","181,667","181,095","180,333",,,,Litchfield County,Connecticut
318,1.0,1.0,9.0,7.0,Connecticut,Middlesex County,155593.0,157006.0,159187.0,160864.0,161450.0,162191.0,163473.0,164129.0,164962.0,165607.0,"Middlesex County, Connecticut","165,616","166,174","165,634","165,329","164,786","163,724","163,292","162,942","162,870","162,436",,,,Middlesex County,Connecticut
319,1.0,1.0,9.0,9.0,Connecticut,New Haven County,824911.0,829875.0,835099.0,841939.0,844505.0,847162.0,850207.0,853598.0,856622.0,860025.0,"New Haven County, Connecticut","863,357","863,871","864,566","862,820","862,885","860,186","857,901","857,748","856,971","854,757",,,,New Haven County,Connecticut
320,1.0,1.0,9.0,11.0,Connecticut,New London County,259848.0,261396.0,264698.0,266584.0,268595.0,269664.0,270814.0,270669.0,272634.0,273630.0,"New London County, Connecticut","274,004","273,037","274,091","272,976","271,462","269,636","268,403","267,419","266,285","265,206",,,,New London County,Connecticut
321,1.0,1.0,9.0,13.0,Connecticut,Tolland County,136863.0,138934.0,142362.0,145195.0,146706.0,147657.0,148954.0,149718.0,151583.0,152330.0,"Tolland County, Connecticut","153,239","153,050","151,967","151,778","151,693","151,734","151,162","151,009","150,689","150,721",,,,Tolland County,Connecticut
322,1.0,1.0,9.0,15.0,Connecticut,Windham County,109185.0,109870.0,111078.0,112653.0,114316.0,115636.0,116778.0,117244.0,117888.0,118112.0,"Windham County, Connecticut","118,544","118,315","117,914","117,500","116,752","116,487","116,102","116,398","117,059","116,782",,,,Windham County,Connecticut
323,3.0,5.0,10.0,0.0,Delaware,Delaware,786373.0,795699.0,806169.0,818003.0,830803.0,845150.0,859268.0,871749.0,883874.0,891730.0,,,,,,,,,,,,,,,,
329,3.0,5.0,12.0,0.0,Florida,Florida,16047515.0,16356966.0,16689370.0,17004085.0,17415318.0,17842038.0,18166990.0,18367842.0,18527305.0,18652644.0,,,,,,,,,,,,,,,,
397,3.0,5.0,13.0,0.0,Georgia,Georgia,8227303.0,8377038.0,8508256.0,8622793.0,8769252.0,8925922.0,9155813.0,9349988.0,9504843.0,9620846.0,,,,,,,,,,,,,,,,
557,4.0,9.0,15.0,0.0,Hawaii,Hawaii,1213519.0,1225948.0,1239613.0,1251154.0,1273569.0,1292729.0,1309731.0,1315675.0,1332213.0,1346717.0,,,,,,,,,,,,,,,,
563,4.0,8.0,16.0,0.0,Idaho,Idaho,1299430.0,1319962.0,1340372.0,1363380.0,1391802.0,1428241.0,1468669.0,1505105.0,1534320.0,1554439.0,,,,,,,,,,,,,,,,
608,2.0,3.0,17.0,0.0,Illinois,Illinois,12434161.0,12488445.0,12525556.0,12556006.0,12589773.0,12609903.0,12643955.0,12695866.0,12747038.0,12796778.0,,,,,,,,,,,,,,,,
711,2.0,3.0,18.0,0.0,Indiana,Indiana,6091866.0,6127760.0,6155967.0,6196638.0,6233007.0,6278616.0,6332669.0,6379599.0,6424806.0,6459325.0,,,,,,,,,,,,,,,,
804,2.0,4.0,19.0,0.0,Iowa,Iowa,2929067.0,2931997.0,2934234.0,2941999.0,2953635.0,2964454.0,2982644.0,2999212.0,3016734.0,3032870.0,,,,,,,,,,,,,,,,
904,2.0,4.0,20.0,0.0,Kansas,Kansas,2693681.0,2702162.0,2713535.0,2723004.0,2734373.0,2745299.0,2762931.0,2783785.0,2808076.0,2832704.0,,,,,,,,,,,,,,,,
1010,3.0,6.0,21.0,0.0,Kentucky,Kentucky,4049021.0,4068132.0,4089875.0,4117170.0,4146101.0,4182742.0,4219239.0,4256672.0,4289878.0,4317074.0,,,,,,,,,,,,,,,,
1131,3.0,7.0,22.0,0.0,Louisiana,Louisiana,4471885.0,4477875.0,4497267.0,4521042.0,4552238.0,4576628.0,4302665.0,4375581.0,4435586.0,4491648.0,,,,,,,,,,,,,,,,
1161,3.0,7.0,22.0,59.0,Louisiana,La Salle Parish,14271.0,14207.0,14359.0,14356.0,14366.0,14313.0,14519.0,14570.0,14667.0,14717.0,,,,,,,,,,,,,,,,
1196,1.0,1.0,23.0,0.0,Maine,Maine,1277072.0,1285692.0,1295960.0,1306513.0,1313688.0,1318787.0,1323619.0,1327040.0,1330509.0,1329590.0,,,,,,,,,,,,,,,,
1213,3.0,5.0,24.0,0.0,Maryland,Maryland,5311034.0,5374691.0,5440389.0,5496269.0,5546935.0,5592379.0,5627367.0,5653408.0,5684965.0,5730388.0,,,,,,,,,,,,,,,,
1238,1.0,1.0,25.0,0.0,Massachusetts,Massachusetts,6361104.0,6397634.0,6417206.0,6422565.0,6412281.0,6403290.0,6410084.0,6431559.0,6468967.0,6517613.0,,,,,,,,,,,,,,,,
1253,2.0,3.0,26.0,0.0,Michigan,Michigan,9952450.0,9991120.0,10015710.0,10041152.0,10055315.0,10051137.0,10036081.0,10001284.0,9946889.0,9901591.0,,,,,,,,,,,,,,,,
1337,2.0,4.0,27.0,0.0,Minnesota,Minnesota,4933692.0,4982796.0,5018935.0,5053572.0,5087713.0,5119598.0,5163555.0,5207203.0,5247018.0,5281203.0,,,,,,,,,,,,,,,,
