ST,PUMA,YEAR,Telework
51,1400,2006,0.034706793
51,3200,2006,0.029836419
51,1700,2006,0.04877434
53,2002,2006,0.049427809
53,2101,2006,0.040095153
53,2200,2006,0.046105145
53,1005,2006,0.03883589
17,1800,2006,0.025902483
17,3510,2006,0.074898486
18,3000,2006,0.026197292
18,300,2006,0.028913604
18,2100,2006,0.021947426
19,400,2006,0.036772411
19,900,2006,0.043392139
19,800,2007,0.028146659
31,500,2007,0.04005627
31,802,2007,0.027249217
4,103,2008,0.058267899
5,1200,2008,0.034730735
5,1600,2008,0.013642646
17,2600,2008,0.042740685
17,3502,2008,0.065915471
17,600,2008,0.039751857
17,1600,2008,0.05176302
17,3101,2008,0.024248316
17,3411,2008,0.024410848
17,103,2008,0.015096364
41,1307,2008,0.07058724
41,1309,2008,0.056599723
42,1400,2008,0.022917969
42,1000,2008,0.025366304
,27,2002,0.049227814
17,2600,2009,0.044178482
17,1101,2009,0.022073997
37,3900,2010,0.02272463
37,3100,2010,0.023703073
39,3400,2010,0.015285869
39,703,2010,0.055973724
40,1500,2011,0.022476725
25,3302,2012,0.042462158
25,4000,2012,0.016203306
25,3603,2012,0.037004729
26,3210,2012,0.029972491
26,1300,2012,0.038090894
26,3213,2012,0.023350354
18,2900,2012,0.013143251
18,2305,2012,0.023325062
18,102,2012,0.012241791
18,2301,2012,0.031893625
36,2903,2012,0.097372564
36,4013,2012,0.034552571
36,1101,2012,0.024253506
12,8900,2013,0.033743059
6,3735,2012,0.038090462
6,7505,2012,0.053427789
6,5914,2012,0.058345372
6,5915,2012,0.107532646
29,100,2012,0.068158738
25,507,2014,0.053244117
51,1302,2015,0.048299702
6,7115,2015,0.068274517
6,7311,2015,0.101401339
28,100,2017,0.030126401
6,2903,2017,0.02842795
51,2500,2006,0.022666013
17,2200,2006,0.039430682
18,600,2006,0.021258526
19,1200,2006,0.041322038
19,200,2007,0.065634115
29,1703,2007,0.024214454
4,120,2008,0.055692094
5,1800,2008,0.032256661
17,3506,2008,0.040204896
42,3904,2008,0.032272147
42,4105,2008,0.018960714
,28,2002,0.02061449
17,3508,2009,0.014679585
17,1500,2009,0.016977929
39,3103,2010,0.019427037
39,1300,2010,0.056994513
40,1700,2011,0.022404557
40,400,2011,0.047142917
41,1307,2011,0.07896386
41,702,2011,0.0430971
26,3002,2012,0.055756403
36,4004,2012,0.073253857
36,3807,2012,0.072652608
36,4014,2012,0.033774719
36,4103,2012,0.028455212
36,3205,2012,0.034416136
36,4111,2012,0.024345744
12,8616,2013,0.107347526
12,7102,2013,0.065835918
12,3102,2013,0.021379671
12,9901,2013,0.102294668
12,11701,2013,0.06871742
12,10306,2013,0.01998411
12,7104,2013,0.069175116
12,1110,2013,0.056830673
6,6504,2012,0.062268733
6,6510,2012,0.033796774
6,6103,2012,0.117588161
6,6505,2012,0.044878063
6,3740,2012,0.026313268
28,700,2012,0.018609941
29,901,2012,0.045901456
30,300,2012,0.071263618
30,600,2012,0.072016551
30,100,2012,0.083995695
31,100,2012,0.086617782
24,1101,2014,0.014377436
25,704,2014,0.077548622
25,4303,2014,0.023169948
39,1801,2014,0.070211967
39,904,2014,0.02811205
53,10200,2015,0.061885454
53,10701,2015,0.0469989
53,10901,2015,0.051906592
53,10504,2015,0.058354975
17,3005,2015,0.022756959
6,9501,2015,0.047463908
6,8501,2015,0.062103581
6,5301,2015,0.064113187
6,6701,2015,0.039879513
6,3765,2015,0.05431954
6,6702,2015,0.033459561
6,8104,2015,0.073370904
6,7507,2015,0.028625402
6,1901,2015,0.06121321
6,107,2015,0.0353097
8,4101,2015,0.049927175
9,500,2015,0.055500814
9,303,2015,0.045473639
18,3000,2015,0.029989778
42,4002,2016,0.049136989
42,3603,2016,0.046876508
45,1500,2016,0.020246335
28,800,2017,0.01830045
6,8303,2017,0.072881294
6,7502,2017,0.063663425
6,3751,2017,0.015860593
6,1903,2017,0.072154964
47,1900,2007,0.02916139
48,4613,2007,0.022260017
6,6103,2008,0.041959103
6,2709,2008,0.041204524
6,7607,2008,0.08206177
6,3503,2008,0.038734288
39,3106,2006,0.048998452
39,4102,2006,0.03302042
55,600,2006,0.042661897
55,1600,2006,0.030765568
34,1302,2008,0.00529405
34,1502,2008,0.048618219
34,305,2010,0.054108859
34,502,2010,0.024436931
19,1100,2011,0.052175325
20,1100,2011,0.040586031
48,5609,2011,0.043013253
48,4200,2011,0.00724936
48,2505,2011,0.035593005
48,4000,2011,0.027471932
36,4007,2013,0.016353366
42,1900,2013,0.050002952
27,1406,2014,0.044074991
6,6701,2013,0.035847874
6,8508,2013,0.051384507
6,8509,2013,0.032463509
6,8505,2013,0.025771392
37,3101,2013,0.05113677
42,4001,2008,0.061451546
37,1200,2010,0.045259672
38,200,2010,0.053833792
41,1302,2011,0.07724783
26,3212,2012,0.022973291
9,306,2013,0.035857779
9,104,2013,0.028231063
9,1100,2013,0.032527551
6,7316,2012,0.055787131
6,8103,2012,0.044762805
6,6706,2012,0.036707655
6,3733,2012,0.050353725
6,7106,2012,0.023431424
6,1901,2012,0.042488323
24,1107,2014,0.024557231
24,506,2014,0.016980772
24,1400,2014,0.037394974
24,802,2014,0.036071895
25,4301,2014,0.0351533
25,3500,2014,0.11796387
25,1400,2014,0.075246276
25,502,2014,0.029412338
39,700,2014,0.020694681
39,4101,2014,0.068574488
53,10902,2015,0.056120625
17,2000,2015,0.02831079
6,3703,2015,0.042089682
6,6513,2015,0.07122903
6,106,2015,0.028321604
8,300,2015,0.039727874
18,402,2015,0.031861579
42,2803,2016,0.027185155
53,11402,2017,0.062440911
53,11507,2017,0.05646192
6,6710,2017,0.060594796
6,7308,2017,0.067706721
6,7507,2017,0.03646326
6,8102,2017,0.023512838
6,8503,2017,0.03462685
6,3300,2017,0.111240267
6,8302,2017,0.071005429
6,3766,2017,0.029839359
47,2202,2007,0.043992052
48,100,2007,0.022556999
48,4604,2007,0.046082041
48,5401,2007,0.073370947
48,3504,2007,0.028167754
48,3801,2007,0.02400432
48,5304,2007,0.075380694
48,3900,2007,0.055350666
48,2308,2007,0.021531471
6,3800,2008,0.024832468
6,2306,2008,0.045386965
6,3701,2008,0.077445238
6,2407,2008,0.039165059
6,6400,2008,0.071634316
6,2408,2008,0.026222927
6,3501,2008,0.03182933
6,7700,2008,0.053385902
6,6106,2008,0.036136032
6,7300,2008,0.063920365
39,4401,2006,0.016935082
39,2900,2006,0.029062474
21,1200,2006,0.03808996
21,400,2006,0.010865017
28,600,2008,0.020602219
33,1100,2008,0.059790754
34,1301,2008,0.00867547
34,2201,2008,0.025187306
34,1903,2008,0.056017748
24,100,2009,0.052739027
24,601,2009,0.033836279
24,806,2009,0.011871812
26,3807,2009,0.025479681
26,2000,2009,0.029574015
34,903,2010,0.030237551
34,1700,2010,0.059433624
18,2500,2011,0.025884969
18,3600,2011,0.026894982
19,600,2011,0.047921195
48,4620,2011,0.040440037
48,2302,2011,0.044569928
48,3503,2011,0.005454075
48,4612,2011,0.046930108
48,6900,2011,0.025700148
48,4621,2011,0.035518837
36,800,2013,0.025107361
36,1206,2013,0.020271999
36,4018,2013,0.023952251
36,3312,2013,0.039694625
26,1100,2014,0.035357236
41,1317,2013,0.070274381
42,2301,2013,0.04435638
42,3104,2013,0.048804535
42,2002,2013,0.033407604
42,3102,2013,0.0475864
27,1303,2014,0.058097176
6,6512,2013,0.05834289
6,3702,2013,0.063128982
6,3757,2013,0.020054091
6,7317,2013,0.044750581
6,3712,2013,0.038023801
6,6514,2013,0.053175302
6,2902,2013,0.031189634
6,3723,2013,0.018773016
6,1301,2013,0.011439337
6,6711,2013,0.046988986
37,2202,2013,0.050112124
24,502,2014,0.014811816
53,11104,2015,0.064637698
6,3760,2015,0.07106267
42,3503,2016,0.058180774
53,11200,2017,0.047275594
53,10600,2017,0.058137774
6,5418,2008,0.038810757
28,700,2008,0.013849846
25,200,2009,0.063949811
48,4615,2011,0.015319692
36,3901,2013,0.018573388
36,3003,2013,0.035515486
36,2100,2013,0.03663784
36,1400,2013,0.058165797
41,100,2013,0.039966124
6,3730,2013,0.105066701
6,7107,2013,0.058894202
6,3762,2013,0.031275959
37,4500,2013,0.076375259
31,500,2018,0.058984369
6,3762,2015,0.011932993
42,2900,2007,0.028760879
42,1801,2007,0.050626283
42,1803,2007,0.040667631
42,2300,2007,0.028426307
42,3302,2007,0.04174506
42,3201,2007,0.039847007
12,2705,2008,0.054162983
12,500,2008,0.01922321
12,3603,2008,0.024272212
12,3800,2008,0.052927833
12,3607,2008,0.032053904
12,2202,2008,0.047814411
45,1500,2005,0.033911949
45,1900,2005,0.043242433
36,3400,2006,0.025964357
36,803,2006,0.023383927
36,1501,2006,0.028795761
36,4206,2006,0.019946249
36,1502,2006,0.016001373
36,3902,2006,0.044802515
36,4311,2006,0.051285723
