ST,YEAR,FIPS_CODE,TELEWORK
51,2012,51181,0.04365125130
51,2012,51135,0.03127568456
51,2012,51051,0.02073255010
51,2012,51660,0.05490813648
13,2013,13103,0.03116779328
13,2013,13001,0.02178337228
54,2018,54053,0.03055570123
54,2018,54101,0.04503220097
54,2018,54027,0.04611679164
22,2010,22073,0.00817684460
22,2010,22009,0.02909978410
22,2010,22065,0.01572463642
22,2010,22071,0.00679944526
17,2005,17041,0.02557221095
18,2005,18103,0.02699042983
18,2005,18033,0.01747021505
18,2005,18093,0.01953587695
42,2014,42001,0.03789536503
45,2014,45055,0.01983433704
26,2018,26027,0.03923425207
17,2005,17159,0.03701485138
17,2005,17055,0.02544580513
19,2018,19083,0.06434621450
39,2012,39069,0.02889465604
39,2012,39027,0.02782639520
39,2012,39137,0.02113975835
26,2013,26111,0.03972858688
26,2013,26013,0.02476849436
26,2013,26115,0.01448962271
45,2018,45051,0.04736467290
41,2013,41059,0.03996612357
6,2018,06099,0.06185446947
8,2018,08087,0.05879850928
8,2018,08125,0.05879850928
27,2018,27119,0.07775879384
27,2018,27125,0.07775879384
12,2015,12111,0.02372631751
55,2016,55081,0.06583478060
55,2016,55093,0.06583478060
37,2016,37007,0.03290023978
37,2016,37015,0.06197860320
55,2016,55099,0.07178020476
36,2016,36051,0.04936670557
36,2016,36121,0.04936670557
37,2016,37141,0.07052937670
47,2009,47143,0.02523009705
48,2009,48419,0.05281204769
48,2009,48169,0.03201372862
48,2009,48269,0.03201372862
27,2009,27017,0.04583675612
27,2009,27151,0.07715136527
27,2009,27063,0.07615580633
28,2009,28003,0.02027941548
28,2009,28141,0.02027941548
48,2007,48275,0.01981242847
48,2007,48115,0.03781262859
48,2007,48451,0.02356788653
48,2007,48481,0.02993164335
54,2009,54037,0.05136169599
45,2010,45003,0.03111091832
46,2010,46097,0.06173154431
4,2010,04021,0.06454009944
18,2011,18033,0.03485715040
18,2011,18075,0.02803175354
37,2008,37167,0.02589993022
6,2009,06017,0.07280812291
46,2010,46007,0.08854515257
42,2016,42089,0.03222950239
8,2014,08041,0.05057774551
9,2014,09015,0.03032735706
48,2005,48139,0.07158912360
48,2005,48317,0.02623187790
48,2005,48113,0.02871083138
48,2005,48383,0.02623187790
48,2005,48443,0.01933671816
48,2005,48065,0.02949900015
48,2005,48093,0.02079040161
33,2015,33017,0.04500252615
47,2015,47075,0.02951840467
48,2015,48341,0.02333829365
48,2015,48151,0.02637788044
48,2015,48253,0.02637788044
48,2015,48319,0.02534728921
48,2015,48425,0.09331741417
28,2015,28079,0.01079272212
6,2015,06047,0.04360296032
17,2006,17149,0.05573134039
17,2006,17165,0.02603320850
17,2006,17023,0.03950039993
8,2009,08059,0.06673255504
8,2016,08069,0.08073887251
12,2017,12011,0.05069521269
12,2017,12069,0.08867500921
8,2016,08015,0.12328835582
6,2008,06019,0.03696868152
39,2008,39113,0.03326720652
46,2008,46105,0.03649305339
47,2008,47189,0.03195926548
47,2008,47123,0.01063802681
37,2009,37169,0.04706463315
4,2018,04013,0.07354622727
4,2018,04001,0.07577274306
4,2018,04009,0.04758214507
5,2018,05137,0.05385291532
34,2016,34033,0.02417872989
55,2017,55017,0.05357044072
48,2011,48445,0.04239458260
39,2016,39165,0.08133398325
6,2013,06007,0.06250038828
40,2013,40065,0.01676905838
48,2010,48493,0.04500384801
48,2010,48303,0.04638804140
8,2010,08045,0.05219067598
48,2014,48163,0.03841621080
48,2014,48097,0.05640481836
48,2014,48429,0.02793724738
48,2014,48179,0.02767001579
48,2014,48465,0.02465992580
24,2005,24023,0.04943466303
29,2010,29153,0.03787825844
29,2010,29129,0.03064239519
29,2010,29181,0.04960033576
31,2010,31041,0.08012949482
31,2010,31087,0.04452074613
26,2017,26061,0.04336390331
26,2017,26039,0.04212833798
21,2009,21115,0.01542468201
21,2009,21099,0.03242607757
21,2009,21137,0.06391687657
22,2009,22065,0.02432040594
8,2012,08119,0.03724541273
8,2012,08063,0.05294078817
33,2012,33019,0.06214762074
18,2009,18045,0.06853971049
18,2010,18131,0.01505196927
18,2010,18053,0.04033230352
19,2010,19151,0.03446433342
19,2010,19075,0.06808033049
20,2010,20077,0.06914393227
20,2010,20093,0.04024305210
45,2012,45047,0.02203553599
46,2012,46069,0.08260502533
46,2012,46117,0.08260502533
47,2012,47029,0.01665528409
48,2012,48071,0.01063440635
48,2012,48221,0.03713286204
45,2012,45031,0.03716124781
13,2008,13183,0.01771570511
13,2008,13119,0.03401981230
13,2008,13263,0.02033218030
42,2008,42023,0.04521094082
42,2008,42005,0.03811560337
45,2008,45031,0.02362217191
21,2011,21235,0.03020063989
22,2011,22085,0.01717646725
