ST,YEAR,FIPS_CODE,TELEWORKERS,TELEWORK
37,2008,37167,1262.00000,0.02589993022
48,2017,48013,1746.00000,0.03002321383
48,2017,48363,2869.00000,0.04993820821
48,2017,48381,2401.00000,0.03434415677
48,2017,48397,5050.00000,0.05872434444
6,2017,06015,3459.00000,0.07713234474
6,2017,06031,4677.00000,0.08005956966
48,2006,48311,1168.00000,0.02676873009
6,2013,06007,5540.00000,0.06245772266
37,2013,37063,7827.00000,0.05464293942
37,2013,37141,2279.00000,0.04911320389
34,2016,34033,1079.00000,0.02417872989
8,2016,08069,14399.00000,0.08206943328
8,2016,08015,4934.00000,0.12328835582
6,2009,06017,6009.00000,0.07280812291
4,2013,04011,1641.00000,0.04490354358
55,2017,55017,8667.00000,0.06011819708
27,2008,,20897.00000,0.04167572429
29,2008,29197,3068.00000,0.06452019936
29,2008,29105,10680.00000,0.12762906310
37,2009,37169,2478.00000,0.04706463315
22,2012,22119,1412.00000,0.01894412021
21,2012,21033,1628.00000,0.03788601615
18,2005,18093,1171.00000,0.01953587695
18,2005,18033,1286.00000,0.01747021505
18,2005,18103,1475.00000,0.02699042983
19,2005,19127,3692.00000,0.04415000478
20,2005,20159,2482.00000,0.05065512878
20,2005,20133,1402.00000,0.03139133939
48,2005,48139,6561.00000,0.07158912360
48,2005,48443,1074.00000,0.01933671816
48,2005,48383,1234.00000,0.02623187790
48,2005,48317,1234.00000,0.02623187790
48,2005,48093,1362.00000,0.02079040161
1,2014,01103,1189.00000,0.01872765361
1,2014,01055,2219.00000,0.05375484496
50,2013,50027,4612.00000,0.07032846381
51,2013,51045,3319.00000,0.03696896790
51,2013,51680,1521.00000,0.02586998673
51,2013,51069,2855.00000,0.04756430761
12,2014,12019,5356.00000,0.06435179623
13,2014,13009,1542.00000,0.02212783055
13,2014,13287,1293.00000,0.02812275703
13,2014,13189,1389.00000,0.03261865064
48,2005,48113,31156.00000,0.02960969300
48,2005,48065,2198.00000,0.02949900015
42,2010,42117,1367.00000,0.03286926832
12,2014,12111,5937.00000,0.05262038342
12,2014,12089,1052.00000,0.02516565797
51,2013,51105,1552.00000,0.02200575666
2,2007,02170,3604.00000,0.05863690350
34,2007,34017,7100.00000,0.02351842221
24,2005,24023,2103.00000,0.04943466303
6,2005,,589809.00000,0.04249112026
4,2006,04019,19316.00000,0.04666917940
22,2006,22115,492.00000,0.00887077872
55,2015,55087,3842.00000,0.03839082297
53,2012,53073,5456.00000,0.05506438981
13,2013,13001,1156.00000,0.02178337228
13,2013,13103,1872.00000,0.03116779328
17,2005,17041,1172.00000,0.02557221095
17,2005,17159,1792.00000,0.03701485138
17,2005,17055,1895.00000,0.02544580513
46,2008,46105,2343.00000,0.03649305339
47,2008,47189,4130.00000,0.03195926548
17,2016,17145,2688.00000,0.03473182329
17,2016,17123,2466.00000,0.03769604696
17,2016,17019,2994.00000,0.02860828436
17,2016,17173,2179.00000,0.03516558001
17,2016,17071,2208.00000,0.02976102223
36,2017,36117,2064.00000,0.03463959050
50,2005,50023,4945.00000,0.06453507341
44,2012,44003,1226.00000,0.01496034167
45,2012,45047,821.00000,0.02203553599
48,2013,48269,1237.00000,0.02162096027
48,2013,48503,2805.00000,0.04488933698
47,2008,47123,835.00000,0.01063802681
50,2005,50005,4945.00000,0.06453507341
45,2012,45031,3158.00000,0.03716124781
48,2013,48051,1700.00000,0.02964668132
47,2007,47101,1821.00000,0.03334065693
45,2010,45003,3586.00000,0.03111091832
48,2008,48253,1107.00000,0.01553226417
48,2008,48413,1151.00000,0.02293057077
48,2008,48441,1727.00000,0.02766032417
48,2008,48271,1419.00000,0.02487858758
48,2009,48419,3065.00000,0.05281204769
48,2009,48169,1623.00000,0.03201372862
48,2009,48269,1623.00000,0.03201372862
42,2016,42089,2366.00000,0.03222950239
12,2018,12041,3759.00000,0.05615224893
12,2018,12015,7840.00000,0.12615656931
48,2015,48341,1882.00000,0.02333829365
48,2015,48319,1051.00000,0.02534728921
48,2015,48425,5393.00000,0.09331741417
48,2015,48253,1867.00000,0.02637788044
48,2015,48151,1867.00000,0.02637788044
18,2015,18121,1479.00000,0.03420918721
18,2015,18117,2687.00000,0.03669010719
51,2018,51515,2864.00000,0.04850784188
27,2018,27125,5962.00000,0.07775879384
27,2018,27119,5962.00000,0.07775879384
28,2018,28137,1770.00000,0.04085778260
28,2018,28037,1078.00000,0.01931761164
12,2017,12011,46214.00000,0.04924639609
12,2017,12069,15466.00000,0.09186976899
18,2012,18085,1229.00000,0.02074401647
18,2012,18057,11050.00000,0.06298162418
39,2012,39069,1581.00000,0.02889465604
39,2012,39027,1256.00000,0.02782639520
39,2012,39137,1111.00000,0.02113975835
53,2015,53061,19243.00000,0.04996819049
54,2015,54085,1440.00000,0.03631594875
54,2013,54003,3591.00000,0.03550173010
55,2013,55069,2579.00000,0.04887061320
12,2015,12111,2912.00000,0.02475937829
37,2016,37141,3905.00000,0.07052937670
37,2016,37015,2578.00000,0.06197860320
37,2016,37007,1770.00000,0.03290023978
4,2018,04013,153460.00000,0.07284409531
4,2018,04001,3709.00000,0.07577274306
55,2007,55029,4505.00000,0.04092701274
56,2007,56001,5496.00000,0.07017991904
34,2008,34023,15226.00000,0.03852576819
35,2008,35041,5375.00000,0.06394242208
4,2018,04009,1842.00000,0.04758214507
48,2012,48221,2038.00000,0.03713286204
48,2012,48071,407.00000,0.01063440635
36,2016,36051,2284.00000,0.04936670557
36,2016,36121,2284.00000,0.04936670557
28,2016,28093,2344.00000,0.03855389980
28,2016,28033,1764.00000,0.02026980443
1,2016,01051,2632.00000,0.03487016428
1,2016,01021,896.00000,0.01821434380
48,2010,48493,5029.00000,0.04500384801
48,2010,48303,5740.00000,0.04504363111
8,2010,08045,3682.00000,0.05219067598
53,2018,53005,7939.00000,0.05206140610
54,2018,54053,1748.00000,0.03055570123
54,2018,54101,1832.00000,0.04503220097
54,2018,54027,5074.00000,0.04611679164
1,2011,01047,1457.00000,0.02365759008
1,2011,01065,1457.00000,0.02365759008
5,2007,05067,1717.00000,0.03842022824
42,2007,42093,1145.00000,0.02171151184
42,2007,42097,1145.00000,0.02171151184
29,2007,29067,1853.00000,0.02461411758
6,2018,06099,13061.00000,0.05910997868
26,2018,26027,2279.00000,0.03923425207
21,2006,21215,1164.00000,0.02442453365
21,2006,21111,8405.00000,0.02592271607
21,2006,21097,1084.00000,0.02298460625
17,2007,17077,2035.00000,0.02608740241
18,2007,18111,2182.00000,0.02290693402
18,2007,18029,1069.00000,0.01970143752
18,2007,18087,2450.00000,0.03059287748
19,2007,19175,1985.00000,0.02902343807
39,2011,39097,4758.00000,0.04692539080
17,2006,17165,1571.00000,0.02603320850
17,2006,17149,2871.00000,0.05573134039
17,2006,17023,1926.00000,0.03950039993
19,2006,19023,3711.00000,0.04269983546
45,2018,45051,6896.00000,0.04677347152
18,2011,18075,1303.00000,0.02803175354
18,2011,18033,2639.00000,0.03485715040
37,2017,37041,1054.00000,0.02186449820
37,2017,37075,1521.00000,0.03203251690
37,2017,37015,1822.00000,0.04249067164
22,2010,22009,1240.00000,0.02909978410
22,2010,22065,905.00000,0.01572463642
