ST,YEAR,FIPS_CODE,TELEWORKERS
5,2018,05137,8271.00000
6,2018,06099,335135.00000
34,2011,34015,139132.00000
34,2011,34013,259779.00000
33,2015,33017,91300.00000
39,2018,39089,155104.00000
26,2018,26027,25069.00000
39,2012,39069,11067.00000
41,2012,41069,1364.00000
8,2007,08001,260570.00000
29,2008,29105,64080.00000
29,2008,29197,6136.00000
30,2008,30085,7377.00000
31,2008,31125,5495.00000
31,2008,31135,3633.00000
46,2009,46129,6876.00000
47,2009,47143,8454.00000
34,2011,34037,213487.00000
39,2012,39027,11304.00000
39,2012,39137,7777.00000
30,2008,30049,64190.00000
30,2008,30045,2172.00000
48,2012,48221,20380.00000
48,2012,48071,2849.00000
13,2015,13263,2904.00000
13,2015,13141,2526.00000
9,2015,09003,640178.00000
12,2015,12111,60900.00000
27,2009,27017,16070.00000
27,2009,27151,30572.00000
28,2018,28037,2156.00000
28,2018,28137,8850.00000
12,2018,12041,18795.00000
12,2018,12015,305760.00000
8,2012,08119,13068.00000
8,2012,08063,7218.00000
54,2013,54003,50274.00000
27,2009,27063,20920.00000
33,2012,33019,38580.00000
55,2013,55069,25790.00000
42,2016,42089,78078.00000
20,2005,20159,7446.00000
21,2005,21145,51833.00000
21,2005,21027,8634.00000
21,2005,21095,3784.00000
22,2007,22003,14330.00000
22,2007,22081,4454.00000
29,2016,29019,84738.00000
29,2016,29027,17008.00000
29,2016,29153,4228.00000
22,2016,22071,551992.00000
22,2016,22099,11330.00000
23,2016,23005,279133.00000
18,2005,18093,11710.00000
18,2005,18033,11574.00000
18,2005,18103,14750.00000
19,2005,19127,36920.00000
48,2005,48113,764473.00000
48,2005,48139,203391.00000
48,2005,48317,2468.00000
48,2005,48383,1234.00000
48,2005,48093,5448.00000
27,2007,27027,47203.00000
27,2007,27061,33429.00000
28,2007,28011,8144.00000
42,2007,42093,4580.00000
54,2010,54105,1422.00000
47,2007,47101,3642.00000
48,2007,48481,17677.00000
6,2008,06019,129739.00000
4,2012,04005,139944.00000
48,2013,48503,11220.00000
48,2013,48051,8500.00000
20,2005,20133,7010.00000
48,2005,48065,4396.00000
48,2005,48443,1074.00000
42,2007,42097,27480.00000
48,2007,48275,2666.00000
48,2007,48115,6616.00000
48,2007,48451,33150.00000
48,2013,48269,1237.00000
55,2015,55087,153680.00000
6,2015,06047,105325.00000
25,2017,25025,414265.00000
26,2017,26039,10570.00000
26,2017,26061,37392.00000
39,2008,39113,107626.00000
20,2016,20117,13380.00000
46,2017,46009,9332.00000
46,2017,46073,4666.00000
48,2018,48407,10612.00000
48,2018,48159,7476.00000
48,2018,48319,2592.00000
48,2018,48125,1163.00000
48,2018,48037,10206.00000
48,2018,48443,1706.00000
48,2018,48187,122322.00000
4,2018,04013,4078103.00000
4,2018,04001,59344.00000
22,2008,22119,9614.00000
23,2008,23023,13032.00000
28,2016,28033,58212.00000
28,2016,28093,14064.00000
48,2017,48381,69629.00000
48,2017,48397,55550.00000
48,2017,48013,13968.00000
48,2018,48311,1785.00000
4,2018,04009,16578.00000
48,2017,48363,25821.00000
45,2012,45031,50528.00000
45,2012,45047,11494.00000
46,2012,46069,3327.00000
46,2012,46117,3327.00000
47,2012,47029,6804.00000
6,2013,06007,140845.00000
37,2016,37015,10312.00000
37,2016,37141,62480.00000
37,2016,37007,10620.00000
39,2016,39165,144669.00000
30,2011,30087,10176.00000
30,2011,30029,77596.00000
30,2011,30095,21198.00000
31,2011,31103,3851.00000
31,2011,31157,42361.00000
13,2012,13051,200088.00000
13,2012,13185,59925.00000
13,2012,13295,40612.00000
13,2012,13107,3828.00000
1,2011,01047,21855.00000
1,2011,01065,8742.00000
34,2008,34023,361734.00000
4,2013,04011,4923.00000
37,2013,37063,236740.00000
37,2013,37141,36464.00000
54,2018,54053,10488.00000
54,2018,54101,5496.00000
54,2018,54027,25370.00000
1,2006,01057,10800.00000
1,2006,01017,10530.00000
1,2006,01037,3510.00000
4,2006,04019,524927.00000
6,2017,06015,27672.00000
6,2017,06031,126279.00000
6,2009,06017,258387.00000
54,2008,54065,20224.00000
55,2014,55113,29112.00000
39,2015,39165,103929.00000
19,2007,19175,7940.00000
55,2007,55029,45050.00000
8,2008,08015,27190.00000
8,2008,08013,422108.00000
8,2015,08115,3453.00000
8,2015,08125,6906.00000
55,2017,55017,46482.00000
40,2013,40065,6944.00000
13,2011,13027,29755.00000
13,2011,13297,29805.00000
17,2011,17003,6504.00000
53,2012,53073,185504.00000
54,2012,54051,12321.00000
55,2012,55099,23562.00000
13,2011,13117,108360.00000
35,2012,35025,17856.00000
55,2016,55081,59022.00000
55,2016,55093,52464.00000
55,2016,55099,34032.00000
34,2005,34001,57515.00000
37,2006,37125,164826.00000
37,2006,37013,7348.00000
29,2009,29005,7840.00000
29,2009,29135,9956.00000
48,2008,48413,1151.00000
48,2008,48441,65626.00000
48,2008,48253,6642.00000
48,2008,48271,1419.00000
48,2009,48169,1623.00000
48,2009,48269,1623.00000
48,2009,48419,18390.00000
28,2013,28045,9200.00000
19,2013,19135,4929.00000
19,2013,19111,28501.00000
20,2013,20081,2770.00000
20,2013,20197,4812.00000
20,2013,20001,11805.00000
20,2015,20017,2488.00000
20,2015,20121,10896.00000
48,2016,48309,121965.00000
48,2016,48001,12925.00000
48,2016,48069,2688.00000
48,2016,48043,4515.00000
48,2016,48273,4638.00000
51,2016,51171,29160.00000
51,2016,51510,189886.00000
51,2016,51730,17292.00000
47,2006,47171,10088.00000
28,2006,28135,1888.00000
13,2006,13061,2637.00000
13,2006,13307,5274.00000
50,2007,50021,87600.00000
27,2008,,20897.00000
20,2014,20023,2234.00000
21,2014,21095,7161.00000
48,2016,48051,8735.00000
45,2018,45051,253800.00000
46,2018,46103,121141.00000
46,2018,46029,39011.00000
46,2018,46089,5573.00000
47,2018,47175,3946.00000
48,2014,48163,6552.00000
48,2014,48097,37872.00000
48,2014,48429,6117.00000
48,2014,48179,15827.00000
48,2014,48465,16950.00000
31,2013,31117,3465.00000
2,2009,02105,3934.00000
17,2005,17041,5860.00000
17,2005,17159,8960.00000
17,2005,17055,22740.00000
36,2016,36051,34260.00000
36,2016,36121,25124.00000
4,2015,04005,75740.00000
5,2015,05149,14088.00000
37,2018,37155,25802.00000
37,2018,37037,42601.00000
37,2018,37141,52224.00000
37,2018,37027,29750.00000
37,2018,37167,43147.00000
19,2018,19083,23748.00000
26,2013,26111,61408.00000
26,2013,26013,4983.00000
26,2013,26115,36621.00000
42,2008,42005,65702.00000
42,2008,42023,5534.00000
48,2011,48445,6705.00000
28,2005,28079,5310.00000
28,2005,28073,4416.00000
28,2005,28117,2725.00000
46,2006,46113,11733.00000
55,2006,55115,50358.00000
55,2006,55081,68139.00000
55,2006,55121,60568.00000
19,2006,19023,18555.00000
20,2006,20135,5368.00000
20,2006,20117,6796.00000
