ST,YEAR,FIPS_CODE,TMS_COUNT
18,2011,18075,1862.00000
18,2011,18033,3384.00000
47,2008,47189,12096.00000
47,2008,47123,7567.00000
48,2008,48253,1494.00000
48,2008,48413,0.00000
48,2008,48441,608.00000
48,2009,48419,1548.00000
48,2009,48169,24.00000
48,2009,48269,24.00000
6,2017,06015,0.00000
6,2017,06031,0.00000
8,2017,08045,10890.00000
37,2006,37125,4824.00000
37,2006,37013,6182.00000
6,2018,06099,55658.00000
48,2008,48271,563.00000
39,2018,39089,3456.00000
39,2015,39165,7791.00000
4,2015,04005,18732.00000
5,2015,05149,0.00000
6,2015,06047,56872.00000
48,2014,48429,0.00000
48,2014,48097,0.00000
48,2014,48465,0.00000
48,2014,48163,915.00000
41,2015,41051,1533781.00000
41,2015,41063,165.00000
34,2016,34033,16325.00000
8,2016,08069,124919.00000
8,2016,08015,0.00000
13,2015,13141,494.00000
13,2015,13263,417.00000
16,2015,16059,405.00000
48,2014,48179,532.00000
48,2017,48381,0.00000
48,2017,48013,0.00000
48,2017,48363,882.00000
48,2017,48397,3850.00000
51,2018,51515,152.00000
53,2018,53005,16315.00000
54,2018,54053,5040.00000
54,2018,54101,0.00000
54,2018,54027,4355.00000
37,2005,37191,44330.00000
37,2005,37157,0.00000
37,2005,37145,427.00000
37,2005,37141,3792.00000
37,2005,37105,4186.00000
22,2006,22115,4488.00000
24,2006,24025,48611.00000
5,2007,05067,830.00000
26,2017,26061,3240.00000
26,2017,26039,805.00000
6,2005,,697560.00000
39,2010,39119,4560.00000
39,2010,39107,0.00000
48,2006,48311,103.00000
26,2016,26025,7917.00000
26,2013,26013,1257.00000
26,2013,26115,92976.00000
26,2013,26111,6498.00000
27,2013,27073,2274.00000
28,2013,28045,1120.00000
48,2013,48269,15.00000
48,2013,48503,256.00000
48,2013,48051,880.00000
34,2008,34023,892127.00000
12,2017,12011,505318.00000
12,2017,12069,9048.00000
47,2018,47175,0.00000
48,2018,48125,0.00000
48,2018,48407,3156.00000
48,2018,48159,216.00000
48,2018,48187,0.00000
48,2018,48037,2880.00000
48,2018,48319,146.00000
48,2018,48443,0.00000
48,2018,48311,23.00000
5,2018,05137,0.00000
48,2005,48317,210.00000
48,2005,48113,716549.00000
48,2005,48093,456.00000
48,2005,48383,105.00000
48,2005,48065,484.00000
48,2005,48443,639.00000
50,2005,50005,2190.00000
50,2005,50023,4161.00000
47,2006,47171,784.00000
37,2011,37125,12996.00000
37,2011,37121,364.00000
37,2011,37075,402.00000
37,2011,37033,3360.00000
37,2011,37055,1672.00000
8,2007,08001,227374.00000
28,2012,28007,3000.00000
28,2012,28071,330.00000
29,2012,29195,368.00000
31,2012,31003,1026.00000
55,2012,55099,2640.00000
48,2005,48139,8494.00000
29,2012,29169,369.00000
6,2009,06017,22618.00000
36,2014,36113,19114.00000
17,2009,17141,2794.00000
37,2010,37195,43909.00000
29,2016,29019,10527.00000
29,2016,29027,2432.00000
29,2016,29153,778.00000
22,2016,22071,707254.00000
22,2016,22099,1210.00000
23,2016,23005,83299.00000
38,2008,38045,824.00000
38,2008,38001,0.00000
39,2008,39113,23314.00000
28,2009,28141,744.00000
29,2010,29153,1000.00000
29,2010,29129,0.00000
29,2010,29181,660.00000
31,2010,31041,1804.00000
31,2010,31087,281.00000
29,2018,29077,12540.00000
29,2018,29167,196.00000
30,2018,30033,433.00000
30,2018,30107,390.00000
31,2018,31107,273.00000
37,2008,37167,455.00000
28,2009,28003,1302.00000
55,2006,55115,5159.00000
55,2006,55081,4887.00000
55,2006,55121,4344.00000
50,2017,50001,8300.00000
51,2017,51790,636.00000
