NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00,2021.00,2022.00,2023.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",DR,PT,1616625.00,1656153.00,1706721.00,1854683.00,1886743.00,1991736.00,1176076.00,1142452.00,1177175.00,1177101.00,1119392.00,1103355.00,1012714.00,902626.00,870776.00,854155.00,883312.00,887915.00,455391.00,468104.00,552215.00,193683.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",DR,TN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45116.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",DR,TX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80727.00,76630.00,76736.00,86383.00,96244.00,110018.00,110665.00,103861.00,143747.00,177791.00,86460.00,88944.00,110794.00,41813.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",FB,DO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,601942.00,599954.00,664365.00,701608.00,146930.00,286843.00,400407.00,88498.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",LR,DO,357935.00,403590.00,398109.00,374327.00,0.00,0.00,413937.00,451204.00,520932.00,714461.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",MB,DO,70032459.00,70211189.00,73290439.00,73131328.00,80247942.00,86241356.00,93025610.00,90615060.00,87470766.00,90587293.00,94652420.00,97702518.00,99570061.00,101362882.00,100924131.00,101129569.00,103435175.00,103527532.00,48865810.00,42112037.00,53503564.00,20107664.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",MB,PT,0.00,0.00,0.00,0.00,0.00,0.00,893652.00,846678.00,817030.00,826988.00,939664.00,1007014.00,1074519.00,940099.00,978883.00,883578.00,826450.00,834720.00,391935.00,424166.00,480077.00,185936.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",SR,DO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750888.00,760933.00,707714.00,622225.00,1358297.00,1417507.00,1685668.00,1863409.00,749443.00,829953.00,1117605.00,393636.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",TB,DO,23658662.00,23511665.00,23276378.00,21726273.00,22425302.00,23269984.00,24159712.00,19719228.00,20721095.00,20581975.00,18970601.00,19008030.00,19464383.00,18769283.00,18999529.00,19339147.00,17950742.00,17373451.00,8385163.00,7976186.00,9575043.00,3347519.00
1,1,King County Department of Metro Transit,Active,Full Reporter: Operating,14,"Seattle, WA",VP,DO,1800027.00,1810153.00,1674689.00,1790616.00,1959606.00,2311547.00,2768945.00,3172678.00,2849584.00,3122742.00,3442588.00,3523814.00,3414782.00,3561398.00,3540538.00,3626422.00,3464738.00,3300186.00,1084802.00,512160.00,702709.00,322069.00
2,2,Spokane Transit Authority,Active,Full Reporter: Operating,96,"Spokane, WA",DR,DO,261486.00,282234.00,283268.00,273581.00,270997.00,274830.00,276690.00,277200.00,258640.00,255329.00,257891.00,251244.00,247941.00,232508.00,226888.00,239886.00,255092.00,231791.00,117972.00,143809.00,167704.00,61969.00
2,2,Spokane Transit Authority,Active,Full Reporter: Operating,96,"Spokane, WA",DR,PT,153023.00,166054.00,173701.00,189626.00,217573.00,239990.00,237770.00,244378.00,256552.00,225904.00,232215.00,231743.00,227230.00,230955.00,240398.00,236879.00,220234.00,209306.00,87843.00,108392.00,142612.00,55815.00
2,2,Spokane Transit Authority,Active,Full Reporter: Operating,96,"Spokane, WA",MB,DO,7522394.00,7487408.00,7740359.00,7691052.00,8420620.00,9046264.00,11110265.00,11150243.00,10710562.00,10832037.00,11030806.00,11092515.00,11324434.00,10815736.00,10261816.00,10264971.00,10069599.00,9971798.00,5817776.00,5238135.00,6595319.00,2689167.00
