CountyFIPS,1FTA_UZA_Code,1FTA_UZA_Desc,2FTA_UZA_Code,2FTA_UZA_Desc,3FTA_UZA_Code,3FTA_UZA_Desc,4FTA_UZA_Code,4FTA_UZA_Desc
01001,142,"Montgomery, AL",,,,,,
01003,113,"Pensacola, FL-AL",458,"Daphne-Fairhope, AL",,,,
01009,55,"Birmingham, AL",,,,,,
01015,360,"Anniston-Oxford, AL",,,,,,
01033,368,"Florence, AL",,,,,,
01049,426,"Gadsden, AL",,,,,,
01051,142,"Montgomery, AL",,,,,,
01057,402,"Dothan, AL",,,,,,
01073,55,"Birmingham, AL",,,,,,
01079,392,"Decatur, AL",,,,,,
01081,374,"Auburn, AL",,,,,,
01089,132,"Huntsville, AL",,,,,,
01097,115,"Mobile, AL",,,,,,
01101,142,"Montgomery, AL",,,,,,
01103,392,"Decatur, AL",,,,,,
01113,147,"Columbus, GA-AL",,,,,,
01115,55,"Birmingham, AL",,,,,,
01117,55,"Birmingham, AL",,,,,,
01121,360,"Anniston-Oxford, AL",,,,,,
01125,233,"Tuscaloosa, AL",,,,,,
02020,149,"Anchorage, AK",,,,,,
02090,425,"Fairbanks, AK",,,,,,
04003,480,"Sierra Vista, AZ",,,,,,
04005,384,"Flagstaff, AZ",,,,,,
04013,12,"Phoenix-Mesa, AZ",,,,,,
04015,476,"Lake Havasu City, AZ",,,,,,
04019,52,"Tucson, AZ",,,,,,
05007,129,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,
05031,420,"Jonesboro, AR",,,,,,
05033,257,"Fort Smith, AR-OK",,,,,,
05035,41,"Memphis, TN-MS-AR",,,,,,
05051,466,"Hot Springs, AR",,,,,,
05059,466,"Hot Springs, AR",,,,,,
05069,475,"Pine Bluff, AR",,,,,,
05095,365,"Texarkana-Texarkana, TX-AR",,,,,,
05119,88,"Little Rock, AR",,,,,,
05131,257,"Fort Smith, AR-OK",,,,,,
05143,129,"Fayetteville-Springdale-Rogers, AR-MO",,,,,,
06001,66,"Concord, CA",,,,,,
06007,306,"Chico, CA",,,,,,
06013,137,"Antioch, CA",,,,,,
06017,601,"Lake Tahoe, CA-NV",,,,,,
06019,63,"Fresno, CA",,,,,,
06025,289,"El Centro-Calexico, CA",,,,,,
06029,471,"Delano, CA",79,"Bakersfield, CA",,,,
06031,333,"Hanford, CA",,,,,,
06037,146,"Santa Clarita, CA",112,"Lancaster-Palmdale, CA",,,,
06041,13,"San Francisco-Oakland, CA",,,,,,
06047,235,"Merced, CA",362,"Madera, CA",,,,
06053,276,"Seaside-Monterey, CA",188,"Salinas, CA",,,,
06055,342,"Napa, CA",,,,,,
06059,69,"Mission Viejo-Lake Forest-San Clemente, CA",2,"Los Angeles-Long Beach-Anaheim, CA",,,,
06065,111,"Indio-Cathedral City, CA",22,"Riverside-San Bernardino, CA",,,,
06071,22,"Riverside-San Bernardino, CA",,,,,,
06073,15,"San Diego, CA",,,,,,
06075,13,"San Francisco-Oakland, CA",,,,,,
06077,334,"Tracy, CA",403,"Lodi, CA",345,"Manteca, CA",102,"Stockton, CA"
06079,423,"El Paso de Robles (Paso Robles)-Atascadero, CA",447,"San Luis Obispo, CA",,,,
6081,13,"San Francisco-Oakland, CA",29,"San Jose, CA",,,,
06083,246,"Santa Maria, CA",485,"Lompoc, CA",184,"Santa Barbara, CA",,
06085,29,"San Jose, CA",,,,,,
06087,204,"Santa Cruz, CA",,,,,,
06091,94,"Reno, NV-CA",,,,,,
06095,382,"Davis, CA",240,"Fairfield, CA",,,,
06097,123,"Santa Rosa, CA",428,"Petaluma, CA",,,,
06099,300,"Turlock, CA",105,"Modesto, CA",,,,
06107,394,"Porterville, CA",,,,,,
06111,103,"Oxnard, CA",386,"Camarillo, CA",254,"Simi Valley, CA",168,"Thousand Oaks, CA"
06113,382,"Davis, CA",,,,,,
06115,267,"Redding, CA",28,"Sacramento, CA",,,,
08001,18,"Denver-Aurora, CO",,,,,,
08005,18,"Denver-Aurora, CO",,,,,,
08013,274,"Boulder, CO",,,,,,
08014,18,"Denver-Aurora, CO",,,,,,
08031,18,"Denver-Aurora, CO",,,,,,
08035,73,"Colorado Springs, CO",,,,,,
08059,18,"Denver-Aurora, CO",,,,,,
08077,251,"Grand Junction, CO",,,,,,
08101,236,"Pueblo, CO",,,,,,
08121,141,"Fort Collins, CO",,,,,,
08123,18,"Denver-Aurora, CO",264,"Greeley, CO",,,,
09001,48,"Bridgeport-Stamford, CT-NY",201,"Danbury, CT-NY",209,"Norwalk, CT",,
09003,47,"Hartford, CT",,,,,,
09005,48,"Bridgeport-Stamford, CT-NY",,,,,,
09009,48,"Bridgeport-Stamford, CT-NY",72,"New Haven, CT",,,,
09011,174,"Norwich-New London, CT-RI",,,,,,
10001,280,"Dover, DE",,,,,,
10003,280,"Dover, DE",,,,,,
11001,8,"Washington, DC-VA-MD",,,,,,
12001,187,"Gainesville, FL",,,,,,
12005,229,"Panama City, FL",,,,,,
12009,84,"Palm Bay-Melbourne, FL",,,,,,
12011,4,"Miami, FL",,,,,,
12019,40,"Jacksonville, FL",,,,,,
12021,121,"Bonita Springs, FL",,,,,,
12031,40,"Jacksonville, FL",,,,,,
12033,113,"Pensacola, FL-AL",,,,,,
12035,109,"Palm Coast-Daytona Beach-Port Orange, FL",,,,,,
12057,143,"Lakeland, FL",221,"Spring Hill, FL",,,,
12069,244,"Leesburg-Eustis-Tavares, FL",,,,,,
12071,121,"Bonita Springs, FL",78,"Cape Coral, FL",,,,
12073,153,"Tallahassee, FL",,,,,,
12081,64,"Sarasota-Bradenton, FL",,,,,,
12083,355,"Homosassa Springs-Beverly Hills-Citrus Springs, FL",,,,,,
12086,4,"Miami, FL",,,,,,
12087,211,"Ocala, FL",,,,,,
12095,220,"Sebastian-Vero Beach South-Florida Ridge, FL",,,,,,
12103,17,"Tampa-St. Petersburg, FL",,,,,,
12109,40,"Jacksonville, FL",399,"St. Augustine, FL",,,,
12111,101,"Port St. Lucie, FL",,,,,,
12113,186,"Fort Walton Beach-Navarre-Wright, FL",,,,,,
12115,199,"North Port-Port Charlotte, FL",,,,,,
12117,32,"Orlando, FL",,,,,,
13013,9,"Atlanta, GA",,,,,,
13015,9,"Atlanta, GA",,,,,,
13021,234,"Macon, GA",,,,,,
13045,9,"Atlanta, GA",,,,,,
13047,100,"Chattanooga, TN-GA",,,,,,
13051,144,"Savannah, GA",,,,,,
13053,147,"Columbus, GA-AL",,,,,,
13057,9,"Atlanta, GA",,,,,,
13059,249,"Athens-Clarke County, GA",,,,,,
13063,9,"Atlanta, GA",,,,,,
13067,9,"Atlanta, GA",,,,,,
13073,98,"Augusta-Richmond County, GA-SC",,,,,,
13077,9,"Atlanta, GA",,,,,,
13083,100,"Chattanooga, TN-GA",,,,,,
13085,9,"Atlanta, GA",,,,,,
13089,9,"Atlanta, GA",,,,,,
13095,309,"Albany, GA",,,,,,
13097,9,"Atlanta, GA",,,,,,
13113,9,"Atlanta, GA",,,,,,
13115,444,"Rome, GA",,,,,,
13117,9,"Atlanta, GA",,,,,,
13121,9,"Atlanta, GA",,,,,,
13135,9,"Atlanta, GA",245,"Gainesville, GA",,,,
13139,9,"Atlanta, GA",,,,,,
13145,147,"Columbus, GA-AL",,,,,,
13151,9,"Atlanta, GA",,,,,,
13157,249,"Athens-Clarke County, GA",,,,,,
13177,309,"Albany, GA",,,,,,
13179,486,"Hinesville, GA",,,,,,
13183,486,"Hinesville, GA",,,,,,
13195,249,"Athens-Clarke County, GA",,,,,,
13215,147,"Columbus, GA-AL",,,,,,
13217,9,"Atlanta, GA",,,,,,
13219,249,"Athens-Clarke County, GA",,,,,,
13221,249,"Athens-Clarke County, GA",,,,,,
13223,9,"Atlanta, GA",,,,,,
13231,9,"Atlanta, GA",,,,,,
13245,98,"Augusta-Richmond County, GA-SC",,,,,,
13247,9,"Atlanta, GA",,,,,,
13255,9,"Atlanta, GA",,,,,,
13295,100,"Chattanooga, TN-GA",,,,,,
13297,9,"Atlanta, GA",,,,,,
15009,463,"Kahului, HI",,,,,,
16001,108,"Boise City, ID",,,,,,
16005,395,"Pocatello, ID",,,,,,
16011,216,"Nampa, ID",,,,,,
16019,321,"Idaho Falls, ID",,,,,,
16055,304,"Coeur d'Alene, ID",,,,,,
16069,483,"Lewiston, ID-WA",,,,,,
17007,127,"Rockford, IL",,,,,,
17019,224,"Champaign, IL",,,,,,
17031,3,"Chicago, IL-IN",,,,,,
17037,3,"Chicago, IL-IN",,,,,,
17043,3,"Chicago, IL-IN",404,"DeKalb, IL",,,,
17073,134,"Davenport, IA-IL",,,,,,
17077,408,"Carbondale, IL",,,,,,
17085,409,"Dubuque, IA-IL",,,,,,
17089,3,"Chicago, IL-IN",,,,,,
17091,350,"Kankakee, IL",,,,,,
17093,3,"Chicago, IL-IN",,,,,,
