Last Report Year,NTD ID,UZA,Legacy NTD ID,Agency Name,Agency Status,Reporter Type,Reporting Module,City,State,Census Year,UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,2022 Status,Mode,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,CB,,,,,,,,,,,,,,,,,,,,8616000,0,0,0,0,0,0,0,0,0,0,0
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,DR,,,,,,5185098,1644463,3339579,725832,3264619,4645327,4115853,2559052,1059620,2073371,123331,4931877,1837515,4054959,6642812,5236716,2921260,3029359,218258,3887981,4381003,10144353,11496520,7309128,11580331,5426122
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,DT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,FB,,,,,,,,,,,,,,,,,,,,,,,,,1746717,5994469,17273857,16284590,1038487,151461,144345
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,LR,8814720,8151730,8029820,4089695,609339,218340,1719041,453104,,,0,1496,102395,236305,,677549,25037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,MB,38392650,30604370,28987249,40301551,63997729,84217643,38361130,125548303,59040908,24629328,57007448,88589920,218080294,53451873,41166271,61413900,90491305,99401738,78878745,224862709,169806260,96494801,107026823,65879972,147655716,169254437,320615466,188211499,108391059,133353822,155583909
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,RB,,,,,,,,,,,,,,,,,,,,23090784,0,0,0,0,,,,,,,
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,SR,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,TB,4959536,3659547,3940026,2195877,6510639,8445641,4012162,4975267,5188362,9677313,48588752,15671917,13909526,11873698,8551081,2904418,1366588,4648472,686252,447973,1243587,1845285,4344397,90133644,118143571,2404033,2395125,5281801,3447767,4267091,5216031
2022,1,14,1,King County Department of Metro Transit (KCM),Active,Full Reporter,Urban,Seattle,WA,2020,"Seattle--Tacoma, WA",80389,982.52,3544011,Existing 2022,VP,5772370,7467099,3406964,6066699,1265379,8060494,7095293,5225999,4231086,1742580,1296530,4535666,4219830,3248737,5130872,3244383,4594100,562010,2087301,7315429,6514754,6896916,5510279,8955581,1122010,5880738,8722513,9416951,161813,143480,147017
2022,2,96,2,Spokane Transit Authority (STA),Active,Full Reporter,Urban,Spokane,WA,2020,"Spokane, WA",83764,171.67,447279,Existing 2022,DR,184471,1220307,2291353,1404798,268153,139931,712672,208454,33519,724390,41867,20456,1596423,1895062,0,0,798950,210342,0,1341347,7463219,1989570,2807077,689603,220350,1315018,4443,3343215,44371,156833,1408739
2022,2,96,2,Spokane Transit Authority (STA),Active,Full Reporter,Urban,Spokane,WA,2020,"Spokane, WA",83764,171.67,447279,Existing 2022,LR,,,,,,,,,20804,1851680,2219562,1634649,1576692,969769,,,,,,0,0,0,0,0,,,,,,,
2022,2,96,2,Spokane Transit Authority (STA),Active,Full Reporter,Urban,Spokane,WA,2020,"Spokane, WA",83764,171.67,447279,Existing 2022,MB,3344697,2443122,12317197,5717807,1127029,8388030,496342,772270,2153301,1608368,1204134,8426240,425807,4605565,9866502,13822940,11396722,9011227,8025022,5012029,5853196,4297500,7689753,11489739,12904478,12476500,24235866,21646290,24333640,51717755,38489405
