,UZA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,CountyFIPS,UZA_CODE
1,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,34003.0,1.0
2,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,34013.0,1.0
3,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,34017.0,1.0
4,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,34021.0,1.0
5,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,34023.0,1.0
6,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,34035.0,1.0
7,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,34039.0,1.0
8,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36005.0,1.0
9,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36027.0,1.0
10,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36047.0,1.0
11,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36059.0,1.0
12,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36061.0,1.0
13,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36081.0,1.0
14,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36085.0,1.0
15,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36087.0,1.0
16,1.0,1524052834.0,1508949890.0,1652349562.0,1904402578.0,2103386062.0,2491489732.0,2592698712.0,3039238505.0,2849347230.0,3588362478.0,4285457986.0,4751507454.0,4377673918.0,4364976827.0,4183420598.0,4380074334.0,5808242143.0,6186098444.0,5658013719.0,4356243784.0,5264580426.0,4864702975.0,4472515560.0,4622081407.0,4746773851.0,4947029501.0,6179188232.0,7406261795.0,6175369112.0,5740923357.0,6339105334.0,36103.0,1.0
