ST,YEAR,FIPS_CODE,ZERO_CAR_HOUSEHOLDS,PERCENT_WITHOUT_VEHICLE
39,2015,39165,60600,0.045794604
41,2015,41051,1227327,0.135738182
41,2015,41063,8598,0.062777912
37,2013,37063,291620,0.083918748
37,2013,37141,27536,0.0439816
38,2013,38055,6788,0.042723531
38,2013,38103,5198,0.049752101
38,2013,38047,1997,0.037358526
55,2016,55081,46674,0.065146662
55,2016,55093,41488,0.065146662
55,2016,55099,19368,0.041875308
48,2017,48363,14364,0.033495635
48,2017,48397,25894,0.036313711
48,2017,48013,21384,0.059749201
48,2017,48381,50170,0.035348685
6,2018,6099,261113,0.060712404
47,2013,47171,19544,0.074491927
48,2013,48269,2264,0.050548126
55,2014,55113,25512,0.054078803
40,2009,40077,6396,0.049151605
40,2009,40025,8760,0.050638765
37,2011,37125,60354,0.048870427
37,2011,37121,16824,0.051295185
37,2011,37033,40554,0.075734487
38,2011,38063,4122,0.047780779
38,2011,38023,2043,0.042886832
39,2011,39097,23232,0.025169661
48,2013,48051,15190,0.055136116
48,2013,48503,9896,0.043335844
37,2011,37075,16101,0.088238195
37,2011,37055,45837,0.052626926
38,2011,38051,2197,0.051426699
26,2011,26149,116892,0.172443196
8,2012,8063,9480,0.080331495
8,2012,8119,1542,0.006570369
27,2019,27037,200155,0.037834267
27,2019,27075,18864,0.080191807
27,2019,27149,9957,0.050984669
28,2019,28107,21336,0.083719835
28,2019,28083,27304,0.076317614
47,2021,47025,18657,0.040914205
47,2021,47179,48898,0.037461895
48,2021,48349,26960,0.045278963
48,2021,48067,16401,0.051105876
48,2021,48049,39192,0.044998002
48,2021,48303,271382,0.061484317
48,2021,48221,35520,0.062888405
48,2021,48491,130678,0.02398393
37,2006,37013,55451,0.083575111
37,2006,37125,67986,0.055757307
38,2006,38035,93672,0.08627321
40,2006,40111,52460,0.056002733
29,2009,29005,5838,0.067324769
29,2009,29135,17124,0.060738912
47,2021,47009,35336,0.022760884
48,2021,48225,38122,0.079799549
48,2021,48103,1171,0.02733682
40,2006,40047,51924,0.045238319
24,2019,24023,26334,0.094551121
48,2019,48211,1935,0.031541371
48,2019,48003,3660,0.024881033
48,2019,48475,2745,0.024881033
21,2021,21011,11595,0.074019458
21,2021,21165,7730,0.074019458
48,2012,48071,9002,0.034093319
48,2012,48221,21260,0.04496711
6,2013,6007,154917,0.071412306
24,2014,24037,55116,0.043507296
42,2016,42089,92730,0.049053837
46,2016,46073,3927,0.073938093
47,2016,47045,31160,0.07158479
47,2016,47171,17848,0.070461903
48,2016,48069,6210,0.034459797
48,2016,48043,4683,0.044087327
48,2016,48309,112599,0.050436734
48,2016,48001,23122,0.045596529
48,2016,48051,11590,0.043839244
48,2016,48273,19710,0.10084111
53,2012,53073,222190,0.082691164
54,2012,54051,51201,0.103218666
55,2012,55099,33240,0.06948974
26,2013,26111,94316,0.063014116
26,2013,26013,17337,0.081814964
26,2013,26115,119769,0.052514578
46,2006,46113,9447,0.09003574
47,2006,47171,6044,0.029517484
48,2006,48311,2486,0.070663142
1,2014,1103,99441,0.063118027
1,2014,1055,89700,0.075288311
2,2014,2270,11083,0.336082724
42,2008,42023,8792,0.082484286
42,2008,42005,73967,0.054350254
45,2008,45031,65024,0.0668586
46,2011,46067,5286,0.038218771
47,2011,47005,15200,0.06754805
47,2011,47141,44115,0.062290846
48,2011,48445,7107,0.052894813
56,2012,56007,5525,0.024950889
37,2012,37033,14562,0.055060233
38,2012,38015,47614,0.048133992
38,2012,38037,5504,0.072768619
39,2012,39137,10570,0.034830346
39,2012,39069,13545,0.039005806
39,2012,39027,24003,0.060714367
13,2013,13001,28685,0.105964057
13,2013,13103,30210,0.063688493
39,2019,39017,199756,0.053320734
39,2019,39117,27918,0.075468332
42,2019,42089,110088,0.059281373
42,2019,42107,189640,0.081403135
42,2019,42055,47736,0.035633108
21,2012,21033,6225,0.049009188
22,2012,22119,51656,0.074762784
27,2015,27039,16120,0.063188429
27,2015,27011,10848,0.058003561
28,2015,28079,13860,0.062593145
40,2013,40065,8992,0.027369241
41,2013,41059,43035,0.060888389
36,2014,36113,71250,0.075094619
13,2019,13167,8517,0.056554911
13,2019,13289,8746,0.064841862
42,2021,42107,209000,0.089758125
45,2021,45057,50176,0.054159426
8,2010,8045,35563,0.062529011
1,2011,1047,25890,0.03077362
1,2011,1065,10356,0.03077362
8,2018,8087,15024,0.045476559
8,2018,8125,3756,0.045476559
12,2018,12041,15705,0.044436585
12,2018,12015,141960,0.048549517
39,2018,39089,98016,0.049214306
4,2005,4003,67296,0.028516028
6,2005,,828281,0.076999249
28,2006,28135,9968,0.062680786
55,2007,55029,41510,0.045107308
18,2021,18089,379836,0.06819979
18,2021,18071,15760,0.031103217
18,2021,18057,55177,0.026797401
19,2021,19021,10482,0.035090186
19,2021,19123,30548,0.092420424
19,2021,19003,4692,0.055970416
20,2021,20021,14370,0.047446412
20,2021,20165,5010,0.058391608
29,2021,29091,20256,0.05468092
29,2021,29017,9480,0.060871073
37,2018,37167,10660,0.020713347
37,2018,37155,113464,0.089002402
37,2018,37141,21296,0.029363101
37,2018,37037,31434,0.047682903
37,2018,37027,55573,0.070848053
20,2021,20097,2505,0.058391608
42,2014,42001,59961,0.052794654
45,2014,45055,37860,0.062937935
46,2014,46005,13458,0.04171859
46,2014,46007,5534,0.074297836
47,2014,47115,17928,0.069517472
47,2014,47175,6494,0.07362311
5,2015,5149,16932,0.053848796
6,2015,6047,143225,0.069742019
36,2016,36051,32415,0.05451289
36,2016,36121,23771,0.05451289
