Origin,Destination,Workers in Commuting Flow,Margin of Error
01001,01001,8671,681
01001,01003,8,12
01001,01007,11,19
01001,01013,9,17
01001,01021,508,195
01001,01041,186,259
01001,01045,5,10
01001,01047,406,176
01001,01051,2188,341
01001,01063,15,23
01001,01073,191,151
01001,01081,88,102
01001,01085,126,71
01001,01087,60,61
01001,01091,57,78
01001,01097,82,104
01001,01101,11486,865
01001,01103,2,4
01001,01109,122,123
01001,01113,47,60
01001,01117,455,221
01001,02020,87,94
01001,05145,10,16
01001,13121,20,21
01001,19139,7,12
01001,21015,2,4
01001,22109,23,34
01001,47037,66,110
01001,51107,5,10
01001,53053,6,11
01003,01003,74138,"2,143"
01003,01013,9,15
01003,01025,22,40
01003,01033,8,17
01003,01035,29,33
01003,01039,26,45
01003,01043,26,40
01003,01045,18,28
01003,01049,8,16
01003,01051,6,11
01003,01053,543,180
01003,01055,8,17
01003,01073,46,41
01003,01083,2,5
01003,01085,2,4
01003,01089,18,29
01003,01095,3,5
01003,01097,15788,"1,193"
01003,01099,328,290
01003,01101,124,60
01003,01109,73,120
01003,01115,1,5
01003,01117,53,56
01003,01125,25,40
01003,01129,282,165
01003,08059,29,52
01003,11001,7,12
01003,12005,14,23
01003,12031,11,17
01003,12033,3424,642
01003,12091,46,57
01003,12097,21,35
01003,12113,34,29
01003,12133,25,41
01003,13021,6,10
01003,13063,28,44
01003,13113,54,98
01003,13117,25,39
01003,13121,12,14
01003,13127,57,65
01003,13139,24,36
01003,16001,22,38
01003,17097,17,28
01003,18029,2,4
01003,18081,37,46
01003,20037,37,56
01003,21015,2,4
01003,21107,75,98
01003,21225,20,26
01003,22033,3,7
01003,22051,139,150
01003,22055,9,14
01003,22057,36,37
01003,22071,24,25
01003,22075,30,43
01003,22101,49,51
01003,22103,28,41
01003,22109,10,18
01003,26111,10,16
01003,27053,9,14
01003,28035,47,77
01003,28047,85,80
01003,28049,29,47
01003,28059,340,144
01003,28067,17,25
01003,28075,24,29
01003,28083,41,43
01003,28111,11,19
01003,29077,17,36
01003,34023,12,22
01003,37119,21,23
01003,39035,94,121
01003,39049,22,24
01003,42091,21,37
01003,45045,15,23
01003,47037,52,69
01003,47157,14,17
01003,48113,23,35
01003,48201,133,185
01003,48409,12,19
01003,49051,3,7
01003,51650,18,29
01003,53033,38,60
01005,01005,6052,482
01005,01011,141,100
01005,01031,16,28
01005,01045,279,83
01005,01061,5,8
01005,01067,182,89
01005,01069,122,68
01005,01081,26,36
01005,01087,1,3
01005,01097,7,11
01005,01101,81,52
01005,01109,550,192
01005,01113,359,114
01005,01117,24,29
01005,12086,7,12
01005,13053,17,19
01005,13061,6,9
01005,13075,7,12
01005,13129,97,89
01005,13215,219,138
01005,13239,110,72
01005,13243,75,70
01005,13249,3,5
01005,13259,125,123
01005,13261,5,8
01005,22023,8,13
01005,27041,15,23
01005,27099,16,24
01007,01007,2590,466
01007,01021,40,56
01007,01047,100,118
01007,01051,20,35
01007,01065,4,6
01007,01073,1852,431
01007,01091,23,38
01007,01101,3,5
01007,01117,907,254
01007,01125,2434,436
01007,12085,22,36
01007,17031,25,39
01007,47065,87,129
01009,01009,7568,698
01009,01019,3,5
01009,01029,18,27
01009,01043,1443,380
01009,01049,64,70
01009,01055,551,190
01009,01059,21,33
01009,01071,3,4
01009,01073,9742,753
01009,01075,4,7
01009,01079,5,8
01009,01083,32,34
01009,01089,222,90
01009,01095,1112,265
01009,01101,2,4
01009,01103,222,124
01009,01115,574,170
01009,01117,512,186
01009,01121,128,70
01009,01125,3,5
01009,01127,239,101
01009,02020,1,2
01009,06075,15,30
01009,08041,8,13
01009,12023,58,72
01009,12031,30,38
01009,13045,2,3
01009,20037,14,16
01009,21111,2,3
01009,22089,2,4
01009,22111,1,4
01009,47037,2,4
01009,47187,2,4
01009,48423,2,3
01009,48453,15,24
01009,48471,2,3
01009,53031,12,19
01011,01001,77,106
01011,01005,181,82
01011,01011,2140,333
01011,01041,40,64
01011,01045,61,73
01011,01051,2,3
01011,01073,19,29
01011,01081,300,210
01011,01085,27,40
01011,01087,231,160
01011,01101,667,224
01011,01109,114,72
01011,01113,111,94
01011,13239,9,14
01011,13243,6,14
01013,01001,11,14
01013,01011,19,33
01013,01013,5812,376
01013,01025,35,35
01013,01035,175,63
01013,01039,179,72
01013,01041,234,95
01013,01047,22,33
01013,01051,11,12
01013,01073,13,13
01013,01085,77,48
01013,01099,10,14
01013,01101,1040,218
01013,01109,93,49
01013,01117,3,5
01013,01131,60,50
01013,22121,7,11
01013,25017,31,39
01013,39017,7,11
01013,47093,6,11
01013,48201,4,6
01013,51760,40,46
01013,72127,5,7
01015,01003,10,15
01015,01009,10,15
01015,01015,35893,"1,059"
01015,01019,381,150
01015,01023,31,40
01015,01027,77,67
01015,01029,400,169
01015,01049,79,60
01015,01053,12,18
01015,01055,1810,313
01015,01069,11,19
01015,01071,45,64
01015,01073,907,216
01015,01077,43,41
01015,01083,3,4
01015,01089,47,54
01015,01095,162,162
01015,01101,26,33
01015,01103,5,10
01015,01111,67,59
01015,01115,789,245
01015,01117,135,100
01015,01121,5022,567
01015,01123,2,5
01015,01125,89,97
01015,05119,22,32
01015,06075,15,27
01015,11001,11,18
01015,12033,10,22
01015,13045,97,83
01015,13067,96,124
01015,13089,2,4
01015,13115,60,46
01015,13121,35,47
01015,13139,14,26
01015,13143,152,97
01015,13185,46,48
01015,13215,2,4
01015,13233,233,136
01015,13245,9,16
01015,13255,5,8
01015,16001,8,11
01015,18097,16,25
01015,20091,34,26
01015,20099,12,20
01015,21151,62,66
01015,22051,22,37
01015,22115,59,92
01015,28069,9,14
01015,28113,6,11
01015,28121,19,29
01015,37157,12,18
01015,42029,60,83
01015,42031,16,21
01015,45039,12,20
01015,47055,9,19
01015,47149,15,24
01015,47157,7,11
01015,48201,32,32
01015,51013,40,46
