,0,1
0,01001,01011
1,01001,01041
2,01001,01051
3,01001,01085
4,01001,01087
5,01001,01101
6,01001,01109
7,01003,01053
8,01003,12033
9,01003,12113
10,01005,01113
11,01005,13053
12,01005,13197
13,01005,13239
14,01005,13243
15,01005,13259
16,01005,13307
17,01007,01057
18,01007,01063
19,01007,01065
20,01007,01073
21,01007,01107
22,01007,01125
23,01007,01127
24,01009,01043
25,01009,01057
26,01009,01073
27,01009,01093
28,01009,01125
29,01009,01127
30,01009,01133
31,01013,01025
32,01013,01047
33,01013,01085
34,01013,01091
35,01013,01099
36,01013,01131
37,01015,01027
38,01015,01029
39,01015,01037
40,01015,01115
41,01015,01117
42,01015,01121
43,01017,01111
44,01017,13077
45,01017,13145
46,01017,13149
47,01017,13199
48,01017,13285
49,01023,01129
50,01023,28023
51,01023,28041
52,01023,28061
53,01023,28067
54,01023,28111
55,01023,28153
56,01027,01029
57,01027,01037
58,01027,01111
59,01027,01121
60,01027,01123
61,01031,01039
62,01031,01045
63,01031,01061
64,01031,01069
65,01031,12059
66,01031,12063
67,01031,12131
68,01033,01059
69,01033,01077
70,01033,28003
71,01033,28057
72,01033,28117
73,01033,28141
74,01033,47071
75,01021,01027
76,01021,01037
77,01021,01051
78,01021,01117
79,01021,01121
80,01021,01123
81,01019,01029
82,01019,13015
83,01019,13115
84,01019,13143
85,01019,13223
86,01019,13233
87,01057,01063
88,01057,01075
89,01057,01107
90,01057,01119
91,01057,01125
92,01057,28087
93,01057,28103
94,01063,01065
95,01063,01091
96,01063,01107
97,01063,01119
98,01063,01125
99,01045,01061
100,01045,01067
101,01045,01069
102,01045,12063
103,01045,13099
104,01045,13253
105,01049,13047
106,01049,13055
107,01049,13083
108,01049,13115
109,01049,13129
110,01049,13295
111,01049,13313
112,01049,47065
113,01077,47039
114,01077,47071
115,01077,47099
116,01077,47101
117,01077,47135
118,01077,47181
119,01011,01051
120,01011,01081
121,01011,01087
122,01011,01101
123,01011,01113
124,01011,01123
125,01071,13083
126,01071,47051
127,01071,47061
128,01071,47065
