Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,2115639.332,4116340.854,2843839.852,611397.2023," $4,008,798.13 ",3177372.554,3395204.263,278272.1807,97953.61596,2546.147983,163512.7056,132377.015,3099.615761,28959.63716,71350.53064,73279.83089,93353.50208,55628.882,66449.91085,74172.90723,74754.31681,75058.06091,71289.20003,74515.22554,76176.68037,76589.45763,76967.49664,77360.8404,78611.59832,79455.45111,80130.87789,80860.41046,81662.35071,82548.46183,83359.45571,84163.68066,84994.43803,85846.04771,86707.88929,87564.73135,88431.01813,89310.08965,90199.11388,91095.84551,91999.76449,92913.38132
1003,278084,3790480,3927940,366988,9202628,7827172,678616,76491.1349,104928.8983,446057.196,1913521.229,460450.502,891937.142,1033882.391,297161.4642,122112.5587,187913.2502,521799.402,578097.0842,625977.6521,675714.124,697635.9217,581574.1424,593135.9445,564614.012,519820.2122,541074.0017,581065.7758,618593.9715,627833.4531,632581.0156,633211.3367,629154.2524,622617.3658,626535.128,629723.2319,635938.2029,647022.1929,657135.4294,664396.6236,668768.6949,672676.1498,676503.4126,680635.838,685549.9894,697131.6215
1009,1021020.099,1450872.515,645665.4069,461344.1023,169757.1056,248201.6002,5121885.22,14113.08039,656342.6794,927663.9211,13912.33001,168276.9736,976763.9625,1440334.902,1107467.661,182486.398,1255536.006,1022293.319,741222.7995,810628.7272,825356.0318,815590.2787,892114.0829,961207.6252,959722.7021,913846.083,895364.0233,963411.433,935526.8147,927244.5574,945001.1798,957827.6411,970472.6584,985256.8855,994147.7894,997292.0778,1000878.246,1009185.861,1020050.673,1025457.146,1034041.405,1044235.649,1053708.03,1062860.249,1071679.065,1084904.026
1033,0,301116,83664,124128,50993,377556,1492464,81010,534006,57603,159466,0,0,135835,72301,337737,99288,132903.166,153696.0568,160634.2713,124994.2426,131427.043,128750.5972,141040.4269,154503.3767,156285.3581,164302.0469,147746.8922,152372.5138,154230.9515,154282.0097,153675.6574,156413.4288,158798.4929,161666.7012,163635.5728,164507.2824,165292.1025,165386.6078,167070.3988,168473.3787,169832.8831,171317.2847,173001.2582,174584.6419,176585.146
1051,2644549.165,5145426.068,3554799.816,764246.5028,5010997.656,3971715.693,4244005.329,347840.2259,122442.0199,3182.684979,204390.882,165471.2688,3874.519701,36199.54645,89188.1633,91599.78861,116691.8776,69536.10251,119357.994,97548.32638,95172.11018,103952.9189,94365.65884,87578.30517,95568.21196,101235.2209,102385.1674,103414.6808,102147.312,105260.2002,103914.5017,104522.182,105414.6889,105554.2215,106622.2206,108440.0489,109668.7243,110473.7405,111245.8316,111993.3505,112933.1997,113665.6223,114596.4111,115558.0421,116526.2713,118095.5866
1057,0,0,90256,0,0,431213,9991,19270,89498,0,33794,69300,0,115128,95170,29848,0,49470.076,47868.3618,50598.20543,46885.04322,51360.43371,53037.22965,51484.8743,56399.33957,50793.42199,46557.4759,48152.47133,52748.84359,53061.81686,53557.55576,53840.0392,54503.92518,54803.98573,54972.63063,55305.55282,55201.1459,55621.88319,56487.12206,57282.70236,57715.47979,58159.69307,58598.98799,59053.25129,59487.50514,60361.07296
1073,,,,,,,,473682.6383,27604763.34,23243115.17,764923.7901,6880658.475,28716843.63,52812783.8,22246720.55,8856847.812,33135252.62,30028300.37,22409280.62,24503133.15,24207068.45,24299082.18,26545524.57,28422625.42,28394540.96,26063708.68,26428057.55,28105309.39,27625178.45,27395789.54,27871774.48,28193326.6,28573833.06,28981877.47,29214438.43,29290020.58,29375498.18,29691623.54,30003145.74,30184302.85,30428582.91,30718076.82,30989769.32,31256702.48,31512794.57,31910620.77
1079,0,88654,68231.5,182459,0,0,0,249426,254652,0,0,0,0,0,22456,17259.5,27586,13864.109,55864.16268,37387.80548,16648.95055,18238.16855,19979.08464,21886.17909,23975.31436,26263.8671,26627.34532,27521.54874,27515.39657,28818.47402,26236.8401,25172.42977,25986.03461,26725.60364,27369.58954,27893.006,28266.96747,28458.17251,28632.93328,28739.01999,28855.82041,28859.38529,29109.71915,29485.55132,29819.59609,30102.79488
1081,118865,23895,131934,174995,139857,0,523330,269860,90439,114175,100610,0,0,0,209735,156669,159787,108395.346,115468.533,100731.1657,101713.5997,100524.1024,100515.9031,110110.603,120621.1605,132134.9986,124727.7257,121678.7859,118041.1836,118961.9227,119295.3826,121067.4215,122914.8317,125052.1286,127394.2229,129044.0229,129848.0234,129629.7213,130097.639,130901.2568,132128.8093,133385.6485,134730.6284,136034.8436,137287.2084,138754.8304
1089,477766,173170,5293656,3689865,2698353,985933,1179164,183710,3179879,1126063,1980882,349345,1004209,227221,1492392,301439,1641924,961440.11,1188266.301,1284155.767,1103200.367,1101018.025,1017031.009,1080764.673,1088072.26,1170244.426,1139493.976,1219490.133,1179166.9,1199949.912,1201065.165,1193133.79,1201718.344,1211330.647,1229877.431,1244110.921,1259005.521,1267478.171,1279694.844,1285441.657,1295586.066,1304714.971,1314608.816,1326204.16,1338086.897,1355315.387
1097,,,,,,,,5098562,1606545,871862,1176954,1293647,422018,484205,3173788,1524762,3302262,1834849.21,1984447.902,1687191.556,1694889.636,1773451.365,1830389.75,1881624.286,2020950.34,2167639.668,2071598.236,2123796.241,2011306.327,2028149.961,2032321.521,2065265.745,2100619.829,2131849.545,2160625.253,2187257.164,2203131.906,2206519.801,2219398.678,2228524.365,2249258.814,2270364.659,2293086.959,2314833.529,2335281.201,2361341.984
1101,6802597.503,12756928.08,7781298.332,2651511.295,7744501.218,10545484.75,10814123.41,3290525.593,1023602.364,24451.16704,1807633.412,1457160.716,42867.86454,298968.8164,738570.3061,611136.3805,647858.6203,481916.8095,995084.2412,775973.9303,752336.6707,821816.6506,727715.9597,658087.142,716812.6185,756697.7087,758428.0517,772487.7112,784384.1244,813256.0045,795899.6728,797801.6755,802141.5169,800263.4359,807188.4223,821420.8172,831406.1453,838537.4052,846184.2071,853218.8726,859789.4622,864231.2922,870753.8559,877717.4731,884931.5417,897629.2668
1103,0,265962,204694.5,547377,0,0,0,748278,763956,0,0,0,0,0,67368,51778.5,82758,41592.327,167592.488,112163.4164,49946.85164,54714.50566,59937.25393,65658.53726,71925.94309,78791.60129,79882.03596,82564.64621,82546.18971,86455.42206,78710.52031,75517.28932,77958.10382,80176.81092,82108.76863,83679.01799,84800.90241,85374.51752,85898.79985,86217.05997,86567.46122,86578.15587,87329.15744,88456.65395,89458.78828,90308.38465
1113,296891.239,709376.7588,785325.1335,1381074.01,1242404.437,1657519.64,1367904.479,665433.374,1603560.306,558982.9681,604187.0925,2394143.118,658578.6797,781040.7937,1625198.237,1103716.253,2224077.493,1316877.96,1292053.281,1351866.999,1327841.729,1401232.792,1477314.427,1389798.962,1459597.261,1524368.56,1514743.909,1553978.368,1490014.36,1506541.016,1527014.846,1543733.504,1564341.355,1579910.809,1589704.1,1608785.954,1623026.693,1632444.06,1643679.074,1652241.414,1667726.724,1683112.633,1698012.876,1712739.543,1726904.825,1748630.3
1115,1474806.81,2095704.744,932627.81,666385.9256,245204.7081,358513.4225,7398278.651,20385.56056,948050.5369,1339958.997,20095.5878,243066.7396,1410881.279,2080483.747,1599675.51,263591.4638,1813552.008,1476645.906,1070655.155,1170908.162,1192180.935,1178074.847,1288609.231,1388411.014,1386266.125,1319999.898,1293303.589,1391594.292,1351316.51,1339353.25,1365001.704,1383528.815,1401793.84,1423148.835,1435991.251,1440533.001,1445713.021,1457712.91,1473406.527,1481215.877,1493615.362,1508340.382,1522022.71,1535242.582,1547980.871,1567083.593
1117,6675333.09,8405766.741,2877982.783,1436709.972,789098.1863,1571716.977,19718952.13,62802.72074,3703343.446,3336889.907,159664.2921,1138985.812,4766183.127,8568921.552,2803016.278,1119366.327,8900199.371,5388483.451,3813204.463,4171197.357,4215856.139,4299757.462,4694948.173,5034380.944,5059981.645,4725037.381,4908503.032,5270193.354,4923692.779,4879326.397,4981092.581,5058400.762,5138825.476,5218918.332,5268933.665,5291322.788,5313405.352,5369567.749,5413578.473,5427265.234,5475333.514,5532225.102,5584833.206,5635083.576,5682453.667,5749445.387
1125,71356,854952,16607,3800745,7927577,1562253,820495,411808,282863,259207,590610,295211,1277400,41633,1264072,66019,783846,707191.82,570804.8965,585981.8729,614915.9472,648869.983,654431.1632,688720.3606,632528.2132,688931.8472,634032.1054,688251.5382,679126.6123,676447.6606,686531.7426,696129.6848,703881.9052,709133.0432,714354.5863,716801.4896,724845.7569,728273.9028,737269.7108,741948.7182,747945.3737,754770.1554,761283.8221,767503.0807,773576.0111,783846.1593
2020,11472632,11971217,13943691,20202059,11608795,19256838,14576361,117854026,95936278,60491769,46030030,48241661,55119534,55128070,51052122,51725509,46846578,53533593.48,65096102.64,60060119.04,56635576.6,56267485.5,57244697.17,58104077.89,58388966.17,58700233.53,59430280.54,60165736.01,61437110.18,62191536.78,61914282.76,62091271.12,62612041.96,63217658.71,63787805.04,64330342.63,64897474.02,65489028.79,66067363.85,66630701.06,67126452.91,67597513.09,68140003.26,68717382.24,69300164.72,70221592.34
2090,236482,2241976,134738,2912283,0,105792,550838,267931,778918,1642519,629128,276701,444703,416490,569107,52967,1221966,557277.998,654599.3998,691508.6562,683165.037,591590.3405,588007.2003,617722.7921,634238.3177,655023.3844,663224.4938,721476.3455,673702.3331,684815.565,687699.8354,687336.2661,687734.4289,696911.8191,707307.26,715858.5047,723649.5225,730200.1994,736593.3349,738036.3202,744177.2917,749843.6384,755775.5468,762308.3873,769426.8106,778995.525
4005,0,0,0,2112256,4656178,1594421,2297290,8702166,4355228,4827527,7522828,2724586,3054632,4934922,578467,621631,937358,2086164.06,3851162.228,3388111.868,3295796.238,3149585.574,2732139.706,2732860.742,2702146.212,2489017.615,2671388.355,2867047.012,3051244.599,3143365.923,3075803.549,3045992.3,3022147.379,3009982.824,3036504.212,3065488.362,3100171.021,3158508.392,3205006.214,3237265.956,3255022.54,3265680.671,3283805.306,3306505.638,3333648.927,3387600.595
4013,290497794,374989796,547644310,566404985,271344477,73534191,35067266,93357736,122542571,192439430,151157841,125155847,125335478,241444041,197682019,406960980,370608546,276458399.2,219845457.5,231919285.5,242359790,247124915.3,256285408.8,268802321.5,282496883.8,286415564.3,294885584.5,284187478.6,275938194.8,275888539,281238105.8,285945811.4,290106295.3,294209063.4,297829048.6,300599781.6,302327785.5,303846679.4,304702056.6,306660266.3,309592827.7,312810055.2,315823741.3,318675725.5,321402807.5,325130862.4
4019,6128160,14097059,14141832,12728547,52844653,29383034,34411301,53047809,91311677,47034035,28914065,21489137,4445089,2066378,12196209,3660376,22647944,9273295.176,28262755.9,25896909.92,19652773.06,17039107.15,15905588.45,15372613.36,16415695.23,17785402.78,18318916.73,19718141.08,19438478.07,20408790.98,19659094.33,19063666.48,19007433.58,19195319.28,19509339.05,19904208.32,20237202.75,20471238.2,20676687.07,20768184.64,20895111.17,20941532.65,21063947.21,21254883.1,21469412.37,21758726.62
5007,685355.8694,607835.4575,543057.3754,1531011.614,1847333.323,2824612.541,1626986.808,1917979.64,1111838.914,428614.459,1918385.364,1094369.589,2152875.693,3502329.16,6691410.052,3381692.224,2596930.113,3774998.872,2727272.299,2804522.961,2966097.348,3208311.623,3331440.948,3544979.578,3677862.221,3694617.65,3408560.194,3411124.863,3488843.453,3461528.618,3531616.721,3601021.125,3661627.486,3704898.546,3740546.771,3759214.548,3766979.998,3773887.313,3808759.447,3846715.475,3880875.986,3920904.599,3958063.896,3992145.251,4023694.675,4073790.988
5031,0,0,0,0,0,0,0,243236,21085,70402,1120136,121546,202078,205883,242832,213676,221198,223647.402,275455.0338,278530.4871,303104.829,325317.3718,249448.3209,261657.1788,267344.2822,273211.041,276110.8585,282070.5496,287881.1111,294012.5106,295783.9061,297430.8234,296889.2138,294175.6169,298445.0406,301956.6092,305260.5132,308319.781,311394.269,314193.3514,316704.9743,318871.0731,321074.8481,323331.7777,325855.8407,330802.7339
5033,127663.1488,60155.99204,133777.3796,48838.00399,837689.0308,162195.2924,954463.8399,500689.7231,463112.4804,91251.87487,146317.8217,266615.0634,240387.9194,146981.2447,1205751.124,282530.3938,476429.1966,484528.4551,410893.1875,402321.7,396518.9437,425658.073,452322.3697,470048.9762,491971.168,524902.0243,459911.8829,476843.7523,476883.3236,476153.561,482382.9603,490025.1715,498950.766,505946.8867,511065.5906,514980.8129,517177.1881,516439.8173,521835.6656,526130.3482,530831.2006,536050.4298,541173.2337,546055.5488,550551.9144,557160.4394
5035,6147908.197,9218899.727,3196191.064,7758266.688,3275323.623,24086898.1,26256609.99,13074712.6,15438744.29,19755256.21,3818525.254,7458149.312,13851847.54,10285375.74,6386193.833,12589190.34,6609130.84,10242678.09,11407754.02,11248635.25,10848670.3,9998496.187,10588402.5,10887199.4,10604210.26,10634644.46,11040178.38,10892318.15,11301167.85,11402205.51,11401675.88,11416284.3,11470465.64,11610971.81,11708580.7,11786985.28,11899886.53,12020659.64,12114251.03,12230890.08,12319636.29,12407209.23,12503191.96,12606942.24,12715424.1,12885795.19
5095,0,0,0,0,0,0,0,0,0,0,0,1274119.647,78384.3335,37121.78491,34765.10861,26834.85795,234147.7424,84718.28843,168963.3046,185091.6201,202759.4565,222113.7683,243315.5371,144920.5993,151271.7883,162167.925,174329.1029,188408.0991,184042.0422,193522.946,195867.2754,196895.8606,196336.1538,193875.5633,189156.2931,193378.7911,197398.0959,200760.9759,203284.0183,204703.9924,206676.2694,207931.814,209083.429,210246.7878,211574.6211,215375.6618
5119,1731948,8002117,4957151,4311839,1786568,9564489,1536013,1808695,3207403,1361078,11814785,2164438,5668193,2151552,3112167,2435733,8339635,4471699.68,4442013.419,4693375.632,4835218.474,5166840.974,4532264.499,4758284.301,4671429.38,4911963.13,5083761.851,5336528.242,5049868.051,5105056.85,5168347.36,5213685.57,5249811.974,5257731.934,5326981.098,5381265.792,5449022.904,5500287.701,5540046.986,5559473.775,5608117.958,5656137.428,5702699.207,5749377.781,5797063.608,5873759.572
5131,301749.2608,142186.8903,316201.079,115435.2822,1979992.255,383370.6911,2256005.44,1183448.437,1094629.499,215686.2497,345842.1241,630181.0589,568189.6276,347410.2149,2849957.203,667799.1126,1126105.374,1145249.076,971202.0795,950942.2,937226.5942,1006100.9,1069125.601,1111024.853,1162840.943,1240677.512,1087064.451,1127085.233,1127178.765,1125453.871,1140177.906,1158241.314,1179338.174,1195874.459,1207973.214,1217227.376,1222418.808,1220675.932,1233429.755,1243580.823,1254691.929,1267028.289,1279136.734,1290676.752,1301304.525,1316924.675
5143,999144.1161,482618.0791,603825.0749,1089252.119,1779914.913,2429278.357,3296739.741,1373164.483,2288935.726,708350.3675,1340692.545,1733421.421,2217715.638,3398800.312,7425410.958,3088333.945,2361993.146,3809404.324,2839412.183,2979372.19,3045277.489,3268347.805,3452351.262,3616430.929,3749944.661,3783462.985,3435822.497,3468991.859,3574659.917,3552252.497,3620296.345,3681475.469,3742203.458,3787435.134,3819420.412,3838796.681,3847278.011,3853369.445,3893226.199,3933721.295,3967995.336,4007679.879,4044657.399,4079324.765,4111504.526,4163499.352
6001,,,,,,,,8446476,13479256,6640225,3385470,17871622,37460209,18638211,8504713,3132959,3422318,14658632.46,12947463.28,13377102.97,13367352,14009486.85,15023597.55,14751740.67,12584114.15,12006223.08,12340458.14,13219355.78,14154527.57,14106408.47,14217035.05,14297210.39,14385969.6,14421906.59,14364472.45,14327505.94,14493920.61,14731382.65,14959607.26,15125722.17,15218427.11,15324574.35,15430294.01,15538451.99,15648461.67,15895003.08
6007,,,,,,,,155184,118016,1358150,3058943,1382644,2937395,4640411,544193,203395,3696728,2476557.132,1963654.267,2136280.974,2328933.54,2421599.242,2360761.883,2454127.681,2407997.619,2194903.614,2352471.445,2557610.561,2448876.623,2446234.393,2492298.859,2526282.385,2545120.229,2556910.869,2575634.181,2587232.529,2604341.316,2643424.005,2671196.75,2682039.068,2704295.483,2728928.587,2751515.97,2773015.54,2794769.183,2833020.101
6013,1834788,1551595,1148917,1094563,3680872,1997995,1950925,4289854,11218098,147014,541138,1191423,10768786,8804590,4502093,723934,3228547,5773757.7,4886245.13,4943173.375,4344203.297,4744844.093,5146106.948,5523599.506,5022922.614,4661945.272,4677203.898,5054561.48,5228862.862,5176850.173,5204589.745,5229543.126,5314052.837,5368386.398,5389603.982,5376813.501,5410593.994,5482055.918,5558882.701,5607022.454,5643119.506,5687627.034,5733735.139,5781862.558,5826517.122,5906609.44
6017,0,0,0,0,0,0,0,0,0,0,1538135.562,725973.5246,204768.6143,372993.4182,1933055.948,791669.6839,144715.7621,710123.9059,612955.2946,671464.6636,735559.0178,805771.4695,735863.988,736808.0777,787593.6628,827169.1407,721607.2182,714919.4374,769347.97,775001.1761,790469.1921,801828.7153,808154.4591,808381.9263,815304.0931,822796.8946,826157.2031,826060.609,836031.16,847591.8244,855060.556,862702.5877,869597.5936,876066.4411,882548.9485,895271.0821
6019,2670730,14339711,1353212,1108702,493715,7662871,3989379,9807489,5389370,6340025,10067864,3391278,42585732,28724929,6581527,6373309,10307223,19481980.32,14227569.33,14649486.09,15533406.26,16410956.29,17016433.28,18317016.29,16000457.06,14785848.37,15568988.14,16446757.51,17032803.99,16799018.98,17044475.53,17273088.16,17439148.71,17537294.35,17587012.91,17517330.76,17662123.25,17936676.77,18162683.41,18326476.33,18449963.24,18607553.37,18756756.26,18898379.12,19037669.3,19312566.18
6025,22943,0,0,0,0,0,0,0,0,0,0,3211455,0,773600,84535,0,0,176775.81,405334.9182,444025.9786,486410.2766,532840.3484,583702.3817,332871.4499,364645.5429,325608.9811,348620.5883,381898.0081,418351.9089,441411.4456,444855.1141,444934.2589,440975.1845,432206.237,417745.2414,425846.8306,431688.7717,441814.5699,450710.359,457278.8107,460994.5604,462863.8577,464582.8742,466458.4238,468890.9148,478700.87
6029,,,,,,,,7797293,3747994,12524197,2554941,1094625,3731367,2322580,14001148,5315241,6344146,6533183.292,6296822.823,6153596.125,6383221.782,5797037.784,6106510.659,6584917.926,6857302.333,7290162.192,6649568.092,6776935.678,6818247.42,6845458.087,6897827.816,6968868.114,7024770.719,7141963.408,7240802.079,7303409.203,7345992.132,7351321.353,7418306.892,7479528.689,7542650.992,7609201.224,7677105.05,7744709.484,7813430.912,7907742.119
6031,0,47925,1279071,4859055,1841229,609638,6910458,2614770,1963031,3118587,1348453,4010435,408900,753226,2297060,1921936,5073896,2153733.708,2449748.099,2433996.009,2478951.76,2417895.669,2519978.832,2377708.016,2565639.691,2738642.816,2780793.903,2862775.793,2651714.319,2699248.832,2723064.811,2750657.742,2776593.313,2810832.634,2838595.951,2882589.8,2912844.128,2929472.435,2943664.477,2951385.67,2979990.662,3006788.746,3033871.485,3060905.524,3088044.417,3124937.772
6037,24709140,8328962,2224675,4349245,14122169,5972940,17241740,6184361,20373909,15408463,7208624,8778007,19244381,14786071,25905208,23125809,22684278,21783623.88,17705170.15,18804883.75,18655113.16,18965020.67,20087222.17,21166738.17,21350235.89,21976815.27,21601832.33,21456361.83,21339151.65,21296724.75,21639554.97,21910137.22,22220844.06,22531627.2,22764956.77,22917514,23067117.82,23171192.16,23320994.69,23498982.37,23705148.03,23935042.98,24154157.74,24368359.7,24573349.83,24871628.01
6041,,,,,,,,126348301.8,106269474.1,154915026.5,113406813.3,114037028.5,164574649.1,200807844.6,194202228.8,212951844.2,235428592.8,207640822.8,174737432.5,179356395,186332873.8,189331850.1,196579240,204458269.3,208265342.2,208977194.2,210387531.8,210142756.5,207729108.5,207737535.8,210887545.7,213897337.3,216528490.6,219124533.6,221276584.3,222881969,224277192.4,225737646.8,227202885.1,228831351.9,230845656.9,233051432.1,235167075.8,237197369,239170307.4,242138959.3
