FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,76923.07692,121782.1782,180193.2367,113023.2558,171162.7907,232110.0917,220444.4444,189130.4348,171673.8197,207172.9958,156118.1435,303750,106122.449,174103.5857,133593.75,343629.3436,350072.5228,274930.6769,292441.6796,300118.518,330846.9142,334160.9332,334872.6378,349006.266,360830.7901,372935.7396,380424.0152,388912.956,398932.1019,407838.4156,416547.7873,424766.8474,433608.2893,442672.1673,451579.1342,460129.7092,468318.3365,476371.2666,484166.5839,491592.8874,498524.0432,505064.4512,511400.3242,517374.8714,523090.3601,528561.4667
1003,493604.6512,706214.6893,0,808152.1739,901587.3016,848205.1282,1091584.158,1351690.821,1476279.07,1218604.651,1366513.761,1171555.556,1413478.261,1155793.991,964556.962,904219.4093,975416.6667,1336734.694,1396812.749,1315234.375,1957528.958,2244549.688,2198151.195,2142876.716,2156824.717,2267754.945,2378233.279,2438818.74,2495356.608,2567423.654,2648422.306,2721083.71,2784627.493,2846716.604,2909130.416,2972731.407,3034382.964,3096751.763,3159876.766,3223668.057,3285224.172,3343987.895,3401181.782,3456640.371,3509774.93,3559354.396,3606052.147,3651224.471,3693869.222,3734704.633,3773776.852
1005,0,0,0,0,0,0,7920.792079,0,0,0,0,0,0,0,0,8438.818565,0,35102.04082,18725.0996,0,23552.12355,25310.45492,29713.44683,22153.92917,20801.02276,25796.07148,26769.33,27440.96608,26897.4834,27901.05614,29414.24319,30075.9893,30664.13266,31210.62994,32002.11408,32780.69955,33412.46058,34073.37206,34762.24732,35488.12671,36171.05485,36806.74618,37433.24605,38045.70373,38634.33292,39179.3891,39691.40561,40188.64457,40658.72699,41108.60023,41538.33651
1007,0,0,0,0,0,53846.15385,19306.93069,34782.6087,72093.02326,91627.90698,90825.68807,0,30434.78261,27896.99571,23206.75105,42616.03376,41666.66667,56326.53061,60956.1753,69140.625,40926.64093,91167.42086,88365.63703,85107.79132,83746.98884,82462.03369,93153.43788,94795.71633,96300.62283,98503.00787,101371.3667,105186.3499,107354.0702,109566.2921,111908.5829,114415.3656,116917.0305,119242.3931,121643.501,124104.1412,126493.4571,128766.4208,130952.5159,133085.3169,135134.6267,137046.7983,138844.4699,140581.0712,142223.2808,143796.4233,145301.1088
1009,0,361016.9492,221666.6667,221195.6522,183597.8836,688205.1282,400495.0495,501449.2754,457209.3023,464651.1628,459174.3119,404444.4444,301739.1304,251502.1459,116455.6962,231645.5696,173333.3333,233469.3878,269322.7092,227734.375,291505.7915,391282.8967,381719.5861,371585.3881,364531.2057,381595.5762,408543.7692,417668.9224,426103.9942,437048.2076,451465.465,465038.0854,475401.2754,485695.0794,496260.9552,507323.2107,517961.8495,528481.3426,539211.8178,550115.0394,560659.8428,570689.9365,580426.1656,589888.7455,598963.7102,607429.7836,615396.3772,623101.7181,630380.233,637350.547,644018.7187
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702.702703,546.9813804,642.1339409,782.1666858,965.4197466,1197.250591,887.3488343,975.2688695,1053.987281,1113.953512,1141.990865,1121.046977,1169.091964,1206.571526,1233.87694,1255.081954,1275.648266,1307.087909,1335.151485,1361.258862,1386.02443,1410.614752,1435.719738,1459.157959,1481.306349,1502.075898,1521.863147,1541.069039,1559.027673,1576.207563,1592.691524
1013,0,0,0,0,0,49230.76923,51485.14851,46376.81159,47441.86047,62325.5814,65596.33028,42222.22222,17826.08696,24463.51931,24894.51477,27848.10127,18750,17142.85714,23904.38247,33593.75,37065.63707,41016.12855,39753.72352,41566.60125,42952.01378,42870.72278,44946.11601,46406.68924,47973.61964,49270.38601,50450.18489,51912.49017,53225.41322,54461.20638,55600.75498,56770.06237,57976.43092,59185.84169,60391.17476,61597.8737,62771.1378,63900.74827,64995.47557,66053.50215,67066.95406,68014.78489,68908.29767,69771.44316,70585.88536,71366.03215,72112.85702
1015,376744.186,351977.4011,0,163043.4783,324338.6243,191794.8718,239108.9109,331400.9662,231162.7907,206976.7442,185779.8165,144444.4444,194347.8261,52360.51502,67510.54852,121518.9873,125000,205306.1224,165737.0518,301171.875,390733.5907,363985.0716,371320.0565,370182.0398,398996.2054,401611.6368,411457.0412,427412.4002,440616.5736,455310.1067,465714.9288,477816.5409,490430.6314,501861.8483,512702.8232,523258.9128,534216.0627,545479.5412,556614.5296,567758.4616,578522.7788,588923.7228,599037.1521,608791.3596,618129.5814,626857.5835,635094.1244,643053.3034,650559.257,657748.4275,664630.7549
1017,0,0,0,0,0,0,0,0,0,0,0,15555.55556,0,28755.36481,0,52742.61603,45416.66667,29387.7551,23904.38247,30859.375,52895.7529,60558.13693,50752.07066,50065.98994,53442.71584,56726.75759,58623.5603,58941.0822,60869.44039,63157.04396,65056.90655,66598.59225,68055.3791,69728.33872,71315.86265,72824.71595,74294.46156,75827.20971,77402.20697,78965.45358,80460.84614,81896.16503,83301.20415,84663.49242,85963.28559,87175.4813,88319.34349,89426.7309,90471.50486,91471.16755,92427.88661
1019,0,0,0,0,0,0,0,25603.86473,5581.395349,0,0,0,0,0,5485.232068,4641.350211,19166.66667,0,7171.314741,30078.125,16988.41699,23483.8167,18984.88882,23125.00028,26036.97814,22981.70676,24729.88187,25327.49003,26824.93098,27578.22256,27759.8249,28709.20984,29465.26565,30234.55662,30822.53158,31409.60186,32112.16024,32792.11981,33465.49085,34121.70055,34766.45339,35399.54717,36007.22328,36592.6045,37151.88044,37677.05949,38173.31251,38651.41034,39102.24858,39534.17639,39948.05433
1021,0,0,0,0,200529.1005,132820.5128,0,120289.8551,140930.2326,124651.1628,103211.0092,182666.6667,250000,138197.4249,156118.1435,139240.5063,114583.3333,110204.0816,139043.8247,147656.25,135135.1351,215047.529,201138.7301,200925.1538,199412.0144,201605.6471,220006.5469,223945.5966,229304.777,234963.9623,241890.8655,249841.8976,255287.4243,260894.8871,266472.8211,272346.8071,278165.643,283792.5872,289555.122,295392.4455,301055.0574,306456.2458,311679.1495,316758.8477,321629.9726,326177.5853,330457.2444,334593.6591,338501.7685,342244.6443,345825.6862
1023,0,0,0,0,0,43076.92308,0,49758.45411,44186.04651,33953.48837,48623.85321,31555.55556,42608.69565,0,0,0,0,24489.79592,44223.10757,35156.25,31660.23166,41706.84678,48962.14542,49844.69345,46069.36439,46253.14311,50329.81405,52914.68582,53840.76682,54528.89889,56186.56623,58170.66339,59650.06071,60822.35191,62033.66002,63440.24289,64832.19243,66157.37196,67469.45106,68822.58448,70153.42024,71417.30622,72632.71607,73811.28238,74946.97758,76008.9834,77006.54978,77969.64817,78879.74115,79752.31588,80587.1313
