FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,76923.07692,121782.1782,180193.2367,113023.2558,171162.7907,232110.0917,220444.4444,189130.4348,171673.8197,207172.9958,156118.1435,303750,106122.449,174103.5857,133593.75,343629.3436,357199.9617,286082.6712,310138.7762,324171.0315,363730.8658,373666.7787,380618.5033,402935.4273,422878.529,443386.586,458553.0291,475000.747,493422.6788,510570.1577,527544.4695,543954.0198,561212.3054,578815.9574,596267.2975,613289.5045,629857.8069,646262.8851,662330.5544,677896.3616,692771.413,707085.277,721088.171,734551.414,747611.0978,760281.7493
1003,493604.6512,706214.6893,0,808152.1739,901587.3016,848205.1282,1091584.158,1351690.821,1476279.07,1218604.651,1366513.761,1171555.556,1413478.261,1155793.991,964556.962,904219.4093,975416.6667,1336734.694,1396812.749,1315234.375,1957528.958,2290248.478,2287314.652,2272552.816,2329679.948,2493154.49,2659397.553,2771977.862,2880944.209,3008912.676,3148732.61,3279922.213,3401018.451,3520986.469,3641920.717,3764869.388,3885813.644,4008076.503,4131696.616,4256547.07,4378751.175,4497446.966,4614169.043,4728617.401,4839906.589,4946238.818,5048437.631,5148324.416,5244431.089,5337713.795,5428193.024
1005,0,0,0,0,0,0,7920.792079,0,0,0,0,0,0,0,0,8438.818565,0,35102.04082,18725.0996,0,23552.12355,25825.77306,30918.71135,23494.57332,22468.08711,28360.02698,29934.10753,31189.5875,31053.73749,32698.8658,34970.85284,36252.80068,37451.78887,38603.14213,40063.23045,41515.70907,42787.80785,44100.62296,45453.37374,46858.69609,48211.03238,49502.68786,50783.32656,52045.78937,53275.94111,54445.43973,55567.57849,56667.06655,57725.89094,58753.22524,59748.6596
1007,0,0,0,0,0,53846.15385,19306.93069,34782.6087,72093.02326,91627.90698,90825.68807,0,30434.78261,27896.99571,23206.75105,42616.03376,41666.66667,56326.53061,60956.1753,69140.625,40926.64093,93023.57973,91950.00636,90258.08594,90458.75588,90658.2036,104166.4108,107745.4518,111181.1918,115441.3875,120521.3108,126788.8394,131117.4203,135518.032,140097.599,144903.4065,149723.2873,154333.531,159054.9501,163867.715,168598.3497,173182.4896,177655.0281,182058.1483,186347.8381,190446.3895,194380.8959,198223.0802,201923.8231,205516.6948,209000.8224
1009,0,361016.9492,221666.6667,221195.6522,183597.8836,688205.1282,400495.0495,501449.2754,457209.3023,464651.1628,459174.3119,404444.4444,301739.1304,251502.1459,116455.6962,231645.5696,173333.3333,233469.3878,269322.7092,227734.375,291505.7915,399249.3744,397203.2517,394071.8631,393745.9699,419523.6025,456843.4518,474725.32,491946.4539,512202.1408,536751.2683,560544.5876,580633.6801,600736.2306,621265.7378,642508.6442,663299.0119,684004.9877,705046.3698,726374.5887,747282.3214,767540.9734,787427.6109,806956.4337,825958.4918,844111.7238,861548.891,878590.1318,894992.6196,910914.0188,926355.2282
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702.702703,558.1178624,668.1807763,829.4994718,1042.791752,1316.249224,992.2547716,1108.497188,1216.851549,1305.506723,1357.722999,1351.280325,1427.876206,1492.358603,1544.682207,1589.521212,1633.587948,1691.74307,1745.777218,1797.41286,1847.379596,1897.185408,1947.750516,1996.099963,2042.690629,2087.352167,2130.593476,2172.948671,2213.454972,2252.747052,2290.92428
1013,0,0,0,0,0,49230.76923,51485.14851,46376.81159,47441.86047,62325.5814,65596.33028,42222.22222,17826.08696,24463.51931,24894.51477,27848.10127,18750,17142.85714,23904.38247,33593.75,37065.63707,41851.21251,41366.2511,44082.00248,46394.33349,47131.78345,50259.82607,52746.15662,55386.60137,57742.82277,59980.66923,62573.9403,65007.11958,67360.8221,69606.20961,71897.47095,74244.28918,76603.2926,78964.47579,81334.13372,83665.27793,85942.36448,88175.26687,90359.91776,92483.93397,94516.40151,96470.94075,98379.60586,100215.4623,101997.7459,103726.9883
1015,376744.186,351977.4011,0,163043.4783,324338.6243,191794.8718,239108.9109,331400.9662,231162.7907,206976.7442,185779.8165,144444.4444,194347.8261,52360.51502,67510.54852,121518.9873,125000,205306.1224,165737.0518,301171.875,390733.5907,371395.7684,386381.8867,392583.5913,430973.1113,441529.1245,460101.1424,485799.8227,508701.5469,533604.3194,553692.5814,575947.3993,598989.8578,620732.241,641849.2013,662690.7019,684114.0653,706005.4855,727801.2843,749671.0496,771091.1539,792064.2341,812675.9638,832814.8454,852387.8293,871109.4675,889125.5439,906722.4021,923642.1183,940067.0735,956003.5395
1017,0,0,0,0,0,0,0,0,0,0,0,15555.55556,0,28755.36481,0,52742.61603,45416.66667,29387.7551,23904.38247,30859.375,52895.7529,61791.09408,52810.72345,53095.73133,57725.79591,62365.01465,65554.27267,66992.83237,70275.11069,74017.40256,77346.72929,80276.17867,83119.77117,86244.10901,89279.84674,92230.17698,95141.06684,98141.95027,101207.2496,104266.3711,107243.2218,110145.0336,113009.4955,115818.0257,118541.5819,121142.9663,123646.2145,126094.0887,128448.395,130732.4034,132948.086
1019,0,0,0,0,0,0,0,25603.86473,5581.395349,0,0,0,0,0,5485.232068,4641.350211,19166.66667,0,7171.314741,30078.125,16988.41699,23961.94468,19754.97157,24524.40876,28123.66966,25265.9334,27653.54766,28787.39634,30969.97412,32320.5184,33003.90036,34605.32093,35987.54676,37395.87726,38586.5191,39779.25764,41122.65059,42442.31858,43757.79992,45054.4603,46338.89217,47610.0964,48848.7313,50057.97764,51231.67,52357.73499,53442.26304,54499.52507,55516.05533,56503.02753,57461.2009
1021,0,0,0,0,200529.1005,132820.5128,0,120289.8551,140930.2326,124651.1628,103211.0092,182666.6667,250000,138197.4249,156118.1435,139240.5063,114583.3333,110204.0816,139043.8247,147656.25,135135.1351,219425.8736,209297.5067,213084.1315,215393.5679,221643.8885,246016.6031,254538.0786,264737.4196,275367.8939,287586.1808,301152.8042,311796.5482,322690.1356,333595.5249,344918.5334,356217.3475,367308.2273,378607.7769,390037.6298,401264.9114,412163.7865,422835.4658,433319.9982,443521.0391,453271.0302,462636.9005,471786.0319,480593.4081,489142.8208,497434.9706
1023,0,0,0,0,0,43076.92308,0,49758.45411,44186.04651,33953.48837,48623.85321,31555.55556,42608.69565,0,0,0,0,24489.79592,44223.10757,35156.25,31660.23166,42555.99369,50948.19359,52861.0431,49761.51912,50850.39354,56280.00648,60143.18951,62160.35212,63905.57897,66800.70354,70117.3765,72853.89431,75228.66089,77659.51998,80345.04156,83023.73856,85626.43323,88219.67541,90873.67716,93504.84327,96051.64771,98536.2299,100972.4116,103350.3224,105625.499,107808.4143,109939.2948,111990.7993,113983.5887,115916.3674
1025,0,100564.9718,0,0,113756.6138,175384.6154,105445.5446,59420.28986,66976.74419,54883.72093,44495.41284,37333.33333,76956.52174,74248.92704,49789.02954,54430.37975,70000,73061.22449,73306.77291,129687.5,106949.8069,149192.6763,145991.5026,150248.6404,161213.2081,159368.5765,174479.8955,182133.5945,190422.5265,198870.5092,206200.749,215810.8504,223908.3567,231898.8188,239692.7746,247575.3886,255740.4201,263800.1143,271921.1098,280096.7195,288128.4071,295976.6886,303654.531,311178.726,318496.7076,325496.652,332227.491,338798.8283,345121.7445,351260.1373,357215.2482
1027,0,0,0,0,0,0,0,0,13488.37209,0,0,0,0,0,0,0,0,0,0,2343.75,15057.91506,3810.592306,4562.055251,5663.470958,7119.740278,8189.433096,6607.201827,7357.637892,8043.460601,8581.588829,8854.818657,8915.960914,9405.814401,9816.36615,10150.6243,10444.61143,10750.63045,11127.66951,11479.74122,11818.54953,12148.57289,12478.07448,12809.15793,13126.62347,13433.18006,13727.26299,14011.75838,14290.0046,14556.3578,14814.83159,15065.95389
1029,0,0,66666.66667,0,0,80512.82051,68811.88119,91304.34783,20465.11628,0,0,0,0,0,0,0,15416.66667,6938.77551,9561.752988,0,22393.82239,18015.31553,14383.28026,14912.68998,15138.19013,19107.96761,18558.89829,18835.47447,19880.45552,20967.74375,22231.61893,22764.71641,23579.10553,24508.50493,25393.89574,26254.26745,27030.02531,27892.90474,28774.87064,29647.55239,30492.15773,31309.8787,32127.65216,32927.98808,33702.11942,34440.78782,35151.75488,35848.48913,36518.02037,37167.18689,37796.92992
1031,38372.09302,48022.59887,50000,111956.5217,113227.5132,94358.97436,0,43961.35266,86976.74419,20465.11628,0,35555.55556,46086.95652,45064.37768,48945.14768,62025.31646,62083.33333,117142.8571,86454.18327,117187.5,322779.9228,209030.5823,221319.1178,225064.9752,250304.8941,276075.8852,268332.9255,285216.2411,300114.7717,316543.4528,329874.6794,339730.9359,354114.5019,367474.3177,380237.1524,392476.2351,404682.1396,417868.3835,430869.3773,443818.6788,456439.4446,468805.6535,481059.961,492992.5162,504569.4117,515639.5018,526302.8642,536728.9653,546744.212,556463.9399,565895.9506
1033,0,128813.5593,0,0,0,169230.7692,198019.802,178743.9614,157674.4186,180465.1163,177981.6514,142666.6667,147391.3043,91416.30901,83966.24473,60337.55274,55000,62857.14286,89641.43426,128906.25,177992.278,158131.3065,163683.4046,176540.0426,188099.5469,193571.2659,200063.0923,212079.1847,223389.535,233225.8925,242076.9529,251667.7062,261990.6292,271603.5091,280640.1928,289774.222,299150.8254,308768.5493,318294.7952,327826.8835,337202.6215,346380.0672,355398.8871,364201.5916,372757.1248,380946.8832,388826.6933,396522.1292,403920.3178,411102.8903,418072.6756
1035,0,0,0,0,0,31282.05128,0,92270.5314,0,76744.18605,105045.8716,58222.22222,54347.82609,59227.46781,54008.43882,54852.32068,35000,37551.02041,57370.51793,50000,40926.64093,75216.24881,73737.91066,75612.84394,73401.12411,75639.21251,85237.05914,88391.84478,91656.07056,94848.17144,99265.13917,104173.8095,107820.5811,111492.7808,115213.661,119187.9811,123119.8411,126932.1394,130819.5126,134770.2053,138662.5702,142429.6208,146111.8311,149732.9273,153259.6837,156630.7129,159866.4795,163027.0053,166070.4571,169025.1978,171890.7462
