FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,76923.07692,121782.1782,180193.2367,113023.2558,171162.7907,232110.0917,220444.4444,189130.4348,171673.8197,207172.9958,156118.1435,303750,106122.449,174103.5857,133593.75,343629.3436,342945.084,263778.6825,274744.583,276066.0045,297962.9626,294655.0878,289126.7723,295077.1047,298783.0511,302484.8932,302295.0012,302825.1651,304441.5249,305106.6735,305551.1051,305579.6749,306004.2733,306528.3772,306890.9709,306969.9138,306778.8661,306479.648,306002.6134,305289.4132,304276.6735,303043.6254,301712.4774,300198.3288,298569.6223,296841.184
1003,493604.6512,706214.6893,0,808152.1739,901587.3016,848205.1282,1091584.158,1351690.821,1476279.07,1218604.651,1366513.761,1171555.556,1413478.261,1155793.991,964556.962,904219.4093,975416.6667,1336734.694,1396812.749,1315234.375,1957528.958,2198850.898,2108987.737,2013200.617,1983969.487,2042355.401,2097069.005,2105659.618,2109769.006,2125934.632,2148112.003,2162245.207,2168236.535,2172446.739,2176340.114,2180593.426,2182952.285,2185427.023,2188056.916,2190789.044,2191697.169,2190528.823,2188194.521,2184663.342,2179643.271,2172469.974,2163666.663,2154124.526,2143307.355,2131695.472,2119360.679
1005,0,0,0,0,0,0,7920.792079,0,0,0,0,0,0,0,0,8438.818565,0,35102.04082,18725.0996,0,23552.12355,24795.13678,28508.18231,20813.28503,19133.95842,23232.11598,23604.55247,23692.34466,22741.22931,23103.24649,23857.63354,23899.17792,23876.47645,23818.11774,23940.9977,24045.69002,24037.11332,24046.12115,24071.1209,24117.55734,24131.07732,24110.80451,24083.16555,24045.61809,23992.72473,23913.33848,23815.23274,23710.22259,23591.56304,23463.97522,23328.01343
1007,0,0,0,0,0,53846.15385,19306.93069,34782.6087,72093.02326,91627.90698,90825.68807,0,30434.78261,27896.99571,23206.75105,42616.03376,41666.66667,56326.53061,60956.1753,69140.625,40926.64093,89311.26199,84781.26771,79957.49671,77035.22179,74265.86377,82140.46493,81845.98083,81420.05383,81564.62821,82221.42254,83583.86041,83590.72005,83614.55216,83719.56676,83927.32468,84110.77373,84151.25531,84232.05185,84340.56734,84388.56445,84350.3521,84250.00375,84112.48553,83921.41537,83647.20712,83308.04402,82939.06214,82522.73849,82076.15181,81601.39531
1009,0,361016.9492,221666.6667,221195.6522,183597.8836,688205.1282,400495.0495,501449.2754,457209.3023,464651.1628,459174.3119,404444.4444,301739.1304,251502.1459,116455.6962,231645.5696,173333.3333,233469.3878,269322.7092,227734.375,291505.7915,383316.4191,366235.9205,349098.913,335316.4415,343667.5499,360244.0867,360612.5249,360261.5344,361894.2744,366179.6617,369531.5832,370168.8706,370653.9281,371256.1726,372137.7772,372624.6871,372957.6975,373377.2658,373855.4901,374037.3642,373838.8997,373424.7202,372821.0573,371968.9286,370747.8434,369243.8633,367613.3045,365767.8463,363787.0751,361682.2093
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702.702703,535.8448984,616.0871055,734.8338998,888.0477416,1078.251958,782.4428971,842.0405508,891.123013,922.4003,926.2587309,890.8136281,910.3077215,920.784448,923.0716731,920.6426965,917.7085854,922.4327478,924.5257509,925.1048647,924.6692649,924.0440965,923.6889607,922.2159557,919.9220692,916.7996282,913.1328174,909.1894076,904.6003735,899.6680741,894.4587667
1013,0,0,0,0,0,49230.76923,51485.14851,46376.81159,47441.86047,62325.5814,65596.33028,42222.22222,17826.08696,24463.51931,24894.51477,27848.10127,18750,17142.85714,23904.38247,33593.75,37065.63707,40181.04459,38141.19593,39051.20003,39509.69406,38609.66212,39632.40595,40067.22186,40560.63792,40797.94926,40919.70055,41251.04003,41443.70687,41561.59066,41595.30036,41642.65379,41708.57265,41768.39079,41817.87373,41861.61369,41876.99767,41859.13207,41815.68427,41747.08655,41649.97415,41513.16827,41345.65459,41163.28046,40956.30845,40734.31837,40498.72571
1015,376744.186,351977.4011,0,163043.4783,324338.6243,191794.8718,239108.9109,331400.9662,231162.7907,206976.7442,185779.8165,144444.4444,194347.8261,52360.51502,67510.54852,121518.9873,125000,205306.1224,165737.0518,301171.875,390733.5907,356574.3747,356258.2263,347780.4884,367019.2995,361694.1491,362812.9399,369024.9778,372531.6004,377015.894,377737.2763,379685.6824,381871.4049,382991.4557,383556.4451,383827.1236,384318.0601,384953.5969,385427.775,385845.8735,385954.4037,385783.2116,385398.3404,384767.8738,383871.3334,382605.6994,381062.7049,379384.2047,377476.3958,375429.7815,373257.9703
1017,0,0,0,0,0,0,0,0,0,0,0,15555.55556,0,28755.36481,0,52742.61603,45416.66667,29387.7551,23904.38247,30859.375,52895.7529,59325.17978,48693.41787,47036.24854,49159.63577,51088.50052,51692.84793,50889.33203,51463.7701,52296.68535,52767.08382,52921.00584,52990.98704,53212.56843,53351.87855,53419.25492,53447.85629,53512.46915,53597.16433,53664.53603,53678.47047,53647.29648,53592.91276,53508.95911,53384.98926,53207.99632,52992.4725,52759.37314,52494.61476,52209.93166,51907.68724
1019,0,0,0,0,0,0,0,25603.86473,5581.395349,0,0,0,0,0,5485.232068,4641.350211,19166.66667,0,7171.314741,30078.125,16988.41699,23005.68872,18214.80606,21725.59181,23950.28661,20697.48013,21806.21607,21867.58373,22679.88783,22835.92673,22515.74944,22813.09874,22942.98453,23073.23597,23058.54407,23039.94608,23101.66989,23141.92104,23173.18178,23188.9408,23194.01462,23188.99794,23165.71526,23127.23137,23072.09089,22996.38399,22904.36198,22803.29562,22688.44183,22565.32526,22434.90775
