FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,6309012.876,0,0,2625000,7591836.735,10159362.55,11367187.5,9613899.614,8183067.434,8543666.637,10834569.07,10165943.37,11175755.48,12263933.57,12740109.39,13684490.16,14584191.34,15384424.28,16311303.18,17225298.05,18127154.91,19058450.02,20008829.46,20983080.51,21998605.58,23037008.52,24103068.32,25180663.38,26263914.76,27359341.72,28463205.47,29570361.4,30669969.81,31765663.9,32867344.31,33964890.67,35063834.78,36163621.59
1003,0,0,0,0,0,2051282.051,2227722.772,8454106.28,12139534.88,15720930.23,27981651.38,29688888.89,34000000,33133047.21,34303797.47,41814345.99,40500000,66693877.55,74223107.57,117109375,97104247.1,75922396.72,87224507.72,109433498.8,100466747.5,112462674.4,122878090,127268794.2,137173548.1,146004452.3,153972180.2,163349430.3,172447971.9,181477811.7,190820775.7,200322372.4,210078930.4,220249461.3,230642670.4,241316957.4,252106143.6,262950847.8,273918441.8,284970219.2,296054797.6,307064024.6,318033971.6,329063838.9,340052358.6,351054848.3,362065776.7
1005,0,0,0,0,0,0,0,0,0,0,2614678.899,0,0,0,0,0,0,0,7808764.94,0,4285714.286,3160002.141,1756198.142,4829868.138,3577469.491,3818605.848,4688713.782,4572524.492,4942287.343,5360765.113,5577818.447,5933561.779,6281025.543,6592089.928,6937708.672,7285354.716,7636359.279,8007925.709,8385901.66,8773257.854,9165993.469,9560215.18,9958838.567,10360761.71,10763735.33,11163981.71,11562842.52,11963848.03,12363358.41,12763383.15,13163707.35
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571428.5714,6055776.892,7265625,4710424.71,4734856.629,4873054.304,5308503.719,5514333.988,5941435.851,6378168.581,6767334.682,7219455.73,7674549.22,8127800.512,8602021.546,9082888.154,9564956.927,10052213.46,10553987.22,11069041.84,11603751.37,12151756.46,12714267.29,13282472.16,13853963.39,14431808.35,15014041.72,15598079.55,16178111.38,16756071.2,17337202.63,17916146.39,18495827.32,19075955.34
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2285714.286,3745019.92,6523437.5,4208494.208,3808471.636,4366762.948,4742843.487,4771023.926,5257966.225,5621205.357,5936272.868,6361504.319,6752799.505,7147739.713,7571142.155,7991344.976,8415254.108,8845221.53,9285934.421,9739203.852,10209902.1,10691884.78,11186870.35,11686849.79,12189644.65,12698088.85,13210380.91,13724248.64,14234604.78,14743133.02,15254450.47,15763845.73,16273888.26,16784324.15
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,2666666.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,13179487.18,5544554.455,0,6651162.791,4697674.419,0,0,0,0,9156118.143,11265822.78,7458333.333,13836734.69,9362549.801,23242187.5,10231660.23,11271017.41,13606580.2,11530766.28,13484892.34,14654726.81,15051997.87,16402781.37,17447042.39,18419522.98,19616555.51,20731606.65,21870599.8,23056289.99,24220713.46,25427639.75,26673729.51,27959402.87,29279924.36,30636280.16,32004712.95,33381888.79,34774397.61,36177165.5,37584491.7,38982132.94,40374728.25,41775014.17,43170014.38,44566783.5,45964640.11
1017,0,0,0,0,0,0,0,241545.8937,1860465.116,0,2110091.743,977777.7778,0,0,0,1054852.321,1458333.333,3265306.122,4183266.932,6718750,6023166.023,4456941.131,5189486.402,6787922.788,6052963.49,6823481.309,7499424.138,7720101.287,8338819.153,8881307.463,9355372.812,9930536.19,10483833.98,11030681.61,11599991.01,12177377.05,12770097.34,13388672.67,14020361.68,14669179.42,15325106.41,15984305.75,16651001.37,17322833.4,17996636.7,18665868.36,19332714.28,20003198.08,20671170.86,21339992.82,22009326.91
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938775.5102,0,1171875,1196911.197,627883.1616,965117.8979,1348882.093,1079942.401,1285586.979,1418343.178,1431842.44,1565084.685,1664791.638,1748289.382,1860363.739,1962797.053,2064338.172,2171921.302,2279609.869,2390478.323,2506487.062,2624627.401,2746090.322,2868921.243,2992296.563,3117109.198,3242884.465,3369015.719,3494299.804,3619135.967,3744650.951,3869697.851,3994903.133,4120203.986
1021,0,0,0,0,0,0,1386138.614,0,0,0,0,0,0,0,0,1898734.177,2375000,0,2430278.884,10664062.5,6023166.023,5043651.626,6787468.495,6787922.789,6874733.739,7757348.377,8145462.431,8638768.205,9287164.595,9823497.739,10411617.67,11031822.02,11636591.13,12257851.1,12884127.99,13524629.87,14185822.55,14871243.97,15573030.17,16294229.14,17022397.42,17754706.18,18495326.49,19241479.24,19989947.08,20733312.24,21473999.4,22218755.59,22960713.17,23703610.44,24447082.38
1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314741.036,1757812.5,0,802866.9935,711972.2197,8.3184E-05,572237.626,489623.3873,392631.5905,558322.4055,544833.2174,561452.354,626153.1991,647048.9581,682472.8236,725013.352,757795.2401,796203.6154,836176.9039,875576.0314,917211.5597,959833.8652,1002510.978,1045737.085,1089369.548,1133275.093,1177383.712,1221164.545,1264782.53,1308653.481,1352352.239,1396106.673,1439897.346
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507812.5,0,133811.1656,205680.8635,1.86013E-05,127961.483,128118.4923,94435.47847,134287.3187,135231.4691,136523.6919,152698.7906,158585.2857,166555.1057,177143.4873,185272.6599,194504.0338,204336.4027,213975.641,224118.1621,234551.3454,244979.131,255536.1177,266202.6836,276930.6265,287708.1946,298407.5934,309065.8616,319786.1779,330464.7338,341156.5932,351857.403
1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625000,0,164690.6653,253145.6781,2.28939E-05,157491.056,157684.2982,116228.2812,165276.6999,166438.7312,168029.1592,187936.973,195181.8901,204990.8993,218022.7536,228027.8891,239389.58,251490.9572,263354.6351,275837.738,288678.5789,301512.7766,314505.991,327634.0721,340837.6941,354102.3933,367270.8842,380388.7527,393582.9882,406725.8262,419885.0378,433055.2653
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007812.5,2509652.51,1461629.655,2246667.893,2828301.162,2403152.598,2834513.098,3076348.112,3147867.048,3428269.754,3638733.965,3831349.625,4072727.367,4296149.109,4520539.601,4754932.139,4990740.949,5233868.961,5487565.565,5746277.397,6012271.117,6281127.372,6551265.209,6824535.595,7099890.96,7376046.56,7650341.073,7923651.795,8198453.135,8472227.725,8746348.831,9020680.032
1031,0,0,0,0,0,0,0,0,0,2372093.023,5779816.514,3866666.667,0,0,0,0,750000,530612.2449,2310756.972,7304687.5,9305019.305,5002478.96,6771646.89,10486470.46,8167915.86,9619922.297,10806219.99,10818218.36,11821259.72,12613153.56,13220073.95,14071343.25,14853112.74,15615211.93,16430837.48,17246546.77,18083934.12,18962135.63,19855987.75,20774602.69,21704001.08,22637351.17,23581533.11,24533087.05,25487287.03,26435078.38,27379497.78,28329040.94,29275045.04,30222250.05,31170175.44
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253164.557,0,897959.1837,1513944.223,2734375,5250965.251,2511532.646,3259250.606,5917676.277,4280228.286,5085909.422,5850536.251,5752828.348,6313603.811,6758889.803,7058571.179,7522951.587,7943587.157,8345655.352,8784450.956,9220570.894,9667199.356,10137402.75,10615141.54,11106056.96,11603084.13,12102004.46,12606742.23,13115482.08,13625584.51,14132274.94,14637171.66,15144796.33,15650533.57,16156913.67,16663676.69
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713147.41,0,0,442606.1631,8.90501E-06,2.44904E-05,168474.0405,60116.99504,85660.62529,121809.4711,99974.06958,115800.7509,127150.2995,127827.1322,138037.7131,145710.5265,151759.7724,160169.0343,167906.6434,175767.2171,184271.8372,192751.2293,201326.3834,210034.1331,218777.1204,227599.1015,236461.861,245250.0868,254011.6364,262822.9409,271598.2322,280386.0664,289180.75
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102040.816,1952191.235,2070312.5,2123552.124,1616027.154,1708733.327,2393177.906,2105786.231,2347160.154,2612388.267,2676839.227,2888338.157,3083250.2,3244043.607,3443554.236,3636787.64,3825500.76,4023126.18,4223608.843,4428957.429,4643569.351,4862688.318,5087668.39,5315184.777,5543815.886,5775035.32,6008051.603,6241745.08,6473851.939,6705134.414,6937676.869,7169348.54,7401315.272,7633459.215
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421940.9283,0,0,3386454.183,0,0,874919.1596,1.76029E-05,4.84113E-05,333030.08,118835.9204,169329.143,240786.1637,197623.1608,228908.4611,251343.6152,252681.5404,272865.2469,288032.4362,299990.2477,316613.2073,331908.4812,347446.8246,364258.2827,381019.872,397970.7579,415183.7514,432466.4008,449905.2005,467424.609,484796.6833,502116.0255,519533.7203,536880.2264,554251.5266,571636.3662
