FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,147000,0,0,63000,186000,255000,291000,249000,1.0406E-05,1.06892E-05,1.28672E-05,1.13208E-05,1.16258E-05,1.19379E-05,1.16282E-05,1.17306E-05,1.17656E-05,1.17081E-05,1.17348E-05,1.17361E-05,1.17263E-05,1.17324E-05,1.17316E-05,1.17301E-05,1.17314E-05,1.17311E-05,1.17309E-05,1.17311E-05,1.1731E-05,1.1731E-05,1.1731E-05,1.1731E-05,1.1731E-05,1.1731E-05,1.1731E-05,1.1731E-05,1.1731E-05,1.1731E-05
1003,0,0,0,0,0,40000,45000,175000,261000,338000,610000,668000,782000,772000,813000,991000,972000,1634000,1863000,2998000,2515000,9.65465E-05,0.000109129,0.000129964,0.00011188,0.000116991,0.000119612,0.000116161,0.000117588,0.000117787,0.000117179,0.000117518,0.000117494,0.000117397,0.00011747,0.000117454,0.00011744,0.000117454,0.000117449,0.000117448,0.000117451,0.000117449,0.000117449,0.00011745,0.000117449,0.000117449,0.00011745,0.000117449,0.000117449,0.000117449,0.000117449
1005,0,0,0,0,0,0,0,0,0,0,57000,0,0,0,0,0,0,0,196000,0,111000,4.01841E-06,2.19723E-06,5.73598E-06,3.98388E-06,3.97236E-06,4.56407E-06,4.17344E-06,4.23663E-06,4.32471E-06,4.24493E-06,4.26875E-06,4.27946E-06,4.26438E-06,4.27087E-06,4.27157E-06,4.26894E-06,4.27046E-06,4.27032E-06,4.26991E-06,4.27023E-06,4.27015E-06,4.2701E-06,4.27016E-06,4.27014E-06,4.27013E-06,4.27014E-06,4.27014E-06,4.27014E-06,4.27014E-06,4.27014E-06
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,152000,186000,122000,6.02107E-06,6.09683E-06,6.30441E-06,6.14077E-06,6.18067E-06,6.20862E-06,6.17669E-06,6.18866E-06,6.19132E-06,6.18556E-06,6.18851E-06,6.18846E-06,6.18751E-06,6.18816E-06,6.18805E-06,6.18791E-06,6.18804E-06,6.188E-06,6.18798E-06,6.188E-06,6.18799E-06,6.18799E-06,6.188E-06,6.18799E-06,6.18799E-06,6.188E-06,6.18799E-06,6.18799E-06,6.18799E-06,6.18799E-06
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,56000,94000,167000,109000,4.84303E-06,5.46339E-06,5.63263E-06,5.31302E-06,5.46968E-06,5.47178E-06,5.41816E-06,5.45321E-06,5.44771E-06,5.43969E-06,5.44687E-06,5.44476E-06,5.44377E-06,5.44514E-06,5.44456E-06,5.44449E-06,5.44473E-06,5.44459E-06,5.4446E-06,5.44464E-06,5.44461E-06,5.44462E-06,5.44462E-06,5.44462E-06,5.44462E-06,5.44462E-06,5.44462E-06,5.44462E-06,5.44462E-06,5.44462E-06
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,257000,112000,0,143000,101000,0,0,0,0,217000,267000,179000,339000,235000,595000,265000,1.43328E-05,1.70236E-05,1.3694E-05,1.50168E-05,1.52448E-05,1.46519E-05,1.49712E-05,1.49559E-05,1.48597E-05,1.49289E-05,1.49148E-05,1.49011E-05,1.4915E-05,1.49103E-05,1.49088E-05,1.49114E-05,1.49102E-05,1.49101E-05,1.49105E-05,1.49103E-05,1.49103E-05,1.49104E-05,1.49103E-05,1.49103E-05,1.49103E-05,1.49103E-05,1.49103E-05,1.49103E-05,1.49103E-05,1.49103E-05
1017,0,0,0,0,0,0,0,5000,40000,0,46000,22000,0,0,0,25000,35000,80000,105000,172000,156000,5.66766E-06,6.49273E-06,8.06138E-06,6.74059E-06,7.09823E-06,7.30007E-06,7.0463E-06,7.1482E-06,7.16485E-06,7.11978E-06,7.14428E-06,7.14297E-06,7.13568E-06,7.14098E-06,7.13988E-06,7.13884E-06,7.1399E-06,7.13954E-06,7.13943E-06,7.13962E-06,7.13953E-06,7.13953E-06,7.13956E-06,7.13954E-06,7.13954E-06,7.13955E-06,7.13954E-06,7.13954E-06,7.13954E-06,7.13954E-06
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,30000,31000,7.98446E-07,1.20749E-06,1.60194E-06,1.20263E-06,1.33735E-06,1.38064E-06,1.30687E-06,1.34162E-06,1.34304E-06,1.33051E-06,1.33839E-06,1.33732E-06,1.33541E-06,1.33704E-06,1.33659E-06,1.33634E-06,1.33666E-06,1.33653E-06,1.33651E-06,1.33657E-06,1.33654E-06,1.33654E-06,1.33655E-06,1.33654E-06,1.33654E-06,1.33654E-06,1.33654E-06,1.33654E-06,1.33654E-06,1.33654E-06
