FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,6309012.876,0,0,2625000,7591836.735,10159362.55,11367187.5,9613899.614,8451987.76,9095458.595,11864617.68,11429218.6,12876102.86,14455655.34,15338880.66,16804400.41,18241450.45,19574670.3,21087917.53,22603640.55,24120091.35,25690882.48,27301752.49,28958695.17,30685640.75,32457087.93,34279468.13,36129497.16,37997948.85,39893476.76,41810029.75,43739377.37,45664668.79,47590402.81,49530742.3,51469915.97,53415715.21,55366841.84
1003,0,0,0,0,0,2051282.051,2227722.772,8454106.28,12139534.88,15720930.23,27981651.38,29688888.89,34000000,33133047.21,34303797.47,41814345.99,40500000,66693877.55,74223107.57,117109375,97104247.1,78417436.12,92857894.88,119837403.4,112951290,129573429.4,144837976.2,153229520.1,168447578.3,182617803.1,195909486.7,211184800.8,226292280.2,241475367.8,257227325.4,273336920.7,289929388.7,307223829.2,324954927.5,343201821.4,361724711.6,380430448.3,399408695.7,418597032.4,437913231.4,457189135.5,476469337,495895745.4,515310544.9,534791642.7,554326079.9
1005,0,0,0,0,0,0,0,0,0,0,2614678.899,0,0,0,0,0,0,0,7808764.94,0,4285714.286,3263849.361,1869622.045,5289046.434,4022025.24,4399591.756,5526646.9,5505243.745,6069073.416,6705077.362,7097045.37,7671150.493,8242182.126,8771470.873,9352064.727,9940758.987,10538919.7,11170177.61,11814986.63,12477358.03,13151469.84,13831470.7,14521281.21,15219078.39,15921316.45,16622107.24,17323117.66,18029393.19,18735258.85,19443544.71,20153758.69
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571428.5714,6055776.892,7265625,4710424.71,4890458.326,5187780.087,5813186.171,6199575.017,6845402.02,7518028.878,8147758.857,8865410.649,9599086.167,10341564.46,11121044.03,11918884.57,12727183.94,13550432.19,14400759.8,15276356.02,16185959.81,17120739.77,18082275.44,19057839.46,20043553.95,21043452.62,22054351.25,23072098.39,24087669.56,25103463.3,26126982.07,27149875.38,28176263.4,29205465.49
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2285714.286,3745019.92,6523437.5,4208494.208,3933629.523,4648789.948,5193748.3,5363897.218,6057945.17,6625786.645,7147174.199,7811855.942,8446190.448,9094565.109,9788281.143,10486523.3,11197383.09,11923401.25,12670520.47,13441050.06,14241693.03,15063910.93,15910006.17,16768422.66,17635660.87,18515464.21,19404926.81,20300397.49,21193973.02,22087737.29,22988296.46,23888309.34,24791395.06,25696956.76
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,2666666.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,13179487.18,5544554.455,0,6651162.791,4697674.419,0,0,0,0,9156118.143,11265822.78,7458333.333,13836734.69,9362549.801,23242187.5,10231660.23,11641417.1,14485359.98,12627002.75,15160598.16,16884386.04,17741982.39,19748677.07,21424772.34,23038563.33,24959504.46,26802666,28699368.52,30678825.42,32649638.48,34695639.16,36812345.13,39000298.86,41252798.9,43571024.88,45920719.72,48296048.56,50705592.16,53141181.43,55593580.46,58040689.33,60488255.08,62954507.12,65419230.53,67892363.46,70372292.58
1017,0,0,0,0,0,0,0,241545.8937,1860465.116,0,2110091.743,977777.7778,0,0,0,1054852.321,1458333.333,3265306.122,4183266.932,6718750,6023166.023,4603409.685,5524648.924,7433254.447,6805137.54,7861647.236,8839667.143,9294874.067,10239976.38,11108461.64,11903489.85,12838601.91,13757254.83,14677485.22,15636843.79,16615851.26,17623978.32,18675729.15,19753437.67,20862558.32,21988633.9,23125677.87,24279324.52,25445770,26619954.8,27791703.15,28963715.76,30144609.19,31324800.59,32509022.07,33696484.71
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938775.5102,0,1171875,1196911.197,648517.2998,1027449.952,1477121.076,1214141.897,1481183.997,1671819.243,1723914.58,1921906.436,2082269.32,2224469.867,2405154.061,2575651.17,2746819.65,2927760.382,3110494.023,3299092.954,3496274.4,3697865.645,3905499.268,4116360.254,4329176.849,4545150.413,4763521.667,4983322.588,5202680.153,5422085.276,5643149.611,5864085.51,6085774.971,6308070.718
