FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,6309012.876,0,0,2625000,7591836.735,10159362.55,11367187.5,9613899.614,7826078.324,7811168.193,9467189.58,8488957.832,8918560.918,9354444.281,9290265.855,9542839.73,9729215.523,9821913.54,9970394.21,10085600.81,10171590.2,10253960.59,10327545.24,10395529.82,10466651.1,10531944.94,10593996.8,10646193.29,10687098.92,10720399.67,10745426.37,10761130.85,10764653.1,10758477.28,10746845.96,10727140.26,10701892.44,10671533.94
1003,0,0,0,0,0,2051282.051,2227722.772,8454106.28,12139534.88,15720930.23,27981651.38,29688888.89,34000000,33133047.21,34303797.47,41814345.99,40500000,66693877.55,74223107.57,117109375,97104247.1,72610256.25,79746241.2,95622416.84,83893638.93,89748314.03,93726555.23,92806183.81,95657577.98,97400586.1,98300814.8,99848442.24,100970177.7,101831641.1,102666728.6,103396271.6,104078225.5,104791835.9,105444068.6,106065793.8,106588563.4,106997823.7,107331353.3,107581927.5,107739109.9,107774403.7,107712568.8,107596109.8,107398824.9,107146045.2,106842098.7
1005,0,0,0,0,0,0,0,0,0,0,2614678.899,0,0,0,0,0,0,0,7808764.94,0,4285714.286,3022145.969,1605629.017,4220313.427,2987326.069,3047352.721,3576365.739,3334348.778,3446489.819,3576203.709,3561059.52,3626929.703,3677609.3,3698982.973,3732674.549,3760331.437,3783238.623,3810067.148,3833824.801,3856100.99,3875312.446,3890165.127,3902240.44,3911393.683,3917096.674,3918373.286,3916133.437,3911895.971,3904722.705,3895533.802,3884482.351
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571428.5714,6055776.892,7265625,4710424.71,4528296.892,4455258.895,4638542.686,4604683.203,4741429.575,4865015.151,4934835.049,5034466.622,5119745.187,5189050.462,5258043.753,5318130.569,5367131.395,5408362.202,5447434.13,5483873.279,5520914.339,5555479.564,5588288.808,5615728.381,5637342.281,5654915.059,5668099.47,5676392.41,5678250.029,5674989.569,5668856.119,5658461.177,5645142.802,5629129.385
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,2285714.286,3745019.92,6523437.5,4208494.208,3642325.761,3992374.854,4144271.744,3983990.411,4196001.975,4287633.492,4328813.157,4436176.682,4504839.538,4563347.982,4627911.765,4679020.075,4722005.008,4758967.961,4792929.444,4825039.108,4857738.942,4888062.692,4916953.606,4941111.359,4960111.213,4975579.781,4987181.629,4994475.158,4996111.293,4993242.457,4987845.313,4978699.5,4966981.016,4952891.248
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,0,0,0,0,0,2666666.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,0,0,0,13179487.18,5544554.455,0,6651162.791,4697674.419,0,0,0,0,9156118.143,11265822.78,7458333.333,13836734.69,9362549.801,23242187.5,10231660.23,10779315.43,12440008.6,10075523.05,11260409.22,11694875.93,11481069.64,11961137.47,12166644.67,12287791.95,12523842.86,12672334.55,12805475.9,12937448.52,13031397.68,13124460.9,13214816.12,13302721.11,13386050.15,13465532.67,13531349.64,13583487.11,13625892.19,13657599.76,13677601.96,13682085.15,13674217.48,13659443.79,13634396.88,13602303.52,13563719.44
1017,0,0,0,0,0,0,0,241545.8937,1860465.116,0,2110091.743,977777.7778,0,0,0,1054852.321,1458333.333,3265306.122,4183266.932,6718750,6023166.023,4262505.553,4744561.421,5931251.303,5054459.771,5445326.163,5720264.617,5629605.776,5815051.476,5924782.008,5972772.282,6070107.3,6138399.703,6189585.384,6241108.306,6285345.809,6326617.658,6370156.734,6409759.2,6447529.326,6479338.632,6504203.896,6524476.773,6539714.264,6549265.996,6551411.659,6547653.718,6540573.718,6528581.275,6513215.374,6494738.88
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938775.5102,0,1171875,1196911.197,600491.5444,882372.7033,1178646.092,901793.8786,1025933.844,1081856.172,1044119.523,1091407.289,1110594.086,1116164.43,1137159.897,1149239.188,1158350.664,1168552.291,1176619.258,1184301.261,1192554.022,1199914.098,1206986.251,1212958.119,1217601.018,1221398.408,1224253.406,1226039.09,1226441.547,1225738.338,1224412.491,1222167.68,1219291.156,1215832.23
1021,0,0,0,0,0,0,1386138.614,0,0,0,0,0,0,0,0,1898734.177,2375000,0,2430278.884,10664062.5,6023166.023,4823620.602,6205539.175,5931251.303,5740669.869,6190577.824,6213037.117,6299510.534,6476377.434,6553323.698,6647113.128,6743275.697,6813351.655,6878180.214,6932008.667,6980729.542,7028002.457,7075544.925,7119600.457,7161785.753,7196940.384,7224600.858,7247151.412,7264041.242,7274663.754,7277050.332,7272869.705,7265008.739,7251688.018,7234619.117,7214096.875
1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314741.036,1757812.5,0,767841.6469,650930.6827,7.26857E-05,477840.6586,390732.9587,299483.8741,407136.5028,379937.8721,374548.7722,399756.4337,395513.0447,399595.3186,406822.7335,407714.2959,410960.0153,414262.4309,416587.715,419326.2177,421874.7903,423854.03,425522.8428,426855.1876,427833.8952,428468.8987,428608.5963,428359.8213,427898.8054,427113.7596,426108.0839,424899.7399
1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507812.5,0,127973.6078,188046.6417,1.62537E-05,106852.8117,102242.0882,72031.65419,97924.18993,94303.27478,91075.90483,97487.84172,96936.32672,97519.83994,99399.54557,99681.69246,100393.1396,101233.2373,101806.8336,102461.2264,103092.1113,103575.3166,103980.6819,104308.0345,104546.8213,104701.6466,104736.1392,104675.2261,104562.5335,104370.7629,104124.982,103829.7066
1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625000,0,157505.9788,231442.0205,2.00045E-05,131511.1529,125836.4163,88654.34361,120522.0799,116065.569,112093.4213,119985.036,119306.2483,120024.4184,122337.9022,122685.1599,123560.7872,124594.7536,125300.7183,126106.1248,126882.5985,127477.3127,127976.2239,128379.1194,128673.0109,128863.565,128906.0175,128831.0475,128692.349,128456.3236,128153.824,127790.4081
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007812.5,2509652.51,1397865.562,2054047.932,2471354.71,2006725.822,2262019.581,2346516.87,2295468.655,2390694.021,2427424.748,2446057.395,2489482.104,2515442.392,2536585.392,2558281.851,2575967.927,2592986.327,2610912.494,2627054.513,2642567.333,2655612.963,2665787.639,2674104.877,2680350.097,2684262.161,2685143.425,2683602.902,2680700.7,2675785.888,2669487.95,2661915.177
