FIPS,Geotype,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,F,1980.32,1983.54,1922.24,1922.24,1648.34,1648.58,1697.992,1696.118,1707.49,1768.268,1829.046,1826.253,1772.362,1772.204,2191.1,2175.819,2190.783,2190.748,2191.584,2201.279,2144.136,2160.277067,2176.539645,2192.924647,2209.432996,2226.06562,2242.823454,2259.707441,2276.718531,2293.85768,2311.125854,2328.524022,2346.053163,2363.714264,2381.508318,2399.436326,2417.499295,2435.698243,2454.034193,2472.508176,2491.121231,2509.874405,2528.768753,2547.805338,2566.985231,2586.309509,2605.779261,2625.395582,2645.159574,2665.07235,2685.135029
1003,C,4905.66,4905.66,4851.42,4851.42,4925.15,4915.608,4928.932,5090.488,5095.558,5969.0805,6842.603,6935.813,7200.508,7132.492,7483.533,7486.463,7451.331,7446.839,7565.938,7592.919,7472.681,7486.988523,7501.323439,7515.685802,7530.075663,7544.493076,7558.938093,7573.410768,7587.911152,7602.439299,7616.995263,7631.579096,7646.190852,7660.830584,7675.498346,7690.194192,7704.918175,7719.670349,7734.450768,7749.259486,7764.096558,7778.962038,7793.85598,7808.778438,7823.729468,7838.709123,7853.717459,7868.754531,7883.820393,7898.915101,7914.038711
1005,C,2479.12,2479.12,2369.79,2369.79,2369.59,2366.156,2366.894,2366.87,2366.87,2434.2485,2501.627,2501.142,1870.85,1849.26,2141.789,2173.01,2173.719,2174.045,2174.065,2174.407,2215.509,2219.750911,2224.000943,2228.259113,2232.525435,2236.799926,2241.082602,2245.373477,2249.672567,2253.979889,2258.295458,2262.619289,2266.951399,2271.291804,2275.640518,2279.99756,2284.362943,2288.736684,2293.1188,2297.509306,2301.908218,2306.315552,2310.731325,2315.155552,2319.588251,2324.029436,2328.479125,2332.937333,2337.404077,2341.879373,2346.363238
1007,D,1804.75,1805.09,1859.55,1859.55,1753.85,1767.491,1756.661,1754.555,1754.421,1788.2115,1822.002,1822.88,1565.789,1588.743,1905.769,1923.877,1923.845,1923.881,1926.145,1923.522,1992.693,1993.117405,1993.5419,1993.966486,1994.391162,1994.815929,1995.240786,1995.665733,1996.090771,1996.5159,1996.941119,1997.366429,1997.791829,1998.21732,1998.642901,1999.068573,1999.494336,1999.920189,2000.346134,2000.772168,2001.198294,2001.62451,2002.050818,2002.477216,2002.903704,2003.330284,2003.756954,2004.183716,2004.610568,2005.037511,2005.464545
1009,D,2763.56,2764,2627.06,2627.06,2627.06,2629.284,2667.206,2667.122,2656.202,2674.726,2693.25,2696.333,2712.513,2718.109,3107.994,3107.993,3107.841,3107.2,3108.038,3107.288,3126.627,3127.292911,3127.958963,3128.625158,3129.291494,3129.957973,3130.624593,3131.291355,3131.958259,3132.625306,3133.292494,3133.959824,3134.627297,3135.294912,3135.962669,3136.630568,3137.298609,3137.966793,3138.635119,3139.303587,3139.972198,3140.640951,3141.309846,3141.978884,3142.648065,3143.317388,3143.986853,3144.656461,3145.326212,3145.996106,3146.666142
1011,E,1307.4,1307.4,1294.76,1294.76,1400.46,1402.572,1402.572,1401.846,1401.646,1464.236,1526.826,1529.098,1140.278,1175.584,1213.848,1216.326,1225.697,1225.367,1225.375,1217.69,1253.886,1257.390067,1260.903925,1264.427604,1267.96113,1271.50453,1275.057833,1278.621066,1282.194256,1285.777432,1289.370621,1292.973852,1296.587152,1300.210549,1303.844073,1307.487751,1311.141611,1314.805682,1318.479992,1322.164571,1325.859447,1329.564648,1333.280203,1337.006142,1340.742493,1344.489286,1348.246549,1352.014313,1355.792605,1359.581456,1363.380896
1013,C,2375.94,2375.53,2279.01,2279.01,2077.01,2080.88,2279.676,2275.158,2274.758,2349.846,2424.934,2434.69,1909.868,2647.426,2091.486,2090.79,2090.968,2090.726,2090.406,2090.422,2086.693,2090.688274,2094.691197,2098.701785,2102.720051,2106.746011,2110.77968,2114.821071,2118.8702,2122.927082,2126.991731,2131.064163,2135.144392,2139.232433,2143.328301,2147.432011,2151.543579,2155.663018,2159.790345,2163.925574,2168.068721,2172.219801,2176.378828,2180.545818,2184.720787,2188.903749,2193.09472,2197.293715,2201.50075,2205.71584,2209.939
1015,C,4011.41,4017.21,4526.01,4525.97,4525.934,4533.78,4678.918,4679.942,4681.586,4789.121,4896.656,4889.669,2651.589,2630.09,3608.257,3644.042,3652.373,3652.304,3655.998,3637.077,3871.55,3878.962639,3886.389471,3893.830523,3901.285822,3908.755394,3916.239269,3923.737472,3931.250032,3938.776976,3946.318331,3953.874125,3961.444386,3969.029141,3976.628418,3984.242245,3991.87065,3999.51366,4007.171304,4014.84361,4022.530606,4030.232319,4037.948779,4045.680013,4053.426049,4061.186916,4068.962643,4076.753257,4084.558787,4092.379263,4100.214711
1017,C,2078.84,2076.06,2007.96,2007.96,2007.96,2006.86,2006.86,2009.214,2009.812,2097.2245,2184.637,2187.744,2187.744,1947.828,2268.059,2268.059,2268.742,2268.945,2268.913,2267.053,2269.004,2273.348335,2277.700987,2282.061973,2286.431309,2290.809011,2295.195094,2299.589575,2303.99247,2308.403795,2312.823566,2317.2518,2321.688511,2326.133718,2330.587436,2335.049681,2339.520469,2343.999817,2348.487742,2352.98426,2357.489387,2362.003139,2366.525534,2371.056587,2375.596316,2380.144737,2384.701867,2389.267721,2393.842318,2398.425674,2403.017804
1019,C,2040.04,2040.04,2035.4,2035.4,2036.79,2039.784,2036.264,2036.26,2043.76,2094.1215,2144.483,2144.953,1922.634,1923.689,2196.544,2200.409,2193.945,2193.945,2193.905,2169.543,2189.299,2193.490728,2197.690481,2201.898276,2206.114127,2210.33805,2214.57006,2218.810173,2223.058404,2227.314769,2231.579284,2235.851963,2240.132823,2244.42188,2248.719148,2253.024645,2257.338384,2261.660383,2265.990657,2270.329222,2274.676094,2279.031289,2283.394822,2287.76671,2292.146968,2296.535613,2300.932661,2305.338128,2309.752029,2314.174382,2318.605201
