FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869,58902,59744.58601,60599.22511,61466.08972,62345.35472,63237.19751,64141.79799,65059.33868,65990.00468,66933.98374,67891.46631,68862.64555,69847.71739,70846.88057,71860.33666,72888.29011,73930.94831,74988.52161,76061.22338,77149.27001,78252.88101,79372.27904,80507.68993,81659.34273,82827.46978,84012.30675,85214.09267,86433.06999,87669.48464,88923.58605,90195.62723
1003,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,233219,239796.926,246560.3819,253514.6006,260664.9625,268017,275576.4012,283349.0147,291340.8543,299558.1032,308007.119,316694.4387,325626.7837,334811.0649,344254.3881,353964.0596,363947.5917,374212.7086,384767.3525,395619.6893,406778.1156,418251.2646,430048.0129,442177.4877,454649.0735,467472.4195,480657.4472,494214.3576,508153.6398,522486.0784,537222.7626
1005,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686,24960,24703.50123,24449.63834,24198.38424,23949.71214,23703.59548,23460.00802,23218.92375,22980.31696,22744.16219,22510.43424,22279.10817,22050.1593,21823.56319,21599.29568,21377.33283,21157.65095,20940.22661,20725.03661,20512.05799,20301.26802,20092.64421,19886.1643,19681.80626,19479.54828,19279.36878,19081.24641,18885.16002,18691.0887,18499.01172,18308.9086
1007,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394,22183,22107.18361,22031.62634,21956.32732,21881.28564,21806.50044,21731.97084,21657.69597,21583.67495,21509.90691,21436.391,21363.12635,21290.1121,21217.3474,21144.83139,21072.56322,21000.54205,20928.76703,20857.23732,20785.95208,20714.91048,20644.11168,20573.55486,20503.23918,20433.16383,20363.32798,20293.73081,20224.37151,20155.24926,20086.36326,20017.71269
1009,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826,59102,59422.3438,59744.42392,60068.24977,60393.83082,60721.17658,61050.29662,61381.20054,61713.89803,62048.3988,62384.71262,62722.84933,63062.8188,63404.63097,63748.29583,64093.82341,64441.22381,64790.50719,65141.68375,65494.76376,65849.75752,66206.67541,66565.52787,66926.32537,67289.07846,67653.79774,68020.49387,68389.17756,68759.85958,69132.55076,69507.26201
1011,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101,10296,10275.32513,10254.69178,10234.09987,10213.5493,10193.04,10172.57188,10152.14487,10131.75887,10111.41381,10091.1096,10070.84616,10050.62342,10030.44128,10010.29967,9990.198504,9970.137702,9950.117184,9930.136868,9910.196673,9890.296519,9870.436325,9850.616012,9830.835499,9811.094706,9791.393554,9771.731962,9752.109852,9732.527144,9712.983759,9693.479618
1013,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448,19031,18812.53015,18596.56827,18383.08556,18172.05357,17963.44415,17757.22951,17553.38214,17351.87488,17152.68086,16955.77352,16761.12661,16568.71419,16378.51061,16190.4905,16004.6288,15820.90073,15639.28181,15459.74781,15282.27481,15106.83914,14933.41741,14761.98651,14592.52359,14425.00604,14259.41155,14095.71802,13933.90365,13773.94685,13615.82631,13459.52094
1015,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,116239,116393.6151,116548.4358,116703.4625,116858.6954,117014.1347,117169.7808,117325.634,117481.6944,117637.9625,117794.4384,117951.1224,118108.0149,118265.116,118422.4261,118579.9455,118737.6743,118895.613,119053.7618,119212.1209,119370.6907,119529.4713,119688.4632,119847.6666,120007.0817,120166.7089,120326.5484,120486.6005,120646.8656,120807.3437,120968.0354
1017,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254,34645,34776.27926,34908.05598,35040.33203,35173.10931,35306.38972,35440.17517,35574.46756,35709.26883,35844.58089,35980.40569,36116.74517,36253.60127,36390.97596,36528.87119,36667.28895,36806.23121,36945.69996,37085.6972,37226.22492,37367.28514,37508.87988,37651.01116,37793.68101,37936.89147,38080.6446,38224.94245,38369.78708,38515.18056,38661.12499,38807.62243
1019,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196,24972,24822.71511,24674.32266,24526.81732,24380.19377,24234.44676,24089.57103,23945.56139,23802.41264,23660.11965,23518.67731,23378.08052,23238.32422,23099.40341,22961.31307,22824.04826,22687.60402,22551.97546,22417.1577,22283.14589,22149.93522,22017.52089,21885.89815,21755.06226,21625.00852,21495.73225,21367.22881,21239.49357,21112.52195,20986.30937,20860.8513
