FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869,58902,59137.608,59374.15843,59611.65507,59850.10169,60089.50209,60329.8601,60571.17954,60813.46426,61056.71812,61300.94499,61546.14877,61792.33336,62039.5027,62287.66071,62536.81135,62786.9586,63038.10643,63290.25886,63543.41989,63797.59357,64052.78395,64308.99508,64566.23106,64824.49599,65083.79397,65344.12915,65605.50566,65867.92769,66131.3994,66395.92499
1003,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,233219,234151.876,235088.4835,236028.8374,236972.9528,237920.8446,238872.528,239828.0181,240787.3302,241750.4795,242717.4814,243688.3513,244663.1047,245641.7571,246624.3242,247610.8215,248601.2648,249595.6698,250594.0525,251596.4287,252602.8144,253613.2257,254627.6786,255646.1893,256668.7741,257695.4492,258726.2309,259761.1359,260800.1804,261843.3811,262890.7547
1005,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960,24960
1007,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183,22183
1009,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826,59102,59338.408,59575.76163,59814.06468,60053.32094,60293.53422,60534.70836,60776.84719,61019.95458,61264.0344,61509.09054,61755.1269,62002.14741,62250.156,62499.15662,62749.15325,63000.14986,63252.15046,63505.15906,63759.1797,64014.21642,64270.27328,64527.35437,64785.46379,65044.60565,65304.78407,65566.00321,65828.26722,66091.58029,66355.94661,66621.37039
1011,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10876,10675,10606,10549,10663,10400,10389,10176,10174,10101,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296,10296
1013,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20932,20866,20670,20356,20327,20162,20012,19888,19631,19448,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031,19031
1015,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605,116239,116703.956,117170.7718,117639.4549,118110.0127,118582.4528,119056.7826,119533.0097,120011.1418,120491.1863,120973.1511,121457.0437,121942.8719,122430.6433,122920.3659,123412.0474,123905.6956,124401.3183,124898.9236,125398.5193,125900.1134,126403.7138,126909.3287,127416.966,127926.6339,128438.3404,128952.0938,129467.9022,129985.7738,130505.7169,131027.7397
1017,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34122,34033,34104,34139,33977,33996,33745,33707,33600,33254,34645,34783.58,34922.71432,35062.40518,35202.6548,35343.46542,35484.83928,35626.77864,35769.28575,35912.36289,36056.01235,36200.23639,36345.03734,36490.41749,36636.37916,36782.92468,36930.05637,37077.7766,37226.08771,37374.99206,37524.49203,37674.58999,37825.28835,37976.58951,38128.49587,38281.00985,38434.13389,38587.87042,38742.22191,38897.19079,39052.77956
1019,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25963,25989,25958,26017,25895,25732,25768,25805,26014,26196,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972,24972
1021,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428,45051,45231.204,45412.12882,45593.77733,45776.15244,45959.25705,46143.09408,46327.66645,46512.97712,46699.02903,46885.82515,47073.36845,47261.66192,47450.70857,47640.5114,47831.07345,48022.39774,48214.48733,48407.34528,48600.97466,48795.37856,48990.56008,49186.52232,49383.2684,49580.80148,49779.12468,49978.24118,50178.15415,50378.86676,50580.38223,50782.70376
1023,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619,12619
1025,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981,22981
1027,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235,14211,14267.844,14324.91538,14382.21504,14439.7439,14497.50287,14555.49288,14613.71486,14672.16972,14730.85839,14789.78183,14848.94096,14908.33672,14967.97007,15027.84195,15087.95331,15148.30513,15208.89835,15269.73394,15330.81288,15392.13613,15453.70467,15515.51949,15577.58157,15639.8919,15702.45146,15765.26127,15828.32231,15891.6356,15955.20215,16019.02295
1029,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910,15063,15123.252,15183.74501,15244.47999,15305.45791,15366.67974,15428.14646,15489.85904,15551.81848,15614.02575,15676.48186,15739.18778,15802.14454,15865.35311,15928.81453,15992.52978,16056.4999,16120.7259,16185.20881,16249.94964,16314.94944,16380.20924,16445.73008,16511.513,16577.55905,16643.86928,16710.44476,16777.28654,16844.39569,16911.77327,16979.42036
1031,43580,43716,43930,44315,45053,45604,46228,47458,48516,49440,50208,50444,51141,50681,50657,50963,51202,51853,51950,52342,53547,53761.188,53976.23275,54192.13768,54408.90623,54626.54186,54845.04803,55064.42822,55284.68593,55505.82467,55727.84797,55950.75937,56174.5624,56399.26065,56624.8577,56851.35713,57078.76255,57307.0776,57536.30592,57766.45114,57997.51694,58229.50701,58462.42504,58696.27474,58931.05984,59166.78408,59403.45121,59641.06502,59879.62928,60119.1478,60359.62439
1033,54997,54793,54536,54279,54380,54359,54413,54486,54473,54426,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241,57299,57528.196,57758.30878,57989.34202,58221.29939,58454.18458,58688.00132,58922.75333,59158.44434,59395.07812,59632.65843,59871.18907,60110.67382,60351.11652,60592.52098,60834.89107,61078.23063,61322.54355,61567.83373,61814.10506,62061.36148,62309.60693,62558.84536,62809.08074,63060.31706,63312.55833,63565.80856,63820.0718,64075.35208,64331.65349,64588.98011
1035,14035,13940,13793,13585,13430,13421,13603,13441,13388,13274,13236,13195,13046,12912,12677,12678,12500,12431,12292,12067,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553,11553
1037,11844,11848,11740,11732,11560,11467,11451,11439,11493,11410,11780,11486,11346,11254,11037,10934,10819,10724,10643,10663,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341,10341
1039,37514,37069,36901,36860,36806,37204,37441,37631,37545,37648,37809,38020,37805,37814,37760,37556,37382,37062,36953,37049,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507,37507
1041,13692,13724,13635,13652,13727,13699,13880,13956,13922,14024,13869,13894,13915,13847,13851,13850,13916,13858,13825,13772,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165,13165
1043,77473,77415,77443,77657,78131,78692,79044,79576,80273,80351,80456,80410,80279,80690,81068,81761,82450,82867,83418,83768,88131,88483.524,88837.4581,89192.80793,89549.57916,89907.77748,90267.40859,90628.47822,90990.99213,91354.9561,91720.37593,92087.25743,92455.60646,92825.42889,93196.7306,93569.51752,93943.79559,94319.57078,94696.84906,95075.63646,95455.939,95837.76276,96221.11381,96605.99826,96992.42226,97380.39195,97769.91351,98160.99317,98553.63714,98947.85169,99343.6431
1045,49124,49254,49373,49215,49245,49050,49077,49488,49871,49854,50394,50122,50289,49771,49414,49365,49362,49342,49143,49172,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253,49253
1047,46198,46132,45377,45170,44795,44434,44323,44194,44265,43759,43854,43251,42789,41976,41554,40936,40080,39238,38294,37196,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174,38174
1049,64650,65678,65861,66530,67260,67794,68495,69450,70228,70864,71163,71365,70944,70912,70993,71087,71104,71437,71407,71513,71648,71934.592,72222.33037,72511.21969,72801.26457,73092.46963,73384.83951,73678.37886,73973.09238,74268.98475,74566.06069,74864.32493,75163.78223,75464.43736,75766.29511,76069.36029,76373.63773,76679.13228,76985.84881,77293.7922,77602.96737,77913.37924,78225.03276,78537.93289,78852.08462,79167.49296,79484.16293,79802.09958,80121.30798,80441.79321,80763.56039
1051,66160,67459,68659,69935,71018,72978,75246,77124,77698,78632,79552,79993,80193,80536,80538,80872,81204,81422,81011,81209,87853,88204.412,88557.22965,88911.45857,89267.1044,89624.17282,89982.66951,90342.60019,90703.97059,91066.78647,91431.05362,91796.77783,92163.96494,92532.6208,92902.75129,93274.36229,93647.45974,94022.04958,94398.13778,94775.73033,95154.83325,95535.45258,95917.59439,96301.26477,96686.46983,97073.21571,97461.50857,97851.35461,98242.76002,98635.73106,99030.27399
1053,38325,38197,38035,37796,37713,37601,37673,37839,37929,38249,38345,38204,38023,37765,37735,37661,37475,36993,36524,36633,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680,36680
1055,103286,102976,102988,103025,103080,103174,103528,103893,104206,104239,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268,103447,103860.788,104276.2312,104693.3361,105112.1094,105532.5579,105954.6881,106378.5068,106804.0209,107231.237,107660.1619,108090.8025,108523.1658,108957.2584,109393.0875,109830.6598,110269.9824,110711.0624,111153.9066,111598.5223,112044.9163,112493.096,112943.0684,113394.8407,113848.42,114303.8137,114761.029,115220.0731,115680.9534,116143.6772,116608.2519
1057,18512,18384,18278,18178,18022,18030,17767,17523,17541,17310,17229,17052,16945,16824,16772,16696,16563,16466,16445,16302,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330,16330
