FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,0,0,0,0,0,0.014284728,0.035421774,0.012668386,0.020213742,0.01752362,0.060418744,0.008762584,0.017426091,0.024975146,0.014483569,0.020750904,0.034870164,0.024427318,0.028770877,0.032698717,0.061254909,0.040908168,0.044953932,0.049039003,0.044967034,0.046319989,0.046775342,0.046020789,0.04637204,0.04638939,0.04626074,0.046340723,0.046330284,0.046310582,0.046327197,0.046322688,0.046320156,0.046323347,0.046322063,0.046321855,0.046322422,0.046322114,0.04632213,0.046322222,0.046322155,0.046322169,0.046322182,0.046322169,0.046322173,0.046322175,0.046322172
1003,0,0,0,0,0,0.017182811,0.01601243,0.013117085,0.020681076,0.017653063,0.023764771,0.018114012,0.04325023,0.027989402,0.035439015,0.05619751,0.075331828,0.056014015,0.056658318,0.030916251,0.084759929,0.057444833,0.057707004,0.066637255,0.060596364,0.061646875,0.062960165,0.061734468,0.062113836,0.062269489,0.062039264,0.062140863,0.062149872,0.06211,0.062133579,0.06213115,0.06212491,0.062129879,0.062128646,0.062127812,0.062128779,0.062128412,0.062128335,0.062128509,0.062128419,0.062128421,0.062128449,0.06212843,0.062128433,0.062128437,0.062128433
1005,0,0,0,0,0,0.028815533,0.033050493,0.038143017,0.032421126,0.031658953,0.042371309,0.0248045,0.016168008,0.043880103,0.028557626,0.040728251,0.021716964,0.034871225,0.018149029,0.011688357,0.057890057,0.029242481,0.032940298,0.040024279,0.03406902,0.035677866,0.036590388,0.035445758,0.03590467,0.035980272,0.0357769,0.035887281,0.035881484,0.035848555,0.03587244,0.035867493,0.035862829,0.035867588,0.03586597,0.035865462,0.03586634,0.035865924,0.035865909,0.035866058,0.035865964,0.035865977,0.035865999,0.03586598,0.035865985,0.035865988,0.035865984
1007,0,0,0,0,0,0.013180242,0.027132506,0.042770155,0.03008986,0.023619778,0.018813786,0.02365759,0.012038254,0.021501475,0.013568618,0.028385611,0.033338555,0.021202136,0.047369817,0.021761145,0.014374531,0.027835164,0.021323613,0.021177769,0.023445516,0.021982299,0.022201862,0.022543226,0.022242462,0.022329183,0.022371624,0.022314423,0.02233841,0.022341485,0.022331439,0.022337112,0.022336679,0.022335077,0.022336289,0.022336015,0.022335793,0.022336032,0.022335947,0.022335924,0.022335968,0.022335946,0.022335946,0.022335953,0.022335949,0.022335949,0.022335951
1009,0,0,0,0,0,0.019545605,0.029912161,0.029354006,0.031098312,0.028031283,0.020140429,0.031074682,0.047374722,0.029265442,0.025210526,0.022112683,0.034294134,0.025657082,0.010197807,0.013425129,0.065257468,0.029626801,0.036103133,0.043662467,0.036464134,0.038743244,0.039623282,0.038276887,0.038881138,0.038927102,0.038695042,0.038834427,0.038818857,0.038782775,0.03881202,0.038804551,0.038799782,0.038805451,0.038803261,0.038802831,0.038803848,0.038803314,0.038803331,0.038803497,0.038803381,0.038803403,0.038803427,0.038803404,0.038803411,0.038803414,0.03880341
1011,0,0,0,0,0,0.028815533,0.033050493,0.038143017,0.032421126,0.031658953,0.042371309,0.0248045,0.016168008,0.043880103,0.028557626,0.040728251,0.021716964,0.034871225,0.018149029,0.011688357,0.057890057,0.029242481,0.032940298,0.040024279,0.03406902,0.035677866,0.036590388,0.035445758,0.03590467,0.035980272,0.0357769,0.035887281,0.035881484,0.035848555,0.03587244,0.035867493,0.035862829,0.035867588,0.03586597,0.035865462,0.03586634,0.035865924,0.035865909,0.035866058,0.035865964,0.035865977,0.035865999,0.03586598,0.035865985,0.035865988,0.035865984
1013,0,0,0,0,0,0.020121931,0.018620618,0.035872495,0.025761353,0.032427559,0.033936384,0.02556834,0.025341752,0.019219347,0.018236485,0.016835712,0.021400894,0.032107065,0.016491966,0.029633599,0.041204031,0.029109865,0.033315832,0.034543243,0.03232298,0.033394018,0.03342008,0.033045693,0.033286597,0.03325079,0.03319436,0.033243916,0.033229689,0.033222655,0.033232086,0.033228143,0.033227628,0.033229286,0.033228352,0.033228422,0.033228687,0.033228487,0.033228532,0.033228569,0.033228529,0.033228543,0.033228547,0.03322854,0.033228543,0.033228543,0.033228542
1015,0,0,0,0,0,0.029290896,0.035183887,0.027458267,0.014857958,0.028263543,0.037625174,0.023811378,0.020052003,0.01802525,0.041355659,0.020945932,0.01931941,0.03401534,0.02969811,0.012307758,0.018460354,0.020155407,0.016974506,0.018530089,0.018553334,0.01801931,0.018367578,0.018313407,0.018233432,0.018304806,0.018283882,0.01827404,0.018287576,0.018281832,0.018281149,0.018283519,0.018282167,0.018282278,0.018282655,0.018282367,0.018282433,0.018282485,0.018282428,0.018282449,0.018282454,0.018282444,0.018282449,0.018282449,0.018282447,0.018282448,0.018282448
1017,0,0,0,0,0,0.017355897,0.01590387,0.03099422,0.008840132,0.026746248,0.018141695,0.031872458,0.025130184,0.026067925,0.031934325,0.048566879,0.018214344,0.016418503,0.017685062,0.029863397,0.056616896,0.034721785,0.040400693,0.043913125,0.039678534,0.041330784,0.041640814,0.040883377,0.041284992,0.041269728,0.041146032,0.041233584,0.041216448,0.041198688,0.04121624,0.041210459,0.041208462,0.04121172,0.041210214,0.041210132,0.041210689,0.041210345,0.041210389,0.041210474,0.041210403,0.041210422,0.041210433,0.041210419,0.041210425,0.041210425,0.041210423
1019,0,0,0,0,0,0.009535435,0.048513931,0.022463129,0.024322856,0.048707574,0.013079538,0.01621797,0.02734967,0.031804708,0.03134285,0.020096313,0.012952834,0.038128163,0.016885249,0.034055535,0.020648025,0.023862936,0.026188832,0.023566598,0.024539456,0.024764962,0.024290338,0.024531585,0.024528962,0.024450295,0.024503614,0.02449429,0.024482733,0.024493546,0.02449019,0.024488823,0.024490853,0.024489955,0.024489877,0.024490228,0.02449002,0.024490042,0.024490097,0.024490053,0.024490064,0.024490071,0.024490063,0.024490066,0.024490067,0.024490065,0.024490066
1021,0,0,0,0,0,0.017355897,0.01590387,0.03099422,0.008840132,0.026746248,0.018141695,0.031872458,0.025130184,0.026067925,0.031934325,0.048566879,0.018214344,0.016418503,0.017685062,0.029863397,0.056616896,0.034721785,0.040400693,0.043913125,0.039678534,0.041330784,0.041640814,0.040883377,0.041284992,0.041269728,0.041146032,0.041233584,0.041216448,0.041198688,0.04121624,0.041210459,0.041208462,0.04121172,0.041210214,0.041210132,0.041210689,0.041210345,0.041210389,0.041210474,0.041210403,0.041210422,0.041210433,0.041210419,0.041210425,0.041210425,0.041210423
1023,0,0,0,0,0,0.027369792,0.029571874,0.027756469,0.010846345,0.018333046,0.016862276,0.054106968,0.019464143,0.007678046,0.019643576,0.022381379,0.008813434,0.012054795,0.005781508,0.006475694,0.02864013,0.013632444,0.016249422,0.019507332,0.016463066,0.017406607,0.017792335,0.017220669,0.017473204,0.017495403,0.017396425,0.01745501,0.017448946,0.017433461,0.017445806,0.017442737,0.017440668,0.01744307,0.017442159,0.017441966,0.017442398,0.017442174,0.017442179,0.01744225,0.017442201,0.01744221,0.017442221,0.017442211,0.017442214,0.017442215,0.017442213
1025,0,0,0,0,0,0.027369792,0.029571874,0.027756469,0.010846345,0.018333046,0.016862276,0.054106968,0.019464143,0.007678046,0.019643576,0.022381379,0.008813434,0.012054795,0.005781508,0.006475694,0.02864013,0.013632444,0.016249422,0.019507332,0.016463066,0.017406607,0.017792335,0.017220669,0.017473204,0.017495403,0.017396425,0.01745501,0.017448946,0.017433461,0.017445806,0.017442737,0.017440668,0.01744307,0.017442159,0.017441966,0.017442398,0.017442174,0.017442179,0.01744225,0.017442201,0.01744221,0.017442221,0.017442211,0.017442214,0.017442215,0.017442213
1027,0,0,0,0,0,0.009535435,0.048513931,0.022463129,0.024322856,0.048707574,0.013079538,0.01621797,0.02734967,0.031804708,0.03134285,0.020096313,0.012952834,0.038128163,0.016885249,0.034055535,0.020648025,0.023862936,0.026188832,0.023566598,0.024539456,0.024764962,0.024290338,0.024531585,0.024528962,0.024450295,0.024503614,0.02449429,0.024482733,0.024493546,0.02449019,0.024488823,0.024490853,0.024489955,0.024489877,0.024490228,0.02449002,0.024490042,0.024490097,0.024490053,0.024490064,0.024490071,0.024490063,0.024490066,0.024490067,0.024490065,0.024490066
1029,0,0,0,0,0,0.009535435,0.048513931,0.022463129,0.024322856,0.048707574,0.013079538,0.01621797,0.02734967,0.031804708,0.03134285,0.020096313,0.012952834,0.038128163,0.016885249,0.034055535,0.020648025,0.023862936,0.026188832,0.023566598,0.024539456,0.024764962,0.024290338,0.024531585,0.024528962,0.024450295,0.024503614,0.02449429,0.024482733,0.024493546,0.02449019,0.024488823,0.024490853,0.024489955,0.024489877,0.024490228,0.02449002,0.024490042,0.024490097,0.024490053,0.024490064,0.024490071,0.024490063,0.024490066,0.024490067,0.024490065,0.024490066
1031,0,0,0,0,0,0.020121931,0.018620618,0.035872495,0.025761353,0.032427559,0.033936384,0.02556834,0.025341752,0.019219347,0.018236485,0.016835712,0.021400894,0.032107065,0.016491966,0.029633599,0.041204031,0.029109865,0.033315832,0.034543243,0.03232298,0.033394018,0.03342008,0.033045693,0.033286597,0.03325079,0.03319436,0.033243916,0.033229689,0.033222655,0.033232086,0.033228143,0.033227628,0.033229286,0.033228352,0.033228422,0.033228687,0.033228487,0.033228532,0.033228569,0.033228529,0.033228543,0.033228547,0.03322854,0.033228543,0.033228543,0.033228542
1033,0,0,0,0,0,0.017094489,0.017514395,0.029329227,0.010325156,0.019874495,0.016684784,0.020702754,0.013643564,0.012776659,0.012689597,0.01896306,0.017480242,0.021076565,0.014270972,0.019008015,0.074710265,0.035996417,0.043238232,0.051314972,0.043516541,0.046023248,0.046951587,0.045497125,0.04615732,0.046202011,0.045952152,0.046103828,0.046085997,0.046047325,0.04607905,0.046070791,0.046065722,0.046071854,0.046069456,0.046069011,0.046070107,0.046069524,0.046069547,0.046069726,0.046069599,0.046069624,0.04606965,0.046069624,0.046069633,0.046069636,0.046069631
1035,0,0,0,0,0,0.027369792,0.029571874,0.027756469,0.010846345,0.018333046,0.016862276,0.054106968,0.019464143,0.007678046,0.019643576,0.022381379,0.008813434,0.012054795,0.005781508,0.006475694,0.02864013,0.013632444,0.016249422,0.019507332,0.016463066,0.017406607,0.017792335,0.017220669,0.017473204,0.017495403,0.017396425,0.01745501,0.017448946,0.017433461,0.017445806,0.017442737,0.017440668,0.01744307,0.017442159,0.017441966,0.017442398,0.017442174,0.017442179,0.01744225,0.017442201,0.01744221,0.017442221,0.017442211,0.017442214,0.017442215,0.017442213
1037,0,0,0,0,0,0.017355897,0.01590387,0.03099422,0.008840132,0.026746248,0.018141695,0.031872458,0.025130184,0.026067925,0.031934325,0.048566879,0.018214344,0.016418503,0.017685062,0.029863397,0.056616896,0.034721785,0.040400693,0.043913125,0.039678534,0.041330784,0.041640814,0.040883377,0.041284992,0.041269728,0.041146032,0.041233584,0.041216448,0.041198688,0.04121624,0.041210459,0.041208462,0.04121172,0.041210214,0.041210132,0.041210689,0.041210345,0.041210389,0.041210474,0.041210403,0.041210422,0.041210433,0.041210419,0.041210425,0.041210425,0.041210423
