FIPS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
01001,431621.4656,529912.709,699367.4545,619263.837,968891.6935,706830.4495,662007.6228,207470.3387,225336.5927,236809.2261,190279.7801,173628.4231,123161.8722,147897.766,144957.4962,112147.8416,145537.3262,146119.4755,146703.9534,147290.7692,147879.9323,148471.4521,149065.3379,149661.5992,150260.2456,150861.2866,151464.7317,152070.5907,152678.873,153289.5885,153902.7469,154518.3579,155136.4313,155756.977,156380.0049,157005.5249,157633.547,158264.0812,158897.1376,159532.7261,160170.857,160811.5404,161454.7866,162100.6057,162749.0082,163400.0042
01003,2536278,2492446,2349590,2508158,2488656,2463226,2830326,743219.2293,479868.3206,518815.6589,632650.8768,1186785.339,1046158.555,758451.0737,704393.3442,216891.3023,707210.9176,710039.7613,712879.9203,715731.44,718594.3658,721468.7432,724354.6182,727252.0367,730161.0448,733081.689,736014.0158,738958.0718,741913.9041,744881.5597,747861.086,750852.5303,753855.9404,756871.3642,759898.8497,762938.4451,765990.1988,769054.1596,772130.3763,775218.8978,778319.7734,781433.0525,784558.7847,787697.0198,790847.8079,794011.1991
01009,1731748.575,1684603.875,1861503.252,2308762.023,1651173.845,1181901.249,1743200.727,295648.2026,265335.5793,439587.2954,192521.6753,245801.8525,329781.6855,301731.1925,501342.9663,138511.8751,503348.3382,505361.7315,507383.1785,509412.7112,511450.362,513496.1635,515550.1481,517612.3487,519682.7981,521761.5293,523848.5754,525943.9697,528047.7456,530159.9366,532280.5763,534409.6986,536547.3374,538693.5268,540848.3009,543011.6941,545183.7409,547364.4758,549553.9337,551752.1495,553959.1581,556174.9947,558399.6947,560633.2934,562875.8266,565127.3299
01033,0,217081,228420,222660,200185,191351,146594,100607,92826,92568,92520,96712,103090,106873,111406,51129,111851.624,112299.0305,112748.2266,113199.2195,113652.0164,114106.6245,114563.051,115021.3032,115481.3884,115943.3139,116407.0872,116872.7155,117340.2064,117809.5672,118280.8055,118753.9287,119228.9444,119705.8602,120184.6837,120665.4224,121148.0841,121632.6764,122119.2071,122607.6839,123098.1147,123590.5071,124084.8692,124581.2086,125079.5335,125579.8516
01051,539526.832,662390.8863,874209.3181,774079.7963,1211114.617,883538.0619,827509.5285,259337.9234,281670.7409,296011.5326,237849.7251,217035.5288,153952.3402,184872.2075,181196.8703,140184.8021,181921.6578,182649.3444,183379.9418,184113.4616,184849.9154,185589.3151,186331.6723,187076.999,187825.307,188576.6082,189330.9147,190088.2383,190848.5913,191611.9856,192378.4336,193147.9473,193920.5391,194696.2213,195475.0062,196256.9062,197041.9338,197830.1015,198621.4219,199415.9076,200213.5713,201014.4256,201818.4833,202625.7572,203436.2602,204250.0053
01057,142697,139731,124533,162620,170609,199361,209413,181844,165413,153750,142499,112701,83787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01073,,,,,,,,9922952.094,11159606.26,11014094.55,10585172.25,10050564.64,9695575.86,11063582.65,10070936.85,6722575.551,10111220.6,10151665.48,10192272.14,10233041.23,10273973.39,10315069.29,10356329.56,10397754.88,10439345.9,10481103.29,10523027.7,10565119.81,10607380.29,10649809.81,10692409.05,10735178.69,10778119.4,10821231.88,10864516.81,10907974.87,10951606.77,10995413.2,11039394.85,11083552.43,11127886.64,11172398.19,11217087.78,11261956.13,11307003.96,11352231.97
01079,0,0,89245.5,87663,75996,76825.5,81021.5,0,0,0,0,20956,86668,76790.5,58422.5,34642.5,58656.19,58890.81476,59126.37802,59362.88353,59600.33507,59838.73641,60078.09135,60318.40372,60559.67733,60801.91604,61045.1237,61289.3042,61534.46142,61780.59926,62027.72166,62275.83255,62524.93588,62775.03562,63026.13576,63278.24031,63531.35327,63785.47868,64040.62059,64296.78308,64553.97021,64812.18609,65071.43483,65331.72057,65593.04746,65855.41965
01081,0,71195,59043,59454,51222,54747,94890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01089,376167,439397,424927,359154,367954,354576,380726,517620,563028,679868,694300,710884,709570,726832,792473,565367,795642.892,798825.4636,802020.7654,805228.8485,808449.7639,811683.5629,814930.2972,818190.0184,821462.7784,824748.6296,828047.6241,831359.8146,834685.2538,838023.9948,841376.0908,844741.5952,848120.5616,851513.0438,854919.096,858338.7724,861772.1275,865219.216,868680.0928,872154.8132,875643.4325,879146.0062,882662.5902,886193.2406,889738.0135,893296.9656
