FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,4.1,4.1,4.8,5,4.7,3.8,3.3,3.4,5.3,8.9,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4,3.6,2.9,5.3,4.674861545,4.049723089,3.953713507,3.890894875,3.930892088,4.026216076,4.235272296,4.015282757,3.922531944,3.969549427,3.977671916,4.006463757,4.040431043,4.053510872,4.016599068,4.015410054,4.032089101,4.035859429,4.035260655,4.053719172,4.073906328,4.094322539,4.102936574,4.085021729,4.056931567,4.042363441,4.036986015,4.013418366,3.970192871,3.948632966
1003,3.7,4.3,5,4.9,5.1,4,3.2,3.2,4.8,8.9,9.9,9,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.9,6.1,5.162475746,4.224951492,4.19963827,4.173283251,4.210177316,4.353689222,4.617419129,4.302007931,4.181925793,4.270192196,4.286064996,4.311981614,4.352190182,4.36321538,4.311577805,4.314959327,4.341022342,4.343238826,4.340237592,4.360385059,4.381279498,4.402554448,4.413623502,4.395041694,4.363735961,4.347710645,4.342180637,4.316810579,4.270386976,4.247446755
1005,5.6,7.6,7.7,7.1,7.1,5.7,5.6,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6,5.1,4,7.7,7.004111252,6.308222504,5.902194325,5.664824541,5.769994815,5.964554234,6.310322061,6.002389941,5.849350112,5.866546052,5.880427281,5.950381267,6.008525701,6.025508781,5.966647773,5.958601252,5.979680912,5.991374762,5.994975706,6.020636544,6.048518545,6.078130883,6.090689708,6.064717547,6.024235617,6.002551564,5.993738673,5.958515479,5.894510675,5.862642591
1007,5.4,6.8,7,5.9,5.4,4.4,4.2,4.2,6,12.2,11.2,10.4,8.8,8,7.2,6.7,6.5,4.5,4,3.3,7.3,6.083727818,4.867455636,4.842826113,4.785440604,4.892241241,5.086244757,5.393018914,4.986606671,4.836622314,4.952844009,4.976206793,5.014432122,5.059331275,5.065847356,5.001075241,5.007913249,5.041942553,5.044565274,5.040713444,5.0628532,5.0862255,5.111236843,5.125126821,5.103815727,5.067030782,5.048188049,5.041659012,5.012258879,4.958539477,4.932002933
1009,3.5,3.7,5.4,4.6,4.1,3.6,3.2,3.2,4.8,9.2,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.1,3.5,2.8,4.5,4.31380119,4.127602379,3.840209769,3.652096651,3.687704951,3.78013799,3.961664208,3.844227266,3.770434535,3.748623113,3.745628579,3.790406098,3.827358902,3.841992794,3.816184054,3.806861404,3.812099625,3.820282461,3.824865396,3.84184874,3.860427387,3.879807518,3.886036736,3.868692851,3.843848586,3.830491899,3.824735856,3.802200434,3.761240907,3.740671357
1011,8.5,10,10.2,10.9,11.4,9.4,8.8,9.6,10.9,14.4,11.7,11.5,10.6,9.5,8.8,8,6.9,5,4.7,3.9,6,5.774449712,5.548899425,5.013081719,4.823345084,4.968237221,5.063529856,5.264882895,5.118477644,5.020343937,4.979091195,4.994919965,5.062394817,5.097670977,5.112646071,5.083425937,5.07134215,5.077718614,5.091514655,5.096578263,5.116460454,5.141863303,5.169048373,5.177113438,5.153839365,5.12096821,5.102772342,5.09487907,5.065225168,5.010813054,4.983253874
1013,7.9,7.6,7.9,8.6,9.4,6.4,5.7,6.3,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.6,4.7,3.9,9.5,7.543919535,5.58783907,5.788690588,5.935841573,5.977083862,6.223882679,6.641214487,6.035169297,5.833914484,6.055750767,6.098248607,6.112311746,6.168043014,6.177763631,6.085243092,6.102484547,6.156914667,6.154228344,6.142573503,6.171779287,6.201116727,6.230685861,6.249900127,6.22454928,6.177534014,6.154045581,6.147090974,6.111375728,6.045739673,6.013623338
1015,5.1,5.6,6,5.9,5.4,4.5,4,4,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.7,7.7,6.488160955,5.276321909,5.240089193,5.242189588,5.315918832,5.47429097,5.79476302,5.396913785,5.246607657,5.362375104,5.387896585,5.419183142,5.463950984,5.477509454,5.41427001,5.419325283,5.452707416,5.455476872,5.450723756,5.47542812,5.502225849,5.529365252,5.543239354,5.519822906,5.480379813,5.460126045,5.453235106,5.421520788,5.363228274,5.334357976
1017,4.4,5.5,6.7,6.4,6.9,5.7,5.8,6.6,14.9,18.1,14.6,11.8,10.1,8.1,6.7,6.1,5.5,4.2,3.9,3.1,7.4,5.91955977,4.43911954,4.559066771,4.658460596,4.738349381,4.895061013,5.21513597,4.759411822,4.603581977,4.767838843,4.802548553,4.818672156,4.856130852,4.865067236,4.796245332,4.808225856,4.849217947,4.848140067,4.839430387,4.861511807,4.885207153,4.90892582,4.923472772,4.903356462,4.866639094,4.848128157,4.842519152,4.814501257,4.762794278,4.737386725
1019,4.5,4.6,4.8,4.9,4.7,4.3,4.2,4.3,5.9,10.7,10.5,9.6,8.2,6.7,5.8,5.5,5.1,4.2,3.6,3,5.1,4.633271012,4.166542024,3.972630796,3.902266219,3.927092289,4.026216076,4.218689988,4.035628564,3.950391371,3.971499218,3.979917496,4.012026828,4.047163132,4.060719994,4.028281093,4.024337983,4.036847135,4.042560425,4.0432952,4.061621432,4.081844261,4.102475381,4.110323374,4.092153237,4.064672385,4.050189911,4.04460386,4.020958523,3.977642008,3.955959454
1021,4.3,4.8,5.1,5,4.6,3.9,3.6,3.5,5.2,9.8,10.1,9.1,7.4,6.7,6.2,5.7,5.5,4.2,3.6,2.9,5.4,4.831945569,4.263891137,4.086134533,3.978075179,4.022087265,4.143576395,4.369438245,4.148660827,4.049028799,4.08098748,4.089202423,4.126445671,4.165201114,4.177792509,4.138304536,4.135194609,4.151136816,4.156804525,4.157631095,4.176307101,4.196357515,4.217110082,4.225934852,4.207667127,4.179111034,4.164112809,4.158329333,4.133953151,4.08947785,4.067323963
1023,6.6,7.2,8.9,10,8.5,6.5,5.6,6.1,8.6,12.4,13,13,10.5,9.4,9,9.2,8.5,6.5,5.5,4.9,7.3,7.0182793,6.7365586,6.185953668,5.933946349,6.028381148,6.203060688,6.431674409,6.250307371,6.140744653,6.098421193,6.104985349,6.180722487,6.235122399,6.250596972,6.214185348,6.201473635,6.208665858,6.223152871,6.229958274,6.256124857,6.28628658,6.319319978,6.329494852,6.300755815,6.260368349,6.23846275,6.228971692,6.1924659,6.125938283,6.092309721
1025,7.4,9.9,9.1,8.6,8.8,6.3,6.2,6.2,9.3,15.2,19.5,18.6,15.4,14,12.1,11.8,10.9,8.7,7.4,6.1,9.8,9.270975161,8.741950322,8.115517198,7.844332142,7.916881262,8.111112312,8.484865676,8.20651907,8.045727055,8.018065389,8.02795094,8.113513855,8.186794381,8.216264182,8.16004673,8.143398073,8.158116087,8.175117766,8.181776972,8.217736305,8.258175646,8.300071068,8.313964114,8.276895573,8.223159779,8.19421836,8.182175485,8.13419287,8.046582343,8.002561197
1027,6.2,6.1,6.2,7.2,6.3,4.9,4.5,5.6,8.2,15.4,14.2,11.7,9.6,8.5,7.1,6.2,6,4.4,3.8,3.1,4.4,4.487704149,4.575408298,4.105051823,3.837828603,3.904293495,3.992143726,4.153114496,4.097419535,4.031710778,3.960700376,3.955216109,4.01623672,4.053744278,4.069140734,4.0507652,4.035690331,4.033523775,4.045904864,4.053911758,4.070765841,4.090383663,4.111511829,4.116650581,4.09786026,4.072800457,4.058866816,4.052272241,4.028379414,3.985023014,3.963057888
1029,4.1,5.3,5,6,5.2,3.9,3.5,3.7,5.2,9.3,9.8,9.6,8.4,7.8,6.6,6.1,6,4.6,4.2,3.3,5,4.855848528,4.711697056,4.369893876,4.173283251,4.229176312,4.293116155,4.481745697,4.377362773,4.301646031,4.268692357,4.26585477,4.315590093,4.35173735,4.370787988,4.347200398,4.335294153,4.338782555,4.348413013,4.353571931,4.372599524,4.394704159,4.417230697,4.423547155,4.403486752,4.375482313,4.36033542,4.353789013,4.328256569,4.281573052,4.258012987
1031,5.9,6.3,5.2,5.5,5.3,3.9,3.7,3.9,5,7.8,8.5,8.1,7.2,7,6.6,6,5.9,4.5,3.9,3.1,4.8,4.677969238,4.555938475,4.19963827,3.987551299,4.031586762,4.118968586,4.309138942,4.203293088,4.126959898,4.090361475,4.086956842,4.13787252,4.176672836,4.193770711,4.168753661,4.156923478,4.160368372,4.170230751,4.175862773,4.194166037,4.214709085,4.236028751,4.242299936,4.223225286,4.196453899,4.181929509,4.17554905,4.150967345,4.106231684,4.083706727
1033,5.6,6.9,8.4,7.5,7,5.4,4.6,4.7,6.7,10.7,11.3,10.1,9,8.3,8.3,8,7,5.3,4.6,4,7.2,6.413389358,5.626778715,5.315758351,5.22892302,5.333017927,5.506470412,5.767628334,5.467370563,5.336586075,5.379098311,5.403615649,5.455568635,5.500449173,5.510874364,5.460497455,5.458655444,5.480571579,5.489218142,5.489161806,5.512280976,5.53871339,5.567100674,5.579079467,5.554825635,5.517013344,5.496931798,5.48921865,5.457245008,5.398685749,5.369383889
1035,6.6,7.4,8.2,8.5,8.4,6.1,5.6,6.5,9.7,18.4,16.9,15,12.2,10.9,10.3,9.3,8.4,6.3,5.2,4.2,7.9,7.201460365,6.50292073,6.053532642,5.854346941,5.940985771,6.146273437,6.49121997,6.17947382,6.024789203,6.03977748,6.058576682,6.126745661,6.186488335,6.203767966,6.144396622,6.136250663,6.157471587,6.169823609,6.172958825,6.199493823,6.228405821,6.259027449,6.271858969,6.24502589,6.203375768,6.181000009,6.171975529,6.135739746,6.069817152,6.036972369
1037,5.5,6.8,9.3,8.2,7,5,5.5,5.9,8.5,14.8,15.1,12.3,9.6,9.3,8.8,6.7,6,4.8,4.1,3.1,6,5.404523084,4.809046168,4.540149481,4.448090732,4.485662746,4.601660217,4.88122858,4.639220849,4.521133134,4.548037408,4.563019947,4.603366264,4.645926641,4.664377988,4.618966798,4.61313274,4.630832643,4.638561278,4.639241958,4.660065683,4.682844993,4.705466972,4.715048437,4.69496239,4.663304869,4.646439826,4.639964363,4.612786689,4.563076903,4.538374044
1039,7,6.4,5.9,6.9,6.6,4.5,3.8,4,6.1,9.9,10.2,9.8,8.6,8.2,7.7,7.2,6.8,5.3,4.6,3.6,5.4,5.3771006,5.354201199,4.861743403,4.614870444,4.6642533,4.749307069,4.967155086,4.873574408,4.788433036,4.726368289,4.723953229,4.785293728,4.828991173,4.851088202,4.825420053,4.808959244,4.81000351,4.823093127,4.83043092,4.851340799,4.875418261,4.90009185,4.906639938,4.884500682,4.854054516,4.837292598,4.829770419,4.801350604,4.749564911,4.723440458
1041,5.8,6.1,6.1,6.8,6.8,4.9,4,4.4,5.7,9.6,10,9.8,8.5,7.8,6.9,6,5.9,4.6,4,3,6.2,5.387704149,4.575408298,4.483397613,4.406395804,4.436265358,4.560016233,4.850325187,4.560851813,4.438307812,4.504392087,4.515114226,4.546983785,4.590349167,4.607250235,4.556581745,4.555425472,4.578427676,4.582469218,4.58128486,4.602716151,4.625091632,4.647202918,4.657792477,4.638114279,4.605846511,4.589141873,4.58310335,4.556245105,4.507145891,4.482861457
1043,4.2,4.7,6,5.8,5.1,4,3.4,3.4,5,9.4,10.3,9.5,7.9,6.8,6,5.3,5,3.8,3.3,2.7,4.7,4.306717166,3.913434331,3.688871453,3.574392467,3.625008267,3.725243648,3.910409801,3.742875003,3.660126266,3.669806563,3.676764104,3.714628047,3.747871944,3.759284773,3.72835646,3.723564378,3.734548507,3.741045914,3.742879819,3.759228782,3.777425765,3.796461238,3.803727285,3.787042887,3.761848699,3.748439855,3.74305932,3.72113646,3.681110275,3.661073999
1045,5.3,5.6,5.7,5.3,5.3,4.4,4.6,4,5.6,8.8,8.7,8.3,7.6,7.5,7,6.4,5.8,4.6,4.2,3.3,5.3,5.015583439,4.731166878,4.388811165,4.260463555,4.320371488,4.387761573,4.593299408,4.45045697,4.363388544,4.348633786,4.356426524,4.401592167,4.436054507,4.454783352,4.426243715,4.416469812,4.424233462,4.433575033,4.436666682,4.455852734,4.478560824,4.501400813,4.508595016,4.488461824,4.459357866,4.443607942,4.437120001,4.411211233,4.363647055,4.339707599
1047,8.1,9.3,11.4,11.3,9.9,8.5,8.1,8.5,11.5,19.6,16.6,15,13.2,12.4,11.2,9.6,9.2,7.7,6.5,5.8,11.6,9.577145573,7.554291147,7.718254118,7.823484678,7.854184579,8.139505937,8.565515994,7.935618413,7.726096608,7.944498276,7.979296692,8.00495879,8.075458301,8.089029227,7.994450221,8.01012768,8.0638271,8.062539828,8.052351455,8.090727787,8.130243855,8.170936223,8.192638487,8.157546568,8.098012631,8.0681625,8.058596093,8.011723519,7.925605798,7.882973454
1049,4.1,4.9,5.2,5.7,5.7,5.1,4.1,4.4,6,13.1,12.4,11.7,9.3,7.7,6.8,6.1,6.1,4.6,3.8,3,4.9,4.74743906,4.59487812,4.237472849,4.000817867,4.033486662,4.147362211,4.358885867,4.234565347,4.150678058,4.116383685,4.11165823,4.164785757,4.208552147,4.225075871,4.195531291,4.183779995,4.188680492,4.198658483,4.204672218,4.223354103,4.243349342,4.264330903,4.271098634,4.252176161,4.225117382,4.210470084,4.204009364,4.179153048,4.1341378,4.111569642
1051,4,4.3,4.8,5.1,4.8,3.7,3.4,3.4,5.3,8.7,9,8.4,7.1,6.2,5.7,5.1,4.8,3.8,3.4,2.8,5.3,4.587247343,3.874494686,3.80237519,3.779076659,3.822597816,3.925891933,4.13200974,3.890570493,3.794905653,3.85563664,3.869135516,3.894149859,3.926257221,3.937059311,3.898064435,3.899177275,3.918380554,3.921391155,3.919473742,3.937266485,3.956786295,3.976644017,3.985650472,3.968408059,3.940680803,3.926349457,3.921245252,3.898411541,3.856463819,3.835578102
