FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,4.1,4.1,4.8,5,4.7,3.8,3.3,3.4,5.3,8.9,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4,3.6,2.9,5.3,4.965054655,4.630109309,5.582274495,5.240066995,5.184236557,5.261245448,5.453275205,5.033819264,4.857041731,4.872108598,4.74647087,4.608912735,4.541409692,4.559956826,4.575269536,4.642224956,4.698234314,4.676661949,4.625157788,4.631940145,4.694913431,4.751606368,4.818516053,4.859448349,4.904865414,4.944688376,4.982088982,4.995228858,4.973564263,4.976590765
1003,3.7,4.3,5,4.9,5.1,4,3.2,3.2,4.8,8.9,9.9,9,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.9,6.1,5.465225289,4.830450577,5.929497311,5.620373855,5.552570425,5.689169972,5.945321927,5.393276565,5.178233952,5.241108718,5.114469741,4.960371086,4.891824279,4.908355839,4.91127699,4.98853457,5.058206704,5.03284619,4.974717972,4.982348737,5.04914112,5.109320419,5.183388852,5.228241003,5.275794585,5.318194319,5.358733032,5.372840509,5.349625255,5.353195516
1005,5.6,7.6,7.7,7.1,7.1,5.7,5.6,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6,5.1,4,7.7,7.456142827,7.212285654,8.333347572,7.629108743,7.609727609,7.794162862,8.125079199,7.524985896,7.242907897,7.200426643,7.016988174,6.845135678,6.753531136,6.778336303,6.796551343,6.888752845,6.96758959,6.942668559,6.871355025,6.879417868,6.970526239,7.053886237,7.152946579,7.214449182,7.283353054,7.342424148,7.396939026,7.416158934,7.384207417,7.388879448
1007,5.4,6.8,7,5.9,5.4,4.4,4.2,4.2,6,12.2,11.2,10.4,8.8,8,7.2,6.7,6.5,4.5,4,3.3,7.3,6.432517614,5.565035227,6.83761852,6.444797449,6.45210688,6.646434659,6.943972965,6.251534011,5.988906337,6.078975542,5.938001194,5.768448555,5.686644776,5.698774707,5.696676918,5.789660221,5.8749266,5.845527298,5.77759333,5.785016669,5.861545772,5.931771447,6.01898309,6.071382371,6.126084116,6.175030309,6.221967012,6.238417706,6.21169186,6.21596397
1009,3.5,3.7,5.4,4.6,4.1,3.6,3.2,3.2,4.8,9.2,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.1,3.5,2.8,4.5,4.609574936,4.719149873,5.422017811,4.918465222,4.863510467,4.939683667,5.100981398,4.819372989,4.668708411,4.600950116,4.469578516,4.360366647,4.30191844,4.322011664,4.346978713,4.401121374,4.441900171,4.42685627,4.384005765,4.389848593,4.448892765,4.502654085,4.563787438,4.602108468,4.647246244,4.685523468,4.720148719,4.732340264,4.711804683,4.714489973
1011,8.5,10,10.2,10.9,11.4,9.4,8.8,9.6,10.9,14.4,11.7,11.5,10.6,9.5,8.8,8,6.9,5,4.7,3.9,6,6.17207008,6.344140159,7.078003546,6.49584535,6.552333782,6.616752033,6.778986885,6.416856029,6.216398069,6.111190568,5.960331222,5.823623365,5.729738272,5.751420457,5.790481807,5.862990522,5.916613256,5.899931171,5.841624782,5.846270441,5.92566474,5.998863775,6.08003652,6.130889346,6.191294934,6.241798753,6.287646472,6.304341243,6.277176335,6.2805572
1013,7.9,7.6,7.9,8.6,9.4,6.4,5.7,6.3,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.6,4.7,3.9,9.5,7.94433022,6.388660441,8.173090888,7.994101232,7.88284592,8.133039508,8.551131488,7.566080226,7.223794862,7.432650964,7.276909706,7.031415522,6.932827222,6.949613886,6.931642135,7.055096658,7.174104299,7.13137958,7.040529499,7.052119554,7.14638577,7.230931694,7.339924356,7.404581354,7.468692145,7.527734232,7.586192793,7.606413688,7.57365593,7.579165403
1015,5.1,5.6,6,5.9,5.4,4.5,4,4,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.7,7.7,6.866249093,6.032498186,7.398516915,7.059924651,7.010871864,7.153512852,7.461252852,6.76592166,6.496567191,6.581622001,6.429261822,6.234061685,6.141433845,6.161869899,6.167343123,6.265294635,6.353554309,6.321682295,6.247541259,6.25644112,6.340959256,6.417024279,6.510017236,6.566254989,6.625826675,6.67891994,6.729897611,6.747798167,6.718656082,6.723065138
1017,4.4,5.5,6.7,6.4,6.9,5.7,5.8,6.6,14.9,18.1,14.6,11.8,10.1,8.1,6.7,6.1,5.5,4.2,3.9,3.1,7.4,6.237656064,5.075312127,6.43697681,6.273786982,6.249147401,6.39660589,6.714933466,5.966707792,5.700346126,5.851905625,5.730778529,5.543252308,5.458249252,5.472909104,5.46335713,5.558801159,5.65036178,5.617914244,5.546885582,5.554956015,5.629885135,5.696982337,5.782159232,5.832920617,5.88380883,5.930313613,5.976206313,5.992282245,5.966476739,5.970682822
1019,4.5,4.6,4.8,4.9,4.7,4.3,4.2,4.3,5.9,10.7,10.5,9.6,8.2,6.7,5.8,5.5,5.1,4.2,3.6,3,5.1,4.931835077,4.763670154,5.608983942,5.255381365,5.179225212,5.261245448,5.431924065,5.059326089,4.891538428,4.874501714,4.749150473,4.615312321,4.548976502,4.568066657,4.58857642,4.652546555,4.703778427,4.68442691,4.634366869,4.64096958,4.704061385,4.761068029,4.82719116,4.867931828,4.91422413,4.954261849,4.991490249,5.004613579,4.982895992,4.985824576
