FIPS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1001,4.1,4.1,4.8,5,4.7,3.8,3.3,3.4,5.3,8.9,8.8,8.3,7.1,6.3,5.8,5.2,5.1,4,3.6,2.9,5.3,4.73,4.16,4.18,4.106,4.138,4.254,4.4952,4.2628,4.1676,4.23464,4.2512,4.26352,4.282848,4.282288,4.235952,4.2399616,4.2628992,4.2631616,4.26091392,4.26078976,4.25685248,4.252577664,4.257545216,4.260923392,4.258859085,4.257735808,4.257737702,4.257351567,4.257528233,4.258560241
1003,3.7,4.3,5,4.9,5.1,4,3.2,3.2,4.8,8.9,9.9,9,7.7,6.7,6.1,5.6,5.4,4.2,3.6,2.9,6.1,5.22,4.34,4.44,4.404,4.432,4.6,4.9008,4.5672,4.4432,4.55536,4.5808,4.58864,4.613312,4.609472,4.54704,4.5562624,4.5895168,4.5878528,4.58294528,4.58312064,4.5780288,4.572723456,4.579939584,4.584292864,4.580934195,4.579351552,4.579621069,4.57918378,4.57944833,4.580827853
1005,5.6,7.6,7.7,7.1,7.1,5.7,5.6,6.4,9.1,13.2,12.1,11.4,11.8,10.4,10.5,8.9,8.4,6,5.1,4,7.7,7.09,6.48,6.24,5.978,6.074,6.302,6.6976,6.3724,6.2148,6.25832,6.2848,6.33216,6.369024,6.365584,6.292496,6.2918208,6.3219776,6.3288128,6.33021696,6.32818048,6.32013824,6.313064832,6.320201728,6.325865216,6.324082662,6.322360448,6.321490099,6.320670536,6.321114977,6.322800031
1007,5.4,6.8,7,5.9,5.4,4.4,4.2,4.2,6,12.2,11.2,10.4,8.8,8,7.2,6.7,6.5,4.5,4,3.3,7.3,6.15,5,5.12,5.05,5.15,5.374,5.724,5.294,5.1388,5.2836,5.3184,5.33616,5.36288,5.35176,5.274192,5.287968,5.33056,5.3286784,5.322592,5.321472,5.31463168,5.30879808,5.31825408,5.323586816,5.319234432,5.317149568,5.317348531,5.316901018,5.317404595,5.319114685
1009,3.5,3.7,5.4,4.6,4.1,3.6,3.2,3.2,4.8,9.2,9.7,8.6,7.1,6.4,6.1,5.4,5.4,4.1,3.5,2.8,4.5,4.37,4.24,4.06,3.854,3.882,3.994,4.2048,4.0812,4.006,3.99896,4.0032,4.0336,4.056992,4.058832,4.024592,4.0197504,4.0303168,4.0354432,4.03875328,4.03809664,4.03378688,4.029771136,4.032472064,4.03527936,4.035170227,4.034576,4.033881216,4.033295933,4.033453757,4.034275773
1011,8.5,10,10.2,10.9,11.4,9.4,8.8,9.6,10.9,14.4,11.7,11.5,10.6,9.5,8.8,8,6.9,5,4.7,3.9,6,5.85,5.7,5.3,5.09,5.23,5.35,5.588,5.434,5.334,5.3116,5.3384,5.3872,5.40352,5.4012,5.36104,5.354944,5.368384,5.378272,5.3815808,5.3778176,5.372768,5.36884416,5.37219968,5.37576448,5.375856512,5.374642048,5.373478784,5.373086566,5.373461376,5.374388301
1013,7.9,7.6,7.9,8.6,9.4,6.4,5.7,6.3,8.8,15.1,13.4,12.4,11.8,10.4,8.5,7.6,6.9,5.6,4.7,3.9,9.5,7.62,5.74,6.12,6.264,6.292,6.576,7.0488,6.4072,6.1984,6.46016,6.5176,6.50448,6.538112,6.526432,6.417568,6.4437504,6.5093568,6.5008384,6.48606848,6.48704384,6.47958912,6.471516416,6.485411584,6.492579328,6.485011251,6.481925888,6.483228058,6.48282154,6.483288893,6.485631222
1015,5.1,5.6,6,5.9,5.4,4.5,4,4,5.9,10.2,11.2,10.3,9.1,8.9,7.9,7.1,6.6,5.1,4.6,3.7,7.7,6.56,5.42,5.54,5.532,5.596,5.784,6.1504,5.7296,5.5744,5.72048,5.7584,5.76688,5.791776,5.786656,5.709952,5.7223872,5.7648384,5.7627328,5.75553024,5.75512192,5.74931328,5.743088128,5.752122112,5.757507328,5.753157274,5.751035136,5.751430554,5.751037624,5.751381996,5.753050481
1017,4.4,5.5,6.7,6.4,6.9,5.7,5.8,6.6,14.9,18.1,14.6,11.8,10.1,8.1,6.7,6.1,5.5,4.2,3.9,3.1,7.4,5.98,4.56,4.82,4.916,4.988,5.172,5.5352,5.0528,4.8912,5.08624,5.1328,5.12784,5.147488,5.139648,5.058176,5.0771136,5.1268032,5.1211904,5.11005312,5.10984576,5.10458624,5.098667264,5.109001216,5.114495744,5.108868557,5.10643072,5.107319245,5.107123804,5.1074927,5.109223096
1019,4.5,4.6,4.8,4.9,4.7,4.3,4.2,4.3,5.9,10.7,10.5,9.6,8.2,6.7,5.8,5.5,5.1,4.2,3.6,3,5.1,4.69,4.28,4.2,4.118,4.134,4.254,4.4776,4.2844,4.1972,4.23672,4.2536,4.26944,4.289984,4.289904,4.248272,4.2493888,4.2679296,4.27024,4.26939776,4.26909568,4.26514688,4.261045632,4.265210368,4.268361984,4.26698519,4.265979264,4.265772109,4.265350011,4.265516488,4.266461783
