"","YEAR","Full_FIPS_Code","fips_year","Log_predictions","Predictions"
"1",2005,"1001","01001-2005",7.6013292881781,2000.85383948064
"2",2005,"1015","01015-2005",8.70691641813987,6044.57477998114
"3",2005,"1033","01033-2005",7.92949736228921,2778.0301108355
"4",2005,"1055","01055-2005",8.64176065892253,5663.29217761285
"5",2005,"1073","01073-2005",10.7893403896343,48501.033677386
"6",2005,"1077","01077-2005",8.2745272504012,3922.66775241403
"7",2005,"1081","01081-2005",9.04099166138588,8442.144655276
"8",2005,"1089","01089-2005",8.54279551525354,5129.66439144351
"9",2005,"1097","01097-2005",10.029128949248,22677.5096778279
"10",2005,"1101","01101-2005",9.6404202984773,15373.8039607378
"11",2005,"1103","01103-2005",8.05495252170766,3149.35365446772
"12",2005,"1113","01113-2005",7.19333289185804,1330.53033766219
"13",2005,"1117","01117-2005",8.16062356778101,3500.36864047459
"14",2005,"1125","01125-2005",8.96486351233224,7823.31387011905
"15",2005,"2020","02020-2005",10.2817857013809,29195.9623024226
"16",2005,"2090","02090-2005",10.329636365736,30626.9728613924
"17",2005,"4003","04003-2005",8.74214315599843,6261.30028634564
"18",2005,"4005","04005-2005",9.46506608946836,12901.0771836012
"19",2005,"4013","04013-2005",12.8976822216309,399385.430819547
"20",2005,"4019","04019-2005",11.8082166266348,134351.748253003
"21",2005,"4021","04021-2005",7.50827574764353,1823.06740296099
"22",2005,"4027","04027-2005",10.3582576286278,31516.2204949726
"23",2005,"5007","05007-2005",8.70589288828498,6038.39114234246
"24",2005,"5031","05031-2005",7.67359200852846,2150.79325422626
"25",2005,"5035","05035-2005",7.95474374354839,2849.05814597816
"26",2005,"5045","05045-2005",8.38029266526459,4360.28484340192
"27",2005,"5069","05069-2005",7.90994862085415,2724.25049308154
"28",2005,"5085","05085-2005",7.84224146601457,2545.90500261265
"29",2005,"5091","05091-2005",7.4154767849879,1661.50115838698
"30",2005,"5119","05119-2005",10.9311013145868,55887.7958716981
"31",2005,"5125","05125-2005",7.39880722976953,1634.03423976595
"32",2005,"5131","05131-2005",8.63522007271283,5626.37179897298
"33",2005,"5143","05143-2005",9.61499215785303,14987.8051263834
"34",2005,"6001","06001-2005",14.1743139274193,1431615.27460246
"35",2005,"6007","06007-2005",9.54306541237452,13947.6374205802
"36",2005,"6013","06013-2005",12.6418015788868,309217.928922564
"37",2005,"6019","06019-2005",10.8917425299517,53730.8460515354
"38",2005,"6025","06025-2005",9.5064899012348,13446.7120948909
"39",2005,"6029","06029-2005",10.7678733169003,47470.9544107953
"40",2005,"6031","06031-2005",8.87130946479908,7124.60428608256
"41",2005,"6037","06037-2005",13.1684644272734,523590.111517579
"42",2005,"6039","06039-2005",8.52686171724025,5048.57708510447
"43",2005,"6041","06041-2005",12.1890752706359,196629.253098884
"44",2005,"6047","06047-2005",9.67239701183167,15873.3520711625
"45",2005,"6053","06053-2005",10.4206551372125,33545.4037908252
"46",2005,"6055","06055-2005",10.2420223254321,28057.8106134431
"47",2005,"6059","06059-2005",13.1503024401556,514166.509363602
"48",2005,"6061","06061-2005",10.7562756228973,46923.5810771472
"49",2005,"6065","06065-2005",11.9400560176877,153285.276675585
"50",2005,"6067","06067-2005",12.4093872631475,245091.591653252
