Sum of Capital Funding,Column Labels,,,,,,,,,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,(blank),Grand Total
1001,2115639.332,4116340.854,2843839.852,611397.2023,4008798.125,3177372.554,3395204.263,278272.1807,97953.61596,2546.147983,163512.7056,132377.015,3099.615761,28959.63716,71350.53064,73279.83089,93353.50208,,21213296.97
1003,278084,3790480,3927940,366988,9202628,7827172,678616,76491.1349,104928.8983,446057.196,1913521.229,460450.502,891937.142,1033882.391,297161.4642,122112.5587,187913.2502,,31606363.77
1009,1021020.099,1450872.515,645665.4069,461344.1023,169757.1056,248201.6002,5121885.22,14113.08039,656342.6794,927663.9211,13912.33001,168276.9736,976763.9625,1440334.902,1107467.661,182486.398,1255536.006,,15861643.96
1033,0,301116,83664,124128,50993,377556,1492464,81010,534006,57603,159466,0,0,135835,72301,337737,99288,,3907167
1051,2644549.165,5145426.068,3554799.816,764246.5028,5010997.656,3971715.693,4244005.329,347840.2259,122442.0199,3182.684979,204390.882,165471.2688,3874.519701,36199.54645,89188.1633,91599.78861,116691.8776,,26516621.21
1057,0,0,90256,0,0,431213,9991,19270,89498,0,33794,69300,0,115128,95170,29848,0,,983468
1073,,,,,,,,473682.6383,27604763.34,23243115.17,764923.7901,6880658.475,28716843.63,52812783.8,22246720.55,8856847.812,33135252.62,,204735591.8
1079,0,88654,68231.5,182459,0,0,0,249426,254652,0,0,0,0,0,22456,17259.5,27586,,910724
1081,118865,23895,131934,174995,139857,0,523330,269860,90439,114175,100610,0,0,0,209735,156669,159787,,2214151
1089,477766,173170,5293656,3689865,2698353,985933,1179164,183710,3179879,1126063,1980882,349345,1004209,227221,1492392,301439,1641924,,25984971
1097,,,,,,,,5098562,1606545,871862,1176954,1293647,422018,484205,3173788,1524762,3302262,,18954605
1101,6802597.503,12756928.08,7781298.332,2651511.295,7744501.218,10545484.75,10814123.41,3290525.593,1023602.364,24451.16704,1807633.412,1457160.716,42867.86454,298968.8164,738570.3061,611136.3805,647858.6203,,69039219.83
1103,0,265962,204694.5,547377,0,0,0,748278,763956,0,0,0,0,0,67368,51778.5,82758,,2732172
1113,296891.239,709376.7588,785325.1335,1381074.01,1242404.437,1657519.64,1367904.479,665433.374,1603560.306,558982.9681,604187.0925,2394143.118,658578.6797,781040.7937,1625198.237,1103716.253,2224077.493,,19659414.01
1115,1474806.81,2095704.744,932627.81,666385.9256,245204.7081,358513.4225,7398278.651,20385.56056,948050.5369,1339958.997,20095.5878,243066.7396,1410881.279,2080483.747,1599675.51,263591.4638,1813552.008,,22911263.5
1117,6675333.09,8405766.741,2877982.783,1436709.972,789098.1863,1571716.977,19718952.13,62802.72074,3703343.446,3336889.907,159664.2921,1138985.812,4766183.127,8568921.552,2803016.278,1119366.327,8900199.371,,76034932.71
1125,71356,854952,16607,3800745,7927577,1562253,820495,411808,282863,259207,590610,295211,1277400,41633,1264072,66019,783846,,20326654
2020,11472632,11971217,13943691,20202059,11608795,19256838,14576361,117854026,95936278,60491769,46030030,48241661,55119534,55128070,51052122,51725509,46846578,,731457170
2090,236482,2241976,134738,2912283,0,105792,550838,267931,778918,1642519,629128,276701,444703,416490,569107,52967,1221966,,12482539
4005,0,0,0,2112256,4656178,1594421,2297290,8702166,4355228,4827527,7522828,2724586,3054632,4934922,578467,621631,937358,,48919490
4013,290497794,374989796,547644310,566404985,271344477,73534191,35067266,93357736,122542571,192439430,151157841,125155847,125335478,241444041,197682019,406960980,370608546,,4186167308
4019,6128160,14097059,14141832,12728547,52844653,29383034,34411301,53047809,91311677,47034035,28914065,21489137,4445089,2066378,12196209,3660376,22647944,,450547305
5007,685355.8694,607835.4575,543057.3754,1531011.614,1847333.323,2824612.541,1626986.808,1917979.64,1111838.914,428614.459,1918385.364,1094369.589,2152875.693,3502329.16,6691410.052,3381692.224,2596930.113,,34462618.2
5031,0,0,0,0,0,0,0,243236,21085,70402,1120136,121546,202078,205883,242832,213676,221198,,2662072
5033,127663.1488,60155.99204,133777.3796,48838.00399,837689.0308,162195.2924,954463.8399,500689.7231,463112.4804,91251.87487,146317.8217,266615.0634,240387.9194,146981.2447,1205751.124,282530.3938,476429.1966,,6144849.53
5035,6147908.197,9218899.727,3196191.064,7758266.688,3275323.623,24086898.1,26256609.99,13074712.6,15438744.29,19755256.21,3818525.254,7458149.312,13851847.54,10285375.74,6386193.833,12589190.34,6609130.84,,189207223.4
5095,0,0,0,0,0,0,0,0,0,0,0,1274119.647,78384.3335,37121.78491,34765.10861,26834.85795,234147.7424,,1685373.474
5119,1731948,8002117,4957151,4311839,1786568,9564489,1536013,1808695,3207403,1361078,11814785,2164438,5668193,2151552,3112167,2435733,8339635,,73953804
5131,301749.2608,142186.8903,316201.079,115435.2822,1979992.255,383370.6911,2256005.44,1183448.437,1094629.499,215686.2497,345842.1241,630181.0589,568189.6276,347410.2149,2849957.203,667799.1126,1126105.374,,14524189.8
5143,999144.1161,482618.0791,603825.0749,1089252.119,1779914.913,2429278.357,3296739.741,1373164.483,2288935.726,708350.3675,1340692.545,1733421.421,2217715.638,3398800.312,7425410.958,3088333.945,2361993.146,,36617590.94
6001,,,,,,,,8446476,13479256,6640225,3385470,17871622,37460209,18638211,8504713,3132959,3422318,,120981459
6007,,,,,,,,155184,118016,1358150,3058943,1382644,2937395,4640411,544193,203395,3696728,,18095059
6013,1834788,1551595,1148917,1094563,3680872,1997995,1950925,4289854,11218098,147014,541138,1191423,10768786,8804590,4502093,723934,3228547,,58675132
6017,0,0,0,0,0,0,0,0,0,0,1538135.562,725973.5246,204768.6143,372993.4182,1933055.948,791669.6839,144715.7621,,5711312.513
6019,2670730,14339711,1353212,1108702,493715,7662871,3989379,9807489,5389370,6340025,10067864,3391278,42585732,28724929,6581527,6373309,10307223,,161187066
6025,22943,0,0,0,0,0,0,0,0,0,0,3211455,0,773600,84535,0,0,,4092533
6029,,,,,,,,7797293,3747994,12524197,2554941,1094625,3731367,2322580,14001148,5315241,6344146,,59433532
6031,0,47925,1279071,4859055,1841229,609638,6910458,2614770,1963031,3118587,1348453,4010435,408900,753226,2297060,1921936,5073896,,39057670
6037,24709140,8328962,2224675,4349245,14122169,5972940,17241740,6184361,20373909,15408463,7208624,8778007,19244381,14786071,25905208,23125809,22684278,,240647982
