STATEFP,COUNTYFP,TRACTCE,PUMA5CE
01,001,020100,01700
01,001,020200,01700
01,001,020300,01700
01,001,020400,01700
01,001,020501,01700
01,001,020502,01700
01,001,020503,01700
01,001,020600,01700
01,001,020700,01700
01,001,020801,01700
01,001,020803,01700
01,001,020804,01700
01,001,020805,01700
01,001,020901,01700
01,001,020902,01700
01,001,021000,01700
01,001,021100,01700
01,003,010100,02701
01,003,010200,02701
01,003,010300,02701
01,003,010400,02701
01,003,010500,02701
01,003,010600,02701
01,003,010704,02701
01,003,010706,02701
01,003,010707,02701
01,003,010708,02701
01,003,010709,02701
01,003,010710,02701
01,003,010711,02701
01,003,010800,02701
01,003,010903,02702
01,003,010904,02702
01,003,010906,02702
01,003,010907,02702
01,003,010908,02702
01,003,011000,02702
01,003,011102,02701
01,003,011103,02701
01,003,011104,02701
01,003,011201,02701
01,003,011202,02701
01,003,011300,02701
01,003,011409,02702
01,003,011410,02702
01,003,011411,02702
01,003,011412,02702
01,003,011413,02702
01,003,011414,02702
01,003,011415,02702
01,003,011416,02702
01,003,011417,02702
01,003,011418,02702
01,003,011419,02702
01,003,011501,02702
01,003,011503,02702
01,003,011504,02702
01,003,011601,02702
01,003,011603,02702
01,003,011604,02702
01,003,990000,02702
01,005,950100,02500
01,005,950200,02500
01,005,950300,02500
01,005,950400,02500
01,005,950500,02500
01,005,950600,02500
01,005,950700,02500
01,005,950800,02500
01,005,950900,02500
01,007,010001,01100
01,007,010005,01100
01,007,010006,01100
01,007,010007,01100
01,007,010008,01100
01,007,010009,01100
01,007,010010,01100
01,007,010011,01100
01,009,050103,00900
01,009,050104,00900
01,009,050105,00900
01,009,050106,00900
01,009,050107,00900
01,009,050200,00900
01,009,050301,00900
01,009,050302,00900
01,009,050400,00900
01,009,050501,00900
01,009,050502,00900
01,009,050601,00900
01,009,050603,00900
01,009,050604,00900
01,009,050701,00900
01,009,050702,00900
01,011,952100,02000
01,011,952201,02000
01,011,952202,02000
01,011,952500,02000
01,013,952700,02500
01,013,952800,02500
01,013,952900,02500
01,013,953000,02500
01,013,953100,02500
01,013,953200,02500
01,013,953300,02500
01,013,953400,02500
01,013,953500,02500
01,015,000200,00800
01,015,000300,00800
01,015,000400,00800
01,015,000500,00800
01,015,000600,00800
01,015,000700,00800
01,015,000800,00800
01,015,000900,00800
