year,VMT,TransitModeShare,TransportGHG ,Population,Unemployment Rate 1,Unemployment Rate 2,Unemployment Rate Metro,Unemployment Rate Non-Metro,Unemployment Rate White,Unemployment Rate Asian,Unemployment Rate Black,Unemployment Rate Hispanic,Unemployment Rate Women,Unemployment Rate Men,TotLaneMiles,TotUrbanMiles,TotRuralMiles,TotLocToCollMiles,TotalArtToFwyMiles,MilesofSpecialtyLanes ,TransitTotOpFunding,TransitTotCapFunding,TransitTotFunding,TransitActiveFleet,TransitSumAvgSeatCap,TransitSumAvgStandCap,TransitTotCapacity,TransitDRM,TransitPMT,TransitVRM,TransitVRH,TransitUPT,TransitNumAgencies,RegisteredBEVCarsMillions,RegisteredBEVTrucksMillions,%RegisteredBEVCars,%RegisteredBEVTrucks,EVSalesHybridElec,EVSalesHybridElecPlugin,EVSalesElectric,EVSalesHybridElec%allsales,EVSalesHybridElecPlugin%allsales,EVSalesElectric%allsales,EVPrivateandPublicEVSEPorts,EVPrivateandPublicChargingStationLocations,BEVRangeMedian,BEVRangeMaximum,%populationTelework,%UrbanTelework,%TeleworkwInternetAccess,%TeleworkwBroadbandorHighSpeedInternet,%TeleworkCollegeGraduates,%TeleworkHighSchoolDiplomaorGED,%TeleworkNoHighSchoolDiploma,%TeleworkLowIncome,%TeleworkNonLowIncome
2000,2.76448E+12,0.047,1913.551,282162411,3.966666667,3.994293369,3.888735007,4.591849819,3.483333333,3.625,7.566666667,5.716666667,4.083333333,3.891666667,8224245,1915503,6308742,7019108,1205137,0,21971358149,9055908941,31027267090,105949,34195.23911,8352.651527,4779633.052,208116.6,45100241891,3202354371,215690522,8719890910,1087,0,0,0,0,9350,0,0,0.00062655,0,0,0,558,0,0,0.033,0,0.032388778,0.03216734,0.039951388,0.028502524,0.026320098,0,0
2001,2.81342E+12,-,1885.435,284968955,4.741666667,4.734594287,4.623503198,5.367380899,4.15,4.458333333,8.6,6.566666667,4.666666667,4.808333333,8251865,1967044,6284821,7042842,1209023,0,23724633863,10824642675,34549276538,110284,34773.59126,8440.77705,4939950.886,214185.3,46507533027,3319014751,222962086,9007786295,1109,0,0,0,0,20282,0,0,0.001411118,0,0,0,693,0,0,0.033784751,0,0.033846056,0.033798636,0.040620701,0.029350053,0.026670019,0,0
2002,2.87361E+12,-,1925.981,287625193,5.783333333,5.787607464,5.735011858,6.088191267,5.116666667,5.891666667,10.225,7.533333333,5.616666667,5.925,8295170,2006435,6288735,7078629,1216541,0,24791605553,12305022178,37096627731,114102,35119.15581,18015.32569,6525944.664,241009.5,46096858641,3433920231,230338393,9017976117,1127,0,0,0,0,36042,0,0,0.002606074,0,0,0,873,0,0,0.034452568,0,0.03440823,0.034604134,0.042526238,0.029137726,0.027838869,0,0
2003,2.90878E+12,-,1933.327,290107933,5.991666667,5.982907415,5.913627701,6.378680492,5.241666667,5.975,10.80833333,7.658333333,5.666666667,6.283333333,8315121,2108650,6206471,7086697,1228424,0,25989597551,12775072145,38764669696,115691,35295.21742,18666.15696,6508957.461,234824.1,45676831126,3475956828,234302206,8876036081,1150,0,0,0,0,47566,0,0,0.003487755,0,0,0,830,0,0,0.034931081,0.030519208,0.034859644,0.034803862,0.043288037,0.029332815,0.026416838,0.027786643,0.028603209
2004,2.98202E+12,0.046,1965.852,292805298,5.541666667,5.527339355,5.441148026,6.02348035,4.833333333,4.416666667,10.38333333,6.975,5.408333333,5.633333333,8338821,2199155,6139666,7090633,1248188,0,27350936661,12629086894,39980023555,120039,35722.52981,18990.81872,6786696.206,226405.4,46545783080,3547881216,239892462,8937072091,1170,0,0,0,0,84233,0,0,0.00606866,0,0,0,671,0,0,0.038,0.032532142,0.038512331,0.038512878,0.048295639,0.031522445,0.029042312,0.026342665,0.032478838
2005,3.00922E+12,0.046599785,1975.495,295516599,5.083333333,5.10006076,4.990439446,5.732537918,4.375,3.983333333,10,6.008333333,5.1,5.058333333,8371718,2263360,6108358,7106775,1264943,0,29087643854,11836673423,40924317277,122464,36538.87798,19386.35111,7022745.998,236921.8,47121091562,3601988425,241003583,9175124398,1198,0,0,0,0,205876,0,0,0.014683403,0,0,0,588,0,0,0.03603682,0.036440425,0.035765724,0.035747703,0.046248045,0.027350098,0.02553731,0.035351261,0.03739384
2006,3.03375E+12,0.048341925,1975.865,298379912,4.608333333,4.630207359,4.52464236,5.243354884,4.041666667,3.05,8.933333333,5.216666667,4.616666667,4.608333333,8420589,2308602,6111987,7145211,1275378,0,30741054160,12752085130,43493139290,123160,36701.9539,19796.90025,6956007.309,238934.5,49504172903,3670663484,246600334,9379390013,1223,0,0,0,0,251864,0,0,0.018887439,0,0,0,465,0,0,0.039135519,0.039778311,0.039641637,0.038987171,0.049368277,0.031000811,0.027769543,0.03857295,0.039974882
2007,3.04903E+12,0.048833315,1974.427,301231207,4.616666667,4.621805532,4.523902825,5.197434989,4.108333333,3.233333333,8.266666667,5.65,4.5,4.725,8457353,2343858,6113495,7173906,1283447,0,34752687680,13739734108,48492421788,128571,37260.95603,19874.53544,7251898.07,237938.7,51873259729,4206114234,276481975,10053504041,1248,0,0,0,0,351071,0,0,0.027671711,0,0,0,432,0,0,0.040762853,0.041705428,0.040711029,0.04083056,0.051378606,0.03165246,0.029742353,0.040094525,0.042126066
2008,2.99271E+12,0.050070944,1870.906,304093966,5.8,5.788130584,5.723312389,6.17227909,5.175,3.933333333,10.075,7.625,5.425,6.141666667,8483969,2392026,6091943,7187398,1296571,0,37535255496,16290158952,53825414448,131634,38131.30566,20277.26913,7475347.688,241774.3,53712078123,4361406916,289261010,10367386860,1265,0,0,0,0,315763,0,0,0.03123892,0,0,0,440,0,0,0.040955466,0.041271092,0.040942126,0.040823779,0.051635278,0.031209187,0.030063435,0.038358076,0.0416796
2009,2.9758E+12,0.049948293,1796.295,306771529,9.283333333,9.250904139,9.172581828,9.714781386,8.475,7.283333333,14.78333333,12.10833333,8.075,10.325,8577178.614,2471429.681,6105748.933,7252736.799,1324441.815,0,38616863731,17063455961,55680319692,136651,39463.54475,21404.67356,7885438.431,251210,53898382540,4498375650,296214484,10251879911,1302,0,0,0,0,290273,0,0,0.036892857,0,0,0,484,0,0,0.042702164,0.043309899,0.042694524,0.042744487,0.053616705,0.033079098,0.030365617,0.041211914,0.044358202
